,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
202,S-Bhf. Nöldnerplatz,bus,"{'35', '96', '43'}","52.50326619516546, 13.484293730152238",nan,"['96', '43', '35']+ {'96', '43', '35'}+ {'35', '43', '96'}",
203,S-Bhf. Oberspree,bus,"{'65', '47'}","52.45293599866134, 13.537614958614363",nan,"['65']+ {'65'}+ {'47', '65'}",
204,S-Bhf. Otto-Winzer-Strasse,bus,{'91'},"52.55781812549243, 13.554276421175679",nan,{'91'},
205,S-Bhf. Pankow,bus,"{'33', '45'}","52.56742037379333, 13.412250129587665",nan,"['45', '55', '33', '7']+ {'45', '55', '33', '7'}+ {'7', '45', '33'}",
206,S-Bhf. Plänterwald,bus,"{'66', '65', '67'}","52.47906709904058, 13.47438536554077",nan,"['65', '66', '67']+ {'67', '65', '66'}+ {'65', '67', '66'}",
207,S-Bhf. Rahnsdorf,bus,{'61'},"52.451628368326396, 13.691579101298974",nan,['61']+ {'61'}+ {'61'},
208,S-Bhf. Rummelsburg,bus,{'30'},"52.50179539105723, 13.478028581044718",nan,['30']+ {'30'}+ {'30'},
209,S-Bhf. Schönefeld,bus,{'36'},"52.38192403313463, 13.511545079208773",nan,{'36'},
210,S-Bhf. Springpfuhl,bus,"{'99', '43'}","52.525730108939904, 13.536747791865222",nan,"['43', '54']+ {'54', '43'}+ {'99', '43'}",
211,S-Bhf. Storkower Strasse,bus,{'56'},"52.52442478945907, 13.464849379649715","nan+nan, nan","{'56'}+ {'56E'}, {'56'}",
212,S-Bhf. Treptower Park,bus,"{'66', '65', '47', '67'}","52.49403640886682, 13.460762565516704",nan,"['47', '64', '65', '66', '67']+ {'64', '67', '65', '66', '47'}+ {'66', '67', '64', '47', '65'}",
213,S-Bhf. Wilhelmshagen,bus,{'61'},"52.43886122089184, 13.721060252199655",nan,['61']+ {'61'}+ {'61'},
214,Samariterstrasse,bus,{'30'},"52.52016041786831, 13.466940699807608",nan,['30']+ {'30'}+ {'30'},
215,Sangeallee,bus,{'97'},"52.48623083556914, 13.516952373943166",nan,{'97'},
216,Scharnhorststrasse,bus,{'57'},"52.530048717863, 13.374421833191816",nan,['57']+ {'57'}+ {'57/E'},
217,Schlegelstrasse,bus,{'57'},"52.52929529497856, 13.384664331869942",nan,{'57/E'},
218,Schlichtallee,bus,{'96'},"52.50243204743354, 13.486668317741774",nan,{'96'}+ {'96'},
219,Schumannstrasse,bus,{'78'},"52.52350700053633, 13.379478600060418",nan,['78']+ {'78'}+ {'78'},
220,Schwarzelfenweg,bus,{'45'},"52.56730253884034, 13.465344446026576",nan,['45']+ {'45'}+ {'45'},
221,"Schönefeld, Dorfstrasse",bus,{'36'},"52.342093062255294, 13.510465453623498",nan,{'36'}+ {'36'},
222,"Schöneiche, Dorfaue",bus,{'61'},"52.47886105131975, 13.70053232372426",nan,['61']+ {'61'}+ {'61'},
223,Seelenbinderstrasse,bus,{'27'},"52.45578046188458, 13.577036794685934",nan,{'27'}+ {'27'},
224,Siegfriedstrasse,bus,"{'93', '30'}","52.4678679332248, 13.43108288840776+52.51196614831749, 13.49765939541241+52.52636618935229, 13.499763129052075+52.52637569944569, 13.499782666552276",nan,['30']+ {'91'}+ {'93'}+ {'30'}+ {'91'}+ {'93'}+ {'30'},
225,Siegmarstrasse,bus,{'91'},"52.527871443906704, 13.572843421946246",nan,{'91'},
226,Sonnenallee,bus,{'47'},"52.460833106151426, 13.481268612494336+52.47390641754349, 13.45582209753393+52.481708985743545, 13.440136223973962+52.48612472975925, 13.43025438773501+52.48777166939619, 13.425497440985696",nan,"['47']+ ['65']+ ['4']+ ['75', '41', '95']+ {'47'}+ {'65'}+ {'4'}+ {'95', '41'}+ {'47'}+ {'65'}+ {'4'}+ {'75'}+ {'41'}",
227,Springbornstrasse,bus,"{'66', '62'}","52.438521804678935, 13.492933457124149",nan,"['66']+ {'62', '66'}+ {'62', '66'}",
228,Stadion der Weltjugend,bus,{'59'},"52.534334157679154, 13.37834584846041",nan,{'59'}+ {'59'},
229,Stadtbezirksgericht,bus,{'52'},"52.56642481951921, 13.415233988154364",nan,['52']+ {'52'}+ {'52'},
230,Stadtrandsiedlung,bus,"{'42', '41', '31'}","52.573369662221204, 13.56744978653018",nan,"['42', '31']+ {'41', '42', '31'}+ {'42', '41', '31'}",
231,Stedinger Weg,bus,{'57'},"52.5392149673764, 13.452546416856888",nan,{'57'}+ {'57/E'},
232,Sterndamm,bus,"{'66', '47'}","52.44658674940087, 13.506534865142585",nan,"['47', '66']+ {'66', '47'}+ {'47', '66'}",
233,Storkower Strasse,bus,"{'57', '56'}","52.53719525158826, 13.449494779730072",nan,"{'56', '57'}+ {'56', '56E', '57/E'}",
234,Straße 26,bus,"{'42', '31'}","52.59703583586274, 13.467277026410347",nan,"['42', '31']+ {'42', '31'}+ {'42', '31'}",
235,Straße der Befreiung,bus,"{'54', '53', '43'}","52.50971424641386, 13.51893463931542",nan,"['53']+ {'54', '43', '53'}+ {'54', '43', '53'}",
236,Straße nach Wartenberg,bus,{'41'},"52.57732854467091, 13.483418816902354",nan,['41']+ {'41'}+ {'41'},
237,Summter Strasse,bus,{'8'},"52.47786081005491, 13.613221000132798",nan,{'8'}+ {'8'},
238,Thälmannstrasse,bus,{'44'},"52.534521264143414, 13.631328653858786",nan,['44']+ {'44'}+ {'44'},
239,"Treptow, Eichenstrasse",bus,{'47'},"52.49476666624515, 13.45313221364275",nan,['47']+ {'47'}+ {'47'},
240,"Treptow, Rathaus",bus,{'47'},"52.48358899866382, 13.480324760498638",nan,"['47', '64']+ {'64', '47'}+ {'64', '47'}",
241,U-Bhf. Friedrichsfelde,bus,"{'35', '53', '43'}","52.50624112361932, 13.512853060220209",nan,"['35', '112', '54', '53', '43']+ {'8', '43', '53', '35'}+ {'35', '43', '53'}",
242,U-Bhf. Lichtenberg,bus,{'93'},"52.51086483639184, 13.499794165236494",nan,{'93'}+ {'93'},
243,U-Bhf. Magdalenenstrasse,bus,{'30'},"52.512459802712385, 13.48733613628432",nan,"['30', '112']+ {'30'}+ {'30'}",
244,U-Bhf. Märkisches Museum,bus,{'78'},"52.51269614729782, 13.411230303832852","nan, nan+nan, nan, nan","['78'], ['79']+ {'78'}, {'79'}+ {'78'}, {'79'}",
245,U-Bhf. Pankow,bus,"{'50', '52', '55', '33'}","52.56721533989539, 13.412199219637507",nan,"['55', '52', '50', '7', '33']+ {'50', '7', '52', '55', '33'}+ {'52', '7', '55', '50', '33'}",
246,U-Bhf. Rosa-Luxemburg-Platz,bus,"{'40', '30'}","52.52863959971529, 13.410137756293498",nan,"['30', '40', '112']+ {'30', '40'}+ {'40', '30'}",
247,U-Bhf. Stadtmitte,bus,{'59'},"52.5104179669139, 13.389881304836392",nan,{'59'},
