,stop_id,stop_name,type,location,in_lines,identifier
111,1963111,Gartenstadtweg,Autobus,"52.412313913821045, 13.56660267841369",['A 36'],
112,1963112,Genslerstrasse/Siegfriedstrasse,Omnibus,"52.53419051284018, 13.497014225567375",['O 37'],
113,1963113,"Glienicke, Kirche",Autobus,"52.63062737184449, 13.312861916755343",['A 7'],
114,1963114,Goethestrasse,Autobus,"52.40437395250698, 13.406194791584095",['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],
115,1963115,Greifswalder Strasse,Autobus,"52.53002871375482, 13.62681794411932",['A 44'],
116,1963116,Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045",['4'],Q65548960
117,1963117,Greifswalder Strasse Ecke Dimitroffstrasse,strassenbahn,"52.5364975,13.4334045",['13'],Q65548960
118,1963118,Greifswalder Strasse Ecke Hönower Strasse,Autobus,"52.53002871375482, 13.62681794411932",['A 44 E'],
119,1963119,Greifswalderstrasse Ecke Dimitroffstrasse,Omnibus,"52.5362177572407, 13.433017500945247",['O 30'],
120,1963120,Grottkauer Strasse,Autobus,"52.52747689361331, 13.606500303391726",['A 49'],
121,1963121,Groß Ziethen,Autobus,"52.41404104155547, 13.438879163306126",['A Z'],
122,1963122,Große Präsidentenstrasse,strassenbahn,"52.52326345734971, 13.401134586268517","['63', '49']",
123,1963123,Grünberger Strasse,strassenbahn,"52.5122359,13.452609",['4'],Q65706239
124,1963124,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,Autobus,"52.562178269666816, 13.454275093038184",['A 55'],
125,1963125,Güteraußenring,Autobus,"52.599887239389226, 13.469297130431492",['A 42'],
126,1963126,Güterbahnhof Springpfuhl,Autobus,"52.52561231977731, 13.533687321893124",['A 43'],
127,1963127,Hackescher Markt,strassenbahn,"52.522700593509725, 13.401605863643521","['69', '63', '49']",Q65094590
128,1963128,Hamburger Platz,Autobus,"52.555394187589414, 13.438973139463632","['A 56', 'A 55']",
129,1963129,Hannoversche Strasse,strassenbahn,"52.52716496126181, 13.387046759579254",['1'],
