stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Goltzstr.,autobus,AS2,19641110_west,"52.38741231,13.40969616",,52.38741231,13.40969616,90,Goltzstr. Ecke Lichtenraderdamm,19651143_west,['AS2'],
Bhf. Lichtenrade,autobus,AS2,19641111_west,"52.386683297852706, 13.395506929836833",,,,,,,,1964134.0
"Lichtenrade, Blohmstr. Ecke Wünsdorferstr.",autobus,AS2,19641112_west,"52.38867997,13.39435043",,52.38867997,13.39435043,95,Blohmstr. Ecke Wünsdorferstr.,19651145_west,['AS2'],
Bhf. Zoo,autobus,AS3,19641113_west,"52.507029532025605, 13.333220118900503",,,,,,,,1964147.0
Hardenbergstr.,autobus,AS3,19641114_west,"52.506154057324025, 13.33242747094564",,,,,,,,1964454.0
Kurfürstendamm Ecke Joachimstalerstr.,autobus,AS3,19641115_west,"52.503861587707846, 13.33136802337261",,,,,,,,1964653.0
Rankeplatz/Bundeshaus,autobus,AS3,19641116_west,"52.49809490157239, 13.330706361912526",,,,,,,,1964973.0
U-Bhf. Spichernstr.,autobus,AS3,19641117_west,"52.49666209,13.330635",,52.49666209,13.330635,100,U-Bhf. Spichernstr.,19651149_west,['AS3'],
U-Bhf. Fehrbellinerplatz,autobus,AS3,19641118_west,"52.490390927187676, 13.31417745809863",,,,,,,,19641281.0
Seesenerstr. Ecke Hohenzollerndamm,autobus,AS3,19641119_west,"52.48846116,13.30215002",,52.48846116,13.30215002,100,Seesenerstr. Ecke Hohenzollerndamm,19651151_west,['AS3'],
"Berkaerstr., Elsterplatz",autobus,AS3,19641120_west,"52.47977983,13.28550761",,52.47977983,13.28550761,90,Elsterplatz,19651152_west,['AS3'],
Roseneck,autobus,AS3,19641121_west,"52.4758009,13.28241127",,52.4758009,13.28241127,100,Roseneck,19651153_west,['AS3'],
Pücklerstr.,autobus,AS3,19641122_west,"52.46857085,13.2783971",,52.46857085,13.2783971,90,Pücklerstr. Ecke Clayallee,19651154_west,['AS3'],
Königin-Luise-Str.,autobus,AS3,19641123_west,"52.46048317,13.27487914",,52.46048317,13.27487914,90,Königin-Luise-Str. Ecke Clayallee,19651155_west,['AS3'],
U-Bhf. Oskar-Helene-Heim,autobus,AS3,19641124_west,"52.45027901,13.27036199",,52.45027901,13.27036199,100,U-Bhf. Oskar-Helene-Heim,19651156_west,['AS3'],
Sundgauerstr.,autobus,AS3,19641125_west,"52.44557392,13.26767122",,52.44557392,13.26767122,90,Sundgauerstr. Ecke Clayallee,19651157_west,['AS3'],
Winfriedstr.,autobus,AS3,19641126_west,"52.437562011852606, 13.269450173477841",,,,,,,,19641413.0
Clayallee/Teltowerdamm,autobus,AS3,19641127_west,"52.4350547405869, 13.260361762838802",,,,,,,,1964237.0
Rathaus Zehlendorf,autobus,AS3,19641128_west,"52.43320752,13.25953192",,52.43320752,13.25953192,100,Rathaus Zehlendorf,19651160_west,['AS3'],
Bhf. Zoo,autobus,AS4,19641129_west,"52.507029532025605, 13.333220118900503",,,,,,,,1964147.0
Savignyplatz,autobus,AS4,19641130_west,"52.50585291,13.32187247",,52.50585291,13.32187247,100,Savignyplatz,19651162_west,['AS4'],
Leibnizstr. Ecke Kantstr.,autobus,AS4,19641131_west,"52.50628812,13.31395372",,52.50628812,13.31395372,100,Leibnizstr. Ecke Kantstr.,19651163_west,['AS4'],
Wilmersdroferstr. Ecke Kantstr.,autobus,AS4,19641132_west,"52.5066945,13.30667544",,52.5066945,13.30667544,97,Wilmersdorferstr. Ecke Kantstr.,19651164_west,['AS4'],
Amtsgericht,autobus,AS4,19641133_west,"52.50682618,13.29739145",,52.50682618,13.29739145,100,Amtsgericht,19651165_west,['AS4'],
Wundtstr. Ecke Neue Kantstr.,autobus,AS4,19641134_west,"52.50644122,13.28374229",,52.50644122,13.28374229,100,Wundtstr. Ecke Neue Kantstr.,19651166_west,['AS4'],
Messedamm Ecke Halenseestr.,autobus,AS4,19641135_west,"52.50360101364283, 13.278982549046914",,,,,,,,1964801.0
Spanischeallee Ecke Kronprizessinnenweg,autobus,AS4,19641136_west,"52.43381203,13.18936731",,52.43381203,13.18936731,99,Spanischeallee Ecke Kronprinzessinnenweg,19651168_west,['AS4'],
Bhf. Wannsee,autobus,AS4,19641137_west,"52.42151302,13.17810257",,52.42151302,13.17810257,100,Bhf. Wannsee,19651169_west,['AS4'],
Am Großen Wannsee,autobus,AS4,19641138_west,"52.42050256,13.1671798",,52.42050256,13.1671798,90,Am Großen Wannsee Ecke Königstr.,19651170_west,['AS4'],
Rathaus Wannsee,autobus,AS4,19641139_west,"52.41844013,13.14887249",,52.41844013,13.14887249,100,Rathaus Wannsee,19651171_west,['AS4'],
Stölpchensee,autobus,AS4,19641140_west,"52.409430239790396, 13.14381794619846",,,,,,,,19641219.0
Schlesisches Tor,u-bahn,A I,19641141_west,"52.500833333333,13.441666666667",Q602282,,,,,,,19641098.0
Kottbusser Tor,u-bahn,A I,19641143_west,"52.49916667,13.41805556",,52.49916667,13.41805556,100,Kottbusser Tor,19651303_west,['A I'],
Prinzenstr.,u-bahn,A I,19641144_west,"52.498333333333,13.406111111111",Q689797,,,,,,,1964954.0
Hallesches Tor,u-bahn,A I,19641145_west,"52.49777778,13.39111111",,52.49777778,13.39111111,100,Hallesches Tor,19651305_west,['A I'],
Gleisdreieck,u-bahn,A I,19641146_west,"52.49952,13.37409",Q678372,,,,,,,1964382.0
Kurfürstenstr.,u-bahn,A I,19641147_west,"52.5,13.36194444",,52.5,13.36194444,100,Kurfürstenstr.,19651307_west,['A I'],
Nollendorfplatz,u-bahn,A I,19641148_west,"52.499166666667,13.353888888889",Q571039,,,,,,,1964840.0
Wittenbergplatz,u-bahn,A I,19641149_west,"52.50194444,13.34305556",,52.50194444,13.34305556,100,Wittenbergplatz,19651309_west,['A I'],
Zoologischer Garten,u-bahn,A I,19641150_west,"52.5058669,13.3330236",,52.5058669,13.3330236,100,Zoologischer Garten,19651310_west,['A I'],
Ernst-Reuter-Platz,u-bahn,A I,19641151_west,"52.51194444,13.32222222",,52.51194444,13.32222222,100,Ernst-Reuter-Platz,19651311_west,['A I'],
Sophie-Charlotte-Platz,u-bahn,A I,19641153_west,"52.51083333,13.29666667",,52.51083333,13.29666667,100,Sophie-Charlotte-Platz,19651313_west,['A I'],
Kaiserdamm (messedamm),u-bahn,A I,19641154_west,"52.51,13.2822",,52.51,13.2822,100,Kaiserdamm (Messedamm),19651314_west,['A I'],
Theodor-Heuss-Platz,u-bahn,A I,19641155_west,"52.50972222,13.27305556",,52.50972222,13.27305556,100,Theodor-Heuss-Platz,19651315_west,['A I'],
Ruhleben,u-bahn,A I,19641156_west,"52.52555556,13.24138889",,52.52555556,13.24138889,100,Ruhleben,19651316_west,['A I'],
Schlesisches Tor,u-bahn,A II,19641157_west,"52.50083333,13.44166667",,52.50083333,13.44166667,100,Schlesisches Tor,19651317_west,['A II'],
Görlitzer Bahnhof (oranienstr.),u-bahn,A II,19641158_west,"52.4992,13.428",,52.4992,13.428,100,Görlitzer Bahnhof (Oranienstr.),19651318_west,['A II'],
Kottbusser Tor,u-bahn,A II,19641159_west,"52.499166666667,13.418055555556",Q819768,,,,,,,1964633.0
Prinzenstr.,u-bahn,A II,19641160_west,"52.49833333,13.40611111",,52.49833333,13.40611111,100,Prinzenstr.,19651320_west,['A II'],
Hallesches Tor,u-bahn,A II,19641161_west,"52.497777777778,13.391111111111",Q658302,,,,,,,1964447.0
Möckernbrücke,u-bahn,A II,19641162_west,"52.49916667,13.38277778",,52.49916667,13.38277778,100,Möckernbrücke,19651322_west,['A II'],
Gleisdreieck,u-bahn,A II,19641163_west,"52.49952,13.37409",,52.49952,13.37409,100,Gleisdreieck,19651323_west,['A II'],
Kurfürstenstr.,u-bahn,A II,19641164_west,"52.5,13.361944444444",Q690203,,,,,,,1964661.0
Nollendorfplatz,u-bahn,A II,19641165_west,"52.49916667,13.35388889",,52.49916667,13.35388889,100,Nollendorfplatz,19651325_west,['A II'],
Wittenbergplatz,u-bahn,A II,19641166_west,"52.501944444444,13.343055555556",Q692727,,,,,,,19641421.0
Augsburger Str.,u-bahn,A II,19641167_west,"52.500556,13.336389",,52.500556,13.336389,100,Augsburger Str.,19651327_west,['A II'],
Spichernstr.,u-bahn,A II,19641168_west,"52.496388888889,13.330555555556",Q667046,,,,,,,19641178.0
Hohenzollernplatz,u-bahn,A II,19641169_west,"52.49388889,13.325",,52.49388889,13.325,100,Hohenzollernplatz,19651329_west,['A II'],
Fehrbellinerplatz,u-bahn,A II,19641170_west,"52.49027778,13.31444444",,52.49027778,13.31444444,100,Fehrbellinerplatz,19651330_west,['A II'],
Heidelbergerplatz,u-bahn,A II,19641171_west,"52.47980833,13.31323611",,52.47980833,13.31323611,100,Heidelbergerplatz,19651331_west,['A II'],
Rüdesheimerplatz,u-bahn,A II,19641172_west,"52.47333333,13.31444444",,52.47333333,13.31444444,100,Rüdesheimerplatz,19651332_west,['A II'],
