stop_name,type,line_name,stop_id,location,identifier
Lindenstrasse/Hegelschule,tram,82,1965227_east,"52.4505094,13.572684",Q66095701
Pionierpark,tram,82,1965228_east,"52.45798013233545, 13.541980829050775",
Wilhelminenhofstrasse Ecke Edisonstrasse,tram,82,1965229_east,"52.4619496,13.5139049",Q65951882
Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,tram,82,1965230_east,"52.4789566,13.5234316",Q65951921
Kraftwerk Klingenberg,tram,82,1965231_east,"52.4881374,13.4958685",Q66079524
S-Bhf. Ostkreuz,tram,82,1965232_east,"52.50243021718411, 13.469020052690205",
Stralauer Allee Ecke Markgrafendamm,tram,82,1965233_east,"52.49740745019046, 13.46463650693144",
Warschauer Strasse,tram,82,1965234_east,"52.50502,13.44863",Q63490275
Ostbahnhof,tram,82,1965235_east,"52.509107635417394, 13.43550619008533",
S-Bhf. Jannowitzbrücke,tram,82,1965236_east,"52.51478599600389, 13.418056238742702",
"Alexanderplatz, Memhardstrasse",tram,82,1965237_east,"52.5233439,13.4110773",Q65227406
Brunnenstrasse Ecke Invalidenstrasse,tram,82,1965238_east,"52.5324542,13.3974236","Q65691740, Q65691740"
Chausseestrasse Ecke Invalidenstrasse,tram,82,1965239_east,,
Walter-Ulbricht-Stadion,tram,82,1965240_east,"52.536515137173154, 13.377775719050113",
Wendenschloß,tram,83,1965241_east,"52.4169658,13.5885926",Q66363928
VEB Schiffswerft,tram,83,1965242_east,"52.42547977761138, 13.586220039541647",
RFT-Werk,tram,83,1965243_east,"52.436333488813574, 13.582428612664765",
Betriebsstelle Köpenick,tram,83,1965244_east,,
Lindenstrasse Ecke Bahnhofstrasse,tram,83,1965245_east,"52.4505094,13.572684",Q66095701
S-Bhf. Köpenick,tram,83,1965246_east,"52.4582153,13.5790435",Q66370784
Mahlsdorf-Süd,tram,83,1965247_east,"52.4741663,13.5991443",Q66368466
Bürgerwäldchen,tram,83,1965248_east,"52.48924332057368, 13.606368760127548",Q66364551
Rahnsdorfer Strasse,tram,83,1965249_east,"52.4985173,13.613101",Q66364532
S-Bhf. Mahlsdorf,tram,83,1965250_east,"52.51221826761895, 13.612190748726157",
Am Falkenberg,tram,84,1965251_east,"52.41079970042163, 13.570452931545786",
"Altglienicke, Kirche",tram,84,1965252_east,"52.421845729296805, 13.539407702079252",
S-Bhf. Adlershof,tram,84,1965253_east,"52.435251,13.5408489",Q66363728
S-Bhf. Spindlersfeld,tram,84,1965254_east,"52.4457311,13.5624298",Q66363397
Luisenhain,tram,84,1965255_east,"52.4449613295304, 13.574123688947562",
Bahnhofstrasse Ecke Lindenstrasse,tram,84,1965256_east,"52.4505094,13.572684",Q66095701
Seelenbinderstrasse Ecke Bahnhofstrasse,tram,84,1965257_east,"52.4554632,13.5769303",Q66324934
Hirschgarten,tram,84,1965258_east,"52.4518533,13.6006245",Q66360740
S-Bhf. Friedrichshagen,tram,84,1965259_east,"52.4564126,13.6253656",Q66360784
"Bölschestrasse, Brauerei",tram,84,1965260_east,"52.44699265840037, 13.624251999339991",
"Friedrichshagen, Wasserwerk",tram,84,1965261_east,"52.4560563,13.6419956",Q66362601
Wendenschloß,tram,85,1965262_east,"52.4169658,13.5885926",Q66363928
VEB Schiffswerft,tram,85,1965263_east,"52.42547977761138, 13.586220039541647",
RFT-Werk,tram,85,1965264_east,"52.436333488813574, 13.582428612664765",
Betriebsstelle Köpenick,tram,85,1965265_east,,
Lindenstrasse/Hegelschule,tram,85,1965266_east,"52.4505094,13.572684",Q66095701
Parkstrasse,tram,85,1965267_east,"52.45876522318908, 13.53993545855609",
Edisonstrasse,tram,85,1965268_east,"52.4619496,13.5139049",Q65951882
