,stop_name,line_count,type,in_lines
1277,Marx-Engels-Platz,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1278,Alexanderplatz,7,strassenbahn,['1']
1279,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
1280,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1281,Jannowitzbrücke,4,u-bahn,['D']
1282,Jannowitzbrücke,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1283,Ostbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1284,Warschauer Str.,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1285,Ostkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1286,Neu-Lichtenberg,1,s-bahn,['KBS 101']
1287,Lichtenberg,1,s-bahn,['KBS 101']
1288,Friedrichsfelde Ost,1,s-bahn,['KBS 101']
1289,Biesdorf,1,s-bahn,['KBS 101']
1290,Kaulsdorf,1,s-bahn,['KBS 101']
1291,Mahlsdorf,1,s-bahn,['KBS 101']
1292,Hoppegarten (Mark),1,s-bahn,['KBS 101']
1293,Neuenhagen (b Bln),1,s-bahn,['KBS 101']
1294,Fredersdorf (b Bln),1,s-bahn,['KBS 101']
1295,Giebelsee,1,s-bahn,['KBS 101']
1296,Strausberg,1,s-bahn,['KBS 101']
1297,Potsdam,1,s-bahn,['KBS 102']
1298,Babelsberg,1,s-bahn,['KBS 102']
1299,Griebnitzsee,1,s-bahn,['KBS 102']
1300,Wannsee,3,s-bahn,"['KBS 104', 'KBS 102']"
1301,Wannsee,3,Fähre,['Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt)']
1302,Nikolassee,2,s-bahn,"['KBS 104', 'KBS 102']"
1303,Grunewald,1,s-bahn,['KBS 102']
1304,Westkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1305,Charlottenburg,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1306,Savignyplatz,4,strassenbahn,['75']
1307,Savignyplatz,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1308,Zoologischer Garten,4,u-bahn,['A I']
1309,Zoologischer Garten,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1310,Tiergarten,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1311,Bellevue,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1312,Lehrter Stadtbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1313,Friedrichstr.,7,s-bahn,"['KBS 105', 'KBS 105b', 'KBS 106', 'KBS 101', 'KBS 104', 'KBS 103', 'KBS 102']"
1314,Marx-Engels-Platz,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1315,Alexanderplatz,7,strassenbahn,['1']
1316,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
1317,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1318,Jannowitzbrücke,4,u-bahn,['D']
1319,Jannowitzbrücke,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1320,Ostbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1321,Warschauer Str.,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1322,Ostkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1323,Rummelsburg,1,s-bahn,['KBS 102']
1324,Betriebsbahnhof Rummelsburg,1,s-bahn,['KBS 102']
1325,Karlshorst,1,s-bahn,['KBS 102']
1326,Wuhlheide,1,s-bahn,['KBS 102']
1327,Köpenick,1,s-bahn,['KBS 102']
1328,Hirschgarten,3,strassenbahn,"['84', '87']"
1329,Hirschgarten,3,s-bahn,['KBS 102']
1330,Friedrichshagen,1,s-bahn,['KBS 102']
1331,Rahnsdorf,1,s-bahn,['KBS 102']
1332,Wilhelmshagen,1,s-bahn,['KBS 102']
1333,Erkner,1,s-bahn,['KBS 102']
1334,Falkensee,1,s-bahn,['KBS 103']
1335,Albrechtshof,1,s-bahn,['KBS 103']
1336,Spandau West,2,s-bahn,"['KBS 101', 'KBS 103']"
1337,Spandau,2,s-bahn,"['KBS 101', 'KBS 103']"
1338,Pichelsberg,2,s-bahn,"['KBS 101', 'KBS 103']"
1339,Reichssportfeld,2,s-bahn,"['KBS 101', 'KBS 103']"
1340,Heerstr.,2,s-bahn,"['KBS 101', 'KBS 103']"
1341,Eichkamp,2,s-bahn,"['KBS 101', 'KBS 103']"
1342,Westkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1343,Charlottenburg,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1344,Savignyplatz,4,strassenbahn,['75']
1345,Savignyplatz,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1346,Zoologischer Garten,4,u-bahn,['A I']
1347,Zoologischer Garten,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1348,Tiergarten,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1349,Bellevue,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1350,Lehrter Stadtbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1351,Friedrichstr.,7,s-bahn,"['KBS 105', 'KBS 105b', 'KBS 106', 'KBS 101', 'KBS 104', 'KBS 103', 'KBS 102']"
1352,Marx-Engels-Platz,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1353,Alexanderplatz,7,strassenbahn,['1']
1354,Alexanderplatz,7,u-bahn,"['A I', 'D', 'E']"
1355,Alexanderplatz,7,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1356,Jannowitzbrücke,4,u-bahn,['D']
1357,Jannowitzbrücke,4,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1358,Ostbahnhof,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1359,Warschauer Str.,3,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']"
1360,Ostkreuz,4,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']"
1361,Treptower Park,2,s-bahn,"['KBS 103', 'KBS 100']"
1362,Baumschulenweg,2,s-bahn,"['KBS 100a', 'KBS 103']"
1363,Schöneweide,3,s-bahn,"['KBS 100a', 'KBS 100d', 'KBS 103']"
1364,Betriebsbahnhof Schöneweide,2,s-bahn,"['KBS 100a', 'KBS 103']"
1365,Adlershof,2,s-bahn,"['KBS 100a', 'KBS 103']"
1366,Grünau,2,s-bahn,"['KBS 100a', 'KBS 103']"
1367,Eichwalde (Kreis Teltow),1,s-bahn,['KBS 103']
1368,Zeuthen,1,s-bahn,['KBS 103']
1369,Wildau,1,s-bahn,['KBS 103']
1370,Königs Wusterhausen,1,s-bahn,['KBS 103']
1371,Oranienburg,1,s-bahn,['KBS 104']
1372,Lehnitz,1,s-bahn,['KBS 104']
1373,Borgsdorf,1,s-bahn,['KBS 104']
1374,Birkenwerder,1,s-bahn,['KBS 104']
1375,Hohen-Neuendorf (b Bln),1,s-bahn,['KBS 104']
1376,Frohnau,1,s-bahn,['KBS 104']
1377,Hermsdorf,1,s-bahn,['KBS 104']
1378,Waidmannslust,1,s-bahn,['KBS 104']
1379,Wittenau (Nordbahn),1,s-bahn,['KBS 104']
1380,Wilhelmsruh,1,s-bahn,['KBS 104']
1381,Schönholz,2,s-bahn,"['KBS 105', 'KBS 104']"
1382,Wollankstr.,2,s-bahn,"['KBS 105', 'KBS 104']"
1383,Bornholmer Str.,3,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106']"
1384,Gesundbrunnen,6,u-bahn,['D']
1385,Gesundbrunnen,6,s-bahn,"['KBS 105', 'KBS 104', 'KBS 106', 'KBS 100']"
