line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
29,strassenbahn,Ost,"Weißensee, Kniprodeallee - Klement-Gottwald-Allee - Lichtenbergerstrasse - Omnibus-Betriebshof - Hohenschönhauserstrasse - Leninallee - Herzbergstrasse - U-Bhf. und S-Bhf. Frankfurter Allee - Müggelstrassestrasse",0,22,,1980,Keine Verbindung zwischen 7.17 und 14.16
3,bus,West,"Düppel-Süd - Machnowerstrasse - Rathaus Zehlendorf - Potsdamer-/Berlinerstrasse - Clayallee - Winfriedstrasse - Schützallee - U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamer Chaussee/Tierklinik FU - Spanische Allee - Rehwiese - Wannseebadweg - Königstrasse - Am Großen Wannsee - Jugenderholungsheim - Wannsee, Heckeshorn",15,46,,1980,
3,strassenbahn,Ost,Björnsonstrasse - Schönhauser Allee - Prenzlauer Allee - Antonplatz - Lichtenbergerstrasse - Omnibus-Betriebshof - Hohenschönhauserstrasse - Leninallee - Herzbergstrasse - Bhf. Frankfurter Allee - Boxhagenerstrasse - S-Bhf. Warschauerstrasse,10,43,,1980,
30,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz -  U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Berg - Dimitroffstrasse -  Artur-Becker-Strasse - Leninallee - Mühsamstrasse -  Samariterstrasse - Jacques-Duclos-Strasse - Herzbergstrasse - Siegfriedstrasse - Omnibus Betriebshof - U-Bhf. Magdalenenstrasse - Bhf. Lichtenberg - Weitlingstrasse - Lückstrasse - S-Bhf. Rummelsburg - Holteistrasse - Warschauerstrasse - Franz-Mehring-Platz - Ostbahnhof,15,67,,1980,
30,bus,West,"U-Bhf. Rathaus Steglitz - Albrechtstrasse - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad, Rathaus - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse/Hospital - Belßstrasse - Eiswald-/Emmerichstrasse, Hochschule - Preysingstrasse - Marienfelder Allee - Hildburghauserstrasse - Motzenerstrasse - Nunsdorfer Ring/Süd - Schichauweg - Illigstrasse - Steinstrasse - Lichtenrader Damm - Alt-Lichtenrade - Lichtenrade Nahariyastrasse",20,37,,1980,
31,bus,Ost,"Buch, Hobrechtsfelder Chaussee - S-Bhf. Buch - Karowerstrasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg  - Heinersdorf, Kirche - Am Steinberg - Ostseestrasse",20,39,,1980,
31,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauenerstrasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Brunsbütteler Damm - Spandauerstrasse - Eichholzbahn - Hackbuschstrasse - Staaken Heidebergplan",10,28,,1980,
32,bus,Ost,Hans-Beimler-Strasse - Am Friedrichshain - Leninplatz - Karl Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbrücke - Spittelmarkt - Jerusalemerstrasse - Friedrichstrasse - Otto-Grotewohl-Strasse,6,22,,1980,
32,bus,West,"U-Bhf. Rathaus Steglitz - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Calandrellistrasse (Stadtbad)  - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Belßstrasse - Eiswaldstrasse - Preysingstrasse - Marchandstrasse - Friedrichsrodaerstrasse - Kloster ""Zum guten Hirten"" - Marienfelder Allee - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Marienfelde Bahnstrasse",10,28,,1980,
33,bus,Ost,"Grumbkowstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,17,,1980,
