,line_name,Stops,Frequency,Length (time),type,east-west,year
90,A60,"Roseneck, Hundekehl - Warnemünder/Berkaer Strasse - Zappoter/Oeynhauser Strasse - Hamburger Strasse, Rudolf-Mosse-Platz - U-Bhf. Heidelberger Platz - Brabanter Platz - Am Volkspark - Berliner Strasse Ecke Brandenburgischestrasse - Postamt - Güntzelstrasse - Ludwigkirchstrasse/Pariser Strasse - Kurfürstendamm Ecke Uhlandstrasse - Kurfürstendamm Ecke Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz",10.0,26.0,bus,West,1964
91,A61,"Zobeltitzstrasse - U-Bhf. Scharnweberstrasse, Sportplatz - Schillingstrasse - U-Bhf. Kurt-Schumacher-Platz - Humboldtstrasse - Sebastianfriedhof - Teichstrasse - Aroser Allee - Pankower Allee Ecke Residenzstrasse - Osloer Strasse Ecke Schwedenstrasse - Exerzierstrasse Ecke Badstrasse - Pankstrasse Ecke Badstrasse - Bhf. Gesundbrunnen - Usedomer Strasse Ecke Brunnenstrasse - Bernauer Strasse Ecke Brunnenstrasse - Gartenplatz, Feldstrasse",10.0,32.0,bus,West,1964
92,A62,Wittenau - Alt-Wittenau - Bonhoeffer-Heim - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Saatwinkler Damm - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Richard-Wagner-Platz - Leibnizstrasse Ecke Otto-Suhr-Allee - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Marburger Strasse - Wittenbergplatz,15.0,38.0,bus,West,1964
93,A63,Radelandstrasse  Ecke Niederheideweg - Bötzowbahn - Kisselnallee Ecke Pionierstrasse - Zweibrücker Strasse - Askanierring Ecke Falkenseer Chaussee - Bezirksamt - Rathaus Spandau - Bhf. Spandau-West - Staakener Strasse - Hochgerichtstrasse Ecke Seegefelder Strasse - Viersener Strasse - Dyotzer Strasse - Leuthingerweg - Strasse 393 - Seegefelder Weg,20.0,31.0,bus,West,1964
94,A64,Bernauer Strasse Ecke Wolliner Strasse - Demminer Strasse Ecke Brunnenstrasse - Ramlerstrasse Ecke Brunnenstrasse - U-Bhf. Gesundbrunnen - Prinzenallee Ecke Exerzierstrasse - Schwedenstrasse Ecke Exerzierstrasse - Schulstrasse Ecke Exerzierstrasse - Reinickendorfer Strasse Ecke Schulstrasse - Leopoldplatz - Antwerpener Strasse Ecke Luxemburgerstrasse - Virchow Krankenhaus - Seestrasse - Otawistrasse - Müllerstrasse Ecke Londoner Strasse - Höllenderstrasse Ecke Septimer Strasse,7.5,26.0,bus,West,1964
95,A65,Goebelplatz - Kurt-Schumacher-Damm - Jakob-Kaiser-Platz - Spandauer Damm Ecke Stadtautobahn - Messedamm - Rathenauplatz - Hohenzollerndamm Ecke Stadtautobahn - Bundesplatz - Innsbrucker Platz - Ebersstrasse Ecke Dominicusstrasse - Tempelhofer Damm Ecke Alt-Tempelhof - Oberlandstrasse Ecke Germaniastrasse - Hermannstrasse Ecke Silbersteinstrasse - Karl-Marx-Strasse Ecke Saalestrasse - Schulenburgpark,10.0,56.0,bus,West,1964
96,A66,"Doppel-Süd, Berlepschstrasse - Elsheimer Strasse Ecke Berlepschstrasse - Andreezeile - Machnower Strasse Ecke Berlepschstrasse - Rathaus Zehlendorf - Clayallee Ecke Berliner Strasse - Schützallee Ecke Onkel-Tom-Strasse - U-Bhf. Onkel-Toms-Hütte",20.0,18.0,bus,West,1964
97,A67,"Jerusalems-Kirche, Lindenstrasse - Moritzplatz - Oranienplatz - U-Bhf. Kottbusser Tor - Kottbusser Brücke - Hohenstaufenplatz - Hermannplatz - Reuterstrasse - Fuldastrasse - Erkstrasse - Hertzbergplatz - Bhf. Sonnenallee - Dammweg - Neuköllnische Allee - Am Oberhafen - U-Bhf. Grenzallee - Onkel-Herse-Strasse Ecke Buschkrug Allee - Parchimer Allee Ecke Buschkrug Allee - Otto-Wels-Ring",5.0,36.0,bus,West,1964
98,A68,Clayallee Ecke Königin-Luise-Strasse - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Arnimallee - Botanischer Garten - Lepsiusstrasse - Rathaus Steglitz - Breite Strasse Ecke Albrechtstrasse - Bismarckstrasse Ecke Bergstrasse - Munsterdamm Ecke Bergstrasse - Alboinstrasse Ecke Prellerweg - Attilaplatz - Tempehofer Damm Ecke Friedrich-Karl-Strasse - Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - Bhf. Tempelhof,15.0,36.0,bus,West,1964
99,A69,Eichkamp - Trabener Strasse - Henriettenplatz - Joachim-Friedrich-Strasse Ecke Kurfürsten Damm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Leibnizstrasse Ecke Kurfürstendamm - Bleibtreustrasse Ecke Kurfürstendamm - Uhlandstrasse Ecke Kurfürstendamm - Joachimstaler Strasse Ecke Kurfürstendamm - Nürnberger Strasse Ecke Kurfürstenstrasse - An der Urania  - Lützowplatz - Tiergartenstrasse - Großer Stern - Kongreßhalle - Moltkebrücke,20.0,32.0,bus,West,1964
