,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
1339,Schweizerhaus,bus,{'34'},"52.46116412714743, 13.134423222918468",nan,['34'],
1340,Schäferberg (Golfplatz),bus,{'6'},,,,
1341,Schäferstrasse,bus,"{'97', '56', '55'}","52.55177095081314, 13.209472608896423",nan,"['55', '97', '56']",
1342,Schöneberg Mansteinstrasse,bus,{'50'},"52.493366366199716, 13.367079581476846",nan,['50'],
1343,Schönefeld,s-bahn,"{'115', '140'}",,,,
1344,"Schönefeld, Dorfstrasse",bus,{'36'},,,,
1345,Schönefelder Chaussee,bus,{'23'},"52.409778884134546, 13.526974904149686",nan,['23'],
1346,"Schöneiche, Dorfaue",bus,{'61'},"52.47886105131975, 13.70053232372426",nan,['61'],
1347,Schöneweide,s-bahn,"{'141', '140', '142', '143', '115', '110'}",,,,
1348,Schönfließ,s-bahn,{'140'},,,,
1349,Schönfließer Strasse,strassenbahn,{'3'},,,,
1350,Schönhauser Allee,s-bahn,"{'141', '140', '143', '142'}",,,,
1351,Schönhauser Allee,strassenbahn,{'3'},"52.549362, 13.413573+52.553771, 13.41389",Q65076842+Q65088013,"['46', '3']+ ['46', '3']",
1352,Schönhauser Allee,u-bahn,{'A'},"52.549328888889,13.413706111111",Q47014936,['A'],
1353,Schönholz,s-bahn,"{'152', '153'}",,,,
1354,Schönleinstrasse,bus,{'95'},"52.49003634551687, 13.419686895363094",nan,['95'],
1355,Schützallee,bus,"{'18', '3'}","52.4422164542798, 13.265465277148525",nan,"['18', '3']",
1356,Sedanstrasse,bus,{'86'},"52.45143021733514, 13.335289250392284",nan,['86'],
1357,Seeburger Strasse,bus,"{'13', '34'}",,,,
1358,Seeburger Weg,bus,{'92'},,,,
1359,Seehofstrasse,bus,{'48'},"52.43283190806482, 13.264994537854385",nan,['48'],
1360,Seekorso,bus,{'34'},"52.46787180468717, 13.126497616325192",nan,['34'],
1361,Seelenbinderstrasse,bus,{'27'},,,,
1362,Seelenbinderstrasse,strassenbahn,"{'82', '25'}","52.4554632,13.5769303",Q66324934,['25'],
1363,Seestrasse,bus,"{'23', '64'}",,,,
1364,Seestrasse,u-bahn,{'6'},"52.55056,13.35194",Q554391,['6'],
1365,Seestrasse/Friedhöfe,bus,{'89'},"52.54365902910142, 13.33904904591887",nan,['89'],
1366,Seidelbastweg,bus,{'52'},"52.43168778336494, 13.495277868475402",nan,['52'],
1367,Seidelbastweg/Stubenrauchstr,bus,{'57'},,,,
1368,Seidelbastweg/Stubenrauchstrasse,bus,{'57'},"52.431701489153845, 13.495287084749902",nan,['57'],
1369,Seidelstrasse,u-bahn,{'6'},"52.571111111111,13.302777777778",Q557582,['6'],
1370,Selerweg,bus,{'2'},"52.45453465621795, 13.338862038845688",nan,['2'],
1371,Senefelderplatz,u-bahn,{'A'},"52.53242,13.412743",Q32661454,['A'],
1372,Senftenberger Ring Märkisches Zentrum,bus,{'64'},"52.59979022467802, 13.35569734166884",nan,['64'],
1373,Senftenberger Ring-Ost,bus,{'22'},"52.604729158368016, 13.36171654974895",nan,['22'],
1374,Senioren-Zentrum,bus,{'22'},"52.60513404639763, 13.35577014027072",nan,['22'],
1375,Seydlitzstrasse,bus,"{'96', '90'}",,,,
1376,Sickingen-/Siemensstrasse,bus,{'23'},"52.53294810668865, 13.32873707693025",nan,['23'],
1377,Sickingenstrasse,bus,{'89'},"52.53300351856751, 13.328433177106923",nan,['89'],
1378,Siedlung,strassenbahn,{'22'},,,,
1379,Siedlung Haselhorst,bus,{'55'},"52.54190384370071, 13.235930867444068",nan,['55'],
1380,Siegfriedstrasse,bus,"{'91', '30', '93'}",,,,
1381,Siegfriedstrasse,strassenbahn,"{'18', '17', '19'}","52.52637,13.499036",Q65684891,"['19', '18', '17']",
