stop_id,stop_name,type,location,in_lines,identifier,stop_description
1946229,Hermsdorf,s-bahn,"52.6178,13.3069",['KBS 104'],Q263189,
1946230,Herzbergstrasse,strassenbahn,"52.52637,13.499036",['69'],Q65684891,
1946231,Hindenburgdamm,strassenbahn,"52.44956203989038, 13.315244235516836","['74', '77']",,
1946232,Hindenburgplatz,strassenbahn,"52.516248900919734, 13.376820910193624","['21', '1']",,
1946233,Hohen-Neuendorf,s-bahn,"52.6684,13.287",['KBS 104'],Q4500489,
1946234,"Hohenschönhausen, Degener Strasse",strassenbahn,"52.54490141528032, 13.494008455722605",['64'],,
1946235,Hohenschönhauser Strasse,strassenbahn,"52.5359329,13.4729468",['64'],Q65553684,
1946236,Hohenschöpping,s-bahn,"52.67,13.1945",['KBS 105'],Q19274489,
1946237,Hohenzollerndamm,s-bahn,"52.4885,13.3004",['KBS 100'],Q800503,
1946238,Hohenzollerndamm,strassenbahn,"52.48810038121649, 13.300864203881337",['62'],,
1946239,Hohenzollernplatz,u-bahn,"52.493888888889,13.325",['A2'],Q571570,
1946240,Holzmarkstrasse,bus,"52.51470310432635, 13.420502137148215",['1'],,
1946241,Hubertusallee,strassenbahn,"52.49393097226469, 13.285088023116971",['76'],,
1946242,Hultschiner Damm Ecke Alt-Mahlsdorf,strassenbahn,"52.504869219031704, 13.61340287328306",['83'],,
1946243,Humboldthain,s-bahn,"52.5451,13.3796","['KBS 104', 'KBS 105', 'KBS 103']",Q481276,
1946244,Humboldtstrasse,strassenbahn,"52.57114181127418, 13.33691826709435",['41'],,
1946245,Humboldtstrasse Ecke Berliner Strasse,strassenbahn,"52.56934226500555, 13.329932575290279",['41'],,
1946246,Händelplatz,strassenbahn,"52.450279094879285, 13.315466784727654",['77'],,
1946247,Hönow,bus,"52.54667360464534, 13.637391352821227",['H'],,
1946248,Hönower Strasse,bus,"52.53004028967899, 13.626841841614464",['H'],,
1946249,Innsbrucker Platz,s-bahn,"52.4786,13.3439",['KBS 100'],Q111263876,
1946250,Innsbrucker Platz,strassenbahn,"52.47851767561872, 13.344017066649423",['74'],,
1946251,Innsbrucker Platz,u-bahn,"52.4786,13.3439",['B1'],Q10275871,
1946252,Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",['1'],Q65691740,
1946253,Iranische Strasse Ecke Reinickendorfer Strasse,strassenbahn,"52.55505275926564, 13.365961269070542","['28', '128']",,
1946254,Jannowitzbrücke,s-bahn,"52.514822222222,13.41795","['KBS 101', 'KBS 100c']",Q27955427,
1946255,Jannowitzbrücke,strassenbahn,"52.515457420985356, 13.418089138640552",['82'],,
1946256,Jannowitzbrücke,u-bahn,"52.515656,13.418185",['D'],Q27955418,
1946257,Jerusalemer Strasse,bus,"52.50710477957293, 13.398277044768834",['1'],,
1946258,Joachimstaler Strasse,strassenbahn,"52.506165255073356, 13.332370644735395",['76'],,
1946259,Joachimstaler Strasse Ecke Kurfürstendamm,strassenbahn,"52.50381697461937, 13.33130084073772",['77'],,
1946260,Johannisthal,strassenbahn,"52.44125939829667, 13.500336959618494",['91'],,
1946261,Jostystrasse,strassenbahn,"52.5260897953295, 13.417583280684354",['60'],,
1946262,Jungfernheide,s-bahn,"52.53035,13.299433333333","['KBS 100b', 'KBS 100']",Q110977325,
1946263,Kaiserallee Ecke Berliner Strasse,strassenbahn,"52.487334054837376, 13.331062759957598",['77'],,
1946264,Kaiserallee Ecke Spichernstrasse,strassenbahn,"52.4959470039677, 13.330862745431165",['77'],,
1946265,Kaiserdamm,strassenbahn,"52.50999107107441, 13.281861072383021",['75'],,
1946266,Kaiserdamm,u-bahn,"52.51,13.2822",['A1'],Q656409,
1946267,Kaiserin-Augusta-Allee Ecke Tauroggener Strasse,strassenbahn,"52.52584246725217, 13.301966640315474",['3'],,
1946268,Kaiserin-Augusta-Allee Ecke Wiebestrasse,strassenbahn,"52.52580545289568, 13.317995895056958",['55'],,
1946269,Kantstrasse,strassenbahn,"52.5066581876951, 13.306688471208883","['75', '77', '62']",,
1946270,"Karlshorst, Treskowallee",strassenbahn,"52.47857308487424, 13.524470348260262",['69'],,
1946271,Karlshorster Chaussee,strassenbahn,"52.47736457956281, 13.523845173794296",['69'],,
1946272,Karow,s-bahn,"52.615,13.4692",['KBS 103'],Q111324168,
1946273,Kaulsdorf,s-bahn,"52.5121,13.5904",['KBS 101'],Q800478,
1946274,"Kaulsdorf-Süd, Zimmermannstrasse",bus,"52.48662646660428, 13.560368748996797",['D'],,
1946275,Kirschallee,strassenbahn,"52.60258075932391, 13.238750616951076",['128'],,
1946276,Kladow,Fähre,"52.45151498638808, 13.147961938847912",['Wannsee-Pichelsberg'],,
1946277,Klosterstrasse,u-bahn,"52.516111111111, 13.412222222222",['A'],Q657893,
1946278,Klosterstrasse Ecke Seeburgerstrasse,strassenbahn,"52.52912529066992, 13.195598561644342",['75'],,
1946279,Knesebeckstrasse,strassenbahn,"52.4668944843566, 13.435710471027722",['6'],,
1946280,Knie,u-bahn,"52.511944444444,13.322222222222",['A1'],Q658361,
1946281,Kochstrasse,u-bahn,"52.505897222222,13.390611111111",['C'],Q201849,
1946282,Kopenhagener Strasse,strassenbahn,"52.57425957923555, 13.359163922630154",['141'],,
1946283,Kottbusser Tor,u-bahn,"52.499166666667,13.418055555556","['B', 'D']",Q819768,
1946284,Kraftwerk Klingenberg,strassenbahn,"52.4881374,13.4958685",['13'],Q66079524,
1946285,Kranoldplatz,strassenbahn,"52.42782085368502, 13.326575786308617",['96'],,
1946286,Krumme Lanke,u-bahn,"52.443333333333,13.241388888889",['A2'],Q663945,
1946287,Kurfürstendamm,strassenbahn,"52.500053170346966, 13.306918433906269",['76'],,
1946288,Kurfürstendamm Ecke Wilmersdorfer Strasse,strassenbahn,"52.49999422161237, 13.30705312471225",['76'],,
1946289,Kurfürstenstrasse,u-bahn,"52.5,13.361944",['A'],Q690203,
