,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
138,139,Bhf. Marienfelde,bus,"A77,A32","52.42342246533686, 13.374664175181172",nan,145,"A32,A77",Bhf. Marienfelde
139,140,Bhf. Schönefeld,bus,AZ,,,,,
140,141,Bhf. Schöneweide,bus,"A26,A47,A48","52.45374952013775, 13.510200397684477",nan,155,"A47,Flughafen Schönefeld <> Strausberger Platz,A26","Bhf. Schöneweide, Sterndamm"
141,142,Bhf. Schöneweide,strassenbahn,"85,69E,92,87,69,95","52.45640818289644, 13.509916574756422",nan,156,"95,69,92",Bhf. Schöneweide
142,143,Bhf. Sonnenallee,bus,A67,"52.473861610807525, 13.455874121666916",nan,159,"A65,A67",Bhf. Sonnenallee
143,144,Bhf. Spandau-West,bus,A63,"52.53497194201396, 13.198460334945361",nan,162,"A63,A5",Bhf. Spandau-West
144,145,Bhf. Tempelhof,bus,A68,"52.47084694496318, 13.385638120230526",nan,168,A68,Bhf. Tempelhof
145,146,Bhf. Wannsee,bus,"AS4,A3,A51,A6","52.42151302311533, 13.17810256503659",nan,170,"A3,A51,A6",Bhf. Wannsee
146,147,Bhf. Wilhelmsruh,bus,A71,"52.58102921945559, 13.363635067647111",nan,173,A71,Bhf. Wilhelmsruh
147,148,Bhf. Wollankstrasse,bus,A70,"52.56453849178735, 13.393420272477442",nan,175,A70,Bhf. Wollankstrasse
148,149,Bhf. Zoo,bus,"A2,A62,AS2s,A25,AS3s,AS4,A73,AS1s","52.506232782829265, 13.332362081097921",nan,178,"A73,AS2,AS3,A25,A62,AS1,A2",Bhf. Zoo
149,150,Bhf. Zoo,strassenbahn,55,"52.50719345524868, 13.332629878993917",nan,179,"2,55,77,78",Bhf. Zoo
150,151,"Bhf. Zoo, Hardenbergplatz",bus,"A85,A81,A90",,,,,
151,152,"Bhf. Zoo, Kantstrasse",strassenbahn,"75,76","52.50540350310839, 13.330367559360592",nan,180,"75,76","Bhf. Zoo, Kantstrasse"
152,153,Biesdorf,s-bahn,KBS 101,"52.5131,13.5554",Q4892357,181,KBS 101,Berlin-Biesdorf station
153,154,Birkbuschstrasse Ecke Siemensstrasse,bus,A86,,,,,
154,155,Birkenstrasse,u-bahn,G,,,,,
155,156,Birkenwerder,s-bahn,KBS 104,"52.6885,13.2888",Q2343634,182,KBS 104,Birkenwerder station
156,157,Bismarckplatz,bus,A29,"52.492064537089135, 13.28493897027407",nan,183,A29,Bismarckplatz
157,158,Bismarckstrasse Ecke Bergstrasse,bus,"A75,A68",,,,,
158,159,Bismarckstrasse Ecke Steglitzer Damm,bus,A33,,,,,
159,160,Björnsonstrasse,strassenbahn,3,"52.5544232,13.4030585",Q65920495,186,3,nan
160,161,Blankenburg,s-bahn,"KBS 104,KBS 106","52.5915,13.4435",Q800469,187,KBS 106,Berlin-Blankenburg station
161,162,"Blankenburg, Bahnhofstrasse",bus,A42,"52.591380472079955, 13.453512267562314",nan,188,A42,"Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse"
162,163,"Blankenfelde, Hauptstrasse",bus,"A7,A7E","52.63002534735451, 13.38262328371393",nan,191,A7,"Blankenfelde, Hauptstrasse"
163,164,Blaschkoallee,u-bahn,C I,,,,,
164,165,Blaschkoallee Ecke Britzer Damm,bus,A91,,,,,
165,166,Bleibtreustrasse Ecke Kurfürstendamm,bus,A69,"52.50160347596025, 13.319464110729676",nan,192,A69,nan
166,167,Blohmstrasse Ecke Wünsdorfer Strasse,bus,A76,"52.388693095651256, 13.394328971164002",nan,193,A76,nan
167,168,Blumenstrasse,Tram,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,,,,
168,169,Boddinstr.,u-bahn,D,"52.48,13.425277777778",Q819495,195,D,Boddinstraße
169,170,"Bohnsdorf, Kirche",bus,A36,"52.39948771402893, 13.555574431978044",nan,196,AD/36,"Bohnsdorf, Kirche"
170,171,"Bohnsdorf, Waldstrasse",bus,"AD,A38","52.389397192754984, 13.570666562153916",nan,197,A38,"Bohnsdorf, Waldstrasse"
171,172,Bonhoeffer-Heim,bus,A62,"52.57940412664757, 13.33327468081513",nan,198,A62,nan
172,173,"Bonsdorf, Waldstrasse",bus,A38,,,,,
173,174,Borgsdorf,s-bahn,KBS 104,"52.7155,13.2764",Q4093486,199,KBS 104,Borgsdorf station
174,175,Bornholmer Strasse,strassenbahn,49,,,,,
175,176,Borsigwalder Weg,bus,A15,"52.58482847787268, 13.29793542584195",nan,201,A15,Borsigwalder Weg Ecke Conradstrasse
176,177,Borsigwerke,u-bahn,C I,"52.5819,13.2907",Q525185,202,C I,Borsigwerke
177,178,Borussenstrasse Ecke Kronprizessinnen Weg,bus,A3,,,,,
178,179,Botanischer Garten,bus,"A1,A68","52.458598799471524, 13.303436055459807",nan,204,"A1,A68","Botanischer Garten, Ecke Königin-Luise-Strasse"
179,180,Botanischer Garten,s-bahn,KBS 100e,"52.44806,13.30722",Q800498,205,KBS 104,Berlin Botanischer Garten station
180,181,Boxhagenerstrasse Ecke Holteistrasse,bus,O30,"52.508613193309614, 13.466277189422302",nan,206,O30,nan
181,182,Brabanter Platz,bus,A60,"52.48200661448961, 13.316219175470072",nan,207,A60,Brabanter Platz
182,183,Brandenburgischestrasse Ecke Blissestrasse,bus,A89,,,,,
183,184,Breite Strasse,bus,"A5,A31,A68","52.53613613360638, 13.20450629947795 ; 52.45435057367761, 13.328307509759025",nan,209,"A5,A31 ; A68,A33",Breite Strasse Ecke Charlottenstrasse ; Breite Strasse Ecke Albrechtstrasse
184,185,Breitenbachplatz,bus,"A1,A16,A32","52.467219717443385, 13.309473490660878",nan,210,"A1,A32,A16",Breitenbachplatz
185,186,Breitenbachplatz,u-bahn,A II,"52.466388888889,13.308055555556",Q571339,211,"A II,B II",Breitenbachplatz metro station
186,187,Breitenbachstrasse Ecke Eichborndamm,bus,A15,,,,,
187,188,Breitscheidplatz,bus,"A19,A29,A60","52.504438063129996, 13.33564615707506",nan,212,"A19,A60,A29",Breitscheidplatz
188,189,Bristolstrasse,bus,A12,"52.558311542070335, 13.351189355013176",nan,214,A12,Bristolstrasse Ecke Barfusstrasse
189,190,Britz-Süd,u-bahn,C I,,,,,
190,191,Britzer Damm Ecke Gradestrasse,bus,A73,"52.45262467877224, 13.438590226068557",nan,215,A73,nan
191,192,Britzer Damm Ecke Tempelhofer Weg,bus,A25,,,,,
192,193,Brixplatz,bus,A4,"52.51907944117457, 13.25699370576959",nan,216,A4,Brixplatz
193,194,Brunnenplatz,bus,A99,,,,,
194,195,Brunnenstrasse,strassenbahn,"46,70","52.5324542,13.3974236",Q65691740,217,"46,70",Brunnenstraße/Invalidenstraße
195,196,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,11,"52.5324542,13.3974236",Q65691740,218,11,nan
196,197,Brunnenstrasse Ecke Lortzingstrasse,bus,A99,,,,,
197,198,Brunsbütteler Damm,bus,A31,,,,,
198,199,Buch,s-bahn,KBS 106,"52.6359,13.4917",Q4892359,220,KBS 106,Berlin-Buch station
199,200,"Buch, Kiesgruben",bus,A42,"52.641758052786535, 13.515964627443202",nan,221,A42,nan
200,201,"Buchholz, Hauptstrasse",strassenbahn,49,"52.619072064369824, 13.393383358408967",nan,222,49,"Buchholz, Hauptstrasse"
201,202,Buckower Ch.,s-bahn,KBS 100c,"52.4103,13.3829",Q800499,223,KBS 105,Buckower Chaussee station
202,203,Buckower Chaussee Ecke Lichtenrader Damm,bus,A76,"52.41457113222887, 13.401203951196644",nan,225,A76,nan
203,204,Buckower Chaussee Ecke Mariendorfer Damm,bus,AS2s,,,,,
204,205,Buckower Damm,bus,A52,"52.42368329841466, 13.436638725763267",nan,226,A52,Buckower Damm Ecke Alt-Buckow
205,206,Buckower Friedhof,bus,A52,"52.42151537347778, 13.43036950960343",nan,227,A52,Buckower Friedhof
206,207,Bundesallee,bus,"A4,A74,A17",,,,,
207,208,Bundesallee Ecke Berliner Strasse,bus,A89,,,,,
208,209,Bundesallee Ecke Berliner Strasse- Bundesplatz,bus,A85,,,,,
209,210,Bundesallee Ecke Rheinstrasse,bus,"A84,A48",,,,,
210,211,Bundesallee Ecke Tratenaustrasse,bus,A50,,,,,
211,212,Bundesplatz,bus,"A2,AS2s,A25,A16,A81,A86,A65","52.478678991134835, 13.32860278411238",nan,232,"AS2,A25,A65,A16,A2",Bundesplatz
212,213,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"A76,A77","52.4570129343595, 13.383915410725029",nan,234,"A77,A76",nan
213,214,Burgemeisterstrasse Ecke Tempelhofer Damm,bus,A78,,,,,
214,215,Buschallee Ecke Klement-Gottwald-Alle,bus,A46,"52.55387831866095, 13.467451226079117",nan,236,A46,nan
215,216,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,70,"52.5537598,13.4691966",Q65546661,237,70,Buschallee
216,217,Buschkrug,strassenbahn,47,"52.452470895695484, 13.450748195174354",nan,238,47,Buschkrug
