line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
94,"Oranienplatz, Dresdenerstrasse - Kottbusser Tor - U-Bhf. Kottbusser Damm - Hermannplatz - Erkstrasse Ecke Sonnenallee - Bhf. Sonnenallee - Dammweg Ecke Sonnenallee - Neukölln, Schulenburgpark",15,20,,strassenbahn,West,1956
95,Attilaplatz - Berlinickeplatz - Hoeppnerstrasse Ecke Boelckestrasse - Adolf-Scheidt-Platz - U-Bhf. Flughafen - Gneisenaustrasse/Yorckstrasse - Hallesches Tor - Zossenerstrasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Urban-Krankenhaus - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Bhf. Sonnenallee - Schulenburgpark - Sonnenallee Ecke Schwarzer Weg,15,42,,strassenbahn,West,1956
95,"Baumschulenweg, Sonnenallee - Köpenicker landstrasse - S-Bhf. Schöneweide - Wilhelminenhofstrasse Ecke Edisonstrasse - Pionierrepublik - Köpenick, Lindenstrasse Ecke Bahnhofstrasse - Grünstrasse - Köpenick, Krankenhaus",20,37,10.95,strassenbahn,Ost,1956
96,"U-Bhf. Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - Kaiserin-Augusta-Strasse Ecke Tempelhoferdamm - Attilaplatz - Bhf. Mariendorf - Lankwitz, Kirche - Bhf. Lichtefelde-Ost - Bismarckstrasse Ecke Wilhelmstrasse - Lindenstrasse Ecke Berlinerstrasse - Lichterfelde-Süd, Schwelmerstrasse",15,32,,strassenbahn,West,1956
96,"Machnower Schleuse - Zehlendorfer Damm - Neue Wagenhalle, Kleiststrasse - Teltow, Hamburger Platz - Stadthaus Teltow - Ruhlsdorfer Platz - Teltow, Paul-Gerhardt-Strasse",20,24,6.96,strassenbahn,Ost,1956
98,Mehringplatz (Hallesches Tor) - Yorckstrasse/Gneisenaustrasse - U-Bhf. Flughafen - U-Bhf. Paradestrasse - Bahnhof Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Prühßstrasse - Mariendorfer Damm Ecke Alt-Mariendorf - Grossbeerenstrasse Ecke Daimlerstrasse - Daimlerstrasse  Ecke Birnhornweg,15,35,,strassenbahn,West,1956
99,"Lindenstrasse, Jerusalemer Kirche - Mehringplatz - Yorckstrasse/Gneisenaustrasse - U-Bhf. Flughafen - Bhf. Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Strasse - Friedrich-Karl-Strasse - Kaiserstrasse - Alt-Mariendorf - Rennbahn - Marienfelder Chaussee - Marienfelder Strasse - Bhf. Lichtenrade",15,49,,strassenbahn,West,1956
A I,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz - Potsdamer Platz - Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsches Opernhaus (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz - Neu-Westend - Olympia-Stadion - Ruhleben,10,50,,u-bahn,West,1956
A II,Kottbusser Tor - Prinzenstrasse - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstrasse - Nollendorfplatz - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10,38.5,,u-bahn,West,1956
A III,Deutsches Opernhaus (Bismarckstr.) - Richard-Wagner-Platz,10,1.5,,u-bahn,West,1956
