Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
Saargem nder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Under den Eichen - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Berliner Strasse - Marienstrasse - Bismarckstrasse - Bhf. Lichterfelde-Ost - Lange Strasse - Hildburghauser Strasse - Trippsteinstrasse,10,26.0,,A11,bus,West,1960,,
Weddingplatz - Schulstrasse - U-Bhf. Seestrasse - Barfusstrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse Ecke Aroser Allee - Lindenweg - Holzhauser Strasse - Cyclopstrasse - Zabel-Krüger-Damm - Kirchstrasse - Hermsdorfer Damm - Bhf. Frohnau - Donnersmarckplatz - Hainbuchenstrasse,20,47.0,,A12,bus,West,1960,,
Weddingplatz - Schulstrasse - U-Bhf. Seestrasse - Barfusstrasse - Emmentaler Strasse - Lindauer Strasse Ecke Aroser Allee - Oranienburger Strasse - Rathaus Reinickendorf - Cyclopstrasse - Zabel-Krüger-Damm - Schildower Strasse - Hermsdorfer Damm - Oswinsteig - Hohefeldstrasse - Im Fischgrund - Bhf. Frohnau,10,34.0,,A12S,bus,West,1960,,
Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Staatwinkel - Paulsternstrasse - Daumstrasse - Havelstrasse - Rathaus Spandau - Pichelsdorfer Strasse - Päwesiner Weg - Heerstrasse - Weinmeisterhornweg,15,59.0,,A13,bus,West,1960,,
Alt-Heiligensee - Mattenbuder Pfad - Bhf. Heiligensee - Bhf. Schulzendorf - Heiligenseestrasse - U-Bhf. Tegel - Ziekowstrasse - Nordgraben - Holzhauser Strasse - Lindenweg - Aroser Allee - Kopenhagener Strasse - Pankower Allee - Pankstrasse - U-Bhf. Gesundbrunnen - Rügener Strasse,15,53.0,,A14,bus,West,1960,,
Lübarser Strasse - Bhf. Wittenau - Alt-Wittenau - Tor 5 - Bhf. Eichbornstrasse - Holzhauser Strasse - Borsigwalder Weg  - GorkiStrasse - U-Bhf. Tegel - Hermsdorfer Damm - Am Flie  - Schulzendorfer Strasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Bhf. Frohnau,15,41.0,,A15,bus,West,1960,,
Louise-Schroeder-Platz - U-Bhf. Seestrasse - Afrikanische Strasse - Virchow-Krankenhaus - Bhf. PutlitzStrasse - TurmStrasse - Hansaplatz - Tiergartenstrasse - Lützowplatz - EinemStrasse - Rathaus Sch neberg - Innsbrucker Platz - Bundesplatz - Wiesbadener Strasse - Breitenbachplatz - Englerallee,10,44.0,,A16,bus,West,1960,,
Bhf. Grunewald - Hagenplatz - Rosenecke - Warnem nder Strasse - U-Bhf. Rüdesheimer Platz - Friedriche-Wilhelm-Platz - Bundesallee - Rathaus Steglitz - Stadtpark - LeonorenStrasse - Stadion Lichterfelde - Wilhelmstrasse - BismarckStrasse - Oberhofer Platz  - Saaleckplatz,10,46.0,,A17,bus,West,1960,,
Saargem nder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Scharfestrasse - Potsdamer Strasse Ecke Clayallee - Mittelstrasse - Wolzogenstrasse - Benschallee - Waldfriedhof - Quantzstrasse - Kronprinzessinen Weg - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - St lpchensee - Kohlhasenbr ck,20,32.0,,A18,bus,West,1960,,
Roseneck - Hagenplatz - Erdener Strasse - Bhf. Halensee - Wilmersdorfer Strasse - Olivaer Platz - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamer Strasse - Bhf. Yorckstrasse - Katzbachstrasse - Mehringdamm - U-Bhf. Flughafen - Flughafen,10,40.0,,A19,bus,West,1960,,
"Strasse des 17. Juni - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - U-Bhf. Spichernstrasse - Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Bhf. Feuerbachstrasse - Bergstrasse - Steglitzer Damm - Leonorenstrasse - Lankwitz, Kirche - Havensteinstrasse - Lerbacher Weg - Trippsteinstrasse",10,40.0,,A2,bus,West,1960,,
"Tegelort - Walderseestrasse - Falkenplatz - Mühlenstrasse - Heiligenseestrasse - Karolinenstrasse - U-Bhf. Tegel - Hatzfeldallee - Martin-Luther-Friedhof - Freie Scholle - Waldstrasse Ecke Waidmannslust - Bhf. Waidmannslust - Oraniendamm - Am Vierrutenbert - Lübars, Dorfaue",15,36.0,,A20,bus,West,1960,,
