,stop_id,stop_name,type,in_lines
84,85,Chemnitzer Ecke Ulmenstrasse,bus,"{'A8E', 'A8'}"
85,86,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,{'A27'}
86,87,Dahlewitz,s-bahn,{'KBS 105'}
87,88,Dankmarsteig,bus,{'A23'}
88,89,Degnerstrasse,strassenbahn,"{'64', '63'}"
89,90,"Diepensee, Flughafen",bus,{'AD/36'}
90,91,Dimitroffstr.,u-bahn,{'A'}
91,92,Dimitroffstrasse,bus,{'A9'}
92,93,Dimitroffstrasse,strassenbahn,"{'72', '74', '71', '63', '74E', '64'}"
93,94,Dimitroffstrasse Ecke Leninallee,bus,{'O37'}
94,95,Dingelstädter Strasse,bus,{'O37'}
95,96,Dorfaue,bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
96,97,Dönhoffplatz,strassenbahn,{'64'}
97,98,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,{'4'}
98,99,Ebertystrasse Ecke Leninallee,bus,{'O30'}
99,100,Edisonstrasse,strassenbahn,{'95'}
100,101,Ehrenmal,bus,"{'A55', 'A45'}"
101,102,Eichbuschallee,bus,{'A47'}
102,103,Eichbuschplatz,bus,{'A38'}
103,104,Eichendamm,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
104,105,Eichwalde,s-bahn,{'KBS 103'}
105,106,"Eichwalde, Uhlandstrasse",bus,{'Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
106,107,Elisabethstrasse,bus,{'O37'}
107,108,Elisabethstrasse,strassenbahn,{'22'}
108,109,Elsässer Strasse,bus,{'A7'}
109,110,Erkner,s-bahn,{'KBS 102'}
110,111,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,{'A22'}
111,112,Falkenberger Chaussee,bus,{'A39'}
112,113,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,{'63'}
113,114,Falkensee,s-bahn,{'KBS 103'}
114,115,Fasanenstrasse,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
115,116,Feldtmannstrasse,bus,{'A46'}
116,117,"Fichtenau, Stadtgrenze",bus,{'A22'}
117,118,Fichtestrasse Ecke Schopenhauerstrasse,bus,{'A8'}
118,119,Flughafen Schönefeld,bus,{'Flughafen Schönefeld <> Strausberger Platz'}
119,120,Frankfurter Tor,u-bahn,{'E'}
120,121,Frankfurter Tor/Stalinallee,strassenbahn,"{'13', '4'}"
121,122,Fredersdorf (b Bln),s-bahn,{'KBS 101'}
122,123,Freibad Grünau,strassenbahn,{'86'}
123,124,Friedrich-Junge-Strasse,bus,{'A82P'}
124,125,Friedrichsfelde (Tierpark),u-bahn,{'E'}
125,126,Friedrichsfelde Ost,s-bahn,{'KBS 101'}
126,127,Friedrichshagen,s-bahn,{'KBS 102'}
127,128,"Friedrichshagen, Wasserwerk",strassenbahn,{'84'}
128,129,Friedrichstr.,s-bahn,"{'KBS 101', 'KBS 102', 'KBS 103'}"
129,130,Friedrichstrasse Ecke Leipzigerstrasse,strassenbahn,{'74'}
130,131,Friedrichstrasse Ecke Unter den Linden,bus,"{'A57', 'A9'}"
131,132,Fürstenwalder Damm,strassenbahn,{'84'}
132,133,"Galenusstrasse, Krankenhaus Pankow",strassenbahn,{'49'}
133,134,Gartenstadtweg,bus,{'AD/36'}
134,135,Genslerstrasse Ecke Siegfriedstrasse,bus,{'O37'}
135,136,Gerosteig,bus,{'A23'}
136,137,Giebelsee,s-bahn,{'KBS 101'}
137,138,Glasow,bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
138,139,"Glienicke, Kirche",bus,{'A7'}
139,140,Goethestrasse,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
140,141,Greifswalder Str.,s-bahn,"{'KBS 106', 'KBS 103a'}"
141,142,Greifswalder Strasse,bus,"{'A44', 'A44E'}"
142,143,Greifswalder Strasse,strassenbahn,"{'13', '4'}"
143,144,Greifswalderstrasse Ecke Dimitroffstrasse,bus,{'O30'}
144,145,Griebnitzsee,s-bahn,{'KBS 102'}
145,146,Grottkauer Strasse,bus,{'A49'}
146,147,Groß Ziethen,bus,{'AZ'}
147,148,Große Seestrasse Ecke Berliner Allee,bus,{'A55'}
148,149,Grünau,s-bahn,"{'KBS 103', 'KBS 106'}"
149,150,Grünberger Strasse,strassenbahn,{'4'}
150,151,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,{'A55'}
151,152,Güteraußenring,bus,{'A42'}
152,153,Güterbahnhof Springpfuhl,bus,{'A43'}
153,154,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"{'49', '63'}"
154,155,Hamburger Platz,bus,"{'A55', 'A45', 'A56'}"
155,156,Hannoversche Strasse,strassenbahn,{'11'}
156,157,Hauptstrasse Ecke Edelweißstrasse,bus,"{'A55', 'A45'}"
157,158,Hauptstrasse Ecke Karlshorster Strasse,strassenbahn,{'82'}
158,159,Hauptstrasse Ecke Suermondtstrasse,strassenbahn,{'70'}
159,160,Hausvogteiplatz,u-bahn,{'A'}
160,161,"Heinersdorf, Kirche",bus,{'A42'}
161,162,"Heinersdorf, Kirche",strassenbahn,{'71'}
162,163,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,{'71'}
163,164,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,{'82'}
164,165,Heinrich-Heine-Strasse,strassenbahn,"{'11', '64'}"
165,166,Heinrich-Mann-Platz,bus,"{'A55', 'A45'}"
166,167,Hennigsdorf (b Bln),s-bahn,{'KBS 105'}
167,168,Hennigsdorf Nord,s-bahn,{'KBS 105'}
168,169,"Hessenwinkel, Lindenstrasse",bus,{'A22'}
169,170,Hirschgarten,s-bahn,{'KBS 102'}
170,171,Hirschgarten,strassenbahn,"{'84', '87'}"
171,172,Hirtestrasse,strassenbahn,{'86'}
172,173,Hochschule für Ökonomie,strassenbahn,{'69'}
173,174,Hohen-Neuendorf (b Bln),s-bahn,{'KBS 104'}
174,175,"Hohenschönhausen, Falkenberger Strasse",bus,{'A39'}
175,176,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"{'64', '70'}"
176,177,"Hohenschönhausen, Gartenstadt",strassenbahn,{'63'}
177,178,"Hohenschönhausen, Hauptstrasse",strassenbahn,"{'64', '63'}"
178,179,Hohenschönhauser Strasse,strassenbahn,{'3'}
