Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1336,Osteweg/Carstennstrasse,bus,{'53'},"52.42403848074975, 13.292852800386923",,,,
1337,Osteweg/Seehofstrasse,bus,{'53'},"52.42100603755327, 13.281133987466683",,,,
1338,Ostkreuz,s-bahn,"{'100', '102', '143', '115', '101', '141', '105', '140', '142', '110'}","52.5031,13.4689",Q111251530,"52.5031,13.4689",,
1339,Ostpreußendamm,bus,"{'85'} ; {'96', '10'} ; {'3', '11'} ; {'84'}","52.41485811289129, 13.30261024076966 ; 52.41788360280905, 13.305205972492185 ; 52.43079761239579, 13.317511014682683 ; 52.42579152889013, 13.316833400264091",,,,
1340,Ostseestrasse Ecke Promenade,strassenbahn,{'70'},"52.5514112,13.4295126",Q65116994,"52.5514112,13.4295126",,
1341,Otawistrasse,bus,{'64'},"52.55252792632971, 13.336911719335477",,,,
1342,Otisstrasse,bus,{'61'},"52.57738489187601, 13.307623380049638",,,,
1343,Otisstrasse Ecke Wittestrasse,bus,{'61'},"52.577380704272166, 13.307646453066859",,,{'61'},
1344,Otto-Buchwitz-Strasse,bus,{'80'},"52.55516052370111, 13.574503803805603",,,{'91'},
1345,Otto-Buchwitz-Strasse,strassenbahn,"{'10', '117', '6'}","52.5457872,13.5703155",Q65595690,"52.5457872,13.5703155",,
1346,Otto-Grotewohl-Strasse,bus,{'9'},"52.51648825288664, 13.380775212497827",,,"['32']+ ['79']+ ['9']+ {'59', '32'}+ {'79'}+ {'9'}+ {'32', '59'}+ {'79'}+ {'9'}",
1347,Otto-Grotewohl-Strasse,u-bahn,{'A'},"52.51167,13.38472",Q658391,"52.51167,13.38472",,
1348,Otto-Suhr-Allee,bus,{'1'},"52.51469791251031, 13.315136925389936",,,['1']+ {'1'}+ {'1'},
1349,Otto-Wels-Ring,bus,{'25'},"52.434198164587244, 13.456325911397586",,,,
1350,Otto-Winzer-Strasse,s-bahn,{'102'},"52.5575,13.55361",Q1973570,"52.5575,13.55361",,
1351,Otto-Winzer-Strasse,strassenbahn,"{'14', '5', '18', '18E'}","52.5507259508771, 13.54829994330753",,,,
