line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
95,Krankenhaus Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Baumschulenweg,20,33,strassenbahn,Ost,1961
95P,S-Bhf. Baumschulenweg - Sonnenallee,20,3,strassenbahn,Ost,1961
95,Mehringplatz - Zossener Strasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Bhf. Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark - Schwarzer Weg Ecke Sonnenallee,15,26,strassenbahn,West,1961
96,"Lindenstrasse - Mehringplatz - Yorckstrasse - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Bhf. Mariendorf - Lankwitz, Kirche - Sydlitzstrasse Ecke Kaiser-Wilhelm-Strasse - Bhf. Lichterfelde-Ost - Ostpreußendamm Ecke Morgenstern Strasse - Giesendorferstrasse Ecke Ostpreußendamm - Wismarer Strasse Ecke Ostpreußendamm - Schwelmer Strasse Ecke Ostpreußendamm",15,45,strassenbahn,West,1961
A1,Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse - Breitenbachplatz - Botanischer Garten - Pacelli-/Thielallee - Clayallee - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Bhf. Zehlendorf - Beeskowdamm - Wismarer Strasse - Lichterfelde-West Lindenstrasse,15,58,bus,West,1961
A2,"Ernst-Reuter-Platz, Straße des 17. Juni - Ernst-Reuter-Platz - Bhf. Zoo - Spichernstrasse Ecke Bundesallee - Berliner Strasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Feuerbachstrasse - Bergstrasse Ecke Bismarckstrasse - Steglitzer Damm Ecke Halske Strasse - Leonorenstrasse Ecke Siemensstrasse - Lankwitz, Kirche - Havensteinstrasse Ecke Gallwitzallee - Lerbacher Weg Ecke Gallwitzallee - Trippsteinstrasse",15,40,bus,West,1961
A3,"Rathaus Zehlendorf - Winifriedstrasse Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Bhf. Lindenthaler Allee - Benschallee Ecke Potsdamer Chaussee - Schopenhauer-Strasse Ecke Spanische Allee - Bhf. Nikolassee - Am Beelitzhof - Bhf. Wannsee - Am Großen Wannsee Ecke Königstrasse - Pfaueninsel-Chaussee Ecke Königstrasse - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10,39,bus,West,1961
A10,"Haselhorst, Kirche - Paulsternstrasse - Verwaltungs-Gebäude - Spandauer Damm - U-Bhf. Kaiserdamm - Amtsgerichsplatz - Kurfürstendamm - Bhf. Halensee - Elsterplatz - Hundekehlestrasse - Königin-Luise-Strasse - U-Bhf. Thielplatz - Dahlemer Weg - Teltower Damm - Behring-Krankenhaus - Lupsteiner Weg",10,62,bus,West,1961
A11,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdter Allee - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Unter den Eichen Ecke Drakestrasse - Marienstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Bhf. Lichterfelde-Ost - Lange Strasse - Hildburghauser Strasse - Apoldaer Strasse Ecke Sonderhauser Strasse - Trippsteinstrasse,7.5,30,bus,West,1961
A12,Gartenstrasse Ecke Bernauer Strasse - Grenzstrasse - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse - Lindenweg - Holzhauser Strasse - Cyclopstrasse - Zabel-Krüger-Damm - Kirchstrasse - Hermsdorfer Damm - Bhf. Frohnau - Donnersmarckplatz - Hainbuchenstrasse,20,54,bus,West,1961
