,stop_id,stop_name,type,in_lines
808,809,Nettelbeckstrasse,bus,{'A69'}
809,810,Neu-Lindenberg,bus,{'AL'}
810,811,Neu-Westend,u-bahn,{'B I'}
811,812,Neuenhagen (b Bln),s-bahn,{'KBS 101'}
812,813,Neukölln,s-bahn,"{'KBS 100', 'KBS 100a'}"
813,814,Neukölln (Südring),u-bahn,{'C I'}
814,815,Neuköllnische Allee,bus,{'A67'}
815,816,"Niederschönhausen, Schillerstrasse",strassenbahn,{'46'}
816,817,Nikolassee,s-bahn,"{'KBS 102', 'KBS 104'}"
817,818,Nikolskoer Weg,bus,{'A6'}
818,819,Nollendorfplatz,bus,{'A19'}
819,820,Nollendorfplatz,strassenbahn,{'55'}
820,821,Nollendorfplatz,u-bahn,"{'B II', 'A I', 'B I', 'B III', 'A II'}"
821,822,"Nonnendammallee, Siemensstadt",bus,{'A72'}
822,823,Nordend,bus,{'A7'}
823,824,Nordend,strassenbahn,{'46'}
824,825,Nordendstrasse,strassenbahn,{'22'}
825,826,Nordgraben,bus,{'A14'}
826,827,Nöldnerplatz,s-bahn,{'KBS 101'}
827,828,Nürnberger Strasse Ecke Kurfürstenstrasse,bus,{'A69'}
828,829,Oberhofer Platz,bus,{'A17'}
829,830,Oberspree,s-bahn,{'KBS 103a'}
830,831,"Oberspree, Bruno-Bürgel-Weg",strassenbahn,{'92'}
831,832,Oderberger Strasse Ecke Eberswalderstrasse,strassenbahn,{'13'}
832,833,Olivaer Platz,bus,"{'A29', 'A19'}"
833,834,Olympia-Stadion,u-bahn,{'B I'}
834,835,Olympiastadion,s-bahn,{'KBS 101'}
835,836,Onkel Toms Hütte,u-bahn,"{'B II', 'A II'}"
836,837,Onkel-Herse-Strasse,strassenbahn,{'47'}
837,838,Oranienburg,s-bahn,{'KBS 104'}
838,839,Oranienburger Strasse,bus,{'A21'}
839,840,Oranienburger Tor,bus,"{'O40', 'A9'}"
840,841,Oranienburger Tor,strassenbahn,"{'11', '46', '70', '1'}"
841,842,Oraniendamm,bus,{'A20'}
842,843,Oranienplatz,bus,{'A67'}
843,844,Oranienstrasse,bus,"{'A75', 'A28'}"
844,845,Ortsgrenze Gatow,bus,"{'A34', 'A35'}"
845,846,Oskar-Helene-Heim,u-bahn,"{'B II', 'A II'}"
846,847,Osloer Strasse,bus,"{'A61', 'A71', 'A70'}"
847,848,OsnaBrücker Strasse,strassenbahn,{'55'}
848,849,Ossietzkyplatz,strassenbahn,{'46'}
849,850,Ostbahnhof,bus,"{'O40', 'Flughafen Schönefeld <> Strausberger Platz'}"
850,851,Ostbahnhof,s-bahn,"{'KBS 101', 'KBS 103', 'KBS 102'}"
851,852,Ostbahnhof,strassenbahn,"{'82', '1'}"
852,853,Osteweg,bus,{'A53'}
853,854,Ostkreuz,s-bahn,"{'KBS 103a', 'KBS 102', 'KBS 101', 'KBS 103', 'KBS 106'}"
854,855,Ostpreußendamm Ecke Morgenstern Strasse,strassenbahn,{'96'}
855,856,Otto-Surh-Allee,bus,{'A1'}
856,857,P cklerstrasse,bus,{'AS3'}
857,858,Pacelli-/Thielallee,bus,{'A1'}
858,859,Pankow,s-bahn,{'KBS 106'}
859,860,Pankow (Vinetastr.),u-bahn,{'A'}
860,861,"Pankow, Kirche",bus,"{'A55', 'A45'}"
861,862,"Pankow, Kirche",strassenbahn,"{'49', '22'}"
862,863,"Pankow, Rathaus",bus,"{'A55', 'A45', 'A7'}"
863,864,"Pankow, Rathaus",strassenbahn,{'46'}
864,865,Pankow-Heinersdorf,s-bahn,{'KBS 106'}
865,866,Pankower Allee,bus,{'A14'}
866,867,Pankower Allee Ecke Residenzstrasse,bus,{'A72'}
867,868,Pankstrasse,bus,"{'A14', 'A61'}"
868,869,Papestr.,s-bahn,"{'KBS 106', 'KBS 105', 'KBS 100', 'KBS 100a'}"
869,870,Paradestr.,u-bahn,{'C II'}
870,871,Paradestrasse,bus,{'A77'}
871,872,Parchimer Allee,strassenbahn,{'47'}
872,873,Pariser Strasse Ecke Joachimstaler Strasse,bus,{'A25'}
873,874,"Parkfriedhof Neukölln, Buckower Damm",strassenbahn,{'27'}
874,875,Parkstrasse,strassenbahn,"{'82', '87', '95'}"
875,876,Paulsternstrasse,bus,"{'A13', 'A10'}"
876,877,Paulsternstrasse,strassenbahn,{'55'}
877,878,Pfaueninsel-Chaussee,bus,"{'A18', 'A6'}"
878,879,Pfaueninsel-Chaussee Ecke Königstrasse,bus,{'A3'}
879,880,Pichelsberg,s-bahn,{'KBS 101'}
880,881,Pichelsdorfer Strasse,strassenbahn,"{'76', '75'}"
881,882,Pichelsdorfer Strasse Ecke Pichelsdorfer Strasse,bus,{'A13'}
882,883,Pistoriusstrasse Ecke Klement-Gottwald-Allee,bus,{'A45'}
883,884,Platz der Luftbrücke,bus,"{'A77', 'A76'}"
884,885,Platz vor dem Neuen Tor,bus,{'A9'}
885,886,PlÃ¤nterwald,s-bahn,"{'KBS 103', 'KBS 103a'}"
886,887,Plänterwald,s-bahn,{'KBS 106'}
887,888,Podbielskiallee,u-bahn,"{'B II', 'A II'}"
888,889,Post,bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
889,890,Postamt,bus,{'A60'}
890,891,Potsdam,s-bahn,{'KBS 102'}
891,892,"Potsdam, Bassinplatz",bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
892,893,Potsdamer Platz,strassenbahn,"{'74', '73'}"
893,894,Potsdamer Strasse,bus,"{'A29', 'A1', 'A19', 'A18', 'A53', 'A24'}"
894,895,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,{'A48'}
895,896,Potsdamer Strasse Ecke Pallasstrasse,strassenbahn,{'3'}
896,897,Prager Platz,bus,{'A50'}
897,898,Prenzlauer Allee,s-bahn,{'KBS 106'}
898,899,Prenzlauer Allee,strassenbahn,"{'13', '4'}"
899,900,Prenzlauer Allee Ecke Wisbyer Strasse,strassenbahn,{'71'}
900,901,Prenzlauer Promenade,bus,{'A56'}
901,902,Prenzlauer Promenade,strassenbahn,"{'70', '3', '72'}"
902,903,Prenzlauer Promenade (Spitze),bus,{'A42'}
903,904,Prenzlauer Promenade Ecke Granitzstrasse,bus,{'A55'}
904,905,Prenzlauer Promenade Ecke Kissingenstrasse,bus,{'A45'}
905,906,Prenzlauer Tor,bus,{'O40'}
906,907,Prenzlauer Tor,strassenbahn,{'71'}
907,908,Priesterweg,s-bahn,"{'KBS 106', 'KBS 105'}"
908,909,Prinzenallee Ecke Exerzierstrasse,bus,{'A64'}
909,910,Prinzenallee/Soldiner Strasse,bus,{'A71'}
910,911,Prinzenstr.,u-bahn,"{'B II', 'B I'}"
911,912,Prinzenstrasse,u-bahn,{'A II'}
912,913,Proskauer Ecke Dolziger Strasse,bus,{'O30'}
913,914,Provinzstrasse/Pankower Allee,bus,{'A71'}
914,915,Putlitzstr.,s-bahn,{'KBS 100'}
915,916,PÃ¤wesiner Weg,bus,{'A13'}
916,917,Quantzstrasse,bus,{'A18'}
917,918,Quellweg,strassenbahn,{'55'}
918,919,Quellweg Ecke Nonnendamm Allee,bus,{'A72'}
919,920,Radelandstrasse,bus,{'A63'}
920,921,Rahnsdorf,s-bahn,{'KBS 102'}
921,922,Rahnsdorf,strassenbahn,{'87'}
922,923,Ramlerstrasse,bus,{'A71'}
923,924,Ramlerstrasse Ecke Brunnenstrasse,bus,{'A64'}
924,925,Rangsdorf,s-bahn,{'KBS 105'}
925,926,"Rankeplatz, Bundeshaus",bus,{'AS2'}
926,927,Rankeplatz/Bundeshaus,bus,{'AS3'}
927,928,Rannbahn,bus,{'A76'}
928,929,Rathaus Lcihtenberg,strassenbahn,{'3'}
929,930,Rathaus Mahlsdorf,strassenbahn,{'83'}
930,931,Rathaus Mariendorf,bus,{'A33'}
931,932,Rathaus Neukölln,strassenbahn,"{'26', '47'}"
932,933,Rathaus Neukölln,u-bahn,{'C I'}
933,934,Rathaus Sch neberg,bus,{'A16'}
934,935,Rathaus Schöneberg,bus,"{'A4', 'A73', 'A74'}"
935,936,Rathaus Schöneberg,strassenbahn,"{'2', '60'}"
936,937,Rathaus Schöneberg,u-bahn,{'B III'}
937,938,Rathaus Spandau,bus,"{'A31', 'A35', 'A13', 'A5', 'A63', 'AS1', 'A34'}"
938,939,Rathaus Spandau,strassenbahn,"{'76', '55', '75'}"
939,940,Rathaus Steglitz,bus,"{'A17', 'A68', 'A48', 'A32'}"
940,941,Rathaus Steglitz,strassenbahn,"{'74', '78', '73', '77'}"
941,942,Rathaus Tempelhof,bus,{'A77'}
942,943,Rathaus Tiergarten,bus,{'A70'}
943,944,Rathaus Wannsee,bus,"{'A18', 'A6', 'A3'}"
944,945,Rathaus Zehlendorf,bus,"{'A66', 'A3', 'AS3'}"
945,946,Rathenauplatz,bus,{'A65'}
946,947,Rathenower Strasse,bus,"{'A24', 'A70'}"
947,948,Rathenower Strasse Ecke Perleberger Strasse,bus,{'A72'}
948,949,Rathenower Strasse Ecke Perleberger Strasse,strassenbahn,{'2'}
949,950,Rehberge,u-bahn,{'C I'}
950,951,Reichenberger Strasse,strassenbahn,{'26'}
951,952,Reichskanzlerplatz,bus,{'A4'}
952,953,Reichskanzlerplatz,strassenbahn,"{'76', '75'}"
953,954,Reichskanzlerplatz,u-bahn,"{'A I', 'B I'}"
954,955,Reichssportfeldstrasse,strassenbahn,"{'76', '75'}"
955,956,Reifenwerk,bus,{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
956,957,Reinickendorf,s-bahn,{'KBS 105'}
957,958,Reinickendorfer Str.,u-bahn,{'C I'}
958,959,Reinickendorfer Strasse Ecke Schulstrasse,bus,{'A64'}
959,960,Rembrandtstrasse,strassenbahn,{'66'}
960,961,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,bus,{'A56'}
961,962,Reuchlinstrasse,bus,{'A70'}
962,963,Reuterstrasse,bus,{'A67'}
963,964,Richard-Wagner-Platz,bus,{'A62'}
964,965,Richard-Wagner-Platz,strassenbahn,"{'54', '53', '55'}"
965,966,Richard-Wagner-Platz,u-bahn,{'A III'}
966,967,Richardstrasse,strassenbahn,{'15'}
967,968,Richtershorn,strassenbahn,{'86'}
968,969,Ridbacher Strasse,bus,{'A49'}
969,970,Ringstrasse,bus,{'A11'}
970,971,Rittberg-Krankenhaus,strassenbahn,"{'78', '77'}"
971,972,Ritterlandweg,bus,{'A71'}
972,973,Robert-Koch-Platz,bus,"{'O40', 'A57'}"
973,974,Roederplatz,bus,{'O30'}
974,975,Roedrplatz,strassenbahn,{'3'}
975,976,Rohdestrasse Ecke Germaniastrasse,bus,{'A73'}
976,977,Roseneck,bus,"{'A29', 'A19', 'A50', 'AS3'}"
977,978,"Roseneck, Hundekehl",bus,{'A60'}
978,979,Rosenecke,bus,{'A17'}
979,980,Rosenthaler Platz,bus,{'O40'}
980,981,Rosenthaler Platz,strassenbahn,"{'11', '49', '22', '1'}"
981,982,Rosenthaler Strasse,strassenbahn,{'49'}
982,983,Rudower Strasse,bus,{'A52'}
983,984,Ruhleben,u-bahn,{'B I'}
984,985,Ruhrstrasse,bus,{'A50'}
985,986,Rummelsburg,s-bahn,{'KBS 102'}
986,987,Ruppiner Chaussee,bus,{'A13'}
987,988,Röntgental,s-bahn,{'KBS 106'}
988,989,"Rüdersdorf, Karl-Marx-Platz",bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
989,990,"Rüdersdorf, Thälmannstrasse",bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
990,991,Rüdesheimer Platz,u-bahn,"{'B II', 'A II'}"
991,992,Rügener Strasse,bus,"{'A14', 'A61', 'A71'}"
992,993,S-Bhf. Adlershof,strassenbahn,{'84'}
993,994,S-Bhf. Alexanderplatz,bus,"{'O30', 'A57', 'A9'}"
994,995,S-Bhf. Baumschulenweg,bus,{'A47'}
995,996,S-Bhf. Baumschulenweg,strassenbahn,"{'95P', '95'}"
996,997,S-Bhf. Biesdorf,bus,{'O37'}
997,998,S-Bhf. Friedrichsfelde-Ost,bus,{'A43'}
998,999,S-Bhf. Friedrichshagen,bus,"{'S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)'}"
