stop_name,type,location,in_lines,identifier,east-west
Prenzlauer Promenade (Spitze),bus,"52.55169017006126, 13.430288457592285",A42,,Ost
Prenzlauer Promenade Ecke Granitzstrasse,bus,"52.572092016203484, 13.42875772052513",A55,,Ost
Prenzlauer Promenade Ecke Kissingenstrasse,bus,"52.56795804833996, 13.427734373319213",A45,,Ost
Prenzlauer Tor,bus,"52.52709114016772, 13.415809370320808",O40,,Ost
Prenzlauer Tor,strassenbahn,"52.52709114016772, 13.415809370320808",71,,Ost
Proskauer Ecke Dolziger Strasse,bus,"52.519874079766325, 13.463289228834057",O30,,Ost
Rahnsdorf,s-bahn,"52.4516372,13.6899776",KBS 102,Q800489,Ost
Rahnsdorf,strassenbahn,"52.443531694444445,13.685038",87,Q66361311,Ost
Rangsdorf,s-bahn,"52.294444,13.430278",KBS 105,Q801345,Ost
Rathaus Lichtenberg,strassenbahn,"52.5156658,13.4788562",3,Q65948511,Ost
Rathaus Mahlsdorf,strassenbahn,"52.498612959213915, 13.613308788396854",83,,Ost
Reifenwerk,bus,"52.37807918338377, 13.64006281458021",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
Rennbahnstrasse Ecke Gustav-Adolf-Strasse,bus,"52.56218648050474, 13.454267038723398",A56,,Ost
Richtershorn,strassenbahn,"52.40105,13.6248473",86,Q66481215,Ost
Ridbacher Strasse,bus,"52.527457204488485, 13.606447755554132",A49,,Ost
Robert-Koch-Platz,bus,"52.527570508835595, 13.37877230286134","O40,A57",,Ost
Roederplatz,bus,"52.52671388514014, 13.479662353432392",O30,,Ost
Roederplatz,strassenbahn,"52.5266001,13.479068",3,Q65685373,Ost
Rosenthaler Platz,bus,"52.5296729549826, 13.401428926082492",O40,,Ost
Rosenthaler Platz,strassenbahn,"52.5301769,13.4016121","22,11,1, 49","Q65093945, Q65093945",Ost
Rosenthalerweg,strassenbahn,"52.60625636987162, 13.420087684676252",49,,Ost
Rummelsburg,s-bahn,"52.501244,13.478545",KBS 102,Q15107132,Ost
Röntgental,s-bahn,"52.6487,13.5136",KBS 106,Q801386,Ost
S-Bhf. Adlershof,strassenbahn,"52.435251,13.5408489",84,Q66363728,Ost
S-Bhf. Alexanderplatz,bus,"52.52074877770386, 13.412147230655155","O30,A57,A9",,Ost
S-Bhf. Baumschulenweg,bus,"52.4674967534767, 13.489379882069517",A47,,Ost
S-Bhf. Baumschulenweg,strassenbahn,"52.467425320387854, 13.489303343986984","95,95P",,Ost
S-Bhf. Biesdorf,bus,"52.513432593832405, 13.555387279249894",O37,,Ost
S-Bhf. Friedrichsfelde-Ost,bus,"52.51324537165634, 13.524030584354616",A43,,Ost
S-Bhf. Greifswalder Strasse,strassenbahn,"52.5407234,13.4382904","74E,74",Q65548932,Ost
S-Bhf. Grünau,bus,"52.41361515857581, 13.573796290663196","AD/36,A38,AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
S-Bhf. Grünau,strassenbahn,"52.413493,13.5746802",86,Q62470512,Ost
S-Bhf. Jannowitzbrücke,strassenbahn,"52.51478599600389, 13.418056238742702","64,11,82",,Ost
S-Bhf. Karlshorst,strassenbahn,"52.481331,13.5254433",69,Q65952829,Ost
"S-Bhf. Kaulsdorf, Planitzstrasse",bus,"52.51113864301491, 13.58755467300039",A27,,Ost
S-Bhf. Köpenick,bus,"52.45882190200453, 13.579564677172508",A27,,Ost
S-Bhf. Köpenick,strassenbahn,"52.4582153,13.5790435","83,86,82",Q66370784,Ost
S-Bhf. Mahlsdorf,bus,"52.51234908870327, 13.61221793610957","A44,A44E",,Ost
S-Bhf. Mahlsdorf,strassenbahn,"52.51221826761895, 13.612190748726157",83,,Ost
S-Bhf. Ostkreuz,strassenbahn,"52.50243021718411, 13.469020052690205",82,,Ost
S-Bhf. Pankow,bus,"52.56742037379333, 13.412250129587665",A55,,Ost
S-Bhf. Pankow,strassenbahn,"52.5675692,13.4121641","46,49,22",Q65055075,Ost
S-Bhf. Pankow-Heinersdorf,strassenbahn,"52.577507820515834, 13.427853061920917",49,,Ost
S-Bhf. Plänterwald,strassenbahn,"52.479645467025435, 13.47567729609248","92,87",,Ost
S-Bhf. Prenzlauer Allee,strassenbahn,"52.5448075,13.427408","72,71",Q65219791,Ost
S-Bhf. Rummelsburg,bus,"52.50179539105723, 13.478028581044718",O30,,Ost
S-Bhf. Schönhauser Allee,strassenbahn,"52.5493619,13.4135734","46,49,22",Q65088013,Ost
S-Bhf. Spindlersfeld,strassenbahn,"52.4457311,13.5624298",84,Q66363397,Ost
"S-Bhf. Tremptower Park, Elsenstrasse",strassenbahn,"52.492615970665746, 13.458843309612345",92,,Ost
S-Bhf. Treptower Park,bus,"52.49403640886682, 13.460762565516704",A47,,Ost
S-Bhf. Wilhelmshagen,bus,"52.43886122089184, 13.721060252199655",A22,,Ost
SaarBrücker Strasse,strassenbahn,"52.5285309565747, 13.417113687314579","72,71",,Ost
Sadowastrasse,bus,"52.482675472271694, 13.584833068425244","A8,A8E",,Ost
Samariterstr.,u-bahn,"52.514722222222,13.464444444444",E,Q552891,Ost
Scharnhorststrasse,bus,"52.530048717863, 13.374421833191816",A57,,Ost
Scharnhorststrasse Ecke Kieler Strasse,bus,"52.534358722624745, 13.370310836134667",A9,,Ost
"Schildow, Kirche",bus,"52.63581867397586, 13.377719168374458",A7,,Ost
Schillingstr.,u-bahn,"52.520278,13.421667",E,Q552899,Ost
Schumannstrasse Ecke Luisenstrasse,bus,"52.52350700053633, 13.379478600060418",A57,,Ost
"Schönefeld, Siedlung",bus,"52.38835097546488, 13.564205018328355","AD/36,AZ",,Ost
Schöneweide,s-bahn,"52.455,13.509444444444","KBS 103,KBS 103a,KBS 100a,KBS 106",Q111323931,Ost
Schönhauser Allee,s-bahn,"52.549329,13.413706",KBS 106,Q111264493,Ost
Schönhauser Allee,u-bahn,"52.549328888889,13.413706111111",A,Q47014936,Ost
Schönhauser Allee Ecke Bornholmer Strasse,strassenbahn,"52.5537705,13.4138898",3,Q65076842,Ost
Schüßlerplatz,strassenbahn,"52.44553303566032, 13.576935078888754",84,,Ost
Seelenbinderstrasse,strassenbahn,"52.4554632,13.5769303","83,84,86,82",Q66324934,Ost
Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,"52.4554632,13.5769303",87,Q66324934,Ost
Selchow,bus,"52.35758122167604, 13.471955883887944","AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Senefelderplatz,u-bahn,"52.53242,13.412743",A,Q32661454,Ost
Spindlersfeld,s-bahn,"52.4472,13.5613",KBS 103a,Q4892371,Ost
Spittelmarkt,strassenbahn,"52.511243321361405, 13.40494539543245","64,72,74E,74",,Ost
Spittelmarkt,u-bahn,"52.511111111111,13.403611111111",A,Q569489,Ost
Stadion Buschallee,strassenbahn,"52.5566718,13.4869834",70,Q65504715,Ost
Stadtmitte,u-bahn,"52.5122,13.3894",A,Q660066,Ost
"Stahnsdorf, Waldschänke",bus,"52.39345447478086, 13.210302944499475","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Stalinallee,bus,"52.51715128685504, 13.440640767102789",O40,,Ost
Stalinallee,s-bahn,"52.514166666667,13.474722222222","KBS 103a,KBS 106",Q111250033,Ost
Stalinallee (Ringbahn),u-bahn,"52.514166666667,13.474722222222",E,Q552872,Ost
Sterndamm,bus,"52.44658674940087, 13.506534865142585",A47,,Ost
Steuerhaus,bus,"52.530493,13.4614989",O37,,Ost
Steuerhaus,strassenbahn,"52.530493,13.4614989","64,63",Q65553632,Ost
Stralauer Allee Ecke Markgrafendamm,strassenbahn,"52.49740745019046, 13.46463650693144",82,,Ost
Strasse 78,bus,"52.614646041574915, 13.484873269723556",A42,,Ost
Strasse nach Wartenberg,bus,"52.56866269126953, 13.520582099858125",A46,,Ost
Strausberg,s-bahn,"52.531933,13.836933","KBS 101,KBS 101c",Q7622326,Ost
Strausberg Nord,s-bahn,"52.5902,13.9084",KBS 101c,Q7622324,Ost
Strausberg Stadt,s-bahn,"52.5766,13.8878",KBS 101c,Q7622325,Ost
Strausberger Platz,bus,"52.51805139047903, 13.431938093018077",Flughafen Schönefeld <> Strausberger Platz,,Ost
Strausberger Platz,u-bahn,"52.518055555556,13.430833333333",E,Q570999,Ost
Taubenstrasse,strassenbahn,"52.51306493755938, 13.391398735901545",72,,Ost
Tierpark Berlin,strassenbahn,"52.50297204519277, 13.520916474066839",69,,Ost
"Treptow, Rathaus",bus,"52.48358899866382, 13.480324760498638",A47,,Ost
Treptower Park,s-bahn,"52.4938,13.4618","KBS 103,KBS 103a,KBS 106",Q559274,Ost
U-Bhf. Dimitroffstrasse,strassenbahn,"52.5401928,13.4113979","70,49,22,4,46,13",Q65088313,Ost
U-Bhf. Friedrichsfelde,bus,"52.50624112361932, 13.512853060220209","A43,A8,A8E",,Ost
U-Bhf. Strausberger Platz,strassenbahn,"52.51808306742478, 13.432938339097822",1,,Ost
U-Bhf. Vinetastrasse,bus,"52.55981894046453, 13.413208628380339",A7,,Ost
U-Bhf. Vinetastrasse,strassenbahn,"52.5596168,13.413232","46,49,22",Q65075426,Ost
Uckermarkstrasse,bus,"52.52145144349922, 13.596724604247981",A49,,Ost
Ulmenstrasse,bus,"52.48730877811447, 13.574932033917504",A27,,Ost
VEB Bautransporte,bus,"52.44295541604966, 13.519519091051876",A26,,Ost
VEB Schiffswerft,strassenbahn,"52.42547977761138, 13.586220039541647",83,,Ost
Velten (Mark),s-bahn,"52.685,13.172222",KBS 105,Q19274518,Ost
"Waldesruh, Malhlsdorfer Allee",bus,"52.48493120102871, 13.629069441163518",A8,,Ost
Waldschänke,bus,"52.443318139967566, 13.68593963431219",A22,,Ost
Walterdorfer Chaussee (Spinne),bus,"52.41568773699451, 13.496540075011389","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
Waltersdorf,bus,"52.36492901110609, 13.555712408051676",A38,,Ost
Waltersdorfer Chaussee (Spinne),bus,"52.392853002264665, 13.522677096747554",AD/36,,Ost
Waltersforder Chaussee (Spinne),bus,"52.392853002264665, 13.522677096747554",AZ,,Ost
Warschauer Brücke,strassenbahn,"52.506746741445006, 13.449684491939852","3,4",,Ost
Warschauer Str.,s-bahn,"52.506416666667,13.450955555556","KBS 101,KBS 103,KBS 102",Q111252298,Ost
Warschauer Strasse,bus,"52.512432267445355, 13.452598837307189",O30,,Ost
Warschauer Strasse,strassenbahn,"52.50502,13.44863","3,4,82",Q63490275,Ost
"Wartenberg, Dorfstrasse",bus,"52.57484089632958, 13.518020972979759",A39,,Ost
"Wartenberg, Siedlung",bus,"52.58393195902164, 13.53076033685478",A39,,Ost
Wasserwerk,strassenbahn,"52.4560563,13.6419956",87,Q66362601,Ost
"Waßmannsdorf, Warteh.",bus,"52.37269773285082, 13.465032652682668",AZ,,Ost
"Weißensee, Nüßlerstrasse",bus,"52.56398537909407, 13.469733771213992",A56,,Ost
"Weißensee, Pasedagplatz",strassenbahn,"52.5594027,13.4609594","72, 74","Q65954665, Q65954665",Ost
"Weißensee, Schwarzelfenweg",bus,"52.56729838338304, 13.46535452978551",A45,,Ost
Weißenseer Weg,bus,"52.53305919668049, 13.476252837088406",O37,,Ost
Weißenseer Weg,strassenbahn,"52.532258,13.476705","64,63",Q65942700,Ost
Wendenschloß Ecke Ekhofstrasse,strassenbahn,"52.41633000736971, 13.589690772826726",83,,Ost
Wildau,s-bahn,"52.32,13.634",KBS 103,Q8000974,Ost
Wilhelminenhof- Ecke Edisonstrasse,strassenbahn,"52.4619496,13.5139049","82, 87","Q65951882, Q65951882",Ost
Wilhelminenhofstrasse,strassenbahn,"52.460837970970566, 13.521054382869073",69,,Ost
Wilhelmshagen,s-bahn,"52.4386,13.7222",KBS 102,Q800494,Ost
"Wilhelmsruh, Fontanestrasse",bus,"52.58985938767378, 13.361193570257216","A55,A45",,Ost
Wongrowitzer Strasse,bus,"52.46658608823203, 13.584839227863949",A27,,Ost
Wuhlheide,s-bahn,"52.4689,13.5533",KBS 102,Q800514,Ost
Zentralschule,bus,"52.43465069286089, 13.703692212644038",A22,,Ost
Zentralviehhof,s-bahn,"52.5238,13.4644","KBS 103a,KBS 106",Q800512,Ost
Zepernick (b Bernau),s-bahn,"52.6598,13.5342",KBS 106,Q801657,Ost
Zeuthen,s-bahn,"52.3486,13.6274",KBS 103,Q8069824,Ost
"Ziegenhals, VA Dienststelle",bus,"52.3470916280972, 13.664196000865504",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
