,stop_name,type,in_lines,location,identifier,previous_in_lines
172,"Kaulsdorf, Bausdorfstrasse",Autobus,['A 49'],"52.51256368150751, 13.601906818686038",nan,['A49']+ A49+ A49+ A49
173,Kienbergstrasse,Autobus,['A 24'],,,
174,Kiniprodestrasse Ecke Dimitroffstrasse,strassenbahn,['13'],,,
175,Klein Ziethen,Autobus,['A Z'],"52.379580499215606, 13.44656986522325",nan,AZ+ AZ+ AZ
176,Klement-Gottwald-Allee,strassenbahn,['3'],"52.55195794348502, 13.465463416078652+52.55207481375682, 13.465630856253787+52.55389472455495, 13.467430897209223+52.553895463463604, 13.467472780449688+52.55692922136002, 13.466986575595088",nan,"74E+ 3+ ['99']+ ['70']+ ['70', '29']+ 70+ 20+ 70,29+ 20+ 29"
177,Klement-Gottwald-Allee Ecke Rennbahnstrasse,Autobus,['A 55'],"52.55694652931542, 13.466966083751453",",+nan","A45, A46+ A45,A46+ ['A45']+ ['45']"
178,Klement-Gottwald-Allee/Rennbahnstrasse,Autobus,"['A 46', 'A 45']",,,
179,Klement-Gottwald-Allee/Rennbahnstrasse,strassenbahn,['72'],,,
180,"Klingenberg, Blockdammweg",strassenbahn,['13'],"52.4842462,13.5104609",Q66085182,"['13']+ 13+ 13,82"
181,Klosterstrasse,Omnibus,['O 30'],,,
182,Klosterstrasse,u-bahn,['A'],"52.516111111111, 13.412222222222+52.516111111111,13.412222222222",Q657893,"['A']+ ['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A+ A+ A"
183,Kniprodestrasse,strassenbahn,['4'],"52.5325286,13.4406868",Q65707391,"13,69E,4+ 13,4+ 4,13,69E+ ['13', '4', '69E']+ ['4', '17', '19', '13']"
184,Kniprodestrasse/Ermländische Strasse,Autobus,['A 57'],,,
185,"Kolonie ""Land im Sonne""",Autobus,['A 39'],,,
186,Konsum Wernsdorf,Autobus,['Schmöckwitz - Ziegenhals'],"52.36448396303661, 13.698441127852544",nan,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)
187,Konsum Ziegenhals,Autobus,['Schmöckwitz - Ziegenhals'],"52.353014165379946, 13.671672670712805",nan,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)
188,Kraftwerk Klingenberg,strassenbahn,"['82', '13']","52.4881374,13.4958685","Q66079524+Q66079524, Q66079524","['13']+ ['13']+ ['13', '82']+ 13, 82+ 13,82+ ['82', '13']+ ['82', '13', '21']+ ['82', '21', '13']+ ['13', '21', '82']"
189,Krankenhaus Köpenick,Autobus,['A 27'],"52.4388396,13.5920763","nan+nan, nan","['27']+ ['27']+ 27+ 27+ {'115'}, {'27'}"
190,Krankenhaus Köpenick,strassenbahn,['95'],"52.43861200573594, 13.592411258792163",nan,95+ 95+ ['95']+ ['95']
191,Kurische Strasse,Autobus,['A 9'],"52.53541468899389, 13.439085794623837",nan,A9+ A9+ A9+ ['A9']+ ['9']
192,Kurt-Fischer-Platz,Autobus,['A 7'],"52.57973292845757, 13.398330728468228","nan+nan, nan","['A7']+ A7+ A7+ A7,A7E+ ['A7', 'A50', 'A7E']+ ['7', '50']+ ['33']+ 33+ 33+ {'7'}, {'33'}"
193,Kurt-Fischer-Platz,strassenbahn,"['22', '46']","52.578668,13.3983016",Q65032974,"['22', '46']+ 46E,22,46+ 46,22+ 46,22+ ['22', '46']+ ['22', '46']+ ['22', '46']+ ['22']+ 22+ 22+ 22,121,120"
194,Köllnischer Platz,strassenbahn,"['84', '86']","52.4447189,13.5686225",Q66363379,"['84', '86']+ ['84', '86']+ 86,84+ 84,86"
195,Königstor,Autobus,"['A 57', 'A 9']","52.52520269485428, 13.419834994127731",nan,"['A9', 'A40']+ ['A9', 'O40', 'O30']+ O40,O30,A57,A9+ O40,A57,A9+ A57,A9,O40,O30+ ['A57', 'A9', 'O30', 'O40']+ ['57', '9']"
196,Königstor,Omnibus,['O 40'],,,
197,Königstor,strassenbahn,['74'],"52.52821600265539, 13.423869016265495",nan,"['73', '74']+ ['74']+ 74,74E+ 74E,74+ 74E,74+ ['74', '73']"
198,Köpenickerstrasse Ecke Adalbertstrasse,Omnibus,['1'],,,
199,Küstriner Platz,Omnibus,"['O 30', 'O 40']",,,
200,LPG Falkenberg,Autobus,['A 46'],"52.57043275562403, 13.536024836217607+52.57689764194031, 13.582483848603614",nan,A46+ A46+ ['A46']+ ['L/41']
201,Langhansstrasse Ecke Gustav-Adolf-Strasse,Autobus,"['A 55', 'A 45']","52.55363454206649, 13.43469073771919",nan,A55
202,Leninallee,strassenbahn,['4'],"52.525934, 13.446237+52.5259343,13.4462368+52.532258, 13.476705+52.5342654901113, 13.499735220510763+52.535421935396656, 13.51736507155631",Q65553230+Q65942700+nan,"['13', '4']+ 13,4+ 13,4+ 4,13+ ['13', '4']+ ['4', '13']+ ['3', '4', '21', '13']+ ['29', '13', '4', '21', '3']+ ['12', '20']+ 21,13,4,3+ 20,12+ 21,4,13,3+ 29+ 20,12+ 13,4,3+ 29+ 10,12+ 16"
203,Leninallee Ecke Dimitroffstrasse,strassenbahn,['13'],"52.5259343,13.4462368+52.526376866541014, 13.447609553656962",Q65553230+nan,"['64', '13']+ ['69', '64']+ 21"
204,Leninplatz,Omnibus,['O 40'],,,
205,Leninplatz,strassenbahn,"['1', '63', '69', '64']","52.5232658,13.4326457",Q65553105,"['64']+ ['1', '63', '69', '64']+ 69,64,63,1+ 64,63,1+ 1,63,69,64+ ['63', '64', '82', '69', '74']+ ['63', '69', '74']+ ['17', '63', '74', '15']+ ['11', '63', '18', '15']+ 11,18+ 18,11,63,72,63E"
206,Lerchenstrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.45518873071384, 13.734268401558374",nan,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)
207,Lichtenberger Strasse Ecke Berlinerstrasse,strassenbahn,['72'],,,
208,Lichtenberger Strasse Ecke Berlinerstrasse,strassenbahn,['74'],,,
209,Lichtenberger Strasse Ecke Buschallee,strassenbahn,['70'],,,
210,Lindenberg,Autobus,['A L'],"52.602597712625055, 13.5250306401055",nan,['AL']+ AL+ AL+ AL
211,Lindenstrasse Ecke Bahnhofstrasse,strassenbahn,['95'],"52.4505094,13.572684",Q66095701,"['87', '95']+ ['83', '87', '95', '86']+ ['84', '82', '83', '86']+ 86,84,83+ 83,86,84+ ['86', '83', '83E']+ ['86', '83']"
212,Luxemburgplatz,u-bahn,['A'],"52.528333333333,13.410277777778",Q658790,"['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']"
213,Magdalenenstrasse,u-bahn,['E'],"52.5125,13.486388888889",Q473901,['E']+ ['E']+ ['E']+ E+ E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
214,Mahlsdorf-Süd,strassenbahn,['83'],"52.4741663,13.5991443",Q66368466,"83+ 83+ 83+ ['83']+ ['83']+ ['83']+ ['83', '82']+ 83,82+ 83,82+ 83,82"
215,"Mahlsdorf-Süd, Hubertus",strassenbahn,"['82', '86']","52.4741663,13.5991443",Q66368466,"['83', '86']+ ['83', '86']+ 86,82+ 86,82+ 86,82+ ['82', '86']+ ['82']+ ['82', '86']"
216,"Malchow, Dorfstrasse",Autobus,"['A 46', 'A L']","52.580462270708544, 13.482797576255583",nan,"['A46', 'AL']+ AL,A46+ AL,A46+ AL,A46+ ['AL', 'A46']+ ['L/41']"
217,Malchower Weg,Autobus,['A 46'],"52.56152031238405, 13.500485897507804",nan,['A46']+ A46+ A46+ A46+ ['A46']+ ['L/41']
218,Marchlewskistrasse,u-bahn,['E'],"52.516794444444,13.444991666667",Q551768,['E']+ ['E']+ E+ E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
219,Margaretenaue,strassenbahn,['49'],,,
220,Markgrafendamm,Autobus,['A 82 P'],"52.49919969372071, 13.465742293248686",nan,['A82P']+ A82P+ A82P+ 82P+ ['82P']+ ['34']+ 34+ 34
221,Marx-Engels-Platz,Autobus,"['A 57', 'A 9']","52.51617617310524, 13.400937413635054",nan,"A57,A9+ A57,A9+ A9,A57+ ['57']"
222,"Marzahn, Berliner Chaussee",Autobus,['A 43'],"52.54286481407268, 13.550124906736844+52.54469782123951, 13.564560329042491",nan,A43+ A43+ A43+ ['A43']
223,Marzahner Chaussee,Omnibus,['O 37'],,,
224,Molkenmarkt,strassenbahn,"['72', '74', '71']","52.51679321421663, 13.409330619020574",nan,"['72', '82', '64', '73', '65', '60']+ ['73', '82', '72']+ ['74', '82', '72']+ 72,74E,74+ 74,72"
225,Müggelheim,Autobus,['A 27'],"52.41018331064196, 13.665897531850348",nan,"['27']+ A27+ A27+ ['A27']+ ['27', '27E']"
226,Müggelseeperle,Autobus,['A 27'],"52.42170168937569, 13.640893083169368","nan+nan, nan","A27+ A27+ ['A27']+ 27+ 27+ {'115'}, {'27'}"
227,Neu-Lindenberg,Autobus,['A L'],"52.600885625411856, 13.554794085696633",nan,AL+ AL+ AL+ ['AL']+ ['41']+ 41+ 41+ 41
228,Nordend,Autobus,['A 7'],"52.59006569360479, 13.401740566033476+52.5902104,13.4027524",nan,"A7+ A7+ A7,A7E+ ['A7', 'A7E']+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7"
229,Nordend,strassenbahn,['46'],"52.5902104,13.4027524",Q65032696,"['199', '47']+ 46+ 46+ 46+ ['46']+ ['46']+ ['46']+ ['46']+ 46+ 46+ 121,46"
230,Nordendstrasse,strassenbahn,['22'],"52.588534,13.3882952",Q65428345,"['22']+ 22+ 22+ 22+ ['22']+ ['22']+ ['22']+ ['22']+ 22+ 22+ 22,120"
231,Normanenstrasse,Autobus,['A 23'],,,
232,"Oberspree, Bruno-Bürgel-Weg",strassenbahn,['92'],"52.452777014581045, 13.537124836409932",nan,92+ 92+ ['92']
233,Omnibus-Bf. Lichtenberger Strasse,strassenbahn,['3'],,,
234,Oranienburger Tor,Autobus,"['A 9', 'A 59']","52.52716314203455, 13.38710905184874",nan,"['A40']+ ['A9', 'O40']+ O40+ O40,A9+ A9,O40,A59+ ['A57', 'O40']+ ['59', '57']+ ['30', '57']+ ['30', '57', '40']+ 57,59,30,40+ 57/E,40,59,30+ 57,59,30,40"
235,Oranienburger Tor,Omnibus,['O 40'],,,
236,Oranienburger Tor,strassenbahn,"['1', '46', '70', '11', '69']","52.5256031,13.3872745+52.539688922405084, 13.205173102056984",Q65095375+nan,"['75']+ ['46', '1', '70']+ ['46', '11', '70', '69', '1']+ 69,70,46+ 46,70,11,1+ 11,1,70,46,69+ ['71', '69', '46', '70']+ ['71', '63', '70', '69', '73', '46']+ ['73', '46', '70', '63', '71', '22']+ ['71', '22', '63', '70', '46', '24']+ 22,71,70,63,46+ 22,71,70,63,72,46+ 108,121,22,71,70,63,46"
237,Ossietzkyplatz,strassenbahn,['46'],"52.58100580136794, 13.404014807678767+52.58108768165445, 13.404146422757542",nan,"['46']+ ['46']+ 46E,46+ 46+ 46+ ['46']"
238,Ostbahnhof,Omnibus,['O 40'],,,
239,Ostbahnhof,strassenbahn,"['82', '1']","52.509107635417394, 13.43550619008533",nan,"['82']+ 82+ 82,1+ 1,82+ ['82', '4']"
240,Pankow (Vinetastrasse),u-bahn,['A'],"52.559166666667,13.413333333333",Q570906,"['A I']+ ['A I']+ A I,A II+ A+ A+ ['A']+ ['A']+ ['A']+ ['A']+ A"
241,"Pankow, Kirche",Autobus,"['A 55', 'A 58', 'A 45']","52.57124680898358, 13.410670715665145","nan+nan, nan","['A7']+ A45,A55+ A55,A45+ A45,A55,A58+ ['A58', 'A45']+ ['45', '55', '58']+ ['45', '7', '33']+ ['33', '7']+ 7,33+ 7,33+ {'7', '109'}, {'33'}"
242,"Pankow, Kirche",strassenbahn,"['22', '49', '46']","52.5706452,13.4103115",Q65055066,"['49', '24', '46']+ ['22', '49', '46']+ 49,46E,22,46+ 49,22+ 46,49,22+ ['49', '22', '46']+ ['22', '49', '46']+ ['22', '49', '46']+ ['49', '46', '22']+ 49,22,46+ 49,22,46+ 121,22,120,49,46"
243,"Pankow, Rathaus",Autobus,"['A 45', 'A 55', 'A 58', 'A 7']","52.56953908840178, 13.404186437171612",nan,"['A7']+ ['A7']+ A7,A45,A55+ A55,A45,A7+ A7,A45,A55,A58,A7E+ ['A7', 'A50', 'A7E']+ ['45', '55', '7', '58']+ ['45', '7', '33', '55']+ ['45']+ 45+ 45+ 45"
244,"Pankow, Rathaus",strassenbahn,"['22', '46']","52.5694816,13.4038045",Q65055060,"['24', '23', '46']+ 46E,22,46+ 46+ ['22']+ ['22', '46']+ ['22', '46']+ 22,46+ 22,46+ 22,46,121,120"
245,Parkstrasse Ecke An der Wuhlheide,strassenbahn,['82'],,,
246,Parkstrasse Ecke An der Wulheide,strassenbahn,['95'],,,
247,Parkstrasse Ecke Lindenstrasse,strassenbahn,['87'],,,
248,Pielsporter Strasse,Autobus,['A 55'],,,
249,Platz vor dem Neuen Tor,Autobus,['A 9'],"52.52921245715711, 13.378513556812177",nan,A9+ A9+ ['A57']+ ['57']+ ['57']+ ['57']+ 57+ 57/E+ 57
250,Post,Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.47029587176764, 13.786537970773646",nan,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)"
251,Prenzlauer Allee,strassenbahn,['4'],"52.52702151127797, 13.415644211224935+52.539178850458995, 13.424228356113515+52.5396522,13.4244789+52.55112114420164, 13.442654335995105+52.551198738188624, 13.430193229463164",Q65222180+nan,"['72', '73']+ ['13', '4']+ 13,4+ 13,4+ 4,13+ ['13', '4', '71', '72']+ ['4', '13']+ ['3', '13', '21', '4', '63']+ ['15', '63']+ ['13', '21', '4']+ ['3']+ 15,63,18+ 21,4,13+ 3+ 63+ 21,4,13+ 3+ 108,11,63,63E+ 21,13,4,102"
252,Prenzlauer Allee Ecke Dimitroffstrasse,strassenbahn,['13'],,,
253,Prenzlauer Promenade,Autobus,['A 56'],"52.5516751737526, 13.430326005865055+52.55642439286142, 13.429121028483438+52.57204735311074, 13.428760800434935",nan,"A56+ ['55', '42', '31']+ ['45', '42', '55']+ ['45', '55']+ ['56']+ 45,56+ 55+ 56E,56,45+ 55+ 56,45+ 55"
254,Prenzlauer Promenade,strassenbahn,"['70', '72', '3']","52.55155536618067, 13.43032253030515",nan,"['73']+ 70,3,72+ 72,3,70+ 3,70,72+ ['71', '70', '72', '3']+ ['70', '71', '3', '72']+ 3,113,71,103,72"
255,Prenzlauer Promenade (Spitze),Autobus,['A 42'],"52.5516751737526, 13.430326005865055+52.55169017006126, 13.430288457592285",nan,A56+ A42+ A42
256,Prenzlauer Promenade (Spitze),strassenbahn,['71'],,,
257,Prenzlauer Promenade Ecke Granitzstrasse,Autobus,['A 55'],"52.572092016203484, 13.42875772052513",nan,A55+ A55
258,Prenzlauer Promenade Ecke Kissingenstrasse,Autobus,['A 45'],"52.56795804833996, 13.427734373319213",nan,A45+ A45+ A45+ ['A45']+ ['45']
259,Prenzlauer Tor,Omnibus,['O 40'],,,
260,Prenzlauer Tor,strassenbahn,['71'],"52.52709114016772, 13.415809370320808",nan,"['71']+ 71,72+ 71+ 71+ ['71', '72', '73']+ ['63']"
261,Proskauerstrasse Ecke Dolziger Strasse,Omnibus,['O 30'],,,
262,Rahnsdorf,strassenbahn,['87'],"52.443531694444445,13.685038",Q66361311,"['87']+ ['87']+ 87+ 87+ 87+ ['87']+ ['87']+ ['25']+ ['25']+ 25+ 25+ 124,25"
263,Rahnsdorfer Strasse Ecke Hultschiner Damm,strassenbahn,['83'],,,
264,Rennbahnstrasse Ecke Bernkasteler Strasse,strassenbahn,['74'],,,
265,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,Autobus,['A 56'],"52.56218648050474, 13.454267038723398",nan,A56+ A56+ A56+ ['A56']
266,Richtershorn,strassenbahn,['86'],"52.40105,13.6248473",Q66481215,"['86']+ ['86']+ 86+ 86+ 86+ ['86']+ ['86']+ ['86']+ ['86']+ 86+ 124,86"
267,Ridbacher Strasse,Autobus,['A 49'],"52.527457204488485, 13.606447755554132",nan,['A49']+ A49+ A49+ A49+ ['A49']
268,Robert-Koch-Platz,Autobus,['A 57'],"52.527570508835595, 13.37877230286134",nan,"['A40']+ ['O40']+ O40,A57+ O40,A57+ A57,O40+ ['A18', 'O30', 'O40']+ ['40', '18', '30']+ ['30']+ ['30', '40']+ 40,30+ 40,30+ 40,30"
269,Robert-Koch-Platz,Omnibus,['O 40'],,,
270,Roederplatz,Omnibus,['O 30'],,,
271,Roederplatz,strassenbahn,"['69', '3']","52.5266001,13.479068",Q65685373,"['3', '69']+ 69,3,69E+ 3+ 3,69,69E+ ['69', '69E', '3']+ ['17', '19', '3', '69']"
272,"Rosenthal, Haupstrasse",strassenbahn,['22'],,,
273,Rosenthaler Platz,Omnibus,['O 40'],,,
274,Rosenthaler Platz,strassenbahn,"['22', '49', '82']","52.5301769,13.4016121","Q65093945+Q65093945, Q65093945","['1']+ ['49']+ ['1', '22', '49', '11']+ 1,49,22,11+ 22,11,1, 49+ 49,1,11,22+ ['82', '49']+ ['49']+ ['17', '49']+ ['11', '49']+ 49,11,18+ 49,11+ 49,11,18"
275,Rosenthaler Strasse,strassenbahn,['49'],"52.526863056079485, 13.403424759115316+52.52972250230036, 13.401399490581403+52.59633,13.432876",Q66192394+nan,['1']+ 49+ ['49']+ 49+ 18+ 49
276,"Rüdersdorf, Karl-Marx-Platz",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.468598623083736, 13.791633300477105",nan,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)"
277,"Rüdersdorf, Thälmannplatz",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']",,,
278,S-Bhf. Adlershof,strassenbahn,['84'],"52.435251,13.5408489",Q66363728,"['84']+ 84+ 84+ 84+ ['84']+ ['84']+ ['84']+ ['84']+ 84+ 84+ 84,114"
279,S-Bhf. Alexanderplatz,Autobus,"['A 57', 'A 9']","52.52074877770386, 13.412147230655155",nan,"O30,A57,A9+ O30,A57,A9+ A9,A57"
280,S-Bhf. Alexanderplatz,Omnibus,['O 30'],,,
281,S-Bhf. Altglienicke,Autobus,['A 23'],"52.40840519773821, 13.558816171743953",nan,A23+ ['A23']+ ['23']+ ['23']+ ['23']+ 23+ 23+ 23
282,S-Bhf. Baumschulenweg,Autobus,['A 47'],"52.4674967534767, 13.489379882069517",nan,"A47+ A47+ A47+ ['A47']+ ['47']+ ['47', '66', '65']+ ['47']+ 65,47+ 47+ 47"
283,S-Bhf. Baumschulenweg,strassenbahn,"['95P', '95']","52.467425320387854, 13.489303343986984+52.46749282015981, 13.489379267619205",nan,"95,95P+ 92+ ['92']+ ['21']"
284,S-Bhf. Biesdorf,Omnibus,['O 37'],,,
285,S-Bhf. Friedrichsfelde-Ost,Autobus,['A 43'],"52.51324537165634, 13.524030584354616",nan,['A43']+ A43+ A43+ A43+ ['A43']
286,S-Bhf. Friedrichshagen,Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.45731046148184, 13.625536519339297",nan,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)"
287,S-Bhf. Friedrichshagen,strassenbahn,"['84', '87']","52.4564126,13.6253656+52.4576956,13.6266712","Q66360784+Q66499230+Q66499230, Q66499230","['84', '87']+ 87,84+ 84,87+ 84,87+ ['84', '87']+ ['87', '84']+ ['25', '84']+ ['S-Bhf. Friedrichshagen <> Alt-Rüdersdorf', '84', '25']+ S-Bhf. Friedrichshagen <> Rüdersdorf,84,25+ S-Bhf. Friedrichshagen <> Rüdersdorf,84,25+ {'124'}, {'25', '84'}"
288,S-Bhf. Greifswalder Strasse,strassenbahn,['74'],"52.5407234,13.4382904",Q65548932,"['74']+ 74,74E+ 74E,74+ 74E,74+ ['74']+ ['74', '75']+ 24+ 24,28"
289,S-Bhf. Grünau,Autobus,"['A 36', 'A 38']","52.41361515857581, 13.573796290663196",nan,"['A36']+ ['A36', 'A38']+ A38,AZ,AD/36+ AD/36,A38,AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)+ AD,A38,A36+ ['A36', 'AD/38']+ ['36']+ ['36', '38']+ ['36', '38']+ 36,38,37+ 36,38,37+ 37,38,36"
290,S-Bhf. Grünau,strassenbahn,['86'],"52.413493,13.5746802",Q62470512,"86+ 86+ ['86']+ ['86']+ ['86']+ ['86']+ 86+ 124,86"
291,S-Bhf. Grünbergallee,Autobus,['A 36'],"52.39982232817773, 13.540170966673278","nan+nan, nan","A36+ ['A23', 'A36']+ ['23', '36']+ ['36', '23']+ ['23', '36']+ 36,23+ 36,23+ {'23'}, {'36'}"
292,S-Bhf. Jannowitzbrücke,strassenbahn,"['22', '82', '64', '71', '11']","52.51478599600389, 13.418056238742702",nan,"64,11,82+ 11,64,74E,82,22+ ['74', '64']"
293,S-Bhf. Karlshorst,strassenbahn,['69'],"52.481331,13.5254433",Q65952829,"['69']+ 69,69E+ 69+ 69,69E+ ['69', '69E']+ ['69']"
294,"S-Bhf. Kaulsdorf, Planitzstrasse",Autobus,['A 27'],"52.51113864301491, 13.58755467300039",nan,['A27']+ A27+ A27+ A27+ ['A27']+ ['27']
295,S-Bhf. Köpenick,Autobus,['A 27'],"52.45882190200453, 13.579564677172508","nan+nan, nan","['A27']+ A27+ A27+ A27+ ['A27']+ ['27', '27E']+ ['27']+ ['27', '68']+ 27,68+ 27,69,68+ {'115', '69'}, {'68', '27'}"
296,S-Bhf. Köpenick,strassenbahn,"['82', '86', '83']","52.4582153,13.5790435",Q66370784,"['83']+ ['82', '83', '86']+ 86,82,83+ 83,86,82+ 83,86,82+ ['82', '86', '83', '83E']+ ['86', '83', '82']+ ['82', '86', '83']+ ['83', '86', '82']+ 83,82+ 83,82,86+ 83,82,83E,86"
297,S-Bhf. Mahlsdorf,Autobus,"['A 44', 'A 44 E']","52.51234908870327, 13.61221793610957","nan+nan, nan","['A44E', 'A44']+ A44E,A44+ A44,A44E+ A44,A44E+ ['A44', 'A44E']+ ['44E', '44']+ ['44E', '44']+ ['44']+ 95,44+ 99,95,44+ {'107'}, {'99', '95', '44'}"
298,S-Bhf. Mahlsdorf,strassenbahn,['83'],"52.51221826761895, 13.612190748726157",nan,['83']+ ['83']+ 83+ 83+ 83+ ['83']+ ['83']+ ['83']+ ['83']+ 83+ 83+ 83
299,S-Bhf. Marx-Engels-Platz,strassenbahn,['49'],,,
300,S-Bhf. Ostkreuz,strassenbahn,['82'],"52.50243021718411, 13.469020052690205",nan,['82']+ 82+ 82+ 82+ ['82']+ ['82']+ ['82']+ ['82']+ 82+ 82+ 82
301,S-Bhf. Pankow,Autobus,"['A 55', 'A 58', 'A 45']","52.56742037379333, 13.412250129587665","nan+nan, nan","A55+ A55,A58+ ['A58']+ ['58']+ ['45', '7', '33', '55']+ ['45', '55', '33', '7']+ 33,55,45,7+ 7,45,33+ {'7', '109', '101'}, {'33', '45'}"
302,S-Bhf. Pankow,strassenbahn,"['22', '49', '46']","52.5675692,13.4121641",Q65055075,"46,49,22+ 46,49,22+ ['22', '49', '46']+ ['49', '46', '22']+ 49,22,46+ 49,22,46+ 22,121,46"
303,S-Bhf. Pankow-Heinersdorf,strassenbahn,['49'],"52.577507820515834, 13.427853061920917",nan,"['49']+ ['49']+ 49+ 49+ 49+ ['49']+ ['49']+ ['49']+ ['49']+ 49+ 49+ 49,120"
304,S-Bhf. Plänterwald,strassenbahn,"['87', '92']","52.479645467025435, 13.47567729609248",nan,"92,87+ 87,95+ ['95', '87']+ ['87', '95']"
305,S-Bhf. Prenzlauer Allee,strassenbahn,"['72', '71']","52.5448075,13.427408",Q65219791,"['71', '72']+ 71,72+ 72,71+ 71,72+ ['71', '72']+ ['71', '72']+ ['72', '71']+ ['71', '20', '72']+ 71,20,72+ 20,72,71+ 20,113,71,70,72"
306,S-Bhf. Rahnsdorf,Autobus,"['A 22', 'S-Bhf. Rahnsdorf - Woltersdorfer Schleuse']","52.451628368326396, 13.691579101298974",nan,"['A22']+ A22+ A22,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)+ A22+ ['A22']+ ['22']+ ['61']+ 61+ 61+ 61"
307,S-Bhf. Rummelsburg,Omnibus,['O 30'],,,
308,S-Bhf. Schönhauser Allee,strassenbahn,"['22', '49', '46']","52.5493619,13.4135734",Q65088013,"['49']+ ['22', '49', '46']+ 46,49,22+ 46,49,22+ ['49', '22', '46']+ ['22', '49', '46']+ ['22', '49', '46']"
309,S-Bhf. Spindlersfeld,strassenbahn,['84'],"52.4457311,13.5624298",Q66363397,"['84']+ 84+ 84+ 84+ ['84']+ ['84']+ ['84']+ ['84']+ 84+ 84+ 84,114"
310,S-Bhf. Treptower Park,Autobus,['A 47'],"52.49403640886682, 13.460762565516704","nan+nan, nan","A47+ A47+ A47+ ['A47']+ ['47']+ ['64', '67', '65', '47', '66']+ ['47', '64', '65', '66', '67']+ 64,47,67,66,65+ 64,47,67,66,65+ {'109', '64'}, {'66', '65', '47', '67'}"
311,S-Bhf. Warschauer Strasse,strassenbahn,"['3', '4']","52.506416666667,13.450955555556+52.5080429,13.4505973",Q111252298+Q65706190,"4,3+ 4,3+ 4,3+ 4,3"
312,S-Bhf. Wilhelmshagen,Autobus,['A 22'],"52.43886122089184, 13.721060252199655",nan,['A22']+ A22+ A22+ A22+ ['A22']+ ['22']+ ['61']+ 61+ 61+ 61
313,Saarbrücker Strasse Ecke Prenzlauer Allee,strassenbahn,"['72', '71']",,,
314,Sadowastrasse,Autobus,['A 8'],"52.482675472271694, 13.584833068425244",nan,"A8+ A8,A8E+ A8,A8E+ ['A8E']+ ['8']+ ['8']+ ['8']"
315,Samariterstrasse,u-bahn,['E'],"52.514722222222,13.464444444444",Q552891,['E']+ ['E']+ ['E']+ E+ E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
316,Scharnhorststrasse,Autobus,['A 57'],"52.530048717863, 13.374421833191816",nan,A57+ ['57']+ ['57']+ ['57']+ 57+ 57/E+ 57
317,Scharnhorststrasse Ecke Kieler Strasse,Autobus,['A 9'],"52.534358722624745, 13.370310836134667",nan,A9+ A9
318,"Schildow, Kirche",Autobus,['A 7'],"52.63581867397586, 13.377719168374458",nan,"['A7']+ A7+ A7+ A7,A7E,AS+ ['A7', 'A7E']+ ['7']"
319,Schillingstrasse,u-bahn,['E'],"52.520277777778,13.421666666667+52.520278,13.421667+52.5203281262719, 13.421918670116558",Q552899,['E']+ ['E']+ ['E']+ E+ E+ E+ ['E']+ ['E']+ ['E']+ ['E']+ E+ E+ E
320,Schumannstrasse,Autobus,['A 57'],"52.52350700053633, 13.379478600060418",nan,A57+ ['18']+ ['78']+ 78+ 78+ 78
321,Schönefeld Gargenstrasse,Autobus,['A 36'],,,
322,"Schönefeld, Flughafen Nord",Autobus,['A 24'],,,
323,"Schönefeld, Flughafen Süd",Autobus,['A 24'],,,
324,"Schönefeld, Gartenstrasse",Autobus,['A 36'],,,
325,"Schönefeld, Kirche",Autobus,"['A Z', 'A 24']","52.387425080944524, 13.505964115736859",nan,"AZ,A36+ ['A36']"
326,Schönefelder Chaussee,Autobus,['A 23'],"52.409778884134546, 13.526974904149686",nan,A23+ ['23']+ ['23']+ 23+ 23
