line_id,jahr,linien_name,typ,dauer (min),ost_west,frequenz,länge (km),start,ziel
19564,1956,3,straßenbahn,81.0,West,10,,"Neukölln, Hermannplatz",Grüntalerstrasse Ecke Osloer Strasse
19565,1956,4,straßenbahn,27.0,both/unkown,5,6.32,Mühlenstrasse,Oderberger Strasse
19566,1956,6,straßenbahn,58.0,West,10,,Bhf. Zoo,Elsenstrasse Ecke Heidelbergerstrasse
19567,1956,11,straßenbahn,23.0,Ost,20,5.43,Köpenicker Strasse Ecke Adalbertstrasse,Hannoversche Strasse
19568,1956,13,straßenbahn,37.0,Ost,15,9.91,"Klingenberg, Blockdammweg",Oderberger Strasse
19569,1956,15,straßenbahn,36.0,West,15,,Daimlerstrasse,Schulenburgpark
195610,1956,22,straßenbahn,49.0,Ost,12,11.65,Bhf. Rosenthal,Elisabethstrasse
195611,1956,23,straßenbahn,29.0,West,15,,Bhf. Wollankstrasse,"Moabit, Zwinglistrasse"
195612,1956,24,straßenbahn,14.0,West,15,,Bhf. Wollankstrasse,Bernauerstrasse Ecke Wollinerstrasse
195613,1956,25,straßenbahn,77.0,West,15,,"Tegel, Alt-Tegel","Schöneberg, Gotenstrasse"
195614,1956,26,straßenbahn,31.0,West,15,,Spreewaldplatz,"Tempelhof, Industriestrasse"
195615,1956,27,straßenbahn,26.0,West,10,,"Neukölln, Hermannplatz","Buckow, Alt-Buckow"
195616,1956,28,straßenbahn,59.0,West,20,,"Tegelort, Kurzestrasse",Rügenesrstrasse Ecke Brunnenstrasse
195617,1956,29,straßenbahn,57.0,West,20,,"Heiligensee, Dorfaue",Rügenerstrasse Ecke Brunnenstrasse
195618,1956,35,straßenbahn,48.0,West,15,,"Siemensstradt, Nonnendammallee","Reinickendorf, Teichstrasse Ecke Humboldtstrasse"
195619,1956,36,straßenbahn,20.0,West,15,,Bhf. Wilhelmsruh,Rügenerstrasse Ecke Brunnenstrasse
195620,1956,40,straßenbahn,20.0,West,15,,"Dahlem, Clayallee","Steglitz, Birkbuschstrasse Ecke Siemensstrasse"
195621,1956,41,straßenbahn,44.0,West,15,,"Tegel, Alt-Tegel",Bernauerstrasse Ecke Wollinerstrasse
195622,1956,44,straßenbahn,56.0,West,15,,"Sandkrugbrücke, Lehrter Bahnhof",Birkbuschstrasse Ecke Siemensstrasse
195623,1956,46,straßenbahn,49.0,Ost,12,11.75,"Niederschönhausen, Schillerstrasse",Am Kupfergraben
195624,1956,47,straßenbahn,34.0,West,10,,Hermannplatz,"Rudow, Bahnhofstrasse"
195625,1956,49,straßenbahn,42.0,Ost,16,10.38,Buchholz,Große Präsidentenstrasse
195626,1956,51,straßenbahn,23.0,West,20,,"Roseneck, Grunewald",Bhf. Zoo
195627,1956,54,straßenbahn,51.0,West,15,,"Spandau, Johannesstift",Bhf. Zoo
195628,1956,55,straßenbahn,48.0,West,12,,"Spandau, Nauenerstrasse",Bhf. Zoo
195629,1956,60,straßenbahn,49.0,West,15,,Königin-Elisabeth-Strasse Ecke Kaiserdamm,Lindenhof Eythstrasse
195630,1956,63,straßenbahn,41.0,Ost,20,10.16,"Hohenschönhausen, Gartenstadt",Große Präsidentenstrasse
195631,1956,64,straßenbahn,39.0,Ost,20,12.08,"Hohenschönhausen, Falkenberger Strasse","Dönhoffplatz, Krausenstrasse"
195632,1956,66,straßenbahn,12.0,West,10,,Belziger Strasse Ecke Martin-Luther-Strasse,Thorwaldsenstrasse Ecke Grazer Damm
195633,1956,68,straßenbahn,27.0,West,15,,"Bhf. Wittenau, Nordbahn, Cyclopstrasse",Nettelbeckplatz
195634,1956,69,straßenbahn,79.0,Ost,20,21.39,"Johannisthal, Haeckelstrasse",Walter-Ulbricht-Stadion
195635,1956,70,straßenbahn,52.0,Ost,12,12.43,"Hohenschönhausen, Falkenberger Strasse",Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse
195636,1956,71,straßenbahn,31.0,Ost,10,7.56,"Heinersdorf, Romain-Rolland-Str.","Jüdenstrasse, Berliner Rathaus"
195637,1956,72,straßenbahn,42.0,Ost,10,10.39,"Weißensee, Rennbahnstrasse Ecke Parkstrasse",Charlottenstrasse Ecke Taubenstrasse
195638,1956,73,straßenbahn,41.0,West,20,,Bhf. Lichterfelde-Ost,"Potsdamer Platz, Linkstrasse"
195639,1956,74,straßenbahn,38.0,West,20,,"Lichtefelde, Finckensteinallee","Potsdamer Platz, Linkstrasse"
195640,1956,74,straßenbahn,38.0,Ost,6,9.4,"Wießensee, Rennbahnstrasse Ecke Parkstrasse",Charlottenstrasse Ecke Taubenstrasse
195641,1956,75,straßenbahn,59.0,West,10,,"Bhf. Zoo, Kantstrasse",Hakenfelde
195642,1956,77,straßenbahn,45.0,West,20,,Bhf. Zoo,"Lichterfelde, Goerzallee"
195643,1956,78,straßenbahn,44.0,West,20,,Bhf. Zoo,Lindenstrasse
195644,1956,82,straßenbahn,73.0,Ost,20,21.53,"Dönhoffplatz, Krausenstrasse","Köpenick, Hirtestrasse"
195645,1956,83,straßenbahn,47.0,Ost,20,12.23,Wendenschloß Ecke Ekhofstrasse,S-Bhf. Mahlsdorf
195646,1956,84,straßenbahn,52.0,Ost,20,13.6,"Altglienicke, Am Falkenberg","Friedrichshagen, Wasserwerk"
195647,1956,86,straßenbahn,53.0,Ost,20,16.17,Alt-Schmöckwitz,"Mahlsdorf-Süd, Hubertus"
195648,1956,87,straßenbahn,73.0,Ost,20,21.58,Rahnsdorf,Wiener Brücke
195649,1956,88,straßenbahn,45.0,West,15,,Stadtpark,Wiener Brücke
195650,1956,91,straßenbahn,23.0,Ost,20,6.33,"Treptow, Spreeterrassen","Johannisthal, Haeckelstrasse"
195651,1956,92,straßenbahn,28.0,Ost,20,8.21,"Treptow, Flutgraben",Oberspree
195652,1956,94,straßenbahn,20.0,West,15,,"Oranienplatz, Dresdenerstrasse","Neukölln, Schulenburgpark"
195653,1956,95,straßenbahn,42.0,West,15,,Attilaplatz,Sonnenallee Ecke Schwarzer Weg
195654,1956,95,straßenbahn,37.0,Ost,20,10.95,"Baumschulenweg, Sonnenallee","Köpenick, Krankenhaus"
195655,1956,96,straßenbahn,32.0,West,15,,U-Bhf. Tempelhof,"Lichterfelde-Süd, Schwelmerstrasse"
195656,1956,96,straßenbahn,24.0,Ost,20,6.96,Machnower Schleuse,"Teltow, Paul-Gerhardt-Strasse"
195657,1956,98,straßenbahn,35.0,West,15,,Mehringplatz (Hallesches Tor),Daimlerstrasse Ecke Birnhornweg
195658,1956,99,straßenbahn,49.0,West,15,,"Lindenstrasse, Jerusalemer Kirche",Bhf. Lichtenrade
195659,1956,A I,u-bahn,50.0,West,10,,Pankow (Vinetastr.),Ruhleben
195660,1956,A II,u-bahn,38.0,West,10,,Kottbusser Tor,Krumme Lanke
195661,1956,A III,u-bahn,1.0,West,10,,Deutsches Opernhaus (Bismarckstr.),Richard-Wagner-Platz
195662,1956,A1,autobus,57.0,West,15,,"Moabit, Waldstrasse","Lichterfelde, Süd, Lindenstrasse"
195663,1956,A10,autobus,58.0,West,15,,"Haselhorst, Kirche","Zehlendorf, Andreezeile Ecke Sachtlebenstrasse"
195664,1956,A11,autobus,26.0,West,5,,Saargemünder Strasse,Trippsteinstrasse Ecke Sonderhauserstrasse
