Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
614,Potsdamer Chaussee Ecke Spanische Allee,bus,['A3'],"52.42963465458752, 13.224071111730964",,['A3'],
615,Potsdamer Platz,s-bahn,"['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']","52.5094,13.3766",Q106086519,"['KBS 106', 'KBS 105', 'KBS 104']+ KBS 106,KBS 105,KBS 104",Potsdamer Platz S-Bahn station
616,Potsdamer Platz,u-bahn,['A I'],"52.5092,13.3782",Q3909578,"['A I']+ A I,A II",Potsdamer Platz metro station
617,"Potsdamer Platz, Link-Strasse",strassenbahn,['74'],"52.50857621565561, 13.377066568372287",,,
618,"Potsdamer Platz, Linkstrasse",strassenbahn,['73'],"52.50856492805897, 13.377132677663122",,"['74', '73']",
619,"Potsdamer Platz, Voßstrasse",strassenbahn,['21'],"52.51080031175334, 13.376775026785616",,,
620,Potsdamer Platz/Leipziger Platz,bus,['A19'],"52.50964447511247, 13.3785355856981",,,
621,Potsdamerstrasse Ecke Bülowstrasse,strassenbahn,['2'],"52.49781306441612, 13.361994406011867",,,
622,Potsdamerstrasse Ecke Goebenstrasse,strassenbahn,['3'],"52.494344275679865, 13.361054496551246",,,
623,Potsdamerstrasse Ecke Lichterfelderstrasse,strassenbahn,['96'],"52.40068930711306, 13.268956373605304",,,
624,Potsdamerstrasse Ecke Lützowstrasse,strassenbahn,['88'],"52.50308960322814, 13.365693026618919",,['88'],
625,Prenzlauer Allee,s-bahn,['KBS 100'],"52.544775,13.426116",Q32661483,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']+ KBS 100,KBS 100c,KBS 103a,KBS 100b+ KBS 106+ KBS 106a,KBS 104,KBS 106",Berlin Prenzlauer Allee station+ Berlin Prenzlauer Allee station+ Berlin Prenzlauer Allee station
626,Prenzlauer Allee/Prenzlauer Promenade,strassenbahn,['3'],"52.55116738477055, 13.43021967382201",,,
627,Prenzlauer Promenade Ecke Berlinerstrasse,bus,['A45'],"52.560601798231446, 13.427965088929291",,,
628,Prenzlauer Promenade Ecke Krügerstrasse,strassenbahn,['70'],"52.55120551355978, 13.430197311318913",,,
629,Prenzlauer Promenade Ecke Prenzlauer Allee,strassenbahn,['71'],"52.55117989834318, 13.43017172356148",,,
630,Prenzlauer Tor,strassenbahn,['71'],"52.52709114016772, 13.415809370320808",,"71,72+ 71+ 71",Prenzlauer Tor+ Prenzlauer Tor+ Prenzlauer Tor
631,Prenzlauerstrasse Ecke Dimitroffstrasse,strassenbahn,['4'],"52.539207452865114, 13.424233081876855",,,
632,Prenzlauerstrasse Ecke Memhardtstrasse,strassenbahn,['65'],"52.52451131506197, 13.40793070363539",,,
633,Priesterweg,s-bahn,"['KBS 106', 'KBS 105b']","52.4601,13.3563",Q800508,"['KBS 106', 'KBS 105']+ KBS 106,KBS 105+ KBS 105,KBS 106+ KBS 100d,KBS 100c",Priesterweg railway station+ Priesterweg railway station+ Priesterweg railway station
634,Prinzenallee Ecke Osloerstrasse,strassenbahn,['3'],"52.5559072,13.3837614",Q65807451,,
635,Prinzengarten,bus,['A27'],"52.421682526971836, 13.640756595585955",,,
636,Prinzenstrasse,strassenbahn,['1'],"52.49844682801838, 13.406632405808303",,,
637,Prinzenstrasse,u-bahn,"['B I', 'B II']","52.498333333333,13.406111111111",Q689797,['A II']+ A II,
638,Prinzenstrasse Ecke Badstrasse,strassenbahn,['24'],"52.55233783085044, 13.381467926983843",,,
639,Putlitzstr.,s-bahn,['KBS 100'],"52.536,13.344",Q465972,"['KBS 100', 'KBS 103a']+ KBS 100c,KBS 103a,KBS 100+ KBS 100+ KBS 100a,KBS 100",Berlin Westhafen station+ Berlin Westhafen station+ Berlin Westhafen station
640,Rahnsdorf,s-bahn,['KBS 102'],"52.4516372,13.6899776",Q800489,['KBS 102']+ KBS 102+ KBS 102+ KBS 102,Berlin-Rahnsdorf station+ Berlin-Rahnsdorf station+ Berlin-Rahnsdorf station
641,Rahnsdorf (Mühle),strassenbahn,['87'],"52.44317361042976, 13.684847034483653",,,
642,Rangsdorf,s-bahn,['KBS 105b'],"52.294444,13.430278",Q801345,['KBS 105']+ KBS 105+ KBS 105,Rangsdorf railway station+ Rangsdorf railway station
643,Rankeplatz,strassenbahn,['78'],"52.50042978340582, 13.330867334397949",,,
644,Rathaus Neukölln,bus,['A4'],"52.48152537358512, 13.434381079123925",,['A4']+ A4,Rathaus Neukölln
645,Rathaus Neukölln,u-bahn,['C I'],"52.481666666667,13.434166666667",Q628770,['C I']+ C I+ C I+ C I,Rathaus Neukölln+ Rathaus Neukölln+ Rathaus Neukölln
646,Rathaus Schöneberg,bus,"['A4', 'A16']","52.48515473887597, 13.345086596743203",,"['A16', 'A4']+ A4,A73,A74+ A4,A73,A16,A74",
647,Rathaus Spandau,bus,"['A34', 'A13']","52.534578361518356, 13.199490942441287",,"['A31', 'A5', 'A13', 'A35', 'A34']+ A35,A5,A13,A34,A31,A63,AS1+ A35,A5,AS1,A34,A13,A31,A63+ A80,A35,A99,A31,A5,A63,A34,A13,AS1s",Rathaus Spandau+ Rathaus Spandau+ Rathaus Spandau
648,Rathaus Steglitz,bus,"['A32 (Obus)', 'A17']","52.45683244954579, 13.320757398114617",,"['A48', 'A32 (Obus)', 'A17']+ A17,A48,A68,A32+ A32,A48,A17,A68+ A17,A85,A86,A84,A48,A68,A32",Rathaus Steglitz+ Rathaus Steglitz+ Rathaus Steglitz
649,Rathaus Steglitz,strassenbahn,"['73', '74', '77']","52.45691682931275, 13.320745348424166",,"['73', '77', '40', '74', '78']+ 77,78,74,73,44+ 73,77,78,74",Rathaus Steglitz+ Rathaus Steglitz
650,Rathaus Tiergarten,bus,['A16'],"52.52649085974541, 13.338358982634196",,A70+ A70+ A70,Rathaus Tiergarten+ Rathaus Tiergarten+ Rathaus Tiergarten
651,Rathaus Wannsee,bus,['A3'],"52.418440129670444, 13.148872492834737",,"['A6', 'A18', 'A3']+ A6,A18,A3+ A3,A6,A18+ AS4,A18,A3,A6",Rathaus Wannsee+ Rathaus Wannsee+ Rathaus Wannsee
652,Rathaus Zehlendorf,bus,"['A2', 'A3']","52.433207520111885, 13.259531923613192",,"['A3']+ AS3,A53,A3+ A3,A66,AS3+ A66,AS3s,A1,A3,A53",Rathaus Zehlendorf+ Rathaus Zehlendorf+ Rathaus Zehlendorf
653,Rathenowerstrasse (Kriminalgericht),strassenbahn,"['35', '21']","52.52664,13.35458",Q121863924,,
654,Rathenowerstrasse Ecke Invalidenstrasse,strassenbahn,['44'],"52.5236499477288, 13.356930609567168",,['44'],
655,"Rathenowerstrasse, Kriminalgericht",strassenbahn,['2'],"52.52675586683767, 13.355218494054807",,,
656,Regattahaus,strassenbahn,['86'],"52.4112584319029, 13.588256645864995",,,
657,Reichskanzler-Platz,strassenbahn,['75'],"52.50930610961649, 13.27244225081761",,,
658,Reichskanzlerplatz,u-bahn,['A I'],"52.509722222222,13.273055555556",Q657857,"['A I']+ B I,A I+ A I,B I",Theodor-Heuss-Platz+ Theodor-Heuss-Platz
659,Reichssportfeld,s-bahn,"['KBS 101', 'KBS 103']","52.511,13.2416",Q800506,"['KBS 101', 'KBS 103']+ KBS 103,KBS 101",Berlin Olympiastadion station
660,Reinickendorf,s-bahn,['KBS 105'],"52.5779,13.3506",Q800496,['KBS 105']+ KBS 105+ KBS 105+ KBS 100c,Berlin Alt-Reinickendorf station+ Berlin Alt-Reinickendorf station+ Berlin Alt-Reinickendorf station
661,Reinickendorf Hauptstrasse Ecke Aroserallee,bus,['A14'],"52.574948257119026, 13.352229698506328",,,
662,"Reinickendorf, Hauptstrasse Ecke Residenzstrasse",bus,['A14'],"52.574280797914476, 13.35917103134222",,,
663,Reinickendorfer Straße,u-bahn,['C I'],"52.539911111111,13.370377777778",Q559249,,
664,"Rennbahn, Mariendorf",strassenbahn,['99'],"52.430060594099295, 13.39244351468167",,,
665,"Rennbahnstrasse, Weißensee",strassenbahn,"['73', '74']","52.55699715023485, 13.46689930642489",,,
666,Residenzstrasse Ecke Hauptstrasse,strassenbahn,['35'],"52.57424536432287, 13.35918599675858",,,
667,Richard-Wagner-Platz,u-bahn,['A III'],"52.5175,13.306388888889",Q662201,['A III']+ A III+ A III+ A III,Richard-Wagner-Platz metro station+ Richard-Wagner-Platz metro station+ Richard-Wagner-Platz metro station
668,Richtershorn,strassenbahn,['86'],"52.40105,13.6248473",Q66481215,['86']+ 86+ 86+ 86,Richtershorn+ Richtershorn+ Richtershorn
669,Rittberg-Krankenhaus,strassenbahn,"['78', '77']","52.42987951650218, 13.288961460110901",,"['77', '78']+ 77,78+ 77,78",Rittberg-Krankenhaus+ Rittberg-Krankenhaus
670,Robert-Koch-Platz,bus,['A40'],"52.527570508835595, 13.37877230286134",,"['O40']+ O40,A57+ O40,A57+ A57,O40",Robert-Koch-Platz+ Robert-Koch-Platz+ Robert-Koch-Platz
671,Roederstrasse Ecke Möllendorffstrasse,strassenbahn,['69'],"52.52668887529218, 13.479829196389566",,,
672,Roederstrasse/Herzbergerstrasse,strassenbahn,['3'],"52.526705666298234, 13.479851397903815",,,
673,Roseneck,bus,['A17'],"52.47580089902253, 13.282411270445099",,"['A29', 'A17']+ A50,A29,AS3,A19+ A19,A50,A29,AS3+ A17,AS3s,A50,A29,A19",Roseneck+ Roseneck+ Roseneck
674,Roseneck,strassenbahn,"['57', '51']","52.47630604660362, 13.281717433241134",,,
675,Rosentaler Platz,bus,['A40'],"52.52974032997907, 13.402506061257254",,,
676,Rosentaler Platz,strassenbahn,['1'],"52.52971536832875, 13.401459231640118",,,
677,"Rosenthal, Quickbornerstrasse",strassenbahn,['23'],"52.59765777638598, 13.373845860063588",,,
678,Rosenthaler Platz,strassenbahn,['49'],"52.5301769,13.4016121","Q65093945","['1', '22', '49', '11']+ 1,49,11,22+ 22,11,1, 49+ 49,1,11,22","+ U Rosenthaler Platz+ U Rosenthaler Platz,U Rosenthaler Platz+ "
679,Rosenthaler Platz,u-bahn,['D'],"52.53,13.401111111111",Q663231,['D']+ D,Rosenthaler Platz station
680,Rudolf-Wilde-Platz,strassenbahn,['60'],"52.484776550041566, 13.34510595539852",,,
681,Rudolf-Wilde-Platz (Schöneberger Rathaus),strassenbahn,"['25', '6']","52.48480789671156, 13.345085647864334",,,
682,"Rudow, Bahnhofstrasse",strassenbahn,['47'],"52.40195520982694, 13.51319617947882",,['47'],
683,"Rudow, Stadtgrenze",strassenbahn,['47'],"52.401419858183715, 13.513718348809531",,,
684,Ruhleben,u-bahn,['A I'],"52.525555555556,13.241388888889",Q656401,['A I']+ B I+ B I+ A I,Ruhleben station+ Ruhleben station+ Ruhleben station
685,Rummelsburg,s-bahn,['KBS 102'],"52.501244,13.478545",Q15107132,['KBS 102']+ KBS 102+ KBS 102+ KBS 102,Berlin-Rummelsburg railway station+ Berlin-Rummelsburg railway station+ Berlin-Rummelsburg railway station
686,Röntgental,s-bahn,['KBS 106'],"52.6487,13.5136",Q801386,['KBS 106']+ KBS 106+ KBS 106+ KBS 106,Röntgental station+ Röntgental station+ Röntgental station
687,Rüdesheimer Platz,u-bahn,['A II'],"52.473333333333,13.314444444444",Q167147,"['A II']+ B II,A II+ A II,B II+ A II",Rüdesheimer Platz+ Rüdesheimer Platz+ Rüdesheimer Platz
689,Rügenerstrasse Ecke Brunnenstrasse,strassenbahn,"['36', '41']","52.54468383613832, 13.391054406802407",,"['36', '29', '24']",
690,Rügenesrstrasse Ecke Brunnenstrasse,strassenbahn,"['29', '28']","52.54471634192088, 13.391012495632392",,['28'],
691,S-Bhf. Biesdorf,bus,['A37'],"52.513432593832405, 13.555387279249894",,"['A37', 'O37']+ O37+ O37+ O37",S-Bhf. Biesdorf+ S-Bhf. Biesdorf+ S-Bhf. Biesdorf
692,S-Bhf. Grünau,bus,['A36'],"52.41361515857581, 13.573796290663196",,"['A36', 'A38']+ A38,AD/36,AZ+ AD/36,A38,AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)+ AD,A38,A36",S-Bhf. Grünau+ S-Bhf. Grünau+ S-Bhf. Grünau
693,S-Bhf. Köpenick,strassenbahn,['83'],"52.4582153,13.5790435",Q66370784,"['82', '83', '86']+ 82,83,86+ 83,86,82+ 83,86,82",S Köpenick+ S Köpenick+ S Köpenick
694,S-Bhf. Leninallee,strassenbahn,['64'],"52.52851097343215, 13.455862308166953",", ","['64'], ['63']",
695,S-Bhf. Mahlsdorf,strassenbahn,['83'],"52.51221826761895, 13.612190748726157",,['83']+ 83+ 83+ 83,S-Bhf. Mahlsdorf+ S-Bhf. Mahlsdorf+ S-Bhf. Mahlsdorf
696,"S-Bhf. Pankow, Florastrasse",strassenbahn,['49'],"52.56665022842682, 13.409775813699397",,"['22', '49', '46']",
697,S-Bhf. Pankow-Heinersdorf,strassenbahn,['49'],"52.577507820515834, 13.427853061920917",,['49']+ 49+ 49+ 49,S-Bhf. Pankow-Heinersdorf+ S-Bhf. Pankow-Heinersdorf+ S-Bhf. Pankow-Heinersdorf
698,S-Bhf. Schönhauser Allee,strassenbahn,['49'],"52.5493619,13.4135734",Q65088013,"['22', '49', '46']+ 46,49,22+ 46,49,22",
699,S-Bhf. Tegel,bus,['A35'],"52.58847655492014, 13.288493167700658",,,
700,Saaleckplatz (Lichterfelde),bus,['A17'],"52.41645148275898, 13.32410613444768",,,
701,"Saarbrücker Strasse, Prenzlauer Tor",strassenbahn,['72'],"52.528602411479305, 13.417036440468811",,['72'],
702,Sachsendamm Ecke Alboinstrasse,strassenbahn,['60'],"52.47043068842395, 13.372774905947711",,['60'],
703,Samariterstraße,u-bahn,['E'],"52.514722222222,13.464444444444",Q552891,,
704,Sandkrug,bus,['A12'],"52.62878707273964, 13.310944466290206",,,
705,"Sandkrugbrücke, Lehrter Bahnhof",strassenbahn,['44'],"52.52767207168016, 13.37315298082495",,['44'],
