,station_id,stop_name,line_count,type,in_lines
564,422,Bhf. Friedrichstrasse,6,Autobus,"['A 57', 'A 9', 'A 59']"
565,423,Oranienburger Tor,9,strassenbahn,"['1', '46', '70', '11', '69']"
566,423,Oranienburger Tor,9,Omnibus,['O 40']
567,423,Oranienburger Tor,9,Autobus,"['A 9', 'A 59']"
568,424,Platz vor dem Neuen Tor,2,Autobus,['A 9']
569,425,Scharnhorststrasse Ecke Kieler Strasse,2,Autobus,['A 9']
570,426,"Hessenwinkel, Lindenstrasse",1,Autobus,['A 22']
571,427,Fahlenbergstrasse/Fürstenwalder Allee,1,Autobus,['A 22']
572,428,S-Bhf. Wilhelmshagen,1,Autobus,['A 22']
573,429,Zentralschule,1,Autobus,['A 22']
574,430,Waldschänke,1,Autobus,['A 22']
575,431,S-Bhf. Rahnsdorf,2,Autobus,"['A 22', 'S-Bhf. Rahnsdorf - Woltersdorfer Schleuse']"
576,432,"Fichtenau, Stadtgrenze",1,Autobus,['A 22']
577,433,S-Bhf. Altglienicke,1,Autobus,['A 23']
578,434,Wendenstrasse,1,Autobus,['A 23']
579,435,Normanenstrasse,1,Autobus,['A 23']
580,436,Wolfmarsteig,1,Autobus,['A 23']
581,437,Schönefelder Chaussee,1,Autobus,['A 23']
582,438,"Altglienicke, Kirche",2,strassenbahn,['84']
583,438,"Altglienicke, Kirche",2,Autobus,['A 23']
584,439,"Schönefeld, Flughafen Süd",2,Autobus,['A 24']
585,440,Waßmannsdorfer Weg,2,Autobus,['A 24']
586,441,Waltersdorfer Chaussee,1,Autobus,['A 24']
587,442,Bhf. Schönefeld,3,Autobus,"['A Z', 'A 24']"
588,443,"Schönefeld, Kirche",3,Autobus,"['A Z', 'A 24']"
589,444,"Schönefeld, Flughafen Nord",2,Autobus,['A 24']
590,445,"Schönefeld, Flughafen Süd",2,Autobus,['A 24']
591,446,Waßmannsdorfer Weg,2,Autobus,['A 24']
592,447,Kienbergstrasse,1,Autobus,['A 24']
593,448,Bhf. Schönefeld,3,Autobus,"['A Z', 'A 24']"
594,449,"Schönefeld, Kirche",3,Autobus,"['A Z', 'A 24']"
595,450,"Schönefeld, Flughafen Nord",2,Autobus,['A 24']
596,451,VEB Baustransporte,1,Autobus,['A 26']
597,452,Bhf. Schöneweide,5,strassenbahn,"['69', '92', '95']"
598,452,Bhf. Schöneweide,5,Autobus,"['A 47', 'A 26']"
599,453,Müggelheim,1,Autobus,['A 27']
600,454,Müggelseeperle,1,Autobus,['A 27']
601,455,Krankenhaus Köpenick,2,strassenbahn,['95']
602,455,Krankenhaus Köpenick,2,Autobus,['A 27']
603,456,Bahnhofstrasse Ecke Lindenstrasse,4,strassenbahn,"['84', '87', '86']"
604,456,Bahnhofstrasse Ecke Lindenstrasse,4,Autobus,['A 27']
605,457,S-Bhf. Köpenick,4,strassenbahn,"['82', '86', '83']"
606,457,S-Bhf. Köpenick,4,Autobus,['A 27']
607,458,Wongrowitzer Steig,1,Autobus,['A 27']
608,459,Ulmenstrasse,1,Autobus,['A 27']
609,460,Chemnitzer Strasse/Alt-Kaulsdorf,1,Autobus,['A 27']
610,461,"S-Bhf. Kaulsdorf, Planitzstrasse",1,Autobus,['A 27']
611,462,"Schönefeld, Gartenstrasse",1,Autobus,['A 36']
612,463,S-Bhf. Grünbergallee,2,Autobus,['A 36']
613,464,"Bohnsdorf, Kirche",2,Autobus,['A 36']
614,465,Gartenstadtweg,2,Autobus,['A 36']
615,466,S-Bhf. Grünau,3,strassenbahn,['86']
616,466,S-Bhf. Grünau,3,Autobus,"['A 36', 'A 38']"
617,467,Gartenstadtweg,2,Autobus,['A 36']
618,468,"Bohnsdorf, Kirche",2,Autobus,['A 36']
619,469,S-Bhf. Grünbergallee,2,Autobus,['A 36']
620,470,Schönefeld Gargenstrasse,1,Autobus,['A 36']
621,471,Waltersdorf,1,Autobus,['A 38']
622,472,"Bohnsdorf, Waldstrasse",1,Autobus,['A 38']
623,473,Eichbuschplatz,1,Autobus,['A 38']
624,474,Joachimstrasse,1,Autobus,['A 38']
625,475,S-Bhf. Grünau,3,strassenbahn,['86']
626,475,S-Bhf. Grünau,3,Autobus,"['A 36', 'A 38']"
627,476,"Wartenberg, Siedlung",1,Autobus,['A 39']
628,477,"Wartenberg, Dorfstrasse",1,Autobus,['A 39']
629,478,Falkenberger Chaussee,1,Autobus,['A 39']
630,479,"Kolonie ""Land im Sonne""",1,Autobus,['A 39']
631,480,"Hohenschönhausen, Falkenhagener Strasse",1,Autobus,['A 39']
632,481,"Buch, Kiesgruben",1,Autobus,['A 42']
633,482,Karower Strasse/Alt-Buch,1,Autobus,['A 42']
634,483,Strasse 78,1,Autobus,['A 42']
635,484,"Alt-Karow, Bahnhofstrasse",1,Autobus,['A 42']
636,485,Güteraußenring,1,Autobus,['A 42']
637,486,"Blankenburg, Bahnhofstrasse",1,Autobus,['A 42']
638,487,"Heinersdorf, Kirche",3,strassenbahn,['71']
639,487,"Heinersdorf, Kirche",3,Autobus,['A 42']
640,488,Am Steinberg,4,strassenbahn,['71']
641,488,Am Steinberg,4,Autobus,"['A 45', 'A 42']"
642,489,Prenzlauer Promenade (Spitze),3,strassenbahn,['71']
643,489,Prenzlauer Promenade (Spitze),3,Autobus,['A 42']
644,490,Bürknersfelde,1,Autobus,['A 43']
645,491,"Marzahn, Berliner Chaussee",1,Autobus,['A 43']
646,492,Güterbahnhof Springpfuhl,1,Autobus,['A 43']
647,493,S-Bhf. Friedrichsfelde-Ost,1,Autobus,['A 43']
648,494,Alt-Friedrichsfelde/Am Tierpark,3,Omnibus,['O 37']
649,494,Alt-Friedrichsfelde/Am Tierpark,3,Autobus,"['A 43', 'A 8']"
650,495,U-Bhf. Friedrichsfelde (Tierpark),2,Autobus,"['A 43', 'A 8']"
651,496,"Hönow, Dorfstrasse",1,Autobus,['A 44']
652,497,Greifswalder Strasse,1,Autobus,['A 44']
653,498,Am Rosenhag,2,Autobus,"['A 44', 'A 44 E']"
654,499,S-Bhf. Mahlsdorf,3,strassenbahn,['83']
655,499,S-Bhf. Mahlsdorf,3,Autobus,"['A 44', 'A 44 E']"
656,500,Greifswalder Strasse Ecke Hönower Strasse,1,Autobus,['A 44 E']
657,501,Am Rosenhag,2,Autobus,"['A 44', 'A 44 E']"
658,502,S-Bhf. Mahlsdorf,3,strassenbahn,['83']
659,502,S-Bhf. Mahlsdorf,3,Autobus,"['A 44', 'A 44 E']"
660,503,"Wilhelmsruh, Fontanestrasse",3,Autobus,"['A 55', 'A 58', 'A 45']"
661,504,Hauptstrasse Ecke Edelweißstrasse,2,Autobus,"['A 55', 'A 45']"
662,505,Ehrenmal,3,Autobus,"['A 55', 'A 58', 'A 45']"
663,506,Heinrich-Mann-Platz,3,Autobus,"['A 55', 'A 58', 'A 45']"
664,507,"Pankow, Rathaus",7,strassenbahn,"['22', '46']"
665,507,"Pankow, Rathaus",7,Autobus,"['A 45', 'A 55', 'A 58', 'A 7']"
666,508,"Pankow, Kirche",8,strassenbahn,"['22', '49', '46']"
667,508,"Pankow, Kirche",8,Autobus,"['A 55', 'A 58', 'A 45']"
668,509,S-Bhf. Pankow,8,strassenbahn,"['22', '49', '46']"
669,509,S-Bhf. Pankow,8,Autobus,"['A 55', 'A 58', 'A 45']"
670,510,Prenzlauer Promenade Ecke Kissingenstrasse,1,Autobus,['A 45']
671,511,Am Steinberg,4,strassenbahn,['71']
672,511,Am Steinberg,4,Autobus,"['A 45', 'A 42']"
673,512,Langhansstrasse Ecke Gustav-Adolf-Strasse,2,Autobus,"['A 55', 'A 45']"
674,513,Klement-Gottwald-Allee/Rennbahnstrasse,3,strassenbahn,['72']
675,513,Klement-Gottwald-Allee/Rennbahnstrasse,3,Autobus,"['A 46', 'A 45']"
676,514,"Weißensee, Schwarzwelfenweg",1,Autobus,['A 45']
677,515,"Ahrensfelde, Kirche",1,Autobus,['A 46']
678,516,LPG Falkenberg,1,Autobus,['A 46']
679,517,Strasse nach Wartenberg,1,Autobus,['A 46']
680,518,Malchower Weg,1,Autobus,['A 46']
681,519,Buschallee Ecke Klement-Gottwald-Allee,1,Autobus,['A 46']
682,520,Klement-Gottwald-Allee/Rennbahnstrasse,3,strassenbahn,['72']
683,520,Klement-Gottwald-Allee/Rennbahnstrasse,3,Autobus,"['A 46', 'A 45']"
684,521,Feldtmannstrasse,1,Autobus,['A 46']
685,522,"Malchow, Dorfstrasse",2,Autobus,"['A 46', 'A L']"
686,523,Bhf. Schöneweide,5,strassenbahn,"['69', '92', '95']"
687,523,Bhf. Schöneweide,5,Autobus,"['A 47', 'A 26']"
688,524,Sterndamm,1,Autobus,['A 47']
689,525,Johannisthaler Chaussee,1,Autobus,['A 47']
690,526,Baumschulenstrasse,4,strassenbahn,"['87', '92', '95']"
691,526,Baumschulenstrasse,4,Autobus,['A 47']
692,527,S-Bhf. Baumschulenweg,3,strassenbahn,"['95P', '95']"
693,527,S-Bhf. Baumschulenweg,3,Autobus,['A 47']
694,528,Eichbuschallee,1,Autobus,['A 47']
695,529,"Treptow, Rathaus",1,Autobus,['A 47']
696,530,S-Bhf. Treptower Park,1,Autobus,['A 47']
697,531,"Kaulsdorf, Bausdorfstrasse",2,Autobus,['A 49']
698,532,Ridbacher Strasse,1,Autobus,['A 49']
699,533,Grottkauer Strasse,1,Autobus,['A 49']
700,534,Uckermarkstrasse,1,Autobus,['A 49']
701,535,"Kaulsdorf, Bausdorfstrasse",2,Autobus,['A 49']
702,536,"Wilhelmsruh, Fontanestrasse",3,Autobus,"['A 55', 'A 58', 'A 45']"
703,537,Hauptstrasse Ecke Edelweißstrasse,2,Autobus,"['A 55', 'A 45']"
704,538,Ehrenmal,3,Autobus,"['A 55', 'A 58', 'A 45']"
705,539,Heinrich-Mann-Platz,3,Autobus,"['A 55', 'A 58', 'A 45']"
706,540,"Pankow, Rathaus",7,strassenbahn,"['22', '46']"
707,540,"Pankow, Rathaus",7,Autobus,"['A 45', 'A 55', 'A 58', 'A 7']"
708,541,"Pankow, Kirche",8,strassenbahn,"['22', '49', '46']"
709,541,"Pankow, Kirche",8,Autobus,"['A 55', 'A 58', 'A 45']"
710,542,S-Bhf. Pankow,8,strassenbahn,"['22', '49', '46']"
711,542,S-Bhf. Pankow,8,Autobus,"['A 55', 'A 58', 'A 45']"
712,543,Prenzlauer Promenade Ecke Granitzstrasse,1,Autobus,['A 55']
713,544,Heinersdorf/Kirche,1,Autobus,['A 55']
714,545,Am Steinberg/Thulestrasse,1,Autobus,['A 55']
715,546,Langhansstrasse Ecke Gustav-Adolf-Strasse,2,Autobus,"['A 55', 'A 45']"
716,547,Hamburger Platz,2,Autobus,"['A 56', 'A 55']"
