,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
70,195671,1956,A17,bus,"Bhf. Grunewald<> Lichterfelde, Saaleckplatz",46,,West,10
71,195672,1956,A18,bus,Saargemünder Strasse<> Kohlhasenbrück,30,,West,7
72,195673,1956,A19,bus,"Roseneck, Grunewald<> Tempelhof, Flughafen",38,,West,10
73,195674,1956,A2,bus,"Am Knie<> Lankwitz, Trippsteinstrasse",40,,West,10
74,195675,1956,A20,bus,"Bhf. Tegel<> Lübars, Alt-Lübars",20,,West,15
75,195676,1956,A21,bus,Wentowsteig Ecke Wilhelmsruher Damm<> U-Bhf. Fehrbelliner Platz,50,,West,10
76,195677,1956,A22,bus,"Hessenwinkel, Lindenstrasse<> Fichtenau, Stadtgrenze",25,8.4,Ost,20
77,195678,1956,A23,bus,"Altglienicke, Kirche<> Altglienicke, Kirche",15,3.5,Ost,20
78,195679,1956,A24,bus,"Moabit, Wiebestrasse Strassenbahnhof<> Tempelhof, Flughafen",37,,West,7
79,195680,1956,A25,bus,Unionplatz<> Grüner Weg Ecke Buschkrugallee,57,,West,10
80,195681,1956,A27,bus,"S-Bhf. Kaulsdorf, Planitzstrasse<> Alt-Müggelheim",47,16.0,Ost,10
81,195682,1956,A28,bus,Loewenhardtdamm Ecke Boelckestrasse<> Schlesischestrasse Ecke Heckmannufer,27,,West,7
82,195683,1956,A29,bus,Roseneck<> Anhalter Bhf.,30,,West,10
83,195684,1956,A3,bus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",39,,West,10
84,195685,1956,A3E,bus,"Saargemünderstrasse<> Lichterfelde, Osteweg",11,,West,30
85,195686,1956,A31,bus,"Gartenstadt, Staaken, Heidelbergplan<> Bhf. Spandau",20,,West,15
86,195687,1956,A32 (Obus),bus,Breitenbachplatz<> Bhf. Marienfelde,28,,West,5
87,195688,1956,A33 (Obus),bus,"Bhf. Steglitz<> Mariendorf, Kaiserstrasse Ecke Mariendorfer Damm",15,,West,10
88,195689,1956,A34,bus,"Spandau, Friedhof<> Groß-Glienicke, Gutshof",45,,West,30
89,195690,1956,A35,bus,"Germersheimer Platz<> Kladow, Hottengrund (Stadtgrenze)",38,,West,30
90,195691,1956,A36,bus,"S-Bhf. Grünau<> Schönefeld, Dorfplatz",21,6.2,Ost,40
91,195692,1956,A37,bus,"Bhf. Lichtenberg<> Alt-Marzahn, Kirche",26,,Ost,10
