Column,stop_name,type,in_lines,location,identifier
0,Adamstrasse Ecke Wilhelmstrasse,bus,['A13'],"52.5210974258045, 13.187990320264987",
1,Adlershof,s-bahn,"['KBS 100a', 'KBS 103']","52.434722222222,13.541388888889",Q323551
2,Adolf-Scheidt-Platz,strassenbahn,['95'],"52.478194856980814, 13.37836902238447",
3,Afrikanische Str.,u-bahn,['C I'],"52.560027777778,13.334633333333",Q559239
4,"Ahrensfeld, Lindenbergerstrasse",bus,['A46'],"52.57534151289329, 13.576465760668366",
5,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,['6'],"52.4698434808757, 13.372061552266187",
6,Albrechtshof,s-bahn,['KBS 103'],"52.5494,13.1283",Q800470
7,Alexanderplatz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.521388888889,13.411944444444",Q111324700
8,Alexanderplatz,u-bahn,"['D', 'E', 'A I']","52.5214,13.4119",Q17173458
9,"Alexanderplatz, Grunerstrasse",strassenbahn,"['74', '22', '71', '72']","52.52008326268696, 13.41408418961877",
10,"Alexanderplatz, Grunestrasse",strassenbahn,['64'],"52.52008326268696, 13.41408418961877",
11,"Alexanderplatz, Memhardstr.",strassenbahn,['1'],"52.5233439,13.4110773",Q65227406
12,"Alexanderplatz, Memhardstrasse",strassenbahn,"['63', '69', '11']","52.5233439,13.4110773",Q65227406
13,"Alt-Biesdorf, Oberfeldstrasse",bus,['A8'],"52.50918606891929, 13.553347058493491",
14,Alt-Kladow,bus,['A34'],"52.454591413254434, 13.144488043956764",
15,Alt-Kladow Ecke Kladower Damm,bus,['A35'],"52.453456955410275, 13.143930501157236",
16,Alt-Mariendorf,strassenbahn,['99'],"52.4401532176395, 13.387265005984174",
17,Alt-Marienfelde Ecke Marienfelderallee,bus,['A52'],"52.41357787421618, 13.363330517921128",
18,"Alt-Marzahn, Kirche",bus,"['A37', 'O37']","52.542423454435976, 13.564061751343658",
19,Alt-Moabit/Paulstrasse,bus,['A24'],"52.52362366662573, 13.356925243183808",
20,Alt-Müggelheim,bus,['A27'],"52.41018331064196, 13.665897531850348",
21,Alt-Reinickendorf Ecke Roedernstrasse,bus,"['A12', 'A12S']","52.575847957276935, 13.347790909547232",
22,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540
23,Alt-Tegel,bus,['A15'],"52.58954346115138, 13.283679780746766",
24,Alt-Tegel Ecke Schloßstrasse,strassenbahn,"['28', '29']","52.58969334067717, 13.283400910032718",
25,Alt-Tegel/Gorkistrasse,bus,['A13'],"52.58966264834485, 13.283744661306388",
26,Alt-Tempelhof,strassenbahn,"['98', '99']","52.46648637106096, 13.38557844353973",
27,Alt-Tempelhof Ecke Tempelhofer Damm,strassenbahn,['96'],"52.46573268096787, 13.385594865459018",
28,Alt-Wittenau Ecke Holzhauserstrasse,bus,"['A21', 'A15']","52.59184437684138, 13.326382322502273",
29,Alt-Wittenau Ecke Oranienburgerstrasse,strassenbahn,['68'],"52.58971750833865, 13.33418249504555",
30,"Altglienicke, Am Falkenberg",strassenbahn,['84'],"52.41079970042163, 13.570452931545786",
31,"Altglienicke, Kirche",bus,['A23'],"52.421845729296805, 13.539407702079252",
32,Am Grossen Wannsee,bus,['A6'],"52.420496581432594, 13.167192967572669",
33,Am Knie,bus,['A2'],"52.512731625753695, 13.321879176786634",
34,Am Knie,strassenbahn,['2'],"52.51266887977092, 13.321859924761794",
35,Am Kupfergraben,strassenbahn,"['1', '46']","52.5194208,13.3953839",Q65055027
36,Am Rosenhag,bus,"['A44E', 'A44']","52.52474356253909, 13.621775828105108",
37,"Am Steinberg, Thulestrasse",strassenbahn,['71'],"52.55644689291127, 13.429226457898798",
38,Am Vierrutenberg,bus,['A20'],"52.613535544271876, 13.343827205969221",
39,Am Wilden Eber,bus,['A10'],"52.47052881317704, 13.28962423686069",
40,Amtsgerichsplatz,bus,['A10'],"52.50685665976427, 13.295057483522156",
41,Amtsgericht,strassenbahn,['75'],"52.50682617853116, 13.297391449613752",
42,Amtsgericht Charlottenburg,bus,['A21'],"52.50571853839105, 13.295347400894903",
43,Andreasstrasse,bus,['O30'],"52.51797306914227, 13.432895480772247",
44,Anhalter Bahnhof,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.503055555556,13.381944444444",Q111324573
45,Anhalter Bahnhof,strassenbahn,['88'],"52.50453275122, 13.382326534592197",
46,Anhalter Bhf.,bus,"['A24', 'A29']","52.504693895352524, 13.381969502572149",
47,Antonplatz,strassenbahn,"['70', '74', '3', '72']","52.5484803,13.4517416",Q65548849
48,"Arnsalder Platz, Dimitroffstrasse",bus,['A9'],"52.53375379232583, 13.438171369537619",
49,Arnswalder Platz,strassenbahn,"['13', '4']","52.5342216,13.4371245",Q65707667
50,Aroserallee Ecke Reinickendorferstrasse,strassenbahn,['41'],"52.57498246454504, 13.352382539856182",
51,Asternplatz,bus,['A48'],"52.44943428965909, 13.30387630211606",
52,Attilaplatz,bus,['A25'],"52.45590179888225, 13.376512495751076",
53,Attilaplatz,strassenbahn,"['95', '96']","52.455498340147045, 13.375619638525905",
54,Augustenburger Platz,bus,['A16'],"52.542186362228115, 13.34942313975666",
55,Augustenburger Platz,strassenbahn,['23'],"52.54195473048106, 13.349004434392675",
56,"BVG-Bf. Lichtenberg, Siegfriedstrasse",strassenbahn,['69'],"52.5206411,13.4994454",Q66014798
57,"BVG-Bf. Lichtenberg, Siegfriestrasse",bus,['O30'],"52.52004640241046, 13.499373630980266",
58,Babelsberg,s-bahn,['KBS 102'],"52.3914,13.0928",Q801326
59,Badenschestrasse Ecke Berlinerstrasse,strassenbahn,['60'],"52.486641395734374, 13.327690760992157",
60,Badenschestrasse Ecke Bundeasallee,bus,['A25'],"52.48615870557847, 13.331126508025347",
61,Badenschestrasse Ecke Martin-Luther-Strasse,strassenbahn,['25'],"52.48560327173668, 13.345065127516245",
62,Badewiese Ecke Kladower Damm,bus,"['A35', 'A34']","52.47885441421296, 13.179170959997965",
63,Badstrasse Ecke Prinzenallee,strassenbahn,['23'],"52.5523069891351, 13.381468267243408",
64,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,['95'],"52.493899843231475, 13.403460093532933",
65,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,['C I'],"52.520111111111,13.388305555556",Q3753274
66,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,['E'],"52.510556,13.496389",Q3831986
67,Bahnhof Tempelhof,strassenbahn,['98'],"52.46650304547463, 13.385578443539728",
68,Bahnhof Wedding,u-bahn,['C I'],"52.5425,13.366111",Q4018733
69,Bahnhofstrasse Ecke Königstrasse,bus,['A51'],"52.419951974527734, 13.17530842784429",
70,Bahnhofstrasse Ecke Lindenstrasse,bus,['A27'],"52.45096281111, 13.572146868709519",
71,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,['87'],"52.4505094,13.572684",Q66095701
72,"Bahnhofstrasse, Bhf. wannsee",bus,['A18'],"52.42169058071068, 13.17890239355643",
73,Baltenring,bus,['A49'],"52.524249941537185, 13.599609519435084",
74,Baselerstrasse,strassenbahn,"['77', '78']","52.43778761993494, 13.295382291568542",
75,Baumschulenstrasse,strassenbahn,"['92', '91']","52.469081846595664, 13.491329912138305",
76,Baumschulenstrasse Ecke Südostallee,bus,['A47'],"52.46095841731415, 13.481191835004426",
77,Baumschulenweg,s-bahn,"['KBS 103a', 'KBS 100a', 'KBS 103']","52.4675,13.489722",Q324336
78,"Baumschulenweg, Sonnenallee",strassenbahn,['95'],"52.46729434178432, 13.489094025693007",
79,Bayerischer Platz,u-bahn,['B II'],"52.488333333333,13.340277777778",Q668574
80,Beckerstrasse Ecke Rubensstrasse,strassenbahn,['66'],"52.46715058485194, 13.34420201780685",
81,"Beerwinkel, Wasserwerk",bus,['A5'],"52.55122661682322, 13.165376030409284",
82,Behring-Krankenhaus,bus,['A10'],"52.42410894567823, 13.251764544509987",
83,Bellevue,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.52,13.348055555556",Q374018
84,Belziger Strasse Ecke Martin-Luther-Strasse,strassenbahn,['66'],"52.484605108660936, 13.345203000681114",
85,Benzolwerk,strassenbahn,['84'],"52.426414690299055, 13.546444409734137",
86,"Bergfelde, Karl-Marx-Strasse",bus,['AN'],"52.665111405939506, 13.307446011435928",
87,Berliner Strasse Ecke Wilhelmstrasse,bus,['A11'],"52.43078277200043, 13.317517990126834",
88,Berlinerstrasse Ecke Bundesallee,bus,['A2'],"52.48732454383587, 13.33099327646108",
89,Berlinerstrasse Ecke Bernauerstrasse,bus,['A13'],"52.576291888956334, 13.29470160184664",
90,Berlinerstrasse Ecke Blissestrasse,strassenbahn,['44'],"52.48648462511159, 13.320423728961352",
91,Berlinerstrasse Ecke Bundesallee,bus,['A25'],"52.48734713753147, 13.330894817805682",
92,Berlinerstrasse Ecke Teltower Damm,bus,['A48'],"52.43505188210353, 13.260493583407289",
93,Berlinerstrasse Ecke Thielallee,bus,['A10'],"52.441890769452854, 13.282753127037218",
94,Berlinerstrasse Ecke Uhlandstrasse,strassenbahn,['51'],"52.48648936437959, 13.322515759458744",
95,Berlinerstrasse/Alt-Tegel,bus,"['A20', 'A14']","52.5899612855956, 13.283282916503648",
96,Berlinickeplatz,strassenbahn,['95'],"52.466329675590764, 13.378144688199017",
97,Bernau (b Bln),s-bahn,['KBS 106'],"52.6763,13.5931",Q479789
98,Bernauer Str.,u-bahn,['D'],"52.5375,13.396666666667",Q689293
99,Bernauerstrasse Ecke Berlinerstrasse,strassenbahn,"['41', '28', '29', '25']","52.57628303756777, 13.294731570510573",
100,Bernauerstrasse Ecke Wollinerstrasse,strassenbahn,"['24', '41', '2']","52.5399996,13.4020564",Q65719652
101,Bersarinplatz,strassenbahn,"['13', '4']","52.519215,13.4525257",Q65706258
102,Bersarinstr. (Frankfurter Tor),u-bahn,['E'],"52.515833333333,13.454166666667",Q568627
103,Betriebsbahnhof Rummelsburg,s-bahn,['KBS 102'],"52.4939,13.4978",Q829009
104,Betriebsbahnhof Schöneweide,s-bahn,"['KBS 100a', 'KBS 103']","52.44676,13.52391",Q4526101
105,Beusselstr.,s-bahn,"['KBS 100', 'KBS 103a']","52.534444444444,13.329166666667",Q323219
106,Bhf. Ahrensfelde,bus,['A46'],"52.571313719653176, 13.566341546222308",
107,Bhf. Alexanderplatz,bus,['A9'],"52.521287385126946, 13.413242035902146",
108,Bhf. Botanischer Garten,strassenbahn,"['77', '78']","52.44730098506532, 13.3083006582632",
109,Bhf. Buckower Chaussee,bus,['A52'],"52.41109589500145, 13.382466497921738",
110,Bhf. Eichbornstrasse,bus,"['A21', 'A15']","52.57760143817809, 13.31554154716",
111,Bhf. Frohnau,bus,"['A12', 'A15', 'A12S']","52.63311782571585, 13.28947655939645",
112,Bhf. Gesundbrunnen,strassenbahn,"['36', '28', '29', '24']","52.54913505997412, 13.38715173368261",
113,Bhf. Grunewald,bus,['A17'],"52.488010147803465, 13.26315524644143",
114,Bhf. Grünau,strassenbahn,['86'],"52.413493,13.5746802",Q62470512
115,Bhf. Halensee,bus,"['A19', 'A4', 'A29', 'A10']","52.496865585452014, 13.289557340809273",
116,Bhf. Heerstrasse,strassenbahn,['75'],"52.50857975740797, 13.258353900023156",
117,Bhf. Heiligensee,bus,['A14'],"52.625151238346696, 13.229659068045944",
118,Bhf. Hermannstrasse,strassenbahn,['27'],"52.4676866643192, 13.431210901516543",
119,Bhf. Hermsdorf,bus,['A15'],"52.61953939324446, 13.30416069232153",
120,Bhf. Hohen Neuendorf,bus,['AN'],"52.66955559285079, 13.286994683662725",
121,Bhf. Hohenzollerndamm,bus,"['A21', 'A50']","52.48832716566947, 13.301436926268025",
122,Bhf. Jannowitzbrücke,strassenbahn,"['11', '64']","52.51476676652865, 13.417918697531025",
123,Bhf. Jungfernheide,bus,['A21'],"52.530138785889896, 13.296018817180764",
124,Bhf. Jungfernheide,strassenbahn,"['35', '55']","52.53103413649224, 13.300559481238167",
125,Bhf. Lichtefelde-Ost,strassenbahn,['96'],"52.428826211846044, 13.328680809875795",
126,Bhf. Lichtenberg,bus,"['A37', 'O37', 'O30']","52.5112875601879, 13.499591119128855",
127,Bhf. Lichtenberg,strassenbahn,['69'],"52.5123603,13.4977547",Q66013733
128,Bhf. Lichtenrade,strassenbahn,['99'],"52.38669305818232, 13.39694576786419",
129,Bhf. Lichterfelde-Ost,bus,['A11'],"52.42911680950547, 13.329847267881705",
130,Bhf. Lichterfelde-Ost,strassenbahn,['73'],"52.4289149405705, 13.329002919186095",
131,Bhf. Lichterfelde-West,bus,['A11'],"52.44397675869793, 13.295628699942629",
132,Bhf. Lichterfelde-West,strassenbahn,"['77', '78']","52.442695165817675, 13.297046489476738",
133,Bhf. Mariendorf,bus,['A33 (Obus)'],"52.446757741789085, 13.360550212856184",
134,Bhf. Mariendorf,strassenbahn,['96'],"52.447078310256, 13.361439800164863",
135,Bhf. Marienfelde,bus,['A32 (Obus)'],"52.42342246533686, 13.374664175181172",
136,Bhf. Marienfelde,strassenbahn,['15'],"52.42613307832105, 13.375057660174704",
137,Bhf. Nikolassee,bus,['A3'],"52.43378197004219, 13.193152057415048",
138,Bhf. Papestrasse,strassenbahn,['60'],"52.474088737380455, 13.363804736501839",
139,Bhf. Pulitzstrasse,bus,['A16'],"52.53623559129739, 13.343725255116645",
140,Bhf. Rosenthal,strassenbahn,['22'],"52.598664,13.3726652",Q65364041
141,Bhf. Schulzendorf,bus,['A14'],"52.61386001623567, 13.245879660333635",
142,Bhf. Schöneweide,bus,['A47'],"52.45374952013775, 13.510200397684477",
143,Bhf. Schöneweide,strassenbahn,['69'],"52.45640818289644, 13.509916574756422",
144,Bhf. Sonnenallee,strassenbahn,"['15', '94', '95']","52.47414312526527, 13.455499525035636",
145,Bhf. Spandau,bus,['A31'],"52.53480116953711, 13.199406530019054",
146,Bhf. Spandau,strassenbahn,['54'],"52.53469533777715, 13.199489615484376",
147,Bhf. Spandau-West,bus,['A5'],"52.53497194201396, 13.198460334945361",
148,"Bhf. Stalineallee, Gürtelstrasse",strassenbahn,['3'],"52.51351239359716, 13.47709676710546",
149,Bhf. Steglitz,bus,['A33 (Obus)'],"52.4567389564548, 13.32114701824465",
150,Bhf. Steglitz,strassenbahn,"['44', '40']","52.45628485348418, 13.322383851748043",
151,Bhf. Südende,bus,['A33 (Obus)'],"52.44906892859584, 13.354097834514832",
152,Bhf. Tegel,bus,"['A13', 'A20']","52.58863500559534, 13.28998515086127",
153,Bhf. Tempelhof,strassenbahn,['99'],"52.466490308336056, 13.385583670316992",
154,Bhf. Waidmannslust,bus,['A20'],"52.60711750606285, 13.32022370793147",
155,Bhf. Wannsee,bus,"['A6', 'A51', 'A3']","52.42151302311533, 13.17810256503659",
156,Bhf. Warschauer Brücke,strassenbahn,"['4', '3']","52.5080429,13.4505973",Q65706190
157,Bhf. Wilhelmsruh,strassenbahn,['36'],"52.581085096062374, 13.3634387891469",
158,Bhf. Wittenau,bus,['A15'],"52.59721246906266, 13.332631469768408",
159,"Bhf. Wittenau, Nordbahn, Cyclopstrasse",strassenbahn,['68'],"52.597638124029146, 13.332456251456765",
160,Bhf. Witzleben,bus,['A10'],"52.50645623658754, 13.282727805906516",
161,Bhf. Wollankstrasse,strassenbahn,"['23', '24']","52.56476177190086, 13.393786862899335",
162,Bhf. Yorckstrasse,bus,['A19'],"52.49297747613118, 13.369530914840707",
163,Bhf. Zehlendorf,bus,"['A1', 'A3E', 'A10']","52.43121177777893, 13.259164408129196",
164,Bhf. Zehlendorf-West,bus,['A3'],"52.43749073325525, 13.232184039572378",
165,Bhf. Zoo,bus,"['A2', 'A25']","52.506232782829265, 13.332362081097921",
166,Bhf. Zoo,strassenbahn,"['6', '51', '25', '2', '55', '77', '78', '54']","52.50719345524868, 13.332629878993917",
167,"Bhf. Zoo, Kantstrasse",strassenbahn,['75'],"52.50540350310839, 13.330367559360592",
168,Biesdorf,s-bahn,['KBS 101'],"52.5131,13.5554",Q4892357
169,Birkbuschstrasse Ecke Siemensstrasse,strassenbahn,['44'],"52.442440684586664, 13.332088961364885",
170,Birkenstrasse Ecke Pulitzstrasse,strassenbahn,['23'],"52.53191761456842, 13.34299173910032",
171,Birkenwerder,s-bahn,['KBS 104'],"52.6885,13.2888",Q2343634
172,Birkholzer Weg,bus,['A39'],"52.57869319879437, 13.519763145415514",
173,Bismarckplatz,bus,['A29'],"52.492064537089135, 13.28493897027407",
174,Bismarckstrasse Ecke Beckerstrasse,bus,['A25'],"52.466645214180495, 13.338512379680626",
175,Bismarckstrasse Ecke Leibnizstrasse,bus,['A1'],"52.51215118510006, 13.31478565667606",
176,Bismarckstrasse Ecke Wilhelmstrasse,bus,['A11'],"52.42818043799337, 13.325162624362573",
177,Bismarckstrasse Ecke Wilhelmstrasse,strassenbahn,['96'],"52.42583357480061, 13.316822713171266",
178,Björnsonstrasse,strassenbahn,['3'],"52.5544232,13.4030585",Q65920495
179,Blankenburg,s-bahn,"['KBS 106', 'KBS 100b']","52.5915,13.4435",Q800469
180,"Blankenburg, Bahnhofstrasse",bus,['A42'],"52.591380472079955, 13.453512267562314",
181,Blankenfelde (Kr. Zossen),s-bahn,['KBS 105'],"52.3376,13.4158",Q111311372
182,"Blankenfelde, Hauptstrasse",bus,['A7'],"52.63002534735451, 13.38262328371393",
183,Blissestrasse Ecke Berlinerstrasse,strassenbahn,['60'],"52.48649403940226, 13.320421770976779",
184,Boddinstr.,u-bahn,['D'],"52.48,13.425277777778",Q819495
185,"Bohnsdorf, Kirche",bus,['A36'],"52.39948771402893, 13.555574431978044",
186,"Bohnsdorf, Waldstrasse",bus,['A38'],"52.389397192754984, 13.570666562153916",
187,Borgsdorf,s-bahn,['KBS 104'],"52.7155,13.2764",Q4093486
188,Bornholmer Str.,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.554287,13.397985",Q32662318
189,Borsigwalder Weg Ecke Conradstrasse,bus,['A15'],"52.58481416731561, 13.297935793851755",
190,Botanischer Garten,bus,['A1'],"52.458598799471524, 13.303436055459807",
191,Botanischer Garten,s-bahn,['KBS 104'],"52.44806,13.30722",Q800498
192,Boxhagener Strasse,strassenbahn,"['13', '3']","52.50705770251508, 13.468302201729777",
193,Brauerei,strassenbahn,"['84', '87']","52.44699265840037, 13.624251999339991",
194,"Breite Strasse, Pankow, Rathaus",strassenbahn,['22'],"52.5694816,13.4038045",Q65055060
195,Breitenbachplatz,bus,"['A1', 'A32 (Obus)', 'A16']","52.467219717443385, 13.309473490660878",
196,Breitenbachplatz,u-bahn,['A II'],"52.466388888889,13.308055555556",Q571339
197,Breitestrasse Ecke Charlottenstrasse,bus,['A31'],"52.53614645525182, 13.204413686344584",
198,"Breitestrasse, Pankow, Rathaus",strassenbahn,['46'],"52.5694816,13.4038045",Q65055060
199,Breitscheidplatz,bus,"['A19', 'A29']","52.504438063129996, 13.33564615707506",
200,Britzer Damm Ecke Blaschkoallee,strassenbahn,['6'],"52.4526338354554, 13.438571852960825",
201,Britzer Damm Ecke Tempelhofer Weg,bus,['A25'],"52.44894113315902, 13.436220481040927",
202,Britzer Strasse,strassenbahn,['92'],"52.45407075126685, 13.51932686914549",
203,Brixplatz,bus,['A4'],"52.51907944117457, 13.25699370576959",
204,Brunnen Ecke Invalidenstrasse,strassenbahn,"['1', '11']","52.5324542,13.3974236",Q65691740
205,Brunnenstrasse Ecke Bernauerstrasse,strassenbahn,"['41', '24']","52.5380716,13.3954653",Q65720089
206,Brunsbütteler Damm Ecke Klosterstrasse,bus,['A31'],"52.53290711065629, 13.198465586490917",
207,Brückenallee Ecke Altonaerstrasse,bus,['A24'],"52.51683079236027, 13.344675037924292",
208,"Brückenstrasse, Bhf. Schöneweide",strassenbahn,['87'],"52.45637439548328, 13.509945288270968",
209,Buch,s-bahn,['KBS 106'],"52.6359,13.4917",Q4892359
210,"Buch, Zepernicker Strasse",bus,['A42'],"52.64161725444106, 13.515575706154056",
211,Buchholz,strassenbahn,['49'],"52.619072064369824, 13.393383358408967",
212,"Buckow, Alt-Buckow",strassenbahn,['27'],"52.423668878489224, 13.436627633953467",
213,Buckower Ch.,s-bahn,['KBS 105'],"52.4103,13.3829",Q800499
214,Buckower Damm Ecke Alt-Buckow,bus,['A52'],"52.42364382786418, 13.436660506458884",
215,Bulgarische Strasse,strassenbahn,"['92', '87']","52.48142358933512, 13.473067363351124",
216,Bulgarischestrasse Ecke Köpenicker Landstrasse,strassenbahn,['91'],"52.48145143387759, 13.473096322596954",
217,Bundesallee,bus,['A17'],"52.46493052962428, 13.32853185257923",
218,Bundesallee,strassenbahn,['74'],"52.4649035990206, 13.328399625987563",
219,Bundesallee Ecke Badensche Strasse,bus,['A4'],"52.48613795045858, 13.33110029774997",
220,Bundesallee Ecke Berliner Strasse,strassenbahn,"['77', '3', '60', '78']","52.48733630342845, 13.331014163134173",
221,"Bundesallee, Titaniapalast",bus,['A48'],"52.4648492937768, 13.328387113884073",
222,Bundesplatz,bus,"['A2', 'A16']","52.478678991134835, 13.32860278411238",
223,Bundesplatz,strassenbahn,"['77', '44', '78']","52.4777799057296, 13.328566193541166",
224,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,['70'],"52.5537598,13.4691966",Q65546661
225,Buschkrug,strassenbahn,"['47', '6']","52.452470895695484, 13.450748195174354",
226,Bülowstr.,u-bahn,['A I'],"52.497552777778,13.363419444444",Q374881
227,Bülowstrasse,strassenbahn,['74'],"52.497813344481855, 13.362040057608386",
228,Bülowstrasse Ecke Potsdamerstrasse,bus,['A48'],"52.49780909063729, 13.362045681344197",
229,Bülowstrasse Ecke Potsdamerstrasse,strassenbahn,['88'],"52.49781509487618, 13.362026328869662",
230,Bürknersfelde,bus,"['O41', 'O37', 'A43']","52.538889807153126, 13.534159376784622",
231,Bütowerstrasse,strassenbahn,['83'],"52.486103,13.603983",Q66364552
232,Canovastrasse (Krankenhaus),strassenbahn,['66'],"52.4631967931949, 13.344688692199414",
233,Ceciliengärten,strassenbahn,['66'],"52.475079473741275, 13.343064768876424",
234,Charlottenburg,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.504722222222,13.303333333333",Q111326217
235,Charlottenstrasse Ecke Taubenstrasse,strassenbahn,"['74', '72']","52.513122303707654, 13.391373467504213",
236,Chausseehaus,bus,['A27'],"52.430090871325774, 13.614694292071622",
237,Chemische Fabrik,strassenbahn,['86'],"52.42696432509712, 13.573540465650169",
238,Chemnitzer Ecke Ulmenstrasse,bus,['A8'],"52.48730504728054, 13.5749460378103",
239,Chemnitzer Strasse,bus,['A27'],"52.5051288553116, 13.581585054064426",
240,Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse,strassenbahn,['70'],"52.518183487912616, 13.38042348165456",
241,Clayallee Ecke Teltower Damm,bus,['A10'],"52.435050499187106, 13.260433006441355",
242,Colomierstrasse,bus,['A51'],"52.42928675585897, 13.164090298875724",
243,Corrensplatz,bus,"['A11', 'A10']","52.446014012041694, 13.284264679815902",
244,Cyclopstrasse Ecke Hermsdorferstrasse,bus,"['A12', 'A12S']","52.60209919870515, 13.324826857059096",
245,Cäcilienstrasse,bus,['A37'],"52.529646990986734, 13.558004345591469",
246,"Dahlem, Clayallee",strassenbahn,['40'],"52.45975923254636, 13.274628659008574",
247,Dahlem-Dorf,u-bahn,['A II'],"52.456944444444,13.289444444444",Q668585
248,Dahlewitz,s-bahn,['KBS 105'],"52.326389,13.419722",Q5208886
249,Daimlerstrasse,strassenbahn,['15'],"52.423949959899865, 13.380145054879522",
250,Daimlerstrasse Ecke Birnhornweg,strassenbahn,['98'],"52.42214076766627, 13.384616153471871",
251,Dammweg,strassenbahn,['15'],"52.47070358256429, 13.46392233215299",
252,Dammweg Ecke Sonnenallee,strassenbahn,['94'],"52.4702891791955, 13.464619670250386",
253,Dankmarsteig,bus,['A23'],"52.412460454887416, 13.528705230313825",
254,Detmolder Strasse Ecke Blissestrasse,bus,['A1'],"52.47876002753526, 13.320303638716377",
255,Deutsches Opernhaus (Bismarckstr.),u-bahn,"['A III', 'A I']","52.511944444444,13.310555555556",Q869501
256,Dimitroffstr.,u-bahn,['A I'],"52.541666666667,13.412222222222",Q571382
257,Dimitroffstrasse,bus,['O41'],"52.52644944679887, 13.447574773361476",
258,Dimitroffstrasse Ecke Prenzlauer Allee ; Dimitroffstrasse Ecke Greifswalderstrasse,strassenbahn,"['71', '72'] ; ['74']","52.539226902813354, 13.424209201692193 ; 52.53616928671014, 13.433023161244224",
259,Dimitroffstrasse Ecke Greifswalderstrasse,bus,['O30'],"52.53619274354974, 13.433066383288713",
260,Dingelstädter Strasse,bus,['O41'],"52.53587676296107, 13.522058626010088",
261,Dingelstädterstrasse,bus,['A41'],"52.53583260072521, 13.522029544772353",
262,Dominicusstrasse,strassenbahn,['74'],"52.48182811502358, 13.348369024265194",
263,Dominicusstrasse Ecke Hauptstrasse,bus,"['A48', 'A4']","52.48180071652041, 13.348377997983935",
264,Dominicusstrasse Ecke Hauptstrasse,strassenbahn,"['88', '73', '25']","52.48178458875194, 13.348361062077318",
265,Dominikus-Krankenhaus,bus,['A15'],"52.626196524368744, 13.294495665499268",
266,Donnersmarckplatz,bus,['A15'],"52.62982465046043, 13.28047497184123",
267,Drakestrasse Ecke Unter den Eichen,bus,['A48'],"52.44573233334527, 13.293697221399606",
268,Dreilinden,s-bahn,['KBS 104b'],"52.40334210617422, 13.175963626814108",Q96473908
269,Dudenstrasse Ecke Katzbachstrasse,bus,['A28'],"52.48507657537121, 13.376576066981372",
270,Dudenstrasse Ecke Mehringdamm,bus,['A19'],"52.4849438868393, 13.386026708341968",
271,"Dönhoffplatz, Krausenstrasse",strassenbahn,"['82', '64']","52.510082685363386, 13.398911668058874",
272,Düppel-Kleinmachnow,s-bahn,['KBS 104a'],"52.421388888889,13.226666666667",Q44763529
273,"Eberswalderstrasse, U-Bhf. Dimitroffstrasse",strassenbahn,"['22', '49', '46']","52.5401928,13.4113979",Q65088313
274,Cecilienstrasse,bus,['O37'],"52.52908780357339, 13.565850348404304",
275,Edisonstrasse Ecke Wilhelminenhofstrasse,strassenbahn,['82'],"52.4619496,13.5139049",Q65951882
276,Egelpfuhlstrasse Ecke Brunsbütteler Damm,bus,['A31'],"52.533514698600456, 13.169417212078342",
277,Eichborndamm Ecke Scharnweberstrasse,strassenbahn,"['41', '25']","52.56794261660899, 13.3119260816067",
278,"Eichborndamm, Sportplatz Reinickendorf",strassenbahn,['29'],"52.56784752553447, 13.311804701580398",
279,Eichbornstr.,s-bahn,['KBS 105'],"52.5776,13.3169",Q800500
280,"Eichenborndamm, Sportplatz Reinickendorf",strassenbahn,['28'],"52.567917831991906, 13.311954450797398",
281,Eichholzbahn,bus,['A31'],"52.53745641909849, 13.149835716602464",
282,Eichkamp,s-bahn,"['KBS 101', 'KBS 103']","52.4987,13.2702",Q800504
283,Eichwalde,s-bahn,['KBS 103'],"52.3715,13.6152",Q19274479
284,Eisenacherstrasse Ecke Hauptstrasse,strassenbahn,['88'],"52.4845984441846, 13.353073553684412",
285,Eisenacherstrasse Ecke Hauptstrasse ; Pallasstrasse Ecke Potsdamerstrasse,strassenbahn,['73'],"52.48459360671036, 13.35306002871114 ; 52.49433490661493, 13.361066683851742",
286,Elisabethstrasse,bus,['O37'],"52.53409533705918, 13.55949915809485",
287,Elisabethstrasse,strassenbahn,['22'],"52.51764985236767, 13.418046139104245",Q65364041
288,Elsenstrasse Ecke Am Treptower Park,strassenbahn,['87'],"52.49175632207382, 13.457757874335021",
289,Elsenstrasse Ecke Heidelbergerstrasse,strassenbahn,['6'],"52.48685029508912, 13.45118006834624",
290,"Elsenstrasse, S-Bhf. Treptow",strassenbahn,['92'],"52.49392050526826, 13.460637127431074",
