Column,stop_name,type,in_lines,location,identifier
655,"Londoner Strasse, Strassenbahnhof",strassenbahn,['25'],"52.560151357479135, 13.339556870341623",
656,Londonerstrasse Ecke Müllerstrasse,strassenbahn,"['68', '28', '29']","52.55872916187675, 13.337389368424244",
657,Luisenplatz,bus,['A21'],"52.52005408723936, 13.2995133852506",
658,Luisenplatz,strassenbahn,"['3', '55', '54']","52.51951940474329, 13.300024347605849",
659,Luxemburgplatz,u-bahn,['A I'],"52.528333333333,13.410277777778",Q658790
660,"Lübars, Alt-Lübars",bus,['A20'],"52.61810884217379, 13.354625867884963",
661,Lützowplatz,bus,"['A24', 'A16']","52.505029017314186, 13.351822867208506",
662,Lützowplatz Ecke Lützowstrasse,bus,['A29'],"52.5053124599662, 13.353762415416787",
663,Lützowstrasse Ecke Potdamerstrasse,strassenbahn,['73'],"52.50308590730989, 13.365688207489654",
664,Lützowstrasse Ecke Potsdamerstrasse,bus,['A48'],"52.50306888585583, 13.365670233164014",
665,Machandelweg Ecke Charlottenburger Chaussee,bus,['A5'],"52.52491855591643, 13.24499064333442",
666,Machnower Schleuse,strassenbahn,['96'],"52.39513316459733, 13.20831380290797",
667,Magdalenenstr.,u-bahn,['E'],"52.5125,13.486388888889",Q473901
668,Magistratsweg Ecke Brunsbütteler Damm,bus,['A31'],"52.53308685678349, 13.157955808881047",
669,Mahlow,s-bahn,['KBS 105'],"52.3602,13.4085",Q2641431
670,Mahlsdorf,s-bahn,['KBS 101'],"52.5121,13.6106",Q800484
671,"Mahlsdorf-Süd, Hubertus",strassenbahn,"['83', '86']","52.4741663,13.5991443",Q66368466
672,"Malchow, Dorfstrasse",bus,"['A46', 'AL']","52.580462270708544, 13.482797576255583",
673,Malchower Weg,bus,['A46'],"52.56152031238405, 13.500485897507804",
674,Manteuffelstrasse Ecke Köpenicker Strasse,bus,['A28'],"52.50572611981578, 13.43197052522801",
675,Marchandstrasse/Lankwitzer Ring,bus,['A32 (Obus)'],"52.42302374778929, 13.357490310151075",
676,Marchlewskistr.,u-bahn,['E'],"52.516794444444,13.444991666667",Q551768
677,Mariendorf,s-bahn,['KBS 105'],"52.4478,13.3609",Q800497
678,"Mariendorf, Kaiserstrasse Ecke Mariendorfer Damm",bus,['A33 (Obus)'],"52.44556685028663, 13.38579424415166",
679,Mariendorfer Allee,strassenbahn,['27'],"52.44417698631804, 13.433567533504721",
680,Mariendorfer Damm Ecke Alt-Mariendorf,strassenbahn,"['15', '98']","52.4401803123353, 13.38732780334823",
681,Mariendorfer Friedhof,strassenbahn,['15'],"52.44953069256824, 13.404755931664896",
682,Marienfelde,s-bahn,['KBS 105'],"52.4242,13.3747",Q800485
683,Marienfelder Allee Ecke Lankwitzstrasse,bus,['A32 (Obus)'],"52.4137412612811, 13.362086756533897",
684,Marienfelder Chaussee,strassenbahn,['99'],"52.4146041420917, 13.40113672565082",
685,Marienfelder Strasse,strassenbahn,['99'],"52.392463281396054, 13.406662016554435",
686,Marienstrasse Ecke Wilhelmstrasse,bus,['A11'],"52.42960081549452, 13.321322942544775",
687,Markgrafendamm,bus,['A82P'],"52.49919969372071, 13.465742293248686",
688,Markgrafendamm,strassenbahn,['82'],"52.49918957829234, 13.465807953098425",
689,Marktplatz,strassenbahn,['84'],"52.43777454049099, 13.54773332680887",
690,Martin-Luther-Strasse,strassenbahn,['3'],"52.488858993840374, 13.344921966484465",
691,Martin-Luther-Strasse Ecke Grunewaldstrasse,strassenbahn,['60'],"52.48908286801741, 13.345066393609416",
692,Martin-Luther-Strasse Ecke Motzstrasse,bus,['A16'],"52.49711020506073, 13.346050564321276",
693,Marx-Engels-Platz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.5226,13.4022",Q689312
694,"Marzahn, Bürknersfelde",bus,['A41'],"52.53899732215637, 13.53460083201667",
695,"Marzahn, Pekrunstrasse",bus,['A43'],"52.54023584809127, 13.546170091264191",
696,Masurenallee Ecke Messedamm,bus,['A4'],"52.50649281916902, 13.280384055456446",
697,Mehringdamm,strassenbahn,"['3', '2']","52.49298792323627, 13.387950331490586",
698,Mehringdamm,u-bahn,"['C I', 'C II']","52.493888888889,13.388333333333",Q657905
699,Mehringdamm Ecke Gneisenaustrasse,bus,['A28'],"52.49294262719779, 13.387697510363818",
700,Mehringplatz,strassenbahn,['99'],"52.4979249057416, 13.39108106831653",
701,Mehringplatz (Hallesches Tor),strassenbahn,['98'],"52.4979249057416, 13.39108106831653",
702,Memhardtstrasse Ecke Liebknechtstrasse,strassenbahn,['22'],"52.52399783975834, 13.412259780549107",
703,Merkurstrasse Ecke Schulzendorferstrasse,bus,['A38'],"52.397301765126436, 13.582619581036573",
704,Messedamm,strassenbahn,['75'],"52.50641938570246, 13.280392436943686",
705,Mirbachplatz,bus,['A45'],"52.55290279216196, 13.448885779648633",
706,"Moabit, Waldstrasse",bus,['A1'],"52.529241314571834, 13.330905788251384",
707,"Moabit, Wiebestrasse Strassenbahnhof",bus,['A24'],"52.530584741975225, 13.319392176398098",
708,"Moabit, Zwinglistrasse",strassenbahn,['23'],"52.525747628916534, 13.328044124055296",
709,Molkenmarkt,strassenbahn,"['74', '82', '72']","52.51679321421663, 13.409330619020574",
710,Monumentenstrasse Ecke Katzbachstrasse,bus,['A28'],"52.48771272495207, 13.376640369266253",
711,Moritzplatz,u-bahn,['D'],"52.503611111111,13.410833333333",Q374225
712,Märkisches Museum,u-bahn,['A I'],"52.511944444444,13.408888888889",Q657871
713,Möckernbrücke,u-bahn,"['B I', 'A II']","52.499166666667,13.382777777778",Q704716
714,Müggelseedamm,strassenbahn,['87'],"52.4498638,13.661534",Q66361484
715,Mühlenstrasse,strassenbahn,"['4', '3']","52.508543937506005, 13.43489757970717",
