line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
5,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstr. - Tiefwerderweg - Grenadierstr. - Stresowplatz - Spandau, Markt - Rathaus Spandau - Galenstr. - Staakenerstr. - Petzoldtweg - Zeppelinstr. - Spekteweg - Merzigerstr. - Falkenseerchaussee - Westerwaldstr. (Friedhof) - Frankenwaldstr. - Am Kiesteich - Falkenseerchaussee/Stadtrandstr. - Waldkrankenhaus - Spandau, Nervenklinik",10,32,,1982,west,
50,autobus,Grunewald Roseneck - Hohenzollerndamm - Berkaerstr./ Elsterplatz - Forckenbeckstr. - Landeckerstr. - Cunostr. - Rudolstädterstr. - Berlinerstr. - U-Bhf. Fehrbellinerplatz - Emserplatz - Uhlandstr. - Nassauischestr. - U-Bhf. Güntzelstr. - Pragerplatz - Landshuterstr. - Münchenerstr. - Martin-Lutherstr. - Eisenacherstr. - Winterfeldtplatz - Potsdamerstr. - Mansteinstr. - Schöneberg Mansteinstr.,15,26,,1982,west,
52,autobus,Rudow Stubenrauchstr. - Seidelbastweg - Efeuweg - Rudowerstr. - Lipschitzallee - Loewensteinring - Fritz-Erler-Allee - U-Bhf. Johannisthalerchaussee - Kölnerdamm - Buckowerdamm - Buckower Friedhof - Quarzweg - Lichtenraderdamm - Kettingerstr. - Buckowerchaussee - Motzenerstr. - Gutshof Marienfeld - Alt-Marienfelde - Ahrensdorferstr. - Baußnernweg - Marienfelde Stadtrandsiedlung,7,35,,1982,west,
53,autobus,Nikolassee Alemannenstr. - An der Rehwiese - Krottnaurerstr. - Waldemarplatz - Mexikoplatz - Forststr. - U-Bhf. Krumme Lanke - Sven-Hedinstr. - Hartmannsweilerweg - Potsdamerstr. - Teltowerdamm - Rathaus Zehlendorf - Machnowerstr. - Knesebeckstr. - Dahlemerweg - Osteweg - Luzernerstr. - Thunerplatz - Goerzallee - Drakestr. - Ostpreußendamm - Marienstr. - Morgensternstr. - Kranoldplatz - Lichterfelde Oberhoferplatz,15,40,,1982,west,
54,autobus,"Spandau Johannesstift - Stadtpark - Hohenzollernring - Lynarstr. - Predigergarten - Wröhmännerpark - Rathaus Spandau - Ruhlebenerstr. - Teltowerstr. - Krematorium Ruhleben - U-Bhf. Ruhleben - Reichsstr. - Klinikum Westend - Königin-Elisabethstr. - Spandauer-Damm-Brücke - Sophie-Charlottenstr. - Klausenerplatz - Luisenplatz - Wilmersdorferstr. - U-Bhf. Richard-Wagner-Platz - Leibnizstr. - U-Bhf. Ernst-Reuter-Platz - Jebenstr./Amerikahaus - Zoo, Hardenbergplatz",10,45,,1982,west,
55,autobus,Jakob-Kaiser-Platz - Letterhausweg - U-Bhf. Siemensdamm - Quellweg - U-Bhf. Rohrdamm - Schaltwerk - Paulsternstr. - Gartenfelderstr. - Haselhorsterdamm - Siedlung Haselhorst - Am Juliusturm - Zitadellenweg - Bmw-Maschinenfabrik - Zur Zitadelle - Carl-Schurzstr. - Wröhmännerpark - Triftstr. - Park-/Lynarstr. - Schäferstr. - Hohenzollernring - Reußstr. - Rauchstr. - Mertensstr. - Werderstr. - Spandau Hakenfelde,15,33,,1982,west,
56,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Freiheit - Pichelswerderstr. - Fernbahnhof Spandau - Spandau, Markt - Wröhmännerpark - Triftstr. - Lynar-/Parkstr. - Schäferstr. - Hohenzollernring - Reußstr. - Rauchstr. - Mertensstr. - Spandau Hakenfelde",15,23,,1982,west,
57,autobus,Rudower Ring (u-Bhf. Zwickauerdamm) - Zittauerstr. - U-Bhf. Zwickauerdamm - Neuköllnerstr. - Seidelbastweg/Stubenrauchstr. - Köpenickerstr. - Alt-Rudow - U-Bhf. Rudow - Lockenhuhnweg - Geflügelsteig - Rhodeländerweg - Groß-Ziethener-Chaussee - U-Bhf. Rudow - Alt-Rudow - Köpenickerstr. - Seidelbastweg/Stubenrauchstr - Neuköllnerstr. - U-Bhf. Zwickauerdamm - Zittauerstr. - Rudower Ring (u-Bhf. Zwickauerdamm),20,44,,1982,west,
6,autobus,"Wannsee, Kronprinzessinnenweg - Kronprinzessinnenweg - Am Kleinen Wannsee - Wernerstr. - Pfaueninselchaussee - Rathaus Wannsee - Friedenstr. - Schäferberg (Golfplatz) - Nikolskoerweg - Schloß Glienicke - Glienicker Brücke",30,14,,1982,west,
60,autobus,Wittenbergplatz - Breitscheidplatz - Kantstr. - Uhlandstr. - Kürfürstendamm/U.Bhf. Uhlandstr. - Lietzenburgerstr. - Ludwigkirchstr. - U-Bhf. Hohenzollernplatz - Güntzelstr. - U-Bhf. Blissestr. - Blissestr. - U-Bhf. Heidelbergerplatz - Bingerstr. - Sodenerstr. - Kirchstr. - Berkaerstr. - Rathaus Schmargendorf - Elsterplatz - Roseneck - Königen-Luisestr. - Hüttenweg - U-Bhf. Oskar-Helene-Heim,15,40,,1982,west,
