line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
72,tram,"Weißensee, Pasedagplatz - Indira-Gandhi-Str. - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauerallee - Dimitroffstr. - Knaackstr. - Wilhelm-Pieck-Str. - Hans-Beimler-Str. - Leninplatz - Leninallee/dimitroffstr. - S-Bhf. Leninallee - Ho-Chi-Minh-Str. - Simon-Bolivar-Str. - Hauptstr. - Gehrenseestr. - Prerowerplatz - Hohenschönhausen, Zingsterstr.",0,62,,1989,east,
80,autobus,Betriebshof Marzahn - Otto-Buchwitz-Str. - Alt-Marzahn - Elisabethstr. - S-Bhf. Springpfuhl - Rhinstr. - Leninallee - Gärtnerstr. - Gehrenseestr. - Prerowerplatz - S-Bhf. Hohenschönhausen - Falkenberg,20,35,,1989,east,
82,tram,Mahlsdorf-Süd - Wongrowitzer Steig - S-Bhf. Köpenick - Seelenbinderstr. - Bahnhof-/lindenstr. - Pionierpark - Rathenaustr. - Edisonstr. - Ehrlichstr. - Liepnitzstr. - Hönower Wiesenweg - Heizkraftwerk - Saganerstr. - S-Bhf. Rummelsburg - S-Bhf. Ostkreuz,12,49,,1989,east,
83,tram,S-Bhf. Mahlsdorf - Alt-Mahlsdorf - Rahnsdorferstr. - Ledebourstr. - Bürgerwäldchen - Bütowerstr. - Roseggerstr. - Mahlsdorf-Süd - Wongrowitzer Steig - S-Bhf. Köpenick - Seelenbinderstr. - Bahnhofstr./lindenstr. - Schloßplatz - Wendenschloßstr. - Betriebshof Köpenick - Veb Yachtwerft - Müggelbergallee - Wendenschloß,15,42,,1989,east,
84,tram,"Wasserwerk - Josef-Nawrocki-Str. - Bölschestr. - S-Bhf. Friedrichshagen - Hirschgarten - Brandenburgplatz - Bahnhofstr./lindenstr. - Schloßplatz - S-Bhf. Spindlersfeld - Ottomar-Geschke-Str. - S-Bhf. Adlershof - Kanalbrücke - Altglienicke, Kirche - Am Falkenberg",20,47,,1989,east,
85,tram,"Johannisthal, Haeckelstr. - Königsheideweg - Bhf. Schöneweide - Wilhelminenhofstr. - Rathenaustr. - Pionierpark - Bahnhofstr./lindenstr. - Schloßplatz - Wendenschloßstr. - Betriebshof Köpenick - Rft-Werk - Pritstabelstr. - Veb Yachtwerft - Müggelbergallee - Wendenschloß",20,40,,1989,east,
86,tram,Alt-Schmöckwitz - Reifenwerk - Vetschauerallee - Schappachstr. - Richtershorn - Strandbad Grünau - Regattatribünen - S-Bhf. Grünau - Regattastr. - Veb Berlin-Chemie - Vollkropfgraben - Schloßplatz - Freiheit - Bahnhofstr./lindenstr. - Seelenbinderstr. - S-Bhf. Köpenick - Hirtestr.,10,41,,1989,east,
88,tram,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstr. - Betriebshof Oberschönweide,30,7,,1989,east,
9,autobus,John-Schehr-Str. - Am Friedrichshain - Hans-Beimler-Str. - Alexanderplatz - Spandauerstr. - Breitestr. - Friedrichstr. - Otto-Grotewohl-Str.,2,19,,1989,east,
S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse,tram,S-Bhf. Rahnsdorf - Goethestr. - Eichendamm - Lerchendamm - Fasanenstr. - Thälmannplatz - Blumenstr. - Krankenhaus - Woltersdorfer Schleuse,20,20,,1989,east,
