line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
87,tram,Rahnsdorf - S-Bhf. Friedrichshagen - Hirschgarten - Bahnhofstr. Ecke Lindenstr. - Parkstr. - Wilhelminenhofstr. Ecke Edisonstr. - Bhf. Schöneweide - Köpenicker Landstr. Ecke Baumschulenstr. - Am Treptower Park Ecke Bulgarischestr. - Elsenstr. - Wiener Brücke,20,73,21.6,1960,unified,
88,tram,Stadtpark - Lauenburgerplatz - Kaisereiche - Innsbruckerplatz - Dominicusstr. - Eisenacherstr. - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstr. - Lützowstr. - Anhalter Bahnhof - U-Bhf. Kochstr. - Oranienstr. - U-Bhf. Moritzplatz - Skalitzerstr. - Spreewaldplatz - Wiener Brücke,15,45,,1960,unified,
92,tram,"Treptow, Flutgraben - S-Bhf. Treptow - Bulgarischestr. - Baumschulenstr. - Bhf. Schöneweide - Britzerstr. - Bhf. Oberspree",20,38,,1960,unified,
95,tram,Attilaplatz - Berlinickeplatz - Hoeppnerstr. - Adolf-Scheidt-Platz - U-Bhf. Flughafen - Gneisenaustr. - Blöcherplatz - Baerwaldstr. - Urban-Krankenhaus - Hermannplatz - Erkstr. - Hertzbergplatz - Bhf. Sonnenallee - Schulenburgpark - Schwarzerweg,15,42,,1960,unified,
95,tram,"Baumschulenweg, Sonnenallee - Köpenicker Landstr. - S-Bhf. Schöneweide - Wilhelminenhofstr., Edisonstr. - Pionierrepublik - Lindenstr., Bahnhofstr. - Grünstr. - Köpenick, Krankenhaus",20,0,,1960,unified,
96,tram,"Machnower Schleuse - Alte Wagenhalle - Neue Wagenhalle - Hamburgerplatz - Ruhlsdorferplatz - Fritz-Reuterstr. - Teltow, Paul-Gerhardtstr.",20,24,7.0,1960,unified,
96,tram,"U-Bhf. Tempelhof - Alt-Tempelhof - Kaiserin-Augustastr. - Friedrich-Karlstr. - Attilaplatz - Röblingstr. - Bhf. Mariendorf - Friedrichstr. - Lankwitz, Kirche - Seydlitzstr. - Bhf. Lichterfelde-Ost - Berlinerstr. - Glesendorferstr. - Osdorferstr. - Wismarerstr. - Schwelmerstr.",15,33,,1960,unified,
98,tram,Mehringplatz (Hallesches Tor) - Yorckstr./Gneisenaustr. - U-Bhf. Flughafen - U-Bhf. Paradestr. - Bahnhof Tempelhof - Alt-Tempelhof - Kaiserin-Augustastr. - Friedrich-Karlstr. - Kaiserstr. - Prühßstr. - Mariendorferdamm Ecke Alt-Mariendorf - Grossbeerenstr. Ecke Daimlerstr. - Daimlerstr. Ecke Birnhornweg,15,35,,1960,unified,
99,tram,Lindenstr. - Mehringplatz - Yorckstr. - U-Bhf. Flughafen - Flughafen Tempelhof - Alt-Tempelhof - Rathaus Tempelhof - Kaiserin-Augustastr. - Friedrich-Karlstr. - Kaiserstr. - Alt-Mariendorf - Rennbahn - Marienfelderchaussee - Marienfelderstr. - Bhf. Lichtenrade,15,49,,1960,unified,
A1,autobus,Waldstr. - Otto-Surh-Allee - Kurfürstendamm Ecke Konstanzerstr. - U-Bhf. Fehrbellinerplatz - Detmolderstr. - Breitenbachplatz - Botanischer Garten - Pacelli-/Thielallee - Clayallee - U-Bhf. Oskar-Helene-Heim - Potsdamerstr. Ecke Clayallee - Bhf. Zehlendorf - Beeskowdamm - Wismarerstr. - Lindenstr.,15,58,,1960,unified,
A10,autobus,"Haselhorst, Kirche - Paulsternstr. - Verwaltungs-Gebäude - Spandauerdamm - U-Bhf. Kaiserdamm - Amtsgerichsplatz - Kurfürstendamm - Bhf. Halensee - Elsterplatz - Hundekehlestr. - Königin-Luisestr. - U-Bhf. Thielplatz - Dahlemerweg - Teltowerdamm - Behring-Krankenhaus - Lupsteinerweg",15,62,,1960,unified,
A11,autobus,Saargemünderstr. - U-Bhf. Oskar-Helene-Heim - Ihnestr. - Corrensplatz - Under den Eichen - Bhf. Lichterfelde-West - Ringstr. - Wiesenbaude - Berlinerstr. - Marienstr. - Bismarckstr. - Bhf. Lichterfelde-Ost - Langestr. - Hildburghauserstr. - Trippsteinstr.,10,26,,1960,unified,
A12,autobus,Weddingplatz - Schulstr. - U-Bhf. Seestr. - Barfusstr. - Bristolstr. - Emmentalerstr. - Lindauerstr. Ecke Aroserallee - Lindenweg - Holzhauserstr. - Cyclopstr. - Zabel-Krüger-Damm - Kirchstr. - Hermsdorferdamm - Bhf. Frohnau - Donnersmarckplatz - Hainbuchenstr.,20,47,,1960,unified,
A12S,autobus,Weddingplatz - Schulstr. - U-Bhf. Seestr. - Barfusstr. - Emmentalerstr. - Lindauerstr. Ecke Aroserallee - Oranienburgerstr. - Rathaus Reinickendorf - Cyclopstr. - Zabel-Krüger-Damm - Schildowerstr. - Hermsdorferdamm - Oswinsteig - Hohefeldstr. - Im Fischgrund - Bhf. Frohnau,10,34,,1960,unified,
A13,autobus,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppinerchaussee - U-Bhf. Tegel - Bernauerstr. - Krankenhaus Tegel-Süd - Strasse nach Staatwinkel - Paulsternstr. - Daumstr. - Havelstr. - Rathaus Spandau - Pichelsdorferstr. - Päwesinerweg - Heerstr. - Weinmeisterhornweg,15,59,,1960,unified,
A14,autobus,Alt-Heiligensee - Mattenbuder Pfad - Bhf. Heiligensee - Bhf. Schulzendorf - Heiligenseestr. - U-Bhf. Tegel - Ziekowstr. - Nordgraben - Holzhauserstr. - Lindenweg - Aroserallee - Kopenhagenerstr. - Pankowerallee - Pankstr. - U-Bhf. Gesundbrunnen - Rügenerstr.,15,53,,1960,unified,
A15,autobus,Lübarserstr. - Bhf. Wittenau - Alt-Wittenau - Tor 5 - Bhf. Eichbornstr. - Holzhauserstr. - Borsigwalderweg - Gorkistr. - U-Bhf. Tegel - Hermsdorferdamm - Am Flie - Schulzendorferstr. - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Bhf. Frohnau,15,41,,1960,unified,
A16,autobus,Louise-Schroeder-Platz - U-Bhf. Seestr. - Afrikanischestr. - Virchow-Krankenhaus - Bhf. Putlitzstr. - Turmstr. - Hansaplatz - Tiergartenstr. - Lützowplatz - Einemstr. - Rathaus Schöneberg - Innsbruckerplatz - Bundesplatz - Wiesbadenerstr. - Breitenbachplatz - Englerallee,10,44,,1960,unified,
