line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
35E,autobus,Kladow - Sakrower Landstrasse - Grimmelshausenstrasse - Krampnitzer Weg - Pottensteiner Weg - Altenheim Hottengrund,42,7,,1980,west,
4,autobus,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Ausstellungshallen - ICC/Omnibusbahnhof - ICC/Ausstellungshallen - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berlinerstrasse - John-F-Kennedy-Platz - Hauptstrasse - Kaiser-Wilhem-Platz - Katzbach-/Boelckestrasse - Platz der Luftbrücke - Friesenstrasse - Hermannstrasse/U-Bhf. Boddinstrasse - Kienitzerstrasse - U-Bhf. Karl-Marx-Strasse - Erkstrasse/U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzerstrasse",12,65,,1980,west,
41,autobus,Rudow Stadtgrenze - U-Bhf. Rudow - Zwickauer Damm - Arnikaweg - Lipschitzallee - Grüner Weg - Parchimer Allee - Blaschkoallee - U-Bhf. Grenzallee - Naumburgerstrasse - Sonnenallee - Saalestrasse - Wildenbruchstrasse - Pannierstrasse - Hermannplatz - U-Bhf. Kottbusser Damm - U-Bhf. Kottbusser Tor - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstrasse - Alte Jakobstrasse - Lindenstrasse - Neuenburgerstrasse - Gitschinerstrasse - U-Bhf. Hallesches Tor,12,58,,1980,west,
48,autobus,Zehlendorf Fischerhüttenstrasse Ecke Potsdamerstrasse - Potsdamerstrasse - Teltower Damm - Berlinerstrasse - Seehofstrasse - Sundgauerstrasse - Dahlemer Weg - Drakestrasse - Wrangelstrasse - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Breslauer Platz/Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Tiergartenstrasse Philharmonie,12,46,,1980,west,
5,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Galenstrasse - Staakenerstrasse - Petzoldtweg - Zeppelinstrasse - Spekteweg - Merzigerstrasse - Falkenseer Chaussee - Westerwaldstrasse Ecke Friedhof - Frankenwaldstrasse - Am Kiesteich - Falkenseer Chaussee/Stadtrandstrasse - Waldkrankenhaus - Spandau, Nervenklinik",10,32,,1980,west,
50,autobus,Grunewald Roseneck - Hohenzollerndamm - Berkaerstrasse/ Elsterplatz - Forckenbeckstrasse - Landeckerstrasse - Cunostrasse - Rudolstädterstrasse - Berlinerstrasse - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauischestrasse - U-Bhf. Güntzelstrasse - Prager Platz - Landshuterstrasse - Münchenerstrasse - Martin-Luther-Strasse - Eisenacherstrasse - Winterfeldtplatz - Potsdamerstrasse - Mansteinstrasse - Schöneberg Mansteinstrasse,15,26,,1980,west,
52,autobus,Rudow Stubenrauchstrasse - Seidelbastweg - Efeuweg - Rudowerstrasse - Lipschitzallee - Loewensteinring - Fritz-Erler-Allee - U-Bhf. Johannisthaler Ch. - Kölner Damm - Buckower Damm - Buckower Friedhof - Quarzweg - Lichtenrader Damm - Kettingerstrasse - Buckower Chaussee - Motzenerstrasse - Gutshof Marienfeld - Alt-Marienfelde - Ahrensdorferstrasse - Baußnernweg - Marienfelde Stadtrandsiedlung,12,38,,1980,west,
53,autobus,Nikolassee Alemannenstrasse - An der Rehwiese - Krottnaurerstrasse - Waldemarplatz - Argentinische Allee - Forststrasse - U-Bhf. Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweiler Weg - Potsdamerstrasse - Teltower Damm - Rathaus Zehlendorf - Machnowerstrasse - Knesebeckstrasse - Dahlemer Weg - Osteweg - Luzernerstrasse - Thuner Platz - Goerzallee - Drakestrasse - Ostpreußendamm - Marienstrasse - Morgensternstrasse - Kranoldplatz - Lichterfelde Oberhofer Platz,15,40,,1980,west,
54,autobus,"Spandau Johannesstift - Stadtpark/Cautiusstrasse - Hohenzollernring - Lynarstrasse - Wröhmännerpark - Moritzstrasse - Rathaus Spandau - Ruhlebenerstrasse - Teltowerstrasse - Krematorium Ruhleben - U-Bhf. Ruhleben - Reichsstrasse - Klinikum Westend - Königin-Elisabeth-Strasse - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Klausenerplatz - Luisenplatz - Wilmersdorferstrasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Jebensstrasse/Amerikahaus - Zoo, Hardenbergplatz",10,45,,1980,west,
55,autobus,Jakob-Kaiser-Platz - Letterhausweg - U-Bhf. Siemensdamm - Quellweg - U-Bhf. Rohrdamm - Schaltwerk - Paulsternstrasse - Gartenfelderstrasse - Haselhorster Damm - Siedlung Haselhorst - Am Juliusturm - Zitadellenweg - BMW-Maschinenfabrik - Zur Zitadelle - Carl-Schurz-Strasse - Wröhmännerpark - Triftstrasse - Park-/Lynarstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Werderstrasse - Spandau Hakenfelde,15,33,,1980,west,
56,autobus,"U-Bhf. Ruhleben - Krematorium Ruhleben - Klärwerkstrasse - Freiheit 42/43 - Pichelswerderstrasse - Stresowplatz - Charlottenstrasse - Spandau, Markt - Carl-Schurz-Strasse - Wröhmännerpark - Triftstrasse - Lynar-/Parkstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Spandau Hakenfelde",15,23,,1980,west,
57,autobus,Rudower Ring (U-Bhf. Zwickauer Damm) - Zittauerstrasse - U-Bhf. Zwickauer Damm - Neuköllnerstrasse - Seidelbastweg/Stubenrauchstrasse - Köpenickerstrasse - Alt-Rudow - U-Bhf. Rudow - Lockenhuhnweg - Geflügelsteig - Rhodeländerweg - Groß-Ziethener-Ch. - U-Bhf. Rudow - Alt-Rudow - Köpenickerstrasse - Seidelbastweg/Stubenrauchstrasse - Neuköllnerstrasse - U-Bhf. Zwickauer Damm - Zittauerstrasse - Rudower Ring (U-Bhf. Zwickauer Damm),20,41,,1980,west,
6,autobus,"Wannsee, Kronprinzessinnenweg - Königstrasse - Pfaueninselchaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Glienicker Brücke",30,14,,1980,west,
60,autobus,Wittenbergplatz - Breitscheidplatz - Kantstrasse - Uhlandstrasse - Kürfürstendamm/U-Bhf. Uhlandstrasse - Lietzenburgerstrasse - Ludwigkirchstrasse - U-Bhf. Hohenzollernplatz - Güntzelstrasse - U-Bhf. Blissestrasse - Blissestrasse - U-Bhf. Heidelberger Platz - Bingerstrasse - Sodenerstrasse - Kirchstrasse - Berkaerstrasse - Rathaus Schmargendorf - Elsterplatz - Roseneck - Königen-Luise-Strasse - Hüttenweg - U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Berlinerstrasse - Rathaus Zehlendorf,15,47,,1980,west,
61,autobus,Bernauerstrasse Ecke Wollinerstrasse - Lortzingstrasse - Ramlerstrasse - U-Bhf. Gesundbrunnen - U-Bhf. Pankstrasse - Exerzierstrasse - Schulstrasse - U-Bhf. Osloerstrasse - Koloniestrasse - Prinzenallee - Soldinerstrasse - Kühnemannstrasse - Pankower Allee - Reginhardstrasse - Residenzstrasse - Emmentalerstrasse - Lindauer Allee - Flottenstrasse - Paracelsus-Bad - Gemeindefriedhof - Ollenhauerstrasse - Kurt-Schumacher-Platz - Uranusweg - U-Bhf. Scharnweberstrasse,15,46,,1980,west,
62,autobus,"Wilhelmsruher Damm Märkisches Viertel - Treuenbrietzenerstrasse - Gemeindezentrum - Oranienburgerstrasse - Roedernallee - Alt-Wittenau - Karl-Bonhoeffer-Nervenklinik - Lindauer Allee - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Südtor - Saatwinkler Damm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Schloßbrücke - Luisenplatz - Wilmersdorferstrasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",12,43,,1980,west,
63,autobus,Spandau Waldkrankenhaus - Pflegeheim - Kolonie Waldfrieden - Bötzow-Bahn - Gliensteig - Schwanter Weg - Kisselnallee - Pionierstrasse - Falkenseer Chaussee - Zweibrückerstrasse - Askanierring - Flankenschanze - Falkenseer Damm - Falkenseer Platz - Rathaus Spandau - Galenstrasse - Staakenerstrasse - Petzoldweg - Zeppelinstrasse - Schulzenstrasse - Viersenerstrasse - Dyrotzerstrasse - Straße 393 - Spandau Seegefelder Weg,15,30,,1980,west,
