line_name,type,stops,frequency (7:30),length (Time),length (km),year,east_west,info
A32,autobus,"Breitenbachplatz - Gritznerstr. Ecke Schildhornstr. - Schloßstr. Ecke Schildhornstr. - Rathaus Steglitz, Schloßstr. - Kuhligkshofstr. Ecke Albrechtstr. - Sedanstr. Ecke Albrechtstr. - Stindestr. Ecke Albrechtstr. - Leonorenstr. Ecke Siemensstr. - Bhf. Lankwitz - Lankwitz, Kirche - Malteserstr. Ecke Paul-Schneider-Str. - Marchandstraasse Ecke Malteserstr. - Marienfelderallee Ecke Malteserstr. - Stegerwaldstr. Ecke Marienfelderallee - Bahnstr. Ecke Marienfelderallee",6.0,28.0,,1965,west,
A33,autobus,Berlinickestr. Ecke Albrechtstr. - Handjeryplatz - Heinrich-Seidelstr. Ecke Steglitzerdamm - S-Bhf. Südende - Steglitzerdamm Ecke Attilastr. - Kaiser-/Ringstr. - Rathausstr. Ecke Kaiserstr. - Kaiserstr. Ecke Mariendorferdamm,5.0,15.0,,1965,west,
A34,autobus,"Spandau, Friedhof - Pionierstr. Ecke Zeppelinstr. - Askanierring Ecke Falkenhagenerstr. - Spandau, Hafenplatz - Rathaus Spandau - Wilhelmstr. Ecke Klosterstr. - Adamstr. Ecke Pichelsdorferstr. - Heerstr. Ecke Pichelsdorferstr. - Weinmeisterhornweg Ecke Gatowerstr. - Ortsgrenze Gatow - Gatow, Kirche - Großglienickerweg Ecke Kladowerdamm - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow Ecke Kladowerdamm - Schweizerhaus - Gutshof",30.0,48.0,,1965,west,
A34E,autobus,Alt-Gatow - Großglienickerweg - Siedlung Habichtswald,50.0,8.0,,1965,west,
A35,autobus,"Spandau, Friedhof - Pionierstr. Ecke Zeppelinstr. - Askanierring Ecke Falkenhagenerstr. - Spandau, Hafenplatz - Rathaus Spandau - Wilhelmstr. Ecke Klosterstr. - Adamstr. Ecke Pichelsdorferstr. - Heerstr. Ecke Pichelsdorferstr. - Weinmeisterhornweg Ecke Gatowerstr. - Ortsgrenze Gatow - Gatow, Kirche - Großglienickerweg Ecke Kladowerdamm - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow Ecke Kladowerdamm - Krampnitzerweg Ecke Sakrower Landstr. - Kladow, Hottengrund",30.0,45.0,,1965,west,
A35E,autobus,"Kladow, Dorfplatz - Sarkower Landstr. Ecke Kladowerdamm - Krampnitzerweg Ecke Sarkower Landstr. - Pottensteinerweg Ecke Selbitzerstr. - Lanzendorferweg Ecke Pottensteinerweg - Altenheim Hottengrund",280.0,7.0,,1965,west,
A48,autobus,"Zehlendorf, Potsdamerstr. Ecke Fischerhüttenstr. - Teltowerdamm Ecke Potsdamerstr. - Sundgauerstr. Ecke Potsdamerstr. - Dahlemerweg Ecke Berlinerstr. - Drakestr. Ecke Unter den Eichen - Hindenburgdamm Ecke Schloßstr. - Rathaus Steglitz - Bundesallee Ecke Schloßstr. - Kaisereiche - Innsbruckerplatz - Kaiser-Wilhelm-Platz - Pallasstr. Ecke Potsdamerstr. - U-Bhf. Bülowstr. - Tiergartenstr./Philharmonie",10.0,39.0,,1965,west,
A50,autobus,"Roseneck, Rheinbabenallee - Forckenbeckstr. Ecke Hohenzollerndamm - Rudolstädterstr. - U-Bhf. Fehrbellinerplatz - Uhlandstr. Ecke Güntzelstr. - Pragerplatz",10.0,19.0,,1965,west,
A51,autobus,Bhf. Wannsee - Königstr. Ecke Kronprinzessinnenweg - Königstr. Ecke Am Großen Wannsee - Krankenhaus Heckeshorn,30.0,10.0,,1965,west,
A52,autobus,"Marienfelde, Stadtrandsiedlung - Alt-Marienfelde Ecke Merienfelderallee - Kettingerstr. Ecke Buckowerchaussee - Lichtenraderdamm Ecke Buckowerchaussee - Bühlerweg - Buckower Friedhaus - Buckowerdamm Ecke Alt-Buckow - Grünerweg Ecke Johannisthalerchaussee - Triftweg Ecke Johannisthalerchaussee - Rudowerstr. Ecke Johannisthalerchaussee - Efeuweg Ecke Rudowerstr. - Wildmeisterdamm Ecke Neuköllnerstr. - Köpenickerstr. Ecke Neuköllnerstr. - Friedhof Rudow - Mimosenweg Ecke Köpenickerstr. - Stubenraustr. Ecke Kanalstr.",20.0,46.0,,1965,west,
A53,autobus,"Nikolassee, Alemannenstr. - Krottnauererstr. Ecke Spanischeallee - Waldemarplatz - Argentinischeallee Ecke Matterhornstr. - U-Bhf. Krumme Lanke - Teltowerdamm Ecke Potsdamerstr. - Rathaus Zehlendorf - Knesebeckstr. Ecke Seehofstr. - Dahlemerweg - 4. Ring - Luzernerstr. - Thunerplatz - Wiesenbaude - Ostpreußendamm Ecke Königsbergerstr. - Lankwitzerstr. Ecke Königsbergerstr. - Oberhoferplatz",20.0,43.0,,1965,west,
A60,autobus,"Grunewald, Roseneck - Warnemünderstr. Ecke Hundekehlestr. - Aoppoterstr. Ecke Breitestr. - Hamburgerstr. Ecke Mecklenburgischestr. - U-Bhf. Heidelbergerplatz - Brabanterplatz - Am Volkspark - Berlinerstr. Ecke Blissestr. - Postamt - Güntzelstr. Ecke Uhlandstr. - Ludwigkirchstr. Ecke Uhlandstr. - Kurfürstendamm Ecke Uhlandstr. - Joachimstalerstr. Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz",10.0,26.0,,1965,west,
A61,autobus,"Zobeltitzstr. Ecke Eichborndamm - Reinickendorf, Sportplatz - Schillingstr. Ecke Scharnweberstr. - Kurt-Schumacher-Platz - Humboldtstr. Ecke Ollenhauerstr. - Sebastianfriedhof - Teichstr. Ecke Lindauerallee - Aroserallee Ecke Lindauerallee - Pankowerallee Ecke Residenzstr. - Osloerstr. Ecke Schwedenstr. - Exerzierstr. Ecke Badstr. - Pankstr. Ecke Badstr. - U-Bhf. Gesundbrunnen - Usedomerstr. Ecke Brunnenstr. - Bernauerstr. Ecke Brunnenstr. - Gartenplatz",10.0,32.0,,1965,west,
A62,autobus,"Wittenau, Cyclopstr. - Alt-Wittenau Ecke Oranienburgerstr. - Bonhoeffer-Heim - August-Viktoria-Allee Ecke Ollenhauerstr. - Kurt-Schumacher-Platz - Saatwinklerdamm Ecke Kurt-Schumacherdamm - Heckerdamm Ecke Kurt-Schumacherdamm - Olbersstr. Ecke Tegelerweg - Luisenplatz - Richard-Wagner-Platz - Leibnizstr. Ecke Otto-Suhr-Allee - Ernst-Reuter-Platz - Bhf. Zoo - Marburgerstr. Ecke Tauentzstr. - Wittenbergplatz",15.0,38.0,,1965,west,
A63,autobus,Radelandstr. Ecke Niederheideweg - Pionierstr. Ecke Zeppelinstr. - Falkenseerchausee Ecke Zweibrückerstr. - Falkenseerplatz - Am Juliusturm Ecke Breitestr. - Rathaus Spandau - Hochgerichtstr. Ecke Seegefelderstr. - Seegefelderweg (Stadtgrenze),20.0,30.0,,1965,west,
A64,autobus,Vinetaplatz - Demminerstr. Ecke Brunnenstr. - Rügenerstr. Ecke Brunnenstr. - U-Bhf. Gesundbrunnen - Prinzenallee Ecke Badstr. - Exerzierstr. Ecke Badstr. - Schulstr. Ecke Exerzierstr. - Reinickendorferstr. Ecke Schulstr. - Leopoldplatz - Antwerpenerstr. Ecke Luxemburgerstr. - Virchow-Krankenhaus - Seestr. Ecke Amrumerstr. - Otawistr. Ecke Afrikanischestr. - Müllerstr. Ecke Afrikanischestr. - Holländerstr. Ecke Septimerstr.,7.5,26.0,,1965,west,
A65,autobus,Goebelplatz - Kurt-Schumacherdamm Ecke Heckerdamm - Jakob-Kaiser-Platz - Spandauerdamm Ecke Stadtautobahn - Messedamm/Kaiserdamm - Rathenauplatz - Hohenzollerndamm Ecke Stadtautobahn - Heidelbergerplatz - Blissestr. Ecke Detmolderstr. - Bundesplatz - Innsbruckerplatz - Sachsendamm Ecke Eberstr. - Alboinstr. Ecke Schönebergerstr. - Manteuffelstr. Ecke Alt-Tempelhof - Tempelhoferdamm Ecke Alt-Tempelhof - Oberlandstr. Ecke Germaniastr. - Hermannstr. Ecke Silberstreinstr. - Karl-Marx-Str. Ecke Saalestr. - Schulenburgpark,10.0,55.0,,1965,west,
A66,autobus,Düppel-Süd - Fercherstr. Ecke Berlepschstr. - Andreezeile Ecke Teltowerdamm - Machnowerstr. Ecke Teltowerdamm - Clayallee Ecke Teltowerdamm - Schützallee Ecke Onkel-Tom-Str. - U-Bhf. Onkel-Toms-Hütte,20.0,18.0,,1965,west,
A67,autobus,Oranienstr. Ecke Lindenstr. - Moritzplatz - Oranienplatz - U-Bhf. Kottbusser Tor - Kottbusser Brücke - Hermannplatz - Erkstr. Ecke Sonnenallee - Hertzbergplatz - Dammweg Ecke Sonnenallee - Neuköllnerallee Ecke Grenzallee - Am Oberhafen - U-Bhf. Grenzallee - Buschkrug - Onkel-Herse-Str. Eke Buschkrugallee - Parchimerallee Ecke Buschkrugallee - Otto-Wels-Ring Ecke Str. 454,5.0,36.0,,1965,west,
A68,autobus,Clayallee Ecke Königin-Luise-Str. - Thielallee Ecke Königin-Luise-Str. - U-Bhf. Dahlem-Dorf - Arnimallee Ecke Königin-Luise-Str. - Botanischer Garten - Lepsiusstr. Ecke Grunewaldstr. - Rathaus Steglitz - Breitestr. Ecke Albrechtstr. - Bismarckstr. Ecke Bergstr. - Munsterdamm Ecke Bergstr. - Alboinstr. Ecke Arnulfstr. - Attilaplatz - Tempelhoferdamm Ecke Friedrich-Karl-Str. - Kaiserin-Augusta-Str. - Alt-Tempelhof Ecke Tempelhoferdamm - U-Bhf. Tempelhof,15.0,36.0,,1965,west,
A69,autobus,Eichkamp - Trabenerstr. Ecke Halenseestr. - Henriettenplatz - Joachim-Friedrichstr. Ecke Kurfürstendamm - Wilmersdorferstr. Ecke Kurfürstendamm - Olivaerplatz - Bleibtreustr. Ecke Kurfürstendamm - Uhlandstr. Ecke Kurfürstendamm - Joachimstalerstr. Ecke Kurfürstendamm - Nürnbergerstr. Ecke Kurfürstenstr. - An der Urania - Lützowplatz - Tiergartenstr. Ecke Klingelhöferstr. - Großer Stern - Kongreßhalle - John-Foster-Dulles-Allee Ecke Neue Verbindungsstr. - Moltkebrücke,20.0,32.0,,1965,west,
