,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
94,A 62,Wittenau - Alt-Wittenau - Bonhoeffer-Heim - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Saatwinkler Damm - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Richard-Wagner-Platz - Leibnizstrasse Ecke Otto-Suhr-Allee - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Marburger Strasse - Wittenbergplatz,10.0,38.0,bus,West,1961
95,A 63,Radelandstrasse - Bötzowbahn - Kisselnallee Ecke Radelandstrasse - ZweiBrücker Strasse - Askanierring - Bezirksamt - Rathaus Spandau - Bhf. Spandau-West - Staakener Strasse - Hochgerichtstrasse - Viersener Strasse - Dyotzer Strasse - Leuthingerweg - Strasse 393 - Seegefelder Weg,30.0,30.0,bus,West,1961
96,A 64,Bernauer Strasse Ecke Wolliner Strasse - Demminer Strasse Ecke Brunnenstrasse - Ramlerstrasse Ecke Brunnenstrasse - U-Bhf. Gesundbrunnen - Prinzenallee Ecke Badstrasse - Schwedenstrasse Ecke Exerzierstrasse - Schulstrasse Ecke Exerzierstrasse - Reinickendorfer Strasse Ecke Schulstrasse - Leopoldplatz - Tegeler Strasse Ecke Trifstrasse - Augustenburger Platz - Seestrasse Ecke Afrikanische Strasse - Transvaalstrasse Ecke Africkanische Strasse - Nachtigalplatz,10.0,22.0,bus,West,1961
97,A 65,Goebelplatz - Kurt-Schumacher-Damme - Bhf. Jungfernheide - Landgericht - SchlossBrücke - Luisenplatz - Bhf. Westend - Königin-Elisabeth-Strasse - U-Bhf. Kaiserdamm - Masurenallee - Rathenauplatz - Bhf. Hohenzollerndamm - U-Bhf. Heidelberg Platz - Bundesplatz - Innsbrucker Platz - Bhf. Schöneberg - Alt-Tempelhof Ecke Tempelhofer Damm - Hermannstrasse Ecke Silbersteinstrasse - Bhf. Neukölln - Bhf. Sonnenallee,10.0,56.0,bus,West,1961
98,A 66,"Doppel-Süd, Berlepschstrasse - Andreezeile - Machnower Strasse Ecke Berlepschstrasse - Rathaus Zehlendorf - Clayallee Ecke Berliner Strasse - Schützallee Ecke Onkel-Tom-Strasse - U-Bhf. Onkel-Toms-Hütte",20.0,13.0,bus,West,1961
99,A 67,"Jerusalems-Kirche, Lindenstrasse - Moritzplatz - Oranienplatz - U-Bhf. Kottbusser Tor - Kottbusser Brücke - Hohenstaufenplatz - Hermannplatz - Reuterstrasse - Fuldastrasse - Erkstrasse - Hertzbergplatz - Bhf. Sonnenallee - Dammweg - Neuköllnische Allee - Am Oberhafen - U-Bhf. Grenzallee",10.0,25.0,bus,West,1961
100,A 68,Clayallee Ecke Königin-Luise-Strasse - Vogelsang - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Arnimallee - Botanischer Garten - Lepsiusstrasse - Rathaus Steglitz - Breite Strasse - Bergstrasse - Bergstrasse Ecke Bismarckstrasse - Munsterdamm Ecke Grazer Damm - Alboinstrasse Ecke Arnulfstrasse - Attilaplatz - Tempehofer Damm Ecke Friedrich-Karl-Strasse - Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - Bhf. Tempelhof,15.0,36.0,bus,West,1961
101,A 69,Eichkamp - Trabener Strasse - Bhf. Halensee - Joachim-Friedrich-Strasse Ecke Kurfürsten Damm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Leibnizstrasse Ecke Kurfürstendamm - Bleibtreustrasse Ecke Kurfürstendamm - Uhlandstrasse Ecke Kurfürstendamm - Joachimstaler Strasse Ecke Kurfürstendamm - Nürnberger Strasse Ecke Kurfürstenstrasse - Nettelbeckstrasse  - Lützowplatz - Tiergartenstrasse - Großer Stern - Kongreßhalle,20.0,29.0,bus,West,1961
103,A 70,"Bhf. Wollankstrasse - Osloer Strasse - Badstrasse - Wiesenstrasse - Bhf. Wedding - Weddingplatz - Am Nordhafen - Rathenower Strasse - Turmstrasse/Rathenower Strasse - Krankenhaus Moabit - Stromstrasse - Rathaus Tiergarten - Waldstrasse/Gotzkowskystrasse - Reuchlinstrasse - Wiebestrasse, Strassenbahnhof",10.0,28.0,bus,West,1961
104,A 71,"Bhf. Wilhelmsruh - Lindauer Strasse - Emmentaler Strasse - Schäfersee, Pankower Allee - Letteplatz, Strassenbahnhof - Provinzstrasse/Pankower Allee - Ritterlandweg - Prinzenallee/Soldiner Strasse - Osloer Strasse - Badstrasse/Prinzenallee - Bhf. Gesundbrunnen - Ramlerstrasse - Rügener Strasse - Usedomer Strasse - Bernauer Strasse/Brunnenstrasse - Bernauer Strasse Ecke Wolliner Strasse",15.0,22.0,bus,West,1961
105,A 72,"Alt-Reinickendorf Ecke Rödern Allee - Lindauer Strasse Ecke Residenzstrasse - Pankower Allee Ecke Residenzstrasse - Luise-Schröder-Platz - Nauener Platz - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Turmstrasse Ecke Stromstrasse - Waldstrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Landgericht - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendamm Allee - Nonnendammallee, Siemensstadt",15.0,41.0,bus,West,1961
106,A 73,Bhf. Zoo - Wittenbergplatz - Motzstrasse - Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Bhf. Schöneberg - Bhf. Papestrasse - Berlinickeplatz - Alt-Tempelhof Ecke Tempelhofer Damm - Rohdestrasse Ecke Germaniastrasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Britzer Damm Ecke Gradestrasse - Buschkrug Alle Ecke Blaschko-Allee,12.0,36.0,bus,West,1961
107,A 74,Königin-Elisabeth-Strasse - Spandauer Damm - Klausenerplatz - Schlossstrasse Ecke Seelingstrasse - Kaiser-Friedrich-Strasse - Stuttgarter Platz - Kurfürstendamm Ecke Konstanzer Strasse - Fehrbelliner Platz - Bundesallee - Martin-Luther-Strasse Ecke Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Bhf. Papestrasse - Bosestrasse - Eythstrasse,15.0,40.0,bus,West,1961
