,stop_id,stop_name,type,in_lines
886,887,Winfriedstrasse,bus,{'AS3s'}
887,888,Winifriedstrasse Ecke Clayallee,bus,{'A3'}
888,889,Wismarer Strasse,bus,{'A1s'}
889,890,Wismarer Strasse,strassenbahn,{'77s'}
890,891,Wismarer Strasse Ecke Ostpreußendamm,strassenbahn,{'96x'}
891,892,Wittenau,bus,{'A62x'}
892,893,Wittenau (Kremmener Bahn),s-bahn,{'KBS 105'}
893,894,Wittenau (Nordbahn),s-bahn,{'KBS 106'}
894,895,Wittenbergplatz,bus,"{'A60s', 'A29s', 'A19', 'A73x', 'A62x'}"
895,896,Wittenbergplatz,strassenbahn,"{'55x', '2x', '77s', '78s'}"
896,897,Wittenbergplatz,u-bahn,"{'A I', 'A II', 'B I', 'B II'}"
897,898,Witzleben,s-bahn,{'KBS 100'}
898,899,Wolburgsweg,bus,{'A5s'}
899,900,Wollankstr.,s-bahn,"{'KBS 106', 'KBS 105'}"
900,901,Wolzogenstrasse,bus,{'A18'}
901,902,Yorckstr.,s-bahn,"{'KBS 106', 'KBS 105'}"
902,903,Yorckstrasse,bus,{'A28s'}
903,904,Yorckstrasse,strassenbahn,{'96x'}
904,905,Zabel-Krüger-Damm,bus,{'A12'}
905,906,Zappoter/Oeynhauser Strasse,bus,{'A60s'}
906,907,Zehlendorf,s-bahn,"{'KBS 104a', 'KBS 104'}"
907,908,Ziekowstrasse,bus,{'A14'}
908,909,Zitadellenweg,strassenbahn,{'55x'}
909,910,ZobeltitzStrasse,bus,{'A61s'}
910,911,Zoologischer Garten,s-bahn,"{'KBS 101', 'KBS 102'}"
911,912,Zoologischer Garten,u-bahn,"{'A I', 'B I'}"
912,913,Zossener Strasse,bus,{'A28s'}
913,914,Zossener Strasse Ecke Blücherstrasse,strassenbahn,{'95x'}
914,915,Zum Heckeshorn,bus,{'A51s'}
915,916,ZweiBrücker Strasse,bus,{'A63x'}
