stop_order,stop_id,line_id,distance_meters
2,1960223_unified,196018_unified,1407.3138846391823
3,1960224_unified,196018_unified,1239.9108862281507
4,1960225_unified,196018_unified,1138.5270636163884
5,1960226_unified,196018_unified,1028.310335717693
6,1960227_unified,196018_unified,1293.280529595575
7,1960228_unified,196018_unified,768.143086005875
8,1960229_unified,196018_unified,
0,1960230_unified,196019_unified,701.1187770883037
1,1960231_unified,196019_unified,923.0637580533673
2,1960232_unified,196019_unified,837.4205552257579
3,1960233_unified,196019_unified,1286.2974303463525
4,1960234_unified,196019_unified,472.7684340138663
5,1960235_unified,196019_unified,1345.5775381028839
6,1960236_unified,196019_unified,900.8349048051332
7,1960237_unified,196019_unified,481.9893068156508
8,1960238_unified,196019_unified,1372.827165541827
9,1960239_unified,196019_unified,1717.5251551841375
10,1960240_unified,196019_unified,1453.352263385776
11,1960241_unified,196019_unified,35.62434676391439
12,1960242_unified,196019_unified,545.9575368491093
13,1960243_unified,196019_unified,1536.0092414006149
14,1960244_unified,196019_unified,2720.8181670092795
15,1960245_unified,196019_unified,
0,1960246_unified,196020_unified,701.1187770883037
1,1960247_unified,196020_unified,923.0637580533673
2,1960248_unified,196020_unified,843.9181528214382
3,1960249_unified,196020_unified,1281.0462341495245
4,1960250_unified,196020_unified,472.7684340138663
5,1960251_unified,196020_unified,1345.5775381028839
6,1960252_unified,196020_unified,900.8349048051332
7,1960253_unified,196020_unified,481.9893068156508
8,1960254_unified,196020_unified,1372.827165541827
9,1960255_unified,196020_unified,1717.5251551841375
10,1960256_unified,196020_unified,1453.352263385776
11,1960257_unified,196020_unified,35.62434676391439
12,1960258_unified,196020_unified,545.9575368491093
13,1960259_unified,196020_unified,1536.0092414006149
14,1960260_unified,196020_unified,1439.4517174058506
15,1960261_unified,196020_unified,
0,1960262_unified,196021_unified,701.1187770883037
1,1960263_unified,196021_unified,923.0637580533673
2,1960264_unified,196021_unified,843.9181528214382
3,1960265_unified,196021_unified,598.4720646338349
4,1960266_unified,196021_unified,684.034586680598
5,1960267_unified,196021_unified,472.7684340138663
6,1960268_unified,196021_unified,800.7686772305323
7,1960269_unified,196021_unified,540.4827266327615
8,1960270_unified,196021_unified,1254.9765918377543
9,1960271_unified,196021_unified,1003.81492080009
10,1960272_unified,196021_unified,1359.6304086201822
11,1960273_unified,196021_unified,2108.9178357501487
12,1960274_unified,196021_unified,882.3654192365246
13,1960275_unified,196021_unified,475.00232628798847
14,1960276_unified,196021_unified,1192.4541334890148
