,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
126,Schmargendorf,s-bahn,['KBS 150'],"52.479672222222,13.312441666667",Q302810,"['KBS 100']+ ['KBS 100']+ ['KBS 100', 'KBS 100a']+ KBS 100+ KBS 100+ KBS 100,KBS 100k+ ['KBS 100k', 'KBS 100']+ ['KBS 151', 'KBS 150']",nan+ nan+ nan+ Berlin Heidelberger Platz station+ Berlin Heidelberger Platz station+ Berlin Heidelberger Platz station+ nan+ nan
127,Schulzendorf (b Tegel),s-bahn,"['KBS 153', 'KBS 152']","52.6128,13.2462",Q800487,['KBS 105']+ ['KBS 105']+ KBS 105+ KBS 105+ KBS 100c+ ['KBS 100c']+ ['KBS 152']+ ['KBS 153'],nan+ nan+ Schulzendorf railway station+ Schulzendorf railway station+ Schulzendorf railway station+ nan+ nan+ nan
128,Schöneberg,s-bahn,"['KBS 154', 'KBS 150']","52.4794,13.3517",Q543855,"['KBS 100', 'KBS 104a']+ ['KBS 100a', 'KBS 104', 'KBS 100']+ ['KBS 100', 'KBS 100a', 'KBS 104']+ KBS 100a,KBS 100,KBS 104+ KBS 104,KBS 100a,KBS 100+ KBS 100,KBS 100k,KBS 100e+ ['KBS 100k', 'KBS 100e', 'KBS 100']+ ['KBS 151', 'KBS 154', 'KBS 150']+ 1",nan+ nan+ nan+ Berlin-Schöneberg station+ Berlin-Schöneberg station+ Berlin-Schöneberg station+ nan+ nan+ nan
129,Schönholz,s-bahn,"['KBS 153', 'KBS 154', 'KBS 152']","52.5714,13.3814",Q800490,"['KBS 104', 'KBS 105']+ ['KBS 105', 'KBS 104']+ ['KBS 105', 'KBS 104']+ KBS 105,KBS 104+ KBS 105,KBS 106+ KBS 100c,KBS 100e+ ['KBS 100c', 'KBS 100e']+ ['KBS 154', 'KBS 152']+ ['KBS 153', 'KBS 152']+ 152,153+ 2",nan+ nan+ nan+ Berlin-Schönholz station+ Berlin-Schönholz station+ Berlin-Schönholz station+ nan+ nan+ nan+ nan+ nan
130,Seestr.,u-bahn,['6'],"52.55056,13.35194",Q554391,"['C I']+ C II,C I+ C I+ C I+ ['6']+ ['6']",nan+ Seestraße+ Seestraße+ Seestraße+ nan+ nan
131,Seidelstr. (Flughafen Tegel),u-bahn,['6'],"52.571111,13.302778",Q557582,C I+ C I+ ['6']+ ['6'],nan+ nan+ nan+ nan
132,Siemensstadt,s-bahn,['KBS 159'],"52.53923,13.26365",Q96080453,"['KBS 100b']+ ['KBS 100b']+ ['KBS 100d']+ KBS 100d,KBS 100c+ KBS 100c+ KBS 100b+ ['KBS 100b']+ ['KBS 159']",nan+ nan+ nan+ Berlin-Siemensstadt railway station+ Berlin-Siemensstadt railway station+ Berlin-Siemensstadt railway station+ nan+ nan
133,Siemensstadt-Fürstenbrunn,s-bahn,['KBS 158'],"52.528,13.2695",Q18747940,['KBS 103a']+ KBS 103a+ KBS 103a+ KBS 100a+ ['KBS 100a']+ ['KBS 158'],nan+ Siemensstadt-Fürstenbrunn station+ Siemensstadt-Fürstenbrunn station+ Siemensstadt-Fürstenbrunn station+ nan+ nan
134,Sonnenallee,s-bahn,['KBS 150'],"52.473,13.4558",Q481364,['KBS 100']+ ['KBS 100']+ ['KBS 100']+ KBS 100+ KBS 100+ KBS 100+ ['KBS 100']+ ['KBS 150'],nan+ nan+ nan+ Berlin Sonnenallee station+ Berlin Sonnenallee station+ Berlin Sonnenallee station+ nan+ nan
135,Sophie-Charlotte-Platz,u-bahn,['1'],"52.510833333333,13.296666666667",Q657879,"['A1']+ ['A I']+ ['A I']+ A I,B I+ A I,B I+ A I+ ['1']+ ['1']+ ['1']+ 1+ 1+ 1",nan+ nan+ nan+ Sophie-Charlotte-Platz+ Sophie-Charlotte-Platz+ Sophie-Charlotte-Platz+ nan+ nan+ nan+ nan+ nan+ nan
136,Spandau,s-bahn,"['KBS 157', 'KBS 158']","52.532, 13.2089",Q800491,"['KBS 100c']+ ['KBS 101', 'KBS 103']+ ['KBS 103a', 'KBS 101', 'KBS 103']+ KBS 103,KBS 103a,KBS 101+ KBS 101,KBS 103a+ KBS 100a,KBS 100g+ ['KBS 100a', 'KBS 100g']+ ['KBS 157', 'KBS 158']",nan+ nan+ nan+ Spandau+ S-Bahnhof Berlin Spandau+ S-Bahnhof Berlin Spandau+ nan+ nan
