stop_name,type,location,in_lines,identifier,east-west
Heiligenseestrasse,bus,"52.59796193636089, 13.275098894138587","A20,A14",,West
Hermannplatz,bus,"52.48778872855567, 13.425393480017616",A67,,West
Hermannplatz,strassenbahn,"52.487085572732276, 13.424752445258537","3,95,47,27,26",,West
Hermannplatz,u-bahn,"52.48629,13.42455","D,C I",Q658929,West
Hermannstr.,s-bahn,"52.4675,13.431111111111","KBS 100a,KBS 100",Q111263802,West
Hermannstrasse,strassenbahn,"52.46476232618638, 13.432818109719008","15,26",,West
Hermannstrasse Ecke Silbersteinstrasse,bus,"52.46644333425963, 13.43195484694859",A65,,West
Hermsdorf,s-bahn,"52.6178,13.3069",KBS 106,Q263189,West
Hermsdorfer Damm,bus,"52.600011860666825, 13.281303213246002",A15,,West
Hermsdorfer Damm,bus,"52.62242143698805, 13.31287835380073",A12,,West
Hertzbergplatz,bus,"52.477487105395774, 13.448598156816837",A67,,West
Hertzbergplatz,strassenbahn,"52.4773735457893, 13.448843811492495",95,,West
Hildburghauser Strasse,bus,"52.416650746748985, 13.338144038711128",A11,,West
Hindenburgdamm,bus,"52.45352507850236, 13.315671490206539",A48,,West
Hindenburgdamm,strassenbahn,"52.45271700038014, 13.319567835182761","77,78",,West
Hochgerichtstrasse,bus,"52.53838037062423, 13.183009198076522","A63,A5",,West
Hochmeisterplatz,bus,"52.49468637986547, 13.301254684721862",A4,,West
Hohenstaufenplatz,bus,"52.49085480753271, 13.423419999335453",A67,,West
Hohenzollerndamm,bus,"52.476835205459196, 13.28097752710442",A50,,West
Hohenzollerndamm,s-bahn,"52.4885,13.3004",KBS 100,Q800503,West
Hohenzollernplatz,u-bahn,"52.493888888889,13.325","A II,B II",Q571570,West
Hohenzollernring,bus,"52.55569430282622, 13.207589665448262",AS1,,West
Hohenzollernring,strassenbahn,"52.55534806923232, 13.198657615343986","54,76",,West
Hohenzollernring,strassenbahn,"52.55569292602298, 13.20744492422738","53,75",,West
Holzhauser Str.,u-bahn,"52.575833333333,13.296111111111",C I,Q557566,West
Holzhauser Strasse,bus,"52.581973276504755, 13.305409380050108",A15,,West
Holzhauser Strasse,bus,"52.59178549505881, 13.326377240287412","A12,A14",,West
Hottengrund,bus,"52.44597765000425, 13.126251393745859",A35,,West
Humboldthain,s-bahn,"52.5451,13.3796","KBS 104,KBS 105,KBS 106",Q481276,West
Humboldtstrasse,bus,"52.56929443788896, 13.32995611157798",A61,,West
Hundekehlestrasse,bus,"52.47548162130776, 13.290308772196097",A10,,West
Händelplatz,strassenbahn,"52.450279094879285, 13.315466784727654","73,77,78,74",,West
Ihnestrasse,bus,"52.44831039409289, 13.276355065531465",A11,,West
Imbrosweg,strassenbahn,"52.443541863050356, 13.398564688322455",15,,West
Industriestrasse,strassenbahn,"52.455350229930445, 13.409794385645863","15,26",,West
Innsbrucker Platz,bus,"52.478545508234895, 13.34405868604117","A75,A65,A4,A16,A48",,West
Innsbrucker Platz,s-bahn,"52.4786,13.3439","KBS 100a,KBS 100",Q111263876,West
Innsbrucker Platz,strassenbahn,"52.47804266204959, 13.343446877940893","66,73,74",,West
Innsbrucker Platz (Hauptstr.),u-bahn,"52.4786,13.3439",B III,Q10275871,West
Jakob-Kaiser-Platz,bus,"52.536739701449115, 13.293604878938678",A72,,West
Jakob-Kaiser-Platz,strassenbahn,"52.53674527783534, 13.293570890395548",55,,West
"Jerusalems-Kirche, Lindenstrasse",bus,"52.507080658279015, 13.398349137947935",A67,,West
Joachim-Friedrich-Strasse,bus,"52.49796465694724, 13.296270941417216",A29,,West
Joachim-Friedrich-Strasse Ecke Kurfürsten Damm,bus,"52.497990910880795, 13.296176084656011",A69,,West
Joachimstaler Strasse,bus,"52.50380704791941, 13.331281572821457","A19,A60,A29",,West
Joachimstaler Strasse Ecke Kurfürstendamm,bus,"52.503848526250394, 13.331282191682005",A69,,West
Johannesstift,strassenbahn,"52.56762416524039, 13.191782610265674","54,76",,West
John-Foster-Dulles-Allee,bus,"52.517085214536316, 13.354609198247653",A24,,West
Jungfernheide,s-bahn,"52.53035,13.299433333333","KBS 103a,KBS 100c,KBS 100",Q110977325,West
Jänickestrasse,bus,"52.427213941734294, 13.271659447787256",A53,,West
Kaiser-Friedrich-Strasse,bus,"52.50678666128108, 13.302343266081147",A74,,West
Kaiser-Wilhelm-Platz,bus,"52.486329247981715, 13.35655627172785","A4,A48,A75",,West
Kaiser-Wilhelm-Platz,strassenbahn,"52.486331659025346, 13.356584679052645","2,73,74",,West
Kaiserdamm (Messedamm),u-bahn,"52.51,13.2822","A I,B I",Q656409,West
Kaisereiche,bus,"52.46896806014468, 13.332614886077709","A25,A48,A75",,West
Kaisereiche,strassenbahn,"52.468942127334586, 13.332672961457298","73,74",,West
Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm,bus,"52.45934920938466, 13.384516351201325",A68,,West
Kaiserstrasse,bus,"52.445569639174806, 13.385736727448023",A33,,West
Kaiserstrasse Ecke Mariendorfer Damm,bus,"52.44556072681654, 13.38580316499979",A76,,West
Kaiserstrasse Ecke Mariendorfer Damm,bus,"52.445571772041696, 13.38576290701988",A77,,West
Kaiserstrasse/Ringstrasse,bus,"52.44449600134536, 13.372233806361567",A33,,West
Kanalstrasse,bus,"52.42383870085989, 13.514466425990765",A52,,West
Kantstrasse,bus,"52.50678794910284, 13.302320269833038",A21,,West
Karl-Marx-Platz,strassenbahn,"52.47358382682129, 13.44070604138443","47,26",,West
Karl-Marx-Str.,u-bahn,"52.476111111111,13.439166666667",C I,Q519494,West
Karolinenstrasse,bus,"52.59678679258494, 13.276661373436578",A20,,West
Kaserne Südtor,bus,"52.55685969560147, 13.3084342409763",A21,,West
Katzbachstrasse,bus,"52.491584280543336, 13.376725460315825",A19,,West
Kinderheim Ruhleben,bus,"52.52796709321304, 13.230713275419049",A31,,West
Kirchstrasse,bus,"52.61485248170046, 13.317034418727145",A12,,West
Kirschenallee,strassenbahn,"52.52037354122697, 13.267241546337495","53,54",,West
Kisselnallee Ecke Radelandstrasse,bus,"52.556501057441956, 13.188670871494672",A63,,West
Kladow,Fähre,"52.45151498638808, 13.147961938847912",Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,West
Klausenerplatz,bus,"52.51924427298945, 13.291948741419509",A74,,West
Klausenerplatz,strassenbahn,"52.519202008553854, 13.291867366490655","53,54",,West
"Kleinbahn, Buckower Damm",strassenbahn,"52.438022748003675, 13.434975544021462",27,,West
Klingsorstrasse,bus,"52.45309021884074, 13.33121103955973",A33,,West
Klinkeplatz,bus,"52.555551464661846, 13.198549783852652",AS1,,West
Klosterstraße Ecke Seeburger Straße,bus,"52.529157516749336, 13.19558509974695",A13,,West
Knesebeckstrasse,bus,"52.428912094809505, 13.267664971836647",A53,,West
KoblanckStrasse,bus,"52.426175417562064, 13.161460962278303",A51,,West
Kochstr.,u-bahn,"52.505897222222,13.390611111111",C I,Q201849,West
Kohlhasenbr ck,bus,"52.397602179732665, 13.143663292364124",A18,,West
Kongreßhalle,bus,"52.51763253396976, 13.363196975404886",A69,,West
Konstanzer Strasse,bus,"52.48857876641685, 13.308077083720315",A50,,West
Kopenhagener Strasse,bus,"52.574260461143574, 13.359154742049908",A14,,West
Kottbusser Brücke,bus,"52.496030844936435, 13.420070402767054",A67,,West
Kottbusser Damm (Schönleinstr.),u-bahn,"52.493055555556,13.421944444444",D,Q666868,West
Kottbusser Tor,u-bahn,"52.499166666667,13.418055555556","A II,D,B II,B I",Q819768,West
Krampnitzer Weg,bus,"52.45227343259078, 13.13842230425098",A35,,West
Krankenhaus Havelh he,bus,"52.462919334280684, 13.15899083159388",A35,,West
Krankenhaus Havelhöhe,bus,"52.462919334280684, 13.15899083159388",A34,,West
Krankenhaus Heckeshorn,bus,"52.43498872792054, 13.161716693825408",A51,,West
Krankenhaus Hohengatow,bus,"52.470449875602235, 13.169391604448148","A34,A35",,West
Krankenhaus Moabit,bus,"52.52631363859675, 13.347762408358612",A70,,West
Krankenhaus Tegel-Süd,bus,"52.57573397877684, 13.278749331662",A13,,West
Krankenhaus Wannsee,bus,"52.43102764694952, 13.164964517227903",A51,,West
Kreuzbergstrasse,bus,"52.48940663862394, 13.376689964763667",A28,,West
Kronprinzessinen Weg,bus,"52.41994047416807, 13.17530094854083",A18,,West
Krumme Lanke,u-bahn,"52.443333333333,13.241388888889","A II,B II",Q663945,West
Kurfürstendamm,bus,"52.498023305214666, 13.296217571157966","A60,AS2,AS3,A10,A21",,West
Kurfürstendamm Ecke Konstanzer Strasse,bus,"52.500599097108285, 13.31304940813286","A74,A1",,West
Kurfürstenstr.,u-bahn,"52.5,13.361944444444","B II,B I",Q690203,West
Kurfürstenstrasse,bus,"52.445643034300396, 13.36805209564975",A33,,West
Kurfürstenstrasse,u-bahn,"52.5,13.361944",A II,Q690203,West
Kurt-Schumacher-Damme,bus,"52.53691363313431, 13.29370181789795",A65,,West
Kurt-Schumacher-Platz,bus,"52.563438249109005, 13.32713028618972",A21,,West
Kurt-Schumacher-Platz,u-bahn,"52.563555555556,13.326572222222",C I,Q555916,West
Köllnische Heide,s-bahn,"52.4694,13.4675",KBS 100a,Q800505,West
Königin-Elisabeth-Strasse,bus,"52.5100262651791, 13.281782266209204","A65,A74",,West
Königin-Elisabeth-Strasse,strassenbahn,"52.51841661774004, 13.280185271122395","60,53,54",,West
Königin-Luise-Strasse,bus,"52.45831794711095, 13.287027476333241",A10,,West
Königin-Luise-Strasse,bus,"52.46046250414625, 13.274837141314253",AS3,,West
Königstrasse,bus,"52.41987226002477, 13.175332944592043",A6,,West
Königstrasse/Kronprinzessinnenweg,bus,"52.41989533124603, 13.17532169204708",A51,,West
Köpenicker Strasse,bus,"52.417188859212956, 13.493835883883817",A52,,West
Köpenicker Strasse,strassenbahn,"52.420483475304536, 13.538745338445915","47,84",,West
Köpenickerstrasse Ecke Manteuffelstrasse,bus,"52.50574939832715, 13.431940956927507",A28,,West
Körtingstrasse,bus,"52.43481849058747, 13.378266822562516",A77,,West
Körtingstrasse Ecke Großbeerenstrasse,strassenbahn,"52.434802727145076, 13.378295684287906",15,,West
Landgericht,bus,"52.52698925988807, 13.297167647658592","A65,A72",,West
Lange Strasse,bus,"52.42401188883506, 13.333131159875414",A11,,West
Lankwitz,s-bahn,"52.4386,13.3417",KBS 106,Q800481,West
"Lankwitz, Kirche",bus,"52.43629186979271, 13.345745387354132","A32,A2",,West
"Lankwitz, Kirche",strassenbahn,"52.43629411008752, 13.34577793920493",96,,West
Lauenburger Platz,bus,"52.461985842386426, 13.33927388252173",A75,,West
Lauterplatz,strassenbahn,"52.475528954378376, 13.340160154844037","73,74",,West
Lehrter Stadtbahnhof,s-bahn,"52.5253,13.3694","KBS 101,KBS 102",Q821299,West
Leibnizstrasse Ecke Kurfürstendamm,bus,"52.500647891248605, 13.313040549353639",A69,,West
Leibnizstrasse Ecke Otto-Suhr-Allee,bus,"52.51466735877481, 13.31516095265439",A62,,West
Leinestr.,u-bahn,"52.472777777778,13.428333333333",D,Q668563,West
LeonorenStrasse,bus,"52.444386837647556, 13.338876103590831","A32,A17",,West
Leonorenstrasse Ecke Siemensstrasse,bus,"52.44438057977062, 13.338875271971135",A2,,West
Leopoldplatz,bus,"52.54647397037027, 13.359233475022176",A64,,West
Leopoldplatz,u-bahn,"52.5465,13.3591",C I,Q1960809,West
Lepsiusstrasse,bus,"52.45883023513571, 13.315599065479873",A68,,West
Lerbacher Weg Ecke Gallwitzallee,bus,"52.425706884201745, 13.347621555992067",A2,,West
"Letteplatz, Strassenbahnhof",bus,"52.56410522486749, 13.371107480641978",A71,,West
Leuthingerweg,bus,"52.54180680726089, 13.163727103711182",A63,,West
Lichtenrade,s-bahn,"52.3876,13.3963",KBS 105,Q6543354,West
"Lichtenrade, Goethestrasse",bus,"52.40437993547595, 13.406198387437845",AS2,,West
Lichtenrader Damm,bus,"52.41457407591286, 13.401100479114065",A52,,West
Lichterfelde Ost,s-bahn,"52.43,13.3289",KBS 106,Q111311299,West
Lichterfelde Süd,s-bahn,"52.41,13.3086",KBS 106,Q800482,West
Lichterfelde West,s-bahn,"52.4433,13.2947",KBS 104,Q111327103,West
Lichterfelde-West Lindenstrasse,strassenbahn,"52.416224714960904, 13.311832010279808","58,78",,West
Lindauer Strasse,bus,"52.573378512244474, 13.359026284637647","A71,A12",,West
Lindauer Strasse Ecke Residenzstrasse,bus,"52.57332805900587, 13.35899004155058",A72,,West
Lindenstrasse,bus,"52.41754704184675, 13.306637505969373",A1,,West
Lindenstrasse,strassenbahn,"52.50703628824205, 13.398245194666595",96,,West
Lindenthaler Allee,s-bahn,"52.4375,13.2325",KBS 104,Q315891,West
Lindenweg,bus,"52.58320838924275, 13.343677581838621","A12,A14",,West
Loewenhardtdamm,bus,"52.48165790097863, 13.374453287679744",A28,,West
Louise-Schroeder-Platz,bus,"52.55713317342601, 13.365513694540711",A16,,West
Ludwigkirchstrasse/Pariser Strasse,bus,"52.497535465268555, 13.324328066962357",A60,,West
Luise-Schröder-Platz,bus,"52.55757019957571, 13.365470778195588",A72,,West
Luisenplatz,bus,"52.52005408723936, 13.2995133852506","A65,A21,A62,AS1",,West
Luisenplatz,strassenbahn,"52.51951940474329, 13.300024347605849","53,3,54,55",,West
Lupsteiner Weg,bus,"52.40950895120702, 13.251647735398342",A10,,West
Lutherstrasse,bus,"52.50104544166847, 13.34692193817342",A29,,West
Luzerner Strasse,bus,"52.42399460780493, 13.293333572320618",A53,,West
Lynastrasse,bus,"52.54898935768741, 13.210225795636823",AS1,,West
Lynastrasse Ecke Neuendorfer Strasse,strassenbahn,"52.54898037206874, 13.210198880046686","53,54",,West
"Lübars, Dorfaue",bus,"52.62095733281459, 13.358934481999336",A20,,West
Lübarser Strasse,bus,"52.602792196244636, 13.335729351721078",A15,,West
Lützowplatz,bus,"52.505029017314186, 13.351822867208506","A69,A16,A24",,West
Lützowstrasse,bus,"52.5030789103706, 13.36561126569968",A48,,West
Lützowstrasse,bus,"52.50531004879477, 13.35374234810531",A29,,West
Lützowstrasse,strassenbahn,"52.503071437757164, 13.365720679612895","73,74",,West
Machandelweg,bus,"52.52483519555124, 13.24567177943413","A5,A31",,West
Machnower Strasse Ecke Berlepschstrasse,bus,"52.42978244172841, 13.257044671164005",A66,,West
Magistratsweg,bus,"52.5331201414446, 13.158067208455051",A31,,West
Marburger Strasse,bus,"52.50371964602222, 13.337728344178407",A62,,West
Marchandstrasse,bus,"52.423049326436605, 13.357354547531147",A32,,West
Margaretenstrasse,bus,"52.50894074108115, 13.36866960388795",A48,,West
Mariannenplatz,bus,"52.50228674193422, 13.42408622658593",A28,,West
Mariendorf,s-bahn,"52.4478,13.3609",KBS 105,Q800497,West
Mariendorfer Damm,bus,"52.445604468950826, 13.385816551199863","A77,AS2",,West
Mariendorfer Damm,strassenbahn,"52.44016299080784, 13.387234623097394",15,,West
Mariendorfer Friedhof,strassenbahn,"52.44953069256824, 13.404755931664896",15,,West
Mariendorfer Weg Ecke Hermannstrasse,strassenbahn,"52.46469083550148, 13.432907024217851",27,,West
Marienfelde,s-bahn,"52.4242,13.3747",KBS 105,Q800485,West
Marienfelder Allee,bus,"52.413790430379194, 13.362098895780415",A32,,West
Marienfelder Strasse,bus,"52.43338754214616, 13.353023554563793",A32,,West
Marienfelder Strasse Ecke Lichtenrader Damm,bus,"52.392477747609426, 13.40668482049751",A76,,West
Marienstrasse,bus,"52.42960010456386, 13.321303543636025",A11,,West
Markgrafenstrasse Ecke Mariendorfer Damm,bus,"52.445553184518396, 13.385808538094254",A77,,West
Martin-Luther-Friedhof,bus,"52.598400543805816, 13.298350500981082",A20,,West
Martin-Luther-Strasse Ecke Grunewaldstrasse,bus,"52.4891017368616, 13.34492200742072",A74,,West
Masurenallee,bus,"52.50642938866968, 13.280405207863838",A65,,West
Mattenbuder Pfad,bus,"52.61696067657215, 13.220550425237422",A14,,West
Mehringdamm,bus,"52.49293917608851, 13.38772030059097","A19,A28",,West
Mehringdamm,u-bahn,"52.493888888889,13.388333333333","C II,C I",Q657905,West
Mehringdamm Ecke Yorck Strasse,strassenbahn,"52.492954886841254, 13.387694356760754",3,,West
Mehringplatz,strassenbahn,"52.4979249057416, 13.39108106831653","95,96",,West
Messedamm,bus,"52.50446814877144, 13.279412101845791",A4,,West
Messedamm,strassenbahn,"52.50641938570246, 13.280392436943686","75,76",,West
Mimosenweg,bus,"52.42675928719203, 13.506179808906213",A52,,West
Mittelstrasse,bus,"52.43475141442549, 13.249262104251452",A18,,West
Mohriner Allee Ecke Buckower Damm,strassenbahn,"52.444210434540814, 13.433541378183778",27,,West
Moltkestrasse,strassenbahn,"52.440407040891834, 13.316309800686549","73,74",,West
Morgensternstrasse Ecke Wilhelmstrasse,bus,"52.42808959398118, 13.325491157001045","A11,A17",,West
Moritzplatz,bus,"52.50387355112676, 13.409983330065609",A67,,West
Moritzplatz,u-bahn,"52.503611111111,13.410833333333",D,Q374225,West
Motzstrasse,bus,"52.49717707606062, 13.346075923573181",A73,,West
Munsterdamm Ecke Grazer Damm,bus,"52.45901976387901, 13.34874691531987",A68,,West
Munsterdamm Ecke Steglitzer Damm,bus,"52.45003044948948, 13.346702868396282",A75,,West
Möckernbrücke,u-bahn,"52.499166666667,13.382777777778","A II,B II,B I",Q704716,West
Mühlenstrasse,bus,"52.59350028783369, 13.248862690560857",A20,,West
Nachtigalplatz,bus,"52.55708816298035, 13.333841766869467",A64,,West
Nassauische Strasse,bus,"52.4911618772095, 13.326528822264246",A50,,West
Nauener Platz,bus,"52.551552618214714, 13.36737072883247",A72,,West
Nauener Strasse,bus,"52.5340443007014, 13.18167584141312",A31,,West
Nauener Strasse,strassenbahn,"52.5384290651878, 13.182388284496431",55,,West
Neu-Westend,u-bahn,"52.515555555556,13.261111111111",B I,Q656431,West
Neukölln,s-bahn,"52.469166666667,13.441666666667","KBS 100a,KBS 100",Q111325412,West
Neukölln (Südring),u-bahn,"52.469444,13.442222",C I,Q21272767,West
Neuköllnische Allee,bus,"52.468152065072715, 13.460620591028498",A67,,West
Nikolassee,s-bahn,"52.4317,13.1933","KBS 104,KBS 102",Q637052,West
Nikolskoer Weg,bus,"52.41405938531216, 13.109270752484141",A6,,West
Nollendorfplatz,bus,"52.49968843634292, 13.353086438468269",A19,,West
Nollendorfplatz,strassenbahn,"52.49974136660471, 13.352878927585127",55,,West
Nollendorfplatz,u-bahn,"52.499166666667,13.353888888889","A I,B I,A II,B II,B III",Q571039,West
"Nonnendammallee, Siemensstadt",bus,"52.537063326963775, 13.262285169635492",A72,,West
Nürnberger Strasse Ecke Kurfürstenstrasse,bus,"52.50513952189661, 13.34119156469812",A69,,West
Olivaer Platz,bus,"52.50060275704949, 13.313110622018645","A19,A29",,West
Olympia-Stadion,u-bahn,"52.517222222222,13.25",B I,Q656441,West
Olympiastadion,s-bahn,"52.511,13.2416",KBS 101,Q800506,West
Onkel Toms Hütte,u-bahn,"52.450277777778,13.253333333333","A II,B II",Q389214,West
Onkel-Herse-Strasse,strassenbahn,"52.44827036160263, 13.453893782713148",47,,West
Oranienburger Strasse,bus,"52.59544415987805, 13.333037366087483",A21,,West
Oraniendamm,bus,"52.607835611203505, 13.323834478403686",A20,,West
Oranienplatz,bus,"52.50232370505019, 13.415510129463975",A67,,West
Oranienstrasse,bus,"52.501310708954215, 13.419224612073883","A28,A75",,West
Ortsgrenze Gatow,bus,"52.4981601705565, 13.180014416479423","A34,A35",,West
Oskar-Helene-Heim,u-bahn,"52.450277777778,13.269722222222","A II,B II",Q681336,West
Osloer Strasse,bus,"52.55587669510938, 13.38424421097371","A70,A71",,West
Osloer Strasse,bus,"52.55671381712504, 13.373732523202998",A61,,West
OsnaBrücker Strasse,strassenbahn,"52.52655659018374, 13.297414453709727",55,,West
Osteweg,bus,"52.42102198114528, 13.281135801011326",A53,,West
Ostpreußendamm Ecke Morgenstern Strasse,strassenbahn,"52.42585546925107, 13.316822725126194",96,,West
Otto-Suhr-Allee,bus,"52.51469791251031, 13.315136925389936",A1,,West
Pacelli-/Thielallee,bus,"52.45819383818934, 13.287096949272522",A1,,West
Pankower Allee,bus,"52.564667911185886, 13.378087639243981",A14,,West
Pankower Allee Ecke Residenzstrasse,bus,"52.56383591570264, 13.364287664704229",A72,,West
Pankstrasse,bus,"52.55229407958284, 13.38145934777098","A61,A14",,West
Papestr.,s-bahn,"52.4756,13.3644","KBS 100,KBS 100a,KBS 105,KBS 106",Q111323139,West
Paradestr.,u-bahn,"52.478055555556,13.386111111111",C II,Q557543,West
Paradestrasse,bus,"52.478185540036016, 13.385794074394854",A77,,West
Parchimer Allee,strassenbahn,"52.44544295914785, 13.455088787662136",47,,West
Pariser Strasse Ecke Bundesallee,bus,"52.496055111394334, 13.33060372058005",A25,,West
"Parkfriedhof Neukölln, Buckower Damm",strassenbahn,"52.428374721547385, 13.435001496921483",27,,West
Paulsternstrasse,bus,"52.54415774195884, 13.247126131065503","A10,A13",,West
Paulsternstrasse,strassenbahn,"52.538114851173546, 13.248435943349298",55,,West
Pfaueninsel-Chaussee,bus,"52.41883762088876, 13.153039190703318","A6,A18",,West
Pfaueninsel-Chaussee Ecke Königstrasse,bus,"52.41888024334639, 13.152988428835997",A3,,West
Pichelsberg,s-bahn,"52.5103,13.2271",KBS 101,Q800488,West
Pichelsdorfer Strasse,strassenbahn,"52.51307046642958, 13.196871153391022","75,76",,West
Platz der Luftbrücke,bus,"52.48500811314645, 13.385984513056924","A77,A76",,West
Podbielskiallee,u-bahn,"52.464444444444,13.296388888889","A II,B II",Q571324,West
Postamt,bus,"52.48905066177084, 13.322770368720937",A60,,West
Potsdamer Platz,strassenbahn,"52.50948236131137, 13.375988156399634","73,74",,West
Potsdamer Strasse,bus,"52.50310985391171, 13.365680511254423","A29,A24",,West
Potsdamer Strasse Ecke Bülowstrasse,bus,"52.497900834061184, 13.362004472211375",A19,,West
Potsdamer Strasse Ecke Clayallee,bus,"52.43504800046437, 13.260425575475969","A1,A18",,West
Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,"52.4357751453625, 13.256027995378796",A48,,West
Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,"52.43581242860363, 13.256098874509126",A53,,West
Potsdamer Strasse Ecke Pallasstrasse,strassenbahn,"52.49437098285493, 13.361060066548905",3,,West
Prager Platz,bus,"52.49294694854429, 13.332964219632272",A50,,West
Priesterweg,s-bahn,"52.4601,13.3563","KBS 105,KBS 106",Q800508,West
Prinzenallee Ecke Badstrasse,bus,"52.552305008833024, 13.381468211411605",A64,,West
Prinzenallee/Soldiner Strasse,bus,"52.55871759464676, 13.386248511741826",A71,,West
Prinzenstr.,u-bahn,"52.498333333333,13.406111111111","B II,B I",Q689797,West
Prinzenstrasse,u-bahn,"52.498333333333,13.406111111111",A II,Q689797,West
Provinzstrasse/Pankower Allee,bus,"52.56468777207285, 13.378063096396454",A71,,West
Putlitzstr.,s-bahn,"52.536,13.344",KBS 100,Q465972,West
Päwesiner Weg Ecke Seeburgerstrasse,bus,"52.526347644869524, 13.181851254649866",A13,,West
Pücklerstrasse,bus,"52.468566643885005, 13.27835662512682",AS3,,West
Quantzstrasse,bus,"52.423135671729796, 13.202253537880683",A18,,West
Quellweg,strassenbahn,"52.53666578461771, 13.268432707290442",55,,West
Quellweg Ecke Nonnendamm Allee,bus,"52.53669973748767, 13.268424095389383",A72,,West
Radelandstrasse,bus,"52.55650975276803, 13.188691756681173",A63,,West
Ramlerstrasse,bus,"52.547125761071456, 13.389174502621508",A71,,West
Ramlerstrasse Ecke Brunnenstrasse,bus,"52.54710869917004, 13.38914653586651",A64,,West
"Rankeplatz, Bundeshaus",bus,"52.4977881279831, 13.330731790169496",AS2,,West
Rankeplatz/Bundeshaus,bus,"52.497826190133736, 13.330710978777121",AS3,,West
Rathaus Mariendorf,bus,"52.44527453682428, 13.379492384246559",A33,,West
Rathaus Neukölln,strassenbahn,"52.48159489526684, 13.434274903483136","47,26",,West
Rathaus Neukölln,u-bahn,"52.481666666667,13.434166666667",C I,Q628770,West
Rathaus Sch neberg,bus,"52.48515473887597, 13.345086596743203",A16,,West
Rathaus Schöneberg,bus,"52.48515473887597, 13.345086596743203","A4,A73,A74",,West
Rathaus Schöneberg,strassenbahn,"52.48509787554474, 13.345072009289709","60,2",,West
Rathaus Schöneberg,u-bahn,"52.483116666667,13.341930555556",B III,Q570926,West
Rathaus Spandau,bus,"52.534578361518356, 13.199490942441287","A35,A5,AS1,A34,A13,A31,A63",,West
Rathaus Spandau,strassenbahn,"52.53488081670858, 13.199058849732252","55,75,76",,West
Rathaus Steglitz,bus,"52.45563377647203, 13.321050784344678","A32,A48,A17,A68",,West
Rathaus Steglitz,strassenbahn,"52.45691682931275, 13.320745348424166","73,77,78,74",,West
Rathaus Tempelhof,bus,"52.46300094221747, 13.385342238118488",A77,,West
Rathaus Tiergarten,bus,"52.52649085974541, 13.338358982634196",A70,,West
Rathaus Wannsee,bus,"52.418440129670444, 13.148872492834737","A3,A6,A18",,West
Rathaus Zehlendorf,bus,"52.433207520111885, 13.259531923613192","A3,A66,AS3",,West
Rathenauplatz,bus,"52.49561134930413, 13.286573746568635",A65,,West
Rathenower Strasse,bus,"52.52673250798154, 13.355275614926985",A24,,West
Rathenower Strasse,bus,"52.52677998083022, 13.355183467556872",A70,,West
Rathenower Strasse Ecke Perleberger Strasse,bus,"52.53252487206442, 13.350617083748922",A72,,West
Rathenower Strasse Ecke Perleberger Strasse,strassenbahn,"52.53249876618244, 13.35053125306095",2,,West
Rehberge,u-bahn,"52.5567,13.3412",C I,Q253850,West
Reichenberger Strasse,strassenbahn,"52.495535248263636, 13.430362951622532",26,,West
Reichskanzlerplatz,bus,"52.50929184084697, 13.27265693784035",A4,,West
Reichskanzlerplatz,strassenbahn,"52.5089140766086, 13.272251406623242","75,76",,West
Reichskanzlerplatz,u-bahn,"52.509722222222,13.273055555556","A I,B I",Q657857,West
Reichssportfeldstrasse,strassenbahn,"52.507514731015824, 13.242086696344282","75,76",,West
Reinickendorf,s-bahn,"52.5779,13.3506",KBS 105,Q800496,West
Reinickendorfer Str.,u-bahn,"52.539911111111,13.370377777778",C I,Q559249,West
Reinickendorfer Strasse Ecke Schulstrasse,bus,"52.55154134842798, 13.367385622374945",A64,,West
Rembrandtstrasse,strassenbahn,"52.47116466720471, 13.343688369656276",66,,West
Rennbahn,bus,"52.431519887104706, 13.391508229384012",A76,,West
Reuchlinstrasse,bus,"52.5278079827492, 13.324842775070394",A70,,West
Reuterstrasse,bus,"52.48654240757135, 13.428977740572138",A67,,West
Richard-Wagner-Platz,bus,"52.517490990443804, 13.306397097578404",A62,,West
Richard-Wagner-Platz,strassenbahn,"52.517570616857, 13.306248118529135","53,55,54",,West
Richard-Wagner-Platz,u-bahn,"52.5175,13.306388888889",A III,Q662201,West
Richardstrasse,strassenbahn,"52.47097391592754, 13.446301038467002",15,,West
Ringstrasse,bus,"52.439772810020266, 13.300175076283422",A11,,West
Rittberg-Krankenhaus,strassenbahn,"52.42987951650218, 13.288961460110901","77,78",,West
Ritterlandweg,bus,"52.56036399935592, 13.36907949823327",A71,,West
Rohdestrasse Ecke Germaniastrasse,bus,"52.4620458336563, 13.404444184357315",A73,,West
Roseneck,bus,"52.47580089902253, 13.282411270445099","A19,A50,A29,AS3",,West
"Roseneck, Hundekehl",bus,"52.47640250997692, 13.281611267179592",A60,,West
Rosenecke,bus,"52.47578489322442, 13.282306517997712",A17,,West
Rudower Strasse,bus,"52.43428237477314, 13.469124205215895",A52,,West
Ruhleben,u-bahn,"52.525555555556,13.241388888889",B I,Q656401,West
Ruhrstrasse,bus,"52.48988277984805, 13.312456459919812",A50,,West
