,stop_id,stop_name,type,location,in_lines,identifier,stop_description
865,1964865,Oraniendamm Ecke Zabel-Krüger-Damm,bus,"52.60786095340787, 13.323810166873162",A20,nan,nan
866,1964866,Oranienplatz,bus,"52.50232370505019, 13.415510129463975","A67,A29",nan,Oranienplatz
867,1964867,Oranienstrasse,bus,"52.501310708954215, 13.419224612073883","A28,A75",nan,Oranienstrasse Ecke Adalbertstrasse
868,1964868,Ortsgrenze Gatow,bus,"52.4981601705565, 13.180014416479423","A34,A35",nan,Ortsgrenze Gatow
869,1964869,Oskar-Helene-Heim,u-bahn,"52.450277777778,13.269722222222",A II,Q681336,Oskar-Helene-Heim metro station
870,1964870,Osloer Strasse,bus,"52.55587669510938, 13.38424421097371","A70,A16,A71",nan,Osloer Strasse Ecke Prinzenallee
871,1964871,Osloer Strasse,bus,"52.55671381712504, 13.373732523202998","A70,A16,A71",nan,Osloer Strasse Ecke Schwedenstrasse
872,1964872,Osloer Strasse Ecke Schwedenstrasse,bus,"52.55669669760979, 13.373827693395064","A61, A89","nan, nan","nan, nan"
873,1964873,Osloerstrasse Ecke Schwedenstrasse,bus,"52.556656015402865, 13.373862995391455",A79,nan,nan
874,1964874,Osnabrücker Strasse,strassenbahn,"52.52655659018374, 13.297414453709727",55,nan,nan
875,1964875,Ossietzkyplatz,strassenbahn,"52.58100580136794, 13.404014807678767",46,nan,Ossietzkyplatz
876,1964876,Ostbahnhof,bus,"52.50976670730252, 13.43372198235041",O40,nan,Ostbahnhof
877,1964877,Ostbahnhof,s-bahn,"52.51,13.4347","KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",Q111325075,S-Bahnhof Berlin Ostbahnhof
878,1964878,Ostbahnhof,strassenbahn,"52.509107635417394, 13.43550619008533","1,82",nan,Ostbahnhof
879,1964879,Osteweg,bus,"52.42102198114528, 13.281135801011326",A53,nan,Osteweg Ecke Seehofstrasse
880,1964880,Ostkreuz,s-bahn,"52.5031,13.4689","KBS 106a,KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104,KBS 106",Q111251530,S-Bahnhof Ostkreuz
881,1964881,Ostpreußendamm Ecke Dorstenerstrasse,bus,"52.41274953927068, 13.300517753048418",A85,nan,nan
882,1964882,Ostpreußendamm Ecke Morgenstern Strasse,strassenbahn,"52.42585546925107, 13.316822725126194",96,nan,nan
883,1964883,Ostpreußendamm Ecke Wilhelmstrasse,bus,"52.43080142626057, 13.317503639070004","A53, A11, A17","nan, nan, nan","nan, nan, nan"
884,1964884,Oswinsteig,bus,"52.62619860014992, 13.31169555587102",A12S,nan,nan
885,1964885,Otawistrasse,bus,"52.55250605742924, 13.33692240007908",A64,nan,nan
886,1964886,Otto-Suhr-Allee Ecke Cauer Strasse,bus,"52.51463990616225, 13.315222709882928",A1,nan,nan
887,1964887,Otto-Wels-Ring,bus,"52.435227499132466, 13.453269122853321",A67,nan,nan
888,1964888,Pacelli/Theilallee,bus,"52.45824694622199, 13.287066614446184",A1,nan,nan
889,1964889,Pankow,s-bahn,"52.5667,13.4111","KBS 104,KBS 106",Q111273850,S-Bahnhof Pankow
890,1964890,Pankow (Vinetastr.),u-bahn,"52.559166666667,13.413333333333",A,Q570906,Vinetastraße metro station
891,1964891,"Pankow, Kirche",bus,"52.57124680898358, 13.410670715665145","A45,A55,A58",nan,"Pankow, Kirche"
892,1964892,"Pankow, Kirche",strassenbahn,"52.5706452,13.4103115","46,49,22",Q65055066,Pankow Kirche
893,1964893,"Pankow, Rathaus",bus,"52.56953908840178, 13.404186437171612","A7,A45,A55,A58,A7E",nan,"Pankow, Rathaus"
894,1964894,Pankow-Heinersdorf,s-bahn,"52.5780653,13.4295093","KBS 104,KBS 106",Q4892366,Berlin-Pankow-Heinersdorf station
895,1964895,Pankower Allee,bus,"52.564667911185886, 13.378087639243981",A14,nan,Pankower Allee Ecke Provinzstrasse
896,1964896,Pankower Allee Ecke Markstrasse,bus,"52.56383532579568, 13.364279461310751",A79,nan,nan
897,1964897,Pankower Allee Ecke Residenzstrasse,bus,"52.56383591570264, 13.364287664704229","A72,A61",nan,nan
898,1964898,Pankstrasse,bus,"52.55229407958284, 13.38145934777098",A14,nan,Pankstrasse Ecke Badstrasse
899,1964899,Pankstrasse Ecke Badstrasse,bus,"52.55227404292705, 13.381387201509149",A61,nan,nan
900,1964900,Papestr.,s-bahn,"52.4756,13.3644","KBS 100d,KBS 100c,KBS 100,KBS 100k",Q111323139,S-Bahnhof Berlin Südkreuz
901,1964901,Parachimer Allee Ecke Buschkrug Allee,strassenbahn,"52.44548159446703, 13.455093828925063",47,nan,nan
902,1964902,Paradestr.,u-bahn,"52.478055555556,13.386111111111",C II,Q557543,Paradestraße metro station
903,1964903,Paradestrasse Ecke Tempelhofer Damm,bus,"52.478181591662555, 13.385832375321572",A77,nan,nan
904,1964904,Parchimer Allee,u-bahn,"52.444722222222,13.449444444444",C I,Q571855,nan
905,1964905,Parchimer Allee Ecke Buschkrug Allee,bus,"52.44549911516013, 13.45498866839581",A67,nan,nan
906,1964906,Pariser Strasse Ecke Joachimstaler Strasse,bus,"52.496062363528644, 13.330541387313303",A25,nan,nan
907,1964907,Parkfriedhof Neukölln,bus,"52.428374721547385, 13.435001496921483",A91,nan,nan
908,1964908,Parkstrasse,strassenbahn,"52.45876522318908, 13.53993545855609","85,87,95",nan,Parkstrasse
909,1964909,Paulsternstrasse,bus,"52.54415774195884, 13.247126131065503","A10,A13",nan,Paulsternstrasse Ecke Gartenfelder Strasse
910,1964910,Paulsternstrasse,strassenbahn,"52.538114851173546, 13.248435943349298",55,nan,Paulsternstrasse
911,1964911,Paulsternstrasse Ecke Gartenfelderstrasse,bus,"52.544121961729175, 13.247010457215051",A72,nan,nan
912,1964912,Paulsternstrasse Ecke Nonnendamm Allee,bus,"52.53814656080913, 13.24775541718677",A99,nan,nan
913,1964913,Perlebergerstrasse Ecke Rathenowerstrasse,bus,"52.532511794224774, 13.35056075691877",A90,nan,nan
914,1964914,Pfaueninsel-Chaussee,bus,"52.41883762088876, 13.153039190703318","A18,A6",nan,Pfaueninsel-Chaussee Ecke Königsstrasse
915,1964915,Pfaueninsel-Chaussee Ecke Königstrasse,bus,"52.41888024334639, 13.152988428835997",A3,nan,nan
916,1964916,"Philharmonie, Tiergartenstrasse",bus,"52.510896228371735, 13.369565371330399",A48,nan,nan
917,1964917,Pichelsberg,s-bahn,"52.5103,13.2271",KBS 100g,Q800488,Berlin-Pichelsberg railway station
918,1964918,Pichelsdorfer Strasse,strassenbahn,"52.51307046642958, 13.196871153391022","75,76",nan,Pichelsdorfer Strasse
919,1964919,Pichelsdorferstrasse Ecke Klosterstrasse,bus,"52.52796089914328, 13.195247434153377",A92,nan,nan
920,1964920,Pionierpark,strassenbahn,"52.45798013233545, 13.541980829050775",82,nan,nan
921,1964921,Pistoriusstrasse Ecke Klement-Gottwald-Allee,bus,"52.55009435565474, 13.45900710843341",A45,nan,Pistoriusstrasse Ecke Klement-Gottwald-Allee
922,1964922,Platz der Luftbrücke,bus,"52.48500811314645, 13.385984513056924","A76,A77,A78",nan,nan
923,1964923,Platz vor dem Neuen Tor,bus,"52.52921245715711, 13.378513556812177",A9,nan,nan
924,1964924,Plänterwald,s-bahn,"52.4786,13.4733","KBS 106a,KBS 106,KBS 103,KBS 103a",Q7205917,nan+ Plänterwald railway station
925,1964925,Podbielskiallee,u-bahn,"52.464444444444,13.296388888889",A II,Q571324,Podbielskiallee
926,1964926,Postamt,bus,"52.48905066177084, 13.322770368720937",A60,nan,"Postamt, Uhlandstrasse"
927,1964927,Potsdamer Strasse Ecke Berliner Strasse,bus,"52.435017683084915, 13.260481422857149",A18,nan,nan
928,1964928,Potsdamer Strasse Ecke Clayallee,bus,"52.43505825484917, 13.260457172181738",A1,nan,nan
929,1964929,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,"52.4357751453625, 13.256027995378796",A48,nan,nan
930,1964930,Potsdamer Strasse Ecke Fischerhüttenstraße,bus,"52.43579476787353, 13.256049454058521",A53,nan,nan
931,1964931,Potsdamer Strasse Ecke Lichtenrader Damm,bus,"52.404381890119645, 13.406144793903707",A76,nan,nan
932,1964932,Potsdamer Strasse Ecke Pallasstrasse,bus,"52.494342373527935, 13.361045454880108",A89,nan,nan
933,1964933,Potsdamer Strasse Ecke Schöneberger Ufer,bus,"52.50581655910509, 13.368252341285233",A24,nan,nan
934,1964934,Potsdamer Strasse Ecke Verbindungsstrasse,bus,"52.509180028992205, 13.371735755066918",A83,nan,nan
935,1964935,Pottensteiner Weg Ecke Selbitzer Strasse,bus,"52.450510372810776, 13.121657800272581",A35E,nan,nan
936,1964936,Prager Platz,bus,"52.49294694854429, 13.332964219632272",A50,nan,Prager Platz
937,1964937,Prenzlauer Allee,s-bahn,"52.544775,13.426116","KBS 106a,KBS 104,KBS 106",Q32661483,Berlin Prenzlauer Allee station
938,1964938,Prenzlauer Allee,strassenbahn,"52.5396522,13.4244789","4,13",Q65222180,Prenzlauer Allee/Danziger Straße
939,1964939,Prenzlauer Allee Ecke Wisbyer Strasse,strassenbahn,"52.551183836372815, 13.43013561837268",71,nan,Prenzlauer Allee Ecke Wisbyer Strasse
940,1964940,Prenzlauer Promenade,bus,"52.5516751737526, 13.430326005865055",A56,nan,nan
941,1964941,Prenzlauer Promenade,strassenbahn,"52.55155536618067, 13.43032253030515","3,70,72",nan,Prenzlauer Promenade
942,1964942,Prenzlauer Promenade (Spitze),bus,"52.55169017006126, 13.430288457592285",A42,nan+ nan,nan+ nan
943,1964943,Prenzlauer Promenade Ecke Granitzstrasse,bus,"52.572092016203484, 13.42875772052513",A55,nan,nan
944,1964944,Prenzlauer Promenade Ecke Kissingenstrasse,bus,"52.56795804833996, 13.427734373319213",A45,nan,Prenzlauer Promenade Ecke Kissingenstrasse
945,1964945,Prenzlauer Tor,bus,"52.52709114016772, 13.415809370320808",O40,nan,nan
946,1964946,Prenzlauer Tor,strassenbahn,"52.52709114016772, 13.415809370320808",71,nan,Prenzlauer Tor
947,1964947,Preußenallee Ecke Heerstrasse,strassenbahn,"52.50860475001898, 13.259426682955176","75,76",nan,nan
948,1964948,Preysingstrasse Ecke Malteser Strasse,bus,"52.42456283688576, 13.356739612482787",A83,nan,nan
949,1964949,Priesterweg,s-bahn,"52.4601,13.3563","KBS 100d,KBS 100c",Q800508,Priesterweg railway station
950,1964950,Prinz-Eugen-Strasse,bus,"52.54883040840054, 13.363017115604823",A79,nan,nan
951,1964951,Prinz-Eugen-Straße Ecke Schulstraße,bus,"52.54878969825585, 13.362986291264232",A79,nan,nan
952,1964952,Prinzenallee Ecke Exerzierstrasse,bus,"52.55227905779362, 13.381463018135523",A64,nan,nan
953,1964953,Prinzenallee/Soldiner Strasse,bus,"52.55871759464676, 13.386248511741826",A71,nan,Prinzenallee/Soldiner Strasse
954,1964954,Prinzenstr.,u-bahn,"52.498333333333,13.406111111111","A I,A II",Q689797,Prinzenstraße
955,1964955,Proskauer Ecke Dolziger Strasse,bus,"52.519874079766325, 13.463289228834057",O30,nan,Proskauer Ecke Dolziger Strasse
956,1964956,Provinzstrasse/Pankower Allee,bus,"52.56468777207285, 13.378063096396454",A71,nan,Provinzstrasse/Pankower Allee
957,1964957,Pulitzstrasse,u-bahn,"52.536795, 13.342724",G,Q4019188,nan
958,1964958,Putlitzstr.,s-bahn,"52.536,13.344","KBS 100a,KBS 100",Q465972,Berlin Westhafen station
959,1964959,Päwesiner Weg,bus,"52.526347644869524, 13.181851254649866",A13,nan,nan
960,1964960,Pücklerstrasse,bus,"52.468566643885005, 13.27835662512682",AS3s,nan,Pücklerstrasse Ecke Clayallee
961,1964961,Quantzstrasse,bus,"52.423135671729796, 13.202253537880683",A18,nan,Quantzstrasse Ecke Potsdamer Chaussee
