stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
131,Bhf. Hermsdorf,bus,A15,"52.61953939324446, 13.30416069232153",nan,129,A15,Bhf. Hermsdorf
132,Bhf. Hohenzollerndamm,bus,A21,"52.488411167563925, 13.302041677512456",,,,
133,Bhf. Jungfernheide,bus,A62,"52.530138785889896, 13.296018817180764",nan,131,"A65,A21,A62",Bhf. Jungfernheide
134,Bhf. Lichtenberg,bus,"O37,O30","52.5112875601879, 13.499591119128855",nan,134,"O30,O37",Bhf. Lichtenberg
135,Bhf. Lichtenberg,strassenbahn,"69,69E","52.5123603,13.4977547",Q66013733,135,69,S+U Lichtenberg/Siegfriedstraße
136,Bhf. Lichtenrade,bus,"A76,AS2s","52.386683297852706, 13.395506929836833",nan,136,"AS2,A76",nan
137,Bhf. Lichterfelde-West,bus,A11,"52.44397675869793, 13.295628699942629",nan,139,A11,Bhf. Lichterfelde-West
138,Bhf. Lindenthaler Allee,bus,A3,"52.43102570943782, 13.229881678326638",nan,141,"A3,A53",Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee
139,Bhf. Marienfelde,bus,"A77,A32","52.42342246533686, 13.374664175181172",nan,145,"A32,A77",Bhf. Marienfelde
140,Bhf. Schönefeld,bus,AZ,"52.38192403313463, 13.511545079208773",,,,
141,Bhf. Schöneweide,bus,"A26,A47,A48","52.45374952013775, 13.510200397684477",nan,155,"A47,Flughafen Schönefeld <> Strausberger Platz,A26","Bhf. Schöneweide, Sterndamm"
142,Bhf. Schöneweide,strassenbahn,"85,69E,92,87,69,95","52.45640818289644, 13.509916574756422",nan,156,"95,69,92",Bhf. Schöneweide
143,Bhf. Sonnenallee,bus,A67,"52.473861610807525, 13.455874121666916",nan,159,"A65,A67",Bhf. Sonnenallee
144,Bhf. Spandau-West,bus,A63,"52.53497194201396, 13.198460334945361",nan,162,"A63,A5",Bhf. Spandau-West
145,Bhf. Tempelhof,bus,A68,"52.47084694496318, 13.385638120230526",nan,168,A68,Bhf. Tempelhof
146,Bhf. Wannsee,bus,"AS4,A3,A51,A6","52.42151302311533, 13.17810256503659",nan,170,"A3,A51,A6",Bhf. Wannsee
147,Bhf. Wilhelmsruh,bus,A71,"52.58102921945559, 13.363635067647111",nan,173,A71,Bhf. Wilhelmsruh
148,Bhf. Wollankstrasse,bus,A70,"52.56453849178735, 13.393420272477442",nan,175,A70,Bhf. Wollankstrasse
149,Bhf. Zoo,bus,"A2,A62,AS2s,A25,AS3s,AS4,A73,AS1s","52.507029532025605, 13.333220118900503",nan,178,"A73,AS2,AS3,A25,A62,AS1,A2",Bhf. Zoo
150,Bhf. Zoo,strassenbahn,55,"52.50719345524868, 13.332629878993917",nan,179,"2,55,77,78",Bhf. Zoo
151,"Bhf. Zoo, Hardenbergplatz",bus,"A85,A81,A90","52.506961767508, 13.333080958799588",,,,
