line_name,Stops,Frequency,Length (time),type,east-west,year
A57,Zwickauer Damm - U-Bhf. Zwickauer Damm - Köpenicker Strasse Ecke Neuköllnerstrasse - Kanalstrasse Ecke Köpenickerstrasse - Stubenrauchstrasse Ecke Kanalstrasse - Zwickauer Damm,20,21,bus,West,1971
A6,Wannsee - Königstrasse Ecke Kronprinzessinnenweg - Pfaueninselchaussee Ecke Königstrasse - Rathaus Wannsee - Friedenstrasse Ecke Königstrasse - Schäferberg - Nikolskoer Weg Ecke Königstrasse - Glienicker Brücke,30,13,bus,West,1971
A60,Wittenbergplatz - Breitscheidplatz - Joachimstaler Strasse Ecke Kantstrasse -  Kurfürstendamm Ecke Uhlandstrasse - Hohenzollerndamm Ecke Uhlandstrasse - Berliner Strasse Ecke Uhlandstrasse - Rudolf-Mosse-Strasse Ecke Mecklenburgischestrasse - Berkaer Strasse Ecke Breitestrasse - Roseneck - Im Dol - U-Bhf. Oskar-Helene-Heim - Schützallee Ecke Clayallee - Potsdamer Strasse Ecke Clayallee - Rathaus Zehlendorf,15,47,bus,West,1971
A61,"Gartenplatz, Feldstrasse - U-Bhf. Gesundbrunnen - Pankstrasse Ecke Badstrasse - Schwedenstrasse Ecke Osloerstrasse - Pankower Allee Ecke Residenzstrasse - Aroser Allee Ecke Lindauerallee - Kurt-Schumacher-Platz - Zobeltitzstrasse Ecke Eichborndamm",12,33,bus,West,1971
A62,"Wilhemsruher Damm, Sektorengrenze - Treuenbrietzener Strasse Ecke Wilhelmsruher Damm - Eichhorster Weg Ecke Wilhelmsruher Damm - Oranienburgerstrasse Ecke Eichborndamm - Alt-Wittenau Ecke Oranienburgerstrasse - Bonhoeffer Klinik - Waldstrasse Ecke Ollenhauerstrasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm Ecke Schumacher Damm - Jakob-Kaiser-Platz - Luisenplatz - Ernst-Reuter-Platz - Zoo, Hardenbergplatz",12,42,bus,West,1971
A63,Radelandstrasse Ecke Niederheideweg - Kisselnallee Ecke Pionierstrasse - Zweibrücker Strasse Ecke Falkenseerchaussee - Rathaus Spandau - Hochgerichtstrasse Ecke Seegefelderstrasse - Seegefelder Weg,15,30,bus,West,1971
A64,Märkisches Zentrum - Eichhorster Weg - Wilhelmsruher Damm Ecke Eichhorster Weg - Roedernallee Ecke Am Nordgraben - Tessenowstrasse Ecke Roadernallee - Humboldt-Krankenhaus - Holländerstrasse Ecke Londonerstrasse - Müllerstrasse Ecke Petersallee - Transvaalstrasse Ecke Afrikanischestrasse - Seestrasse Ecke Afrikanischestrasse - U-Bhf. Leopoldplatz - Uferstrasse Ecke Badstrasse - U-Bhf. Gesundbrunnen - Usedomer Strasse Ecke Brunnenstrasse - Vinetaplatz,12,51,bus,West,1971
A65,U-Bhf. Seestrasse - Saatwinkler Damm Ecke Seestrasse - Jakob-Kaiser-Platz - Spandauer Damm  Ecke Stadtautobahn - Messedamm Ecke Halenseestrasse - Rathenauplatz - Hohenzollerndamm Ecke Stadtautobahn - Bundesallee Ecke Stadtautobahn - Innsbrucker Platz - Hauptstrasse Ecke Dominicusstrasse - Tempelhofer Damm Ecke Tempelhof - Oberlandstrasse Ecke Germaniastrasse - Hermannstrasse Ecke Silbersteinstrasse - Karl-Marx-Strasse Ecke Silbersteinstrasse - Schulenburgpark,12,63,bus,West,1971
A66,"Zoo, Hardenbergplatz - Leibnizstrasse Ecke Kantstrasse - Wilmersdorfer Strasse Ecke Kantstrasse - Amtsgericht - Omnibusbahnhof - Kronprinzessinen Weg Ecke Spanische Allee - Wannsee - Am Großen Wannsee Ecke Königsstrasse - Stölpchensee, Glienickerstrasse",20,40,bus,West,1971
A67,U-Bhf. Hallesches Tor - Moritzplatz - U-Bhf. Kottbusser Tor - Hermannplatz - Hertzbergplatz - Grenzallee Ecke Naumbürgerstrasse - Karl-Marx-Strasse Ecke Grenzallee - Blaschkoallee Ecke Buschkrugallee  - Johannisthaler Chaussee Ecke Rudower Strasse,12,41,bus,West,1971
A68,Clayallee Ecke Königin-Luise-Strasse - U-Bhf. Dahlem-Dorf - Hermann-Ehlers-Platz - Bismarckstrasse Ecke Bergstrasse - Attilaplatz - Tempelhof,15,38,bus,West,1971
A69,Dauerwaldweg Ecke Eichkampstrasse - Deutschlandhalle - Henriettenplatz - Joachim-Friedrich-Strasse Ecke Kurfürstendamm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Olivaer Platz - Uhlandstrasse Ecke Lietzenburgerstrasse - Joachimstaler Strasse Ecke Lietzenburgerstrasse - Breitscheidplatz - Bayreuther Strasse Ecke Kurfürstenstrasse - Lützowplatz - Tiergartenstrasse Ecke Hofjägerallee - Großer Stern - Kongreßhalle - Reichstag,20,34,bus,West,1971
A70,"Wollankstrasse, Sektorengrenze - Pankstrasse Ecke Badstrasse - Weddingplatz - U-Bhf.Turmstrasse - Rathaus Tiergarten - Wiebestrasse Ecke Huttenstrasse",10,34,bus,West,1971
A71,"Wilhelmsruh, Kopenhagener Strasse - Schäfersee - Osloer Strasse Ecke Prinzenstrasse - U-Bhf. Gesundbrunnen - Ramlerstrasse Ecke Swinemünderstrasse - Vinetaplatz",15,21,bus,West,1971
A72,"Alt-Reinickendorf, Klemkestrasse Ecke Kopenhagenerstrasse - Pankower Allee Ecke Residenzstrasse - Luise-Schröder-Platz - Weddingplatz - Rathenower Strasse Ecke Perlebergerstrasse - U-Bhf. Turmstrasse - Wiebestrasse Ecke Huttenstrasse - Tauroggener Strasse Ecke Osnabrückerstrasse - Landgericht - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendammallee - Paulsternstrasse Ecke Nonnendammallee- Gartenfeld",15,51,bus,West,1971
