stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Hohen-Neuendorf,s-bahn,KBS 104,1946152_unified,"52.66840000,13.28700000",Q4500489,,,,,,,1946233.0,,,unified,
Frohnau,s-bahn,KBS 104,1946153_unified,"52.63250000,13.29020000",Q800472,,,,,,,1946171.0,Frohnau,Reinickendorf,unified,13465
Hermsdorf,s-bahn,KBS 104,1946154_unified,"52.61780000,13.30690000",Q263189,,,,,,,1946229.0,Hermsdorf,Reinickendorf,unified,13467
Waidmannslust,s-bahn,KBS 104,1946155_unified,"52.60640000,13.32100000",Q800492,,,,,,,1946578.0,Waidmannslust,Reinickendorf,unified,13469
Wittenau,s-bahn,KBS 104,1946156_unified,"52.59701300,13.33432900",Q111264319,,,,,,,1946615.0,Wittenau,Reinickendorf,unified,13437
Wilhelmsruh,s-bahn,KBS 104,1946157_unified,"52.58140000,13.36310000",Q800495,,,,,,,1946603.0,Reinickendorf,Reinickendorf,unified,13407
Schönholz,s-bahn,KBS 104,1946158_unified,"52.57140000,13.38140000",Q800490,,,,,,,1946493.0,Reinickendorf,Reinickendorf,unified,13409
Wollankstr.,s-bahn,KBS 104,1946159_unified,"52.56515250,13.39236270",Q800515,,,,,,,1946619.0,Pankow,Pankow,unified,13187
Bornholmerstr.,s-bahn,KBS 104,1946160_unified,"52.55428700,13.39798500",Q32662318,,,,,,,194694.0,Prenzlauer Berg,Pankow,unified,10439
Gesundbrunnen,s-bahn,KBS 104,1946161_unified,"52.54861111,13.38944444",Q111239092,,,,,,,1946179.0,Gesundbrunnen,Mitte,unified,13357
Humboldthain,s-bahn,KBS 104,1946162_unified,"52.54510000,13.37960000",Q481276,,,,,,,1946243.0,Gesundbrunnen,Mitte,unified,13357
Stettiner Bahnhof,s-bahn,KBS 104,1946163_unified,"52.53190000,13.38780000",Q673721,,,,,,,1946530.0,Mitte,Mitte,unified,10115
Friedrichstr.,s-bahn,KBS 104a,1946164_unified,"52.52027778,13.38694444",Q111219456,,,,,,,1946169.0,Mitte,Mitte,unified,10117
Unter den Linden,s-bahn,KBS 104a,1946165_unified,"52.51638889,13.38083333",Q477185,,,,,,,1946572.0,Mitte,Mitte,unified,10117
Potsdamerplatz,s-bahn,KBS 104a,1946166_unified,"52.50940000,13.37660000",Q106086519,,,,,,,1946413.0,Mitte,Mitte,unified,10117
Anhalter Bahnhof,s-bahn,KBS 104a,1946167_unified,"52.50305556,13.38194444",Q111324573,,,,,,,194617.0,Kreuzberg,Friedrichshain-Kreuzberg,unified,10963
Großgörschenstr.,s-bahn,KBS 104a,1946168_unified,"52.49227450,13.36785880",Q21776726,,,,,,,1946196.0,Schöneberg,Tempelhof-Schöneberg,unified,10783
Schöneberg,s-bahn,KBS 104a,1946169_unified,"52.47940000,13.35170000",Q543855,,,,,,,1946483.0,Schöneberg,Tempelhof-Schöneberg,unified,10827
