,stop_id,stop_name,type,location,in_lines,identifier
1691,19841691,U-Bhf. Leinestrasse,bus,"52.472634832836185, 13.428552064915147",{'91'},nan
1692,19841692,U-Bhf. Leopoldplatz,bus,"52.54638728410018, 13.359182634014466","{'12', '64'}",nan
1693,19841693,U-Bhf. Lichtenberg,bus,"52.51086483639184, 13.499794165236494",{'93'},nan
1694,19841694,U-Bhf. Magdalenenstrasse,bus,"52.512459802712385, 13.48733613628432",{'30'},nan
1695,19841695,U-Bhf. Marchlewskistrasse,bus,"52.51694156475367, 13.44263127423712",{'34'},nan
1696,19841696,U-Bhf. Mehringdamm,bus,"52.49515666726518, 13.389395498893041","{'28', '19'}",nan
1697,19841697,U-Bhf. Mierendorffplatz,bus,"52.525772786049906, 13.30604190365007","{'72', '89'}",nan
1698,19841698,U-Bhf. Moritzplatz,bus,"52.50366899509004, 13.41055755394872","{'41', '75'}",nan
1699,19841699,U-Bhf. Märkisches Museum,bus,"52.51269614729782, 13.411230303832852","{'78'}, {'79'}","nan, nan"
1700,19841700,U-Bhf. Nauener Platz,bus,"52.55154684692125, 13.367349061127232","{'72', '64'}",nan
1701,19841701,U-Bhf. Neu-Westend,bus,"52.51625397204876, 13.260832878941526",{'4'},nan
1702,19841702,U-Bhf. Neukölln,bus,"52.46951739972892, 13.44165342826323",{'65'},nan
1703,19841703,U-Bhf. Neukölln/Karl-Marx-Strasse,bus,"52.46957305647788, 13.44167645242589",{'77'},nan
1704,19841704,U-Bhf. Nollendorfplatz,bus,"52.49948296769738, 13.354123408432695","{'16', '19'}",nan
1705,19841705,U-Bhf. Onkel Toms Hütte,bus,"52.4507378741821, 13.253556704842808",{'3'},nan
1706,19841706,U-Bhf. Oskar-Helene-Heim,bus,"52.450931264455825, 13.27065104602788","{'60', '11', '1', '18'}",nan
1707,19841707,U-Bhf. Osloer Strasse,bus,"52.55674549347816, 13.373720730785353","{'22', '14', '8', '89', '61', '16'}",nan
1708,19841708,U-Bhf. Pankow,bus,"52.56721533989539, 13.412199219637507","{'52', '7', '55', '50', '33'}",nan
1709,19841709,U-Bhf. Pankow,strassenbahn,"52.5596168,13.413232","{'49', '22', '46'}",Q65075426
1710,19841710,U-Bhf. Pankstrasse,bus,"52.55235444346452, 13.381505547044023","{'70', '99', '64', '61'}",nan
1711,19841711,U-Bhf. Parchimer Allee,bus,"52.44566869961195, 13.44991915431808",{'25'},nan
1712,19841712,U-Bhf. Platz der Luftbrücke,bus,"52.485530310741844, 13.386064080140601",{'19'},nan
1713,19841713,U-Bhf. Prinzenstrasse,bus,"52.49839367957166, 13.405851868580935",{'28'},nan
1714,19841714,U-Bhf. Rathaus Neukölln,bus,"52.48087081333717, 13.435364974946072",{'4'},nan
1715,19841715,U-Bhf. Rathaus Steglitz,bus,"52.4557193734982, 13.320902177015695","{'68', '85', '86', '48', '17', '88', '32'}",nan
1716,19841716,U-Bhf. Reinickendorfer Strasse,bus,"52.54048249942221, 13.369527061101289",{'90'},nan
1717,19841717,U-Bhf. Richard-Wagner-Platz,bus,"52.51745457872731, 13.306577542724405","{'87', '54'}",nan
1718,19841718,U-Bhf. Rohrdamm,bus,"52.53703278361051, 13.261339673843889","{'55', '99', '10', '23', '72'}",nan
1719,19841719,U-Bhf. Rosa-Luxemburg-Platz,bus,"52.52863959971529, 13.410137756293498","{'40', '30'}",nan
1720,19841720,U-Bhf. Rosa-Luxemburg-Platz,strassenbahn,"52.5286105,13.4104123","{'28', '71', '18', '72', '11', '20', '63', '24'}",Q65690179
1721,19841721,U-Bhf. Rudow,bus,"52.416213329739314, 13.49532377011464","{'41', '57'}",nan
