Line description,Stops,Frequency,Length (time),Length (km),year
3_bus_West,"Düppel-Süd - Machnower Strasse - Rathaus Zehlendorf - Potsdamer-/Berliner Strasse - Clayallee - Winfriedstrasse - Argentinische Allee./U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamer Chaussee/Tierklinik FU - Spanische Allee - Rehwiese - Wannseebadweg - Königstrasse - Am Großen Wannsee - Krankenhaus Wannsee - Wannsee, Heckeshorn",15,46,,1976
3_strassenbahn_Ost,Björnsonstrasse - Schönhauser Allee - Prenzlauer Allee - Antonplatz - Lichtenberger Strasse - Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Frankfurter Allee - Boxhagener Strasse - S-Bhf. Warschauer Strasse (Revaler Strasse),10,43,,1976
30_bus_Ost,Ostbahnhof - Franz-Mehring-Platz - Warschauer Strasse - Holteistrasse - S-Bhf. Rummelsburg - Irenenstrasse - Omnibus Betriebshof - Herzbergstrasse - Samariterstrasse - Mühsamstrasse - Leninallee - Artur-Becker-Strasse - Bötzowstrasse - Dimitroffstrasse - Prenzlauer Berg - U-Bhf. Luxemburgplatz - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,15,68,,1976
30_bus_West,"U-Bhf. Rathaus Steglitz - Albrechtstrasse - Breitestrasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse Ecke Albrechtstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad, Rathaus - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse/Hospital - Belßstrasse - Eiswald-/Emmichstrasse, Hochschule - Preysingstrasse - Marienfelder Allee - Hildburghauser Strasse - Motzener Strasse - Nunsdorfer Ring/Süd - Schichauweg - Illigstrasse - Steinstrasse Ecke Barnetstrasse - Lichtenrader Damm - Alt-Lichtenrade - Lichtenrade Nahariyastraße",20,,,1976
31_bus_Ost,"Buch, Sandhaus - S-Bhf. Buch - Karower Strasse - Erekweg - Alt-Karow - Straße 26 - Blankenburg  - Heinersdorf, Kirche - Am Steinberg - Ostseestrasse ",20,30,13.3,1976
31_bus_West,"U-Bhf. Ruhleben - Friedhaus Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Brunsbütteler Damm Ecke Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauener Strasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Brunsbütteler Damm Ecke Magistratsweg - Spandauer Strasse - Eichholzbahn - Hackbuschstrasse - Staaken Heidebergplan",10,,,1976
32_bus_Ost,Hans-Beimler-Strasse - Am Friedrichshain - Leninplatz - Karl Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbrücke - Schulze-Delitz-Platz - U-Bhf. Spittelmarkt - Jerusalemer Strasse - Friedrichstrasse - U-Bhf. Thälmannplatz,10,22,,1976
32_bus_West,"U-Bhf. Rathaus Steglitz - Breite Strasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse Ecke Albrechtstrasse - Leonorenstrasse - Calandrellistrasse (Stadtbad) - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Belßstrasse - Eiswaldstrasse - Preysingstrasse - Marchandstrasse - Friedrichsrodaer Strasse - Kloster ""Zum guten Hirten"" - Marienfelder Allee - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Marienfelde Bahnstraße",9,,,1976
33_bus_Ost,"Grumbkowstrasse - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,17,,1976
33_bus_West,U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Steglitzer Kreuz - Filandastrasse - Südendstrasse - Klingsorstrasse - Bismarckstrasse - Halskestrasse - Liebenowzeile - Buhrowstrasse - Attilastrasse - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacher Strasse - Kollostrasse - Kosleckweg - Mariendorf Rixdorfer Strasse E. Dirschelweg,10,,,1976
34_bus_Ost,Alt-Stralau - F.-Junge-Strasse - Corinthstrasse - Modersohnstrasse - S-Bhf. Warschauer Strasse - U-Bhf. Marehlewskistrasse,15,18,,1976
34_bus_West,"Spandau, Wasserwerk - Zeppelinstrasse Ecke Falkenseer Chaussee - Wröhmännerpark - Carl-Schurz-Strasse - Spandau Markt - Rathaus Spandau - Brunsbütteler Damm Ecke Klosterstrasse - Seeburger Strasse - Weißenburger Strasse - Adamstrasse - Heerstrasse - Jaczostrasse - Gatower Strasse - Sandheideweg - Weinmeisterhornweg - Gatower Strasse ""Biberburg"" - Gatow, Kirche - Groß-Glienicker Weg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Schweizerhaus - Seekorso - Glienicke Gutshof",20,,,1976
34E_bus_Ost,Revaler Strasse - S-Bhf. Warschauer Strasse - Ost-Güterbahnhof - Andreasstrasse (Ostbahnhof),20,6,,1976
34E_bus_West,Alt-Gatow - Groß-Glienicker Weg - zum Dorf Gatow - Habichtswald,18,8,,1976
35_bus_Ost,Pirolstrasse - Dohlengrund - Oberfeldstrasse - Am Tierpark - U-Bhf. Friedrichsfelde - Lincolnstrasse - S-Bhf. Nöldnerplatz,0,20,,1976
35_bus_West,"U-Bhf. Ruhleben - Friedhof Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Pichelsdorfer Strasse - Adamstrasse - Wilhelmstrasse - Am Omnibushof - Gatower Strasse/Heerstrasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatower Strasse ""Biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienicker Weg - Am Graben - Straße zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kadow - Krampnitzer Weg - Kladow Hottengrund",20,35,,1976
35E_bus_West,Kladow - Sakrower Landstrasse - Grimmelshausenstrasse - Krampnitzer Weg - Pottensteiner Weg - Altenheim Hottengrund,40,7,,1976
36_bus_Ost,"Flughafen Berlin-Schönefeld - Bhf. Schönefeld - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",20,17,,1976
36E_bus_Ost,Bhf. Schönefeld - Flughafen Berlin-Schönefeld,20,5,,1976
37_bus_Ost,S-Bhf. Friedrichsfelde Ost - Bhf. Springpfuhl - Landsberger Chaussee - IHB Instandsetzung - Marzahner Strasse - Chemie Handel,0,16,,1976
38_bus_Ost,"S-Bhf. Grünau - Joachimstrasse - Eichbuschplatz - Waltersdorfer Strasse - Bohnsdorf, Waldstrasse - Waltersdorf - Kienberg - Mitschurinweg - Diepensee",10,24,,1976
39_bus_Ost,"Wartenberg, Siedlung - Lindenberger Strasse - Falkenberger Chaussee - Arminstrasse - Falkenberger Strasse",15,14,,1976
4_bus_West,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Masurenallee/Ausstellungshaus - Funkturm/Omnibusbahnhof - Messedamm/Deutschlandhaus - Kurfürsten-Damm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berliner Strasse - John-F.-Kennedy-Platz - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - Katzbach/Boelckestrasse - Platz der Luftbrücke - Friesenstraße - Hermannstrasse/U-Bhf. Boddinstrasse - Kienitzer Str - U-Bhf. Karl-Marx-Strasse - Erkstrasse/U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzer Strasse",12,,,1976
4_strassenbahn_Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Artur-Becker-Strasse - Leninallee - Bersarinplatz - Frankfurter Tor - Grünberger Strasse - S-Bhf. Warschauer Strasse (Revaler Strasse),15,24,,1976
