,stop_name,type,location,in_lines,identifier,east-west
270,Cyclopstrasse,bus,"52.60208376924525, 13.32483857919441",A12,,West
271,Dachdeckerweg Ecke Buckower Damm,strassenbahn,"52.43211471342048, 13.435208066542456",27,,West
272,Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444","A II,B II",Q668585,West
273,Dahlemer Weg,bus,"52.44179805042347, 13.282699371472702","A10,A48,A53",,West
274,Dahlewitz,s-bahn,"52.326389,13.419722",KBS 105,Q5208886,Ost
275,Daimlerstrasse,bus,"52.42310029473227, 13.382719145401357",A77,,West
276,Daimlerstrasse,strassenbahn,"52.423949959899865, 13.380145054879522",15,,West
277,Dammweg,bus,"52.47029082500845, 13.464688258814357",A67,,West
278,Dammweg,strassenbahn,"52.47070358256429, 13.46392233215299",15,,West
279,Dammweg Ecke Sonnenallee,strassenbahn,"52.4702891791955, 13.464619670250386",95,,West
280,Dankmarsteig,bus,"52.412460454887416, 13.528705230313825",A23,,Ost
281,Daumstrasse,bus,"52.540609965802126, 13.232264733228831",A13,,West
282,Degnerstrasse,strassenbahn,"52.54488036635163, 13.493949954029993","64,63",,Ost
283,Demminer Strasse Ecke Brunnenstrasse,bus,"52.54113697481197, 13.393805198148023",A64,,West
284,Detmolder Strasse,bus,"52.478864734081434, 13.320330304177688",A1,,West
285,Deutsche Oper (Bismarckstr.),u-bahn,"52.511944444444,13.310555555556","A III,A I, B I","Q869501, Q869501",West
286,"Diepensee, Flughafen",bus,"52.362110314401846, 13.548585893916993",AD/36,,Ost
287,Dimitroffstr.,u-bahn,"52.541666666667,13.412222222222",A,Q571382,Ost
288,Dimitroffstrasse,bus,"52.52644944679887, 13.447574773361476",A9,,Ost
289,Dimitroffstrasse,strassenbahn,"52.5264303512303, 13.447596791543624","64,63",,Ost
290,Dimitroffstrasse,strassenbahn,"52.53617065447549, 13.433035147691381","74E,74",,Ost
291,Dimitroffstrasse,strassenbahn,"52.53918901477695, 13.42424530247013","72,71",,Ost
292,Dimitroffstrasse Ecke Leninallee,bus,"52.52644398829154, 13.447645022319072",O37,,Ost
293,Dingelstädter Strasse,bus,"52.53587676296107, 13.522058626010088",O37,,Ost
294,Dominicusstrasse,bus,"52.481845594274056, 13.348295976204904","A4,A48",,West
295,Dominicusstrasse,strassenbahn,"52.48182811502358, 13.348369024265194","73,74",,West
296,Dominikus-Krankenhaus,bus,"52.626196524368744, 13.294495665499268",A15,,West
