,stop_name,type,location,in_lines,identifier,east-west
907,Prenzlauer Allee Ecke Wisbyer Strasse,strassenbahn,"52.551183836372815, 13.43013561837268",71,,Ost
908,Prenzlauer Promenade,strassenbahn,"52.55155536618067, 13.43032253030515","72,3,70",,Ost
909,Prenzlauer Promenade (Spitze),bus,"52.5516751737526, 13.430326005865055",A56,,Ost
910,Prenzlauer Promenade (Spitze),bus,"52.55169017006126, 13.430288457592285",A42,,Ost
911,Prenzlauer Promenade Ecke Granitzstrasse,bus,"52.572092016203484, 13.42875772052513",A55,,Ost
912,Prenzlauer Promenade Ecke Kissingenstrasse,bus,"52.56795804833996, 13.427734373319213",A45,,Ost
913,Prenzlauer Tor,bus,"52.52709114016772, 13.415809370320808",O40,,Ost
914,Prenzlauer Tor,strassenbahn,"52.52709114016772, 13.415809370320808",71,,Ost
915,Priesterweg,s-bahn,"52.4601,13.3563","KBS 105,KBS 106",Q800508,West
916,Prinzenallee Ecke Badstrasse,bus,"52.552305008833024, 13.381468211411605",A64,,West
917,Prinzenallee/Soldiner Strasse,bus,"52.55871759464676, 13.386248511741826",A71,,West
918,Prinzenstr.,u-bahn,"52.498333333333,13.406111111111","B II,B I",Q689797,West
919,Prinzenstrasse,u-bahn,"52.498333333333,13.406111111111",A II,Q689797,West
920,Proskauer Ecke Dolziger Strasse,bus,"52.519874079766325, 13.463289228834057",O30,,Ost
921,Provinzstrasse/Pankower Allee,bus,"52.56468777207285, 13.378063096396454",A71,,West
922,Putlitzstr.,s-bahn,"52.536,13.344",KBS 100,Q465972,West
923,Päwesiner Weg Ecke Seeburgerstrasse,bus,"52.526347644869524, 13.181851254649866",A13,,West
924,Pücklerstrasse,bus,"52.468566643885005, 13.27835662512682",AS3,,West
925,Quantzstrasse,bus,"52.423135671729796, 13.202253537880683",A18,,West
926,Quellweg,strassenbahn,"52.53666578461771, 13.268432707290442",55,,West
927,Quellweg Ecke Nonnendamm Allee,bus,"52.53669973748767, 13.268424095389383",A72,,West
928,Radelandstrasse,bus,"52.55650975276803, 13.188691756681173",A63,,West
929,Rahnsdorf,s-bahn,"52.4516372,13.6899776",KBS 102,Q800489,Ost
930,Rahnsdorf,strassenbahn,"52.443531694444445,13.685038",87,Q66361311,Ost
931,Ramlerstrasse,bus,"52.547125761071456, 13.389174502621508",A71,,West
932,Ramlerstrasse Ecke Brunnenstrasse,bus,"52.54710869917004, 13.38914653586651",A64,,West
933,Rangsdorf,s-bahn,"52.294444,13.430278",KBS 105,Q801345,Ost
934,"Rankeplatz, Bundeshaus",bus,"52.4977881279831, 13.330731790169496",AS2,,West
935,Rankeplatz/Bundeshaus,bus,"52.497826190133736, 13.330710978777121",AS3,,West
936,Rathaus Lichtenberg,strassenbahn,"52.5156658,13.4788562",3,Q65948511,Ost
937,Rathaus Mahlsdorf,strassenbahn,"52.498612959213915, 13.613308788396854",83,,Ost
938,Rathaus Mariendorf,bus,"52.44527453682428, 13.379492384246559",A33,,West
939,Rathaus Neukölln,strassenbahn,"52.48159489526684, 13.434274903483136","47,26",,West
940,Rathaus Neukölln,u-bahn,"52.481666666667,13.434166666667",C I,Q628770,West
941,Rathaus Sch neberg,bus,"52.48515473887597, 13.345086596743203",A16,,West
942,Rathaus Schöneberg,bus,"52.48515473887597, 13.345086596743203","A4,A73,A74",,West
943,Rathaus Schöneberg,strassenbahn,"52.48509787554474, 13.345072009289709","60,2",,West
944,Rathaus Schöneberg,u-bahn,"52.483116666667,13.341930555556",B III,Q570926,West
945,Rathaus Spandau,bus,"52.534578361518356, 13.199490942441287","A35,A5,AS1,A34,A13,A31,A63",,West
946,Rathaus Spandau,strassenbahn,"52.53488081670858, 13.199058849732252","55,75,76",,West
947,Rathaus Steglitz,bus,"52.45563377647203, 13.321050784344678","A32,A48,A17,A68",,West
948,Rathaus Steglitz,strassenbahn,"52.45691682931275, 13.320745348424166","73,77,78,74",,West
949,Rathaus Tempelhof,bus,"52.46300094221747, 13.385342238118488",A77,,West
950,Rathaus Tiergarten,bus,"52.52649085974541, 13.338358982634196",A70,,West
951,Rathaus Wannsee,bus,"52.418440129670444, 13.148872492834737","A3,A6,A18",,West
952,Rathaus Zehlendorf,bus,"52.433207520111885, 13.259531923613192","A3,A66,AS3",,West
953,Rathenauplatz,bus,"52.49561134930413, 13.286573746568635",A65,,West
954,Rathenower Strasse,bus,"52.52673250798154, 13.355275614926985",A24,,West
955,Rathenower Strasse,bus,"52.52677998083022, 13.355183467556872",A70,,West
956,Rathenower Strasse Ecke Perleberger Strasse,bus,"52.53252487206442, 13.350617083748922",A72,,West
957,Rathenower Strasse Ecke Perleberger Strasse,strassenbahn,"52.53249876618244, 13.35053125306095",2,,West
958,Rehberge,u-bahn,"52.5567,13.3412",C I,Q253850,West
959,Reichenberger Strasse,strassenbahn,"52.495535248263636, 13.430362951622532",26,,West
960,Reichskanzlerplatz,bus,"52.50929184084697, 13.27265693784035",A4,,West
961,Reichskanzlerplatz,strassenbahn,"52.5089140766086, 13.272251406623242","75,76",,West
962,Reichskanzlerplatz,u-bahn,"52.509722222222,13.273055555556","A I,B I",Q657857,West
963,Reichssportfeldstrasse,strassenbahn,"52.507514731015824, 13.242086696344282","75,76",,West
964,Reifenwerk,bus,"52.37807918338377, 13.64006281458021",Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
965,Reinickendorf,s-bahn,"52.5779,13.3506",KBS 105,Q800496,West
966,Reinickendorfer Str.,u-bahn,"52.539911111111,13.370377777778",C I,Q559249,West
967,Reinickendorfer Strasse Ecke Schulstrasse,bus,"52.55154134842798, 13.367385622374945",A64,,West
968,Rembrandtstrasse,strassenbahn,"52.47116466720471, 13.343688369656276",66,,West
969,Rennbahn,bus,"52.431519887104706, 13.391508229384012",A76,,West
970,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,bus,"52.56218648050474, 13.454267038723398",A56,,Ost
971,Reuchlinstrasse,bus,"52.5278079827492, 13.324842775070394",A70,,West
972,Reuterstrasse,bus,"52.48654240757135, 13.428977740572138",A67,,West
973,Richard-Wagner-Platz,bus,"52.517490990443804, 13.306397097578404",A62,,West
974,Richard-Wagner-Platz,strassenbahn,"52.517570616857, 13.306248118529135","53,55,54",,West
975,Richard-Wagner-Platz,u-bahn,"52.5175,13.306388888889",A III,Q662201,West
976,Richardstrasse,strassenbahn,"52.47097391592754, 13.446301038467002",15,,West
977,Richtershorn,strassenbahn,"52.40105,13.6248473",86,Q66481215,Ost
978,Ridbacher Strasse,bus,"52.527457204488485, 13.606447755554132",A49,,Ost
979,Ringstrasse,bus,"52.439772810020266, 13.300175076283422",A11,,West
980,Rittberg-Krankenhaus,strassenbahn,"52.42987951650218, 13.288961460110901","77,78",,West
981,Ritterlandweg,bus,"52.56036399935592, 13.36907949823327",A71,,West
982,Robert-Koch-Platz,bus,"52.527570508835595, 13.37877230286134","O40,A57",,Ost
983,Roederplatz,bus,"52.52671388514014, 13.479662353432392",O30,,Ost
984,Roederplatz,strassenbahn,"52.5266001,13.479068",3,Q65685373,Ost
985,Rohdestrasse Ecke Germaniastrasse,bus,"52.4620458336563, 13.404444184357315",A73,,West
986,Roseneck,bus,"52.47580089902253, 13.282411270445099","A19,A50,A29,AS3",,West
987,"Roseneck, Hundekehl",bus,"52.47640250997692, 13.281611267179592",A60,,West
988,Rosenecke,bus,"52.47578489322442, 13.282306517997712",A17,,West
989,Rosenthaler Platz,bus,"52.5296729549826, 13.401428926082492",O40,,Ost
990,Rosenthaler Platz,strassenbahn,"52.5301769,13.4016121","22,11,1, 49","Q65093945, Q65093945",Ost
991,Rosenthalerweg,strassenbahn,"52.60625636987162, 13.420087684676252",49,,Ost
992,Rudower Strasse,bus,"52.43428237477314, 13.469124205215895",A52,,West
993,Ruhleben,u-bahn,"52.525555555556,13.241388888889",B I,Q656401,West
994,Ruhrstrasse,bus,"52.48988277984805, 13.312456459919812",A50,,West
995,Rummelsburg,s-bahn,"52.501244,13.478545",KBS 102,Q15107132,Ost
996,Ruppiner Chaussee,bus,"52.59792202028554, 13.275075196373528",A13,,West
997,Röntgental,s-bahn,"52.6487,13.5136",KBS 106,Q801386,Ost
998,"Rüdersdorf, Karl-Marx-Platz",bus,"52.468598623083736, 13.791633300477105","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
999,"Rüdersdorf, Thälmannstrasse",bus,"52.474663106849825, 13.77362632033625","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
1000,Rüdesheimer Platz,u-bahn,"52.473333333333,13.314444444444","A II,B II",Q167147,West
1001,Rügener Strasse,bus,"52.544791277773946, 13.391067616355128","A61,A71,A14",,West
1002,S-Bhf. Adlershof,strassenbahn,"52.435251,13.5408489",84,Q66363728,Ost
1003,S-Bhf. Alexanderplatz,bus,"52.52074877770386, 13.412147230655155","O30,A57,A9",,Ost
1004,S-Bhf. Baumschulenweg,bus,"52.4674967534767, 13.489379882069517",A47,,Ost
1005,S-Bhf. Baumschulenweg,strassenbahn,"52.467425320387854, 13.489303343986984","95,95P",,Ost
1006,S-Bhf. Biesdorf,bus,"52.513432593832405, 13.555387279249894",O37,,Ost
1007,S-Bhf. Friedrichsfelde-Ost,bus,"52.51324537165634, 13.524030584354616",A43,,Ost
1008,S-Bhf. Friedrichshagen,bus,"52.45731046148184, 13.625536519339297","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
1009,S-Bhf. Friedrichshagen,strassenbahn,"52.4564126,13.6253656","84,87",Q66360784,Ost 
1010,S-Bhf. Greifswalder Strasse,strassenbahn,"52.5407234,13.4382904","74E,74",Q65548932,Ost
1011,S-Bhf. Grünau,bus,"52.41361515857581, 13.573796290663196","AD/36,A38,AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
1012,S-Bhf. Grünau,strassenbahn,"52.413493,13.5746802",86,Q62470512,Ost
1013,S-Bhf. Jannowitzbrücke,strassenbahn,"52.51478599600389, 13.418056238742702","64,11,82",,Ost
1014,S-Bhf. Karlshorst,strassenbahn,"52.481331,13.5254433",69,Q65952829,Ost
1015,"S-Bhf. Kaulsdorf, Planitzstrasse",bus,"52.51113864301491, 13.58755467300039",A27,,Ost
1016,S-Bhf. Köpenick,bus,"52.45882190200453, 13.579564677172508",A27,,Ost
1017,S-Bhf. Köpenick,strassenbahn,"52.4582153,13.5790435","83,86,82",Q66370784,Ost
1018,S-Bhf. Mahlsdorf,bus,"52.51234908870327, 13.61221793610957","A44,A44E",,Ost
1019,S-Bhf. Mahlsdorf,strassenbahn,"52.51221826761895, 13.612190748726157",83,,Ost
1020,S-Bhf. Ostkreuz,strassenbahn,"52.50243021718411, 13.469020052690205",82,,Ost
1021,S-Bhf. Pankow,bus,"52.56742037379333, 13.412250129587665",A55,,Ost
1022,S-Bhf. Pankow,strassenbahn,"52.5675692,13.4121641","46,49,22",Q65055075,Ost
1023,S-Bhf. Pankow-Heinersdorf,strassenbahn,"52.577507820515834, 13.427853061920917",49,,Ost
1024,S-Bhf. Plänterwald,strassenbahn,"52.479645467025435, 13.47567729609248","92,87",,Ost
1025,S-Bhf. Prenzlauer Allee,strassenbahn,"52.5448075,13.427408","72,71",Q65219791,Ost
1026,S-Bhf. Rahnsdorf,bus,"52.451628368326396, 13.691579101298974","A22,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)",,Ost 
1027,S-Bhf. Rummelsburg,bus,"52.50179539105723, 13.478028581044718",O30,,Ost
1028,S-Bhf. Schönhauser Allee,strassenbahn,"52.5493619,13.4135734","46,49,22",Q65088013,Ost
1029,S-Bhf. Spindlersfeld,strassenbahn,"52.4457311,13.5624298",84,Q66363397,Ost
1030,"S-Bhf. Tremptower Park, Elsenstrasse",strassenbahn,"52.492615970665746, 13.458843309612345",92,,Ost
1031,S-Bhf. Treptower Park,bus,"52.49403640886682, 13.460762565516704",A47,,Ost
1032,S-Bhf. Wilhelmshagen,bus,"52.43886122089184, 13.721060252199655",A22,,Ost
1033,Saaleckplatz,bus,"52.41629158246214, 13.323941962356194",A17,,West
1034,SaarBrücker Strasse,strassenbahn,"52.5285309565747, 13.417113687314579","72,71",,Ost
1035,Saargemünder Strasse,bus,"52.450918082089416, 13.270922488527036","A18, A11",",",West
1036,Saatwinkler Damm,bus,"52.54802938567344, 13.300569461587116",A62,,West
1037,Sadowastrasse,bus,"52.482675472271694, 13.584833068425244","A8,A8E",,Ost
1038,Samariterstr.,u-bahn,"52.514722222222,13.464444444444",E,Q552891,Ost
1039,Savignyplatz,s-bahn,"52.5051746,13.3190659","KBS 101,KBS 102",Q554382,West
1040,Scharfestrasse,bus,"52.43828828643976, 13.262213345971533",A18,,West
1041,Scharnhorststrasse,bus,"52.530048717863, 13.374421833191816",A57,,Ost
1042,Scharnhorststrasse Ecke Kieler Strasse,bus,"52.534358722624745, 13.370310836134667",A9,,Ost
1043,Scharnweberstr. (Eichborndamm),u-bahn,"52.566944444444,13.312777777778",C I,Q557586,West
1044,Scharnweberstrasse,bus,"52.567891242257375, 13.31193029694028",A21,,West
1045,"Schildow, Kirche",bus,"52.63581867397586, 13.377719168374458",A7,,Ost
1046,Schillingstr.,u-bahn,"52.520278,13.421667",E,Q552899,Ost
1047,Schillingstrasse,bus,"52.56595360108564, 13.320255053064429",A61,,West
1048,Schlachtensee,bus,"52.440164224898425, 13.214629432022623",A53,,West
1049,Schlachtensee,s-bahn,"52.4401,13.2153",KBS 104,Q800509,West
1050,Schlesisches Tor,u-bahn,"52.500833333333,13.441666666667","B II,B I",Q602282,West
1051,Schloss Glienicke,bus,"52.41321315212787, 13.096214143840962",A6,,West
1052,Schloss Ruhwald,bus,"52.521567840298836, 13.260569641184494",AS1,,West
1053,Schloss Ruhwald,strassenbahn,"52.52160139428261, 13.260396465216335","53,54",,West
1054,SchlossBrücke,bus,"52.52277864874118, 13.300093422040403",A65,,West
1055,SchlossStrasse,bus,"52.456909123066914, 13.320715400125325",A32,,West
1056,Schlossstrasse,bus,"52.46502319139203, 13.328512641123645",A74,,West
1057,Schlossstrasse,strassenbahn,"52.4649279288063, 13.328420834164818","73,,74,77,78",,West
1058,Schlossstrasse Ecke Seelingstrasse,bus,"52.51569806814604, 13.296301299533223",A74,,West
1059,"Schlossstrasse, Wilhelm-Schreiber-Platz",bus,"52.46497175478016, 13.328534991548652",AS2,,West
1060,Schloßstrasse Ecke Feuerbachstrasse,bus,"52.4631173264433, 13.326724826984016",A2,,West
1061,Schmargendorf,s-bahn,"52.479672222222,13.312441666667",KBS 100,Q302810,West
1062,Schopenhauer-Strasse Ecke Spanische Allee,bus,"52.433960489825, 13.212025866542618",A3,,West
1063,Schulenburgpark,strassenbahn,"52.466660612786704, 13.470292593214328","15,95",,West
1064,Schulstrasse Ecke Exerzierstrasse,bus,"52.55396008849384, 13.371500780047201",A64,,West
1065,Schulzendorf (b Tegel),s-bahn,"52.6128,13.2462",KBS 105,Q800487,West
1066,Schulzendorfer Strasse,bus,"52.61057476279662, 13.295480649416259",A15,,West
1067,Schumannstrasse Ecke Luisenstrasse,bus,"52.52350700053633, 13.379478600060418",A57,,Ost
1068,Schwarzer Weg Ecke Sonnenallee,strassenbahn,"52.46218348846541, 13.477104416215733",95,,West
1069,Schwedenstrasse Ecke Exerzierstrasse,bus,"52.55376624875929, 13.377160797243135",A64,,West
1070,Schwelmer Strasse Ecke Ostpreußendamm,strassenbahn,"52.41219656071037, 13.29903796654036",96,,West
1071,Schwiezerhaus,bus,"52.46177834654878, 13.133492629933269",A34,,West
1072,Schäferberg,bus,"52.41562661861071, 13.12630868100336",A6,,West
1073,"Schäfersee, Pankower Allee",bus,"52.56403098912502, 13.36417150367161",A71,,West
1074,Schöneberg,s-bahn,"52.4794,13.3517","KBS 104,KBS 100a,KBS 100",Q543855,West
1075,"Schönefeld, Siedlung",bus,"52.38835097546488, 13.564205018328355","AD/36,AZ",,Ost
1076,"Schöneiche, Goethepark",bus,"52.470798548586494, 13.68835638892532","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
1077,Schöneweide,s-bahn,"52.455,13.509444444444","KBS 103,KBS 103a,KBS 100a,KBS 106",Q111323931,Ost
1078,Schönhauser Allee,s-bahn,"52.549329,13.413706",KBS 106,Q111264493,Ost
1079,Schönhauser Allee,u-bahn,"52.549328888889,13.413706111111",A,Q47014936,Ost
1080,Schönhauser Allee Ecke Bornholmer Strasse,strassenbahn,"52.5537705,13.4138898",3,Q65076842,Ost
1081,Schönholz,s-bahn,"52.5714,13.3814","KBS 105,KBS 106",Q800490,West
1082,Schützallee Ecke Onkel-Tom-Strasse,bus,"52.4406263121593, 13.255177908871318",A66,,West
1083,Schüßlerplatz,strassenbahn,"52.44553303566032, 13.576935078888754",84,,Ost
1084,Sebastianfriedhof,bus,"52.571002500013684, 13.336360943589446",A61,,West
1085,SedanStrasse,bus,"52.451462388098534, 13.33534176193218",A32,,West
1086,Sedanstrasse,bus,"52.45143021733514, 13.335289250392284",A33,,West
1087,Seeburger Strasse,strassenbahn,"52.52919074855153, 13.195613280527734","75,76",,West
1088,Seegefelder Weg,bus,"52.549813200063646, 13.128679816115987",A63,,West
1089,Seelenbinderstrasse,strassenbahn,"52.4554632,13.5769303","83,84,86,82",Q66324934,Ost
1090,Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,"52.4554632,13.5769303",87,Q66324934,Ost
1091,Seestr.,u-bahn,"52.55056,13.35194",C I,Q554391,West
1092,Seestrasse Ecke Afrikanische Strasse,bus,"52.54621084537532, 13.34400593216248",A64,,West
1093,Seidelstr. (Flughafen Tegel),u-bahn,"52.571111,13.302778",C I,Q557582,West
1094,Selchow,bus,"52.35758122167604, 13.471955883887944","AZ,S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
1095,Senefelderplatz,u-bahn,"52.53242,13.412743",A,Q32661454,Ost
1096,Siemensstadt,s-bahn,"52.53923,13.26365",KBS 100c,Q96080453,West
1097,Siemensstadt-Fürstenbrunn,s-bahn,"52.528,13.2695",KBS 103a,Q18747940,West
1098,Silbersteinstrasse,strassenbahn,"52.46723844998069, 13.438467144199928","47,26",,West
1099,Skalitzer Strasse,bus,"52.49920062327321, 13.426780617093764",A75,,West
1100,Sonnenallee,s-bahn,"52.473,13.4558",KBS 100,Q481364,West
1101,Sonnenallee,strassenbahn,"52.46218348846541, 13.477104416215733","95P,26",,West
1102,Sophie-Charlotte-Platz,u-bahn,"52.510833333333,13.296666666667","A I,B I",Q657879,West
1103,Sophie-Charlotten-Platz,strassenbahn,"52.51092145563256, 13.296262773242288",60,,West
1104,Sophie-Charlotten-Strasse,bus,"52.44594955353092, 13.267788405970709",A18,,West
1105,Spandau,s-bahn,"52.532, 13.2089","KBS 101,KBS 103a",Q800491,West
1106,Spandau West,s-bahn,"52.5347,13.1958","KBS 101,KBS 103a",Q111325678,West
1107,"Spandau, Friedhof",bus,"52.553136286584845, 13.179674445908985",A34,,West
1108,"Spandau, Markt",strassenbahn,"52.53784349532438, 13.204135429364628","53,55,54,76,75",,West
1109,Spandauer Damm,bus,"52.51838420899177, 13.280076964056246","A10,A74",,West
1110,Spandauer Strasse,bus,"52.535940922541684, 13.156793426342295",A31,,West
1111,Spichernstr. (Bundesallee),u-bahn,"52.496388888889,13.330555555556",A II,Q667046,West
1112,Spichernstrasse Ecke Bundesallee,bus,"52.49638829618181, 13.330865963780257",A2,,West
1113,Spindlersfeld,s-bahn,"52.4472,13.5613",KBS 103a,Q4892371,Ost
1114,Spittelmarkt,strassenbahn,"52.511243321361405, 13.40494539543245","64,72,74E,74",,Ost
1115,Spittelmarkt,u-bahn,"52.511111111111,13.403611111111",A,Q569489,Ost
1116,Spreewaldplatz,bus,"52.49746662927152, 13.43173832995115",A75,,West
1117,Spreewaldplatz,strassenbahn,"52.49792227545992, 13.430617008810609","27,26",,West
1118,St lpchensee,bus,"52.409430239790396, 13.14381794619846",A18,,West
1119,Staakener Strasse,bus,"52.536487084911975, 13.190823566060091",A63,,West
1120,Stadion Buschallee,strassenbahn,"52.5566718,13.4869834",70,Q65504715,Ost
1121,Stadion Lichterfelde,bus,"52.43867922703144, 13.325050443019501",A17,,West
1122,Stadtmitte,u-bahn,"52.5122,13.3894",A,Q660066,Ost
1123,Stadtpark,bus,"52.44890555557147, 13.338827669086982",A17,,West
1124,Stadtrandstrasse,bus,"52.553426999619965, 13.153585430700852",A5,,West
1125,"Stahnsdorf, Waldschänke",bus,"52.39345447478086, 13.210302944499475","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
1126,Stalinallee,bus,"52.51715128685504, 13.440640767102789",O40,,Ost
1127,Stalinallee,s-bahn,"52.514166666667,13.474722222222","KBS 103a,KBS 106",Q111250033,Ost
1128,Stalinallee (Ringbahn),u-bahn,"52.514166666667,13.474722222222",E,Q552872,Ost
1129,Stegerwaldstrasse,bus,"52.42073935358918, 13.369265336797783",A32,,West
1130,Steglitz,s-bahn,"52.4562,13.3216",KBS 104,Q111264179,West
1131,Steglitzer Damm Ecke Halske Strasse,bus,"52.45003047744661, 13.346670686507988",A2,,West
1132,Sterndamm,bus,"52.44658674940087, 13.506534865142585",A47,,Ost
1133,Steuerhaus,bus,"52.530493,13.4614989",O37,,Ost
1134,Steuerhaus,strassenbahn,"52.530493,13.4614989","64,63",Q65553632,Ost
1135,StindeStrasse,bus,"52.44812122178611, 13.340103869265922",A32,,West
1136,Stralauer Allee Ecke Markgrafendamm,strassenbahn,"52.49740745019046, 13.46463650693144",82,,Ost
1137,Strasse 393,bus,"52.54346134229288, 13.156333109553433",A63,,West
1138,Strasse 78,bus,"52.614646041574915, 13.484873269723556",A42,,Ost
1139,Strasse nach Staatwinkel,bus,"52.561964827739885, 13.254588036270711",A13,,West
1140,Strasse nach Wartenberg,bus,"52.56866269126953, 13.520582099858125",A46,,Ost
1141,Strausberg,s-bahn,"52.531933,13.836933","KBS 101,KBS 101c",Q7622326,Ost
1142,Strausberg Nord,s-bahn,"52.5902,13.9084",KBS 101c,Q7622324,Ost
1143,Strausberg Stadt,s-bahn,"52.5766,13.8878",KBS 101c,Q7622325,Ost
1144,Strausberger Platz,bus,"52.51805139047903, 13.431938093018077",Flughafen Schönefeld <> Strausberger Platz,,Ost
1145,Strausberger Platz,u-bahn,"52.518055555556,13.430833333333",E,Q570999,Ost
1146,Stresowplatz,bus,"52.53362877636616, 13.206781830760963","A5,A31",,West
1147,StromStrasse,bus,"52.52632226250912, 13.34326443872038",A24,,West
1148,Stromstrasse,bus,"52.52631690374401, 13.343146315837002",A70,,West
1149,Stromstrasse Ecke Alt-Moabit,strassenbahn,"52.525423127112404, 13.34283986840417",2,,West
1150,Stubenrauchstrasse,strassenbahn,"52.42422390261997, 13.485461375958135",47,,West
1151,Stuttgarter Platz,bus,"52.50551610729052, 13.302923303561508","A74,A21",,West
1152,Stuttgarter Platz,strassenbahn,"52.50566810519856, 13.306864497506904",60,,West
1153,Städtische Frauenklinik,strassenbahn,"52.463656969889136, 13.424616755091188",26,,West
1154,"Stölpchensee, Wilhelmplatz",bus,"52.41240583089011, 13.141644518533106",A3,,West
1155,StößenseeBrücke,strassenbahn,"52.508894368243524, 13.217475972829826","75,76",,West
1156,Sundgauer Str.,s-bahn,"52.436291,13.273772",KBS 104,Q800513,West
1157,Sundgauer Strasse,bus,"52.43838201264951, 13.271447959003352",A48,,West
1158,Sundgauer Strasse,bus,"52.4455796617832, 13.267631906214019",AS3,,West
1159,Sydlitzstrasse Ecke Kaiser-Wilhelm-Strasse,strassenbahn,"52.43195972077168, 13.338109786819931",96,,West
1160,Südende,s-bahn,"52.4481,13.3536",KBS 106,Q800511,West
1161,Südstern,bus,"52.488958649509335, 13.40781379557614",A28,,West
1162,Südstern,u-bahn,"52.489444444444,13.407777777778",C I,Q656081,West
1163,Taubenstrasse,strassenbahn,"52.51306493755938, 13.391398735901545",72,,Ost
1164,"Tauernallee, Adlermühle",bus,"52.42337464834511, 13.396185392179197",AS2,,West
1165,Tauroggener Strasse Ecke Osnabrücker Strasse,bus,"52.525838744600904, 13.301852064700281",A72,,West
1166,Tauroggener Strasse Ecke Osnabrücker Strasse,strassenbahn,"52.525838744600904, 13.301970081896242",3,,West
1167,Tegel,s-bahn,"52.5886,13.2894",KBS 105,Q800493,West
1168,Tegel,u-bahn,"52.58944,13.28389",C I,Q656090,West
1169,Tegeler Strasse Ecke Trifstrasse,bus,"52.543256497451154, 13.356263568406057",A64,,West
1170,Tegelort,bus,"52.5705390073051, 13.231220862666484",A20,,West
1171,Teichstrasse,bus,"52.57435884050963, 13.34777330742025",A61,,West
1172,Teltower Damm,bus,"52.43504474561002, 13.2604425311939","A10,A48,A53",,West
1173,Teltower Strasse,bus,"52.52691807826059, 13.215807069988056","AS1,A5,A31",,West
1174,Teltower Strasse,strassenbahn,"52.52691412538678, 13.215987693499372","53,54",,West
1175,Tempehofer Damm Ecke Friedrich-Karl-Strasse,bus,"52.45581544855384, 13.383950601851975",A68,,West
1176,Tempelhof,s-bahn,"52.4708,13.3854","KBS 100a,KBS 100",Q111264368,West
1177,Tempelhof (Südring),u-bahn,"52.47075,13.385361111111",C II,Q3983109,West
1178,Tempelhofer Damm,bus,"52.48422430539437, 13.385891408286207",A24,,West
1179,Tempelhofer Damm Ecke Friedrich-Karl-Strasse,bus,"52.4557662805014, 13.383913574584998",A25,,West
1180,Tempelhofer Weg Ecke Britzer Damm,bus,"52.448934594274505, 13.43628485305219",A25,,West
1181,Tempelhofer Weg Ecke Britzer Damm,strassenbahn,"52.448934594274505, 13.43628485305219",27,,West
1182,Thielallee/Pacelliallee,bus,"52.458161495962216, 13.28707254649315",A68,,West
1183,Thielplatz,u-bahn,"52.451111111111,13.282222222222","A II,B II",Q571331,West
1184,Thorwaldsenstrasse,strassenbahn,"52.46136534165126, 13.345121264246712",66,,West
1185,Thuner Platz,bus,"52.42375896990032, 13.296184869051308",A53,,West
1186,Thuyring,bus,"52.47483046693383, 13.385744435858946","A77,A76",,West
1187,Thälmannplatz,bus,"52.45066904252597, 13.752260000383929",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
1188,Thälmannplatz,u-bahn,"52.51167,13.38472",A,Q658391,Ost 
1189,Tiergarten,s-bahn,"52.5144,13.3365","KBS 101,KBS 102",Q572112,West
1190,Tiergartenstrasse,bus,"52.50960312444174, 13.351320889801638","A69,A16,A24",,West
1191,Tierpark Berlin,strassenbahn,"52.50297204519277, 13.520916474066839",69,,Ost
1192,Tor 5,bus,"52.58357682284558, 13.320522582904216",A15,,West
1193,Trabener Strasse,bus,"52.49310178577124, 13.275431330442801",A69,,West
1194,Traegerstrasse,strassenbahn,"52.476296219875636, 13.341188525686016",66,,West
1195,Transvaalstrasse Ecke Africkanische Strasse,bus,"52.55033805772127, 13.339109780046835",A64,,West
1196,"Treptow, Rathaus",bus,"52.48358899866382, 13.480324760498638",A47,,Ost
1197,Treptower Park,s-bahn,"52.4938,13.4618","KBS 103,KBS 103a,KBS 106",Q559274,Ost
1198,Triftweg,bus,"52.431024618021745, 13.45739670616807",A52,,West
1199,Trippsteinstrasse,bus,"52.41893958981137, 13.346149658204126","A11,A2",,West
1200,TurmStrasse,bus,"52.52628495236362, 13.343149398961996",A16,,West
1201,Turmstrasse Ecke Stromstrasse,bus,"52.52631573511827, 13.34320006470035",A72,,West
