,stop_id,stop_name,type,in_lines,location,identifier
287,1961287,Dingelstädter Strasse,bus,O37,"52.53587676296107, 13.522058626010088",
288,1961288,Dominicusstrasse,bus,"A4,A48","52.481845594274056, 13.348295976204904",
289,1961289,Dominicusstrasse,strassenbahn,"73,74","52.48182811502358, 13.348369024265194",
290,1961290,Hauptstrasse Ecke Dominicusstrasse,bus,A75,"52.48178377611229, 13.348418210727631",
291,1961291,Dominikus-Krankenhaus,bus,A15,"52.626196524368744, 13.294495665499268",
292,1961292,Donnersmarckplatz,bus,"A15,A12","52.62982465046043, 13.28047497184123",
293,1961293,"Doppel-Süd, Berlepschstrasse",bus,A66,"52.42115284920077, 13.226688767210124",
294,1961294,Dorfaue,bus,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)","52.47886105131975, 13.70053232372426",
295,1961295,Drakestrasse,bus,A48,"52.445733691746746, 13.293722374035292",
296,1961296,Dudenstrasse,bus,A28,"52.485078406979376, 13.376567552300232",
297,1961297,Dyotzer Strasse,bus,A63,"52.541513574478394, 13.168806761501132",
298,1961298,Dönhoffplatz,strassenbahn,64,"52.509950568117645, 13.398144081918815",
299,1961299,Düppel-Kleinmachnow,s-bahn,KBS 104a,"52.421388888889,13.226666666667",Q44763529
300,1961300,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,4,"52.54061076763243, 13.404559930731686",
301,1961301,Ebertystrasse Ecke Leninallee,bus,O30,"52.52722237261361, 13.450799684654514",
302,1961302,Edisonstrasse,strassenbahn,95,"52.4619496,13.5139049",Q65951882
303,1961303,Efeuweg,bus,A52,"52.42961975739112, 13.47788675809725",
304,1961304,Egelpfuhlstrasse,bus,A31,"52.53353984351533, 13.169416926784528",
305,1961305,Ehrenmal,bus,"A55,A45","52.57958419912971, 13.375974716701414",
306,1961306,Eichbornstr.,s-bahn,KBS 105,"52.5776,13.3169",Q800500
307,1961307,Eichbuschallee,bus,A47,"52.47574296676633, 13.487312571777435",
308,1961308,Eichbuschplatz,bus,A38,"52.39366126137233, 13.582046308470128",
309,1961309,Eichendamm,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.45563928691219, 13.730601143973864",
310,1961310,Eichkamp,bus,A69,"52.48991827349885, 13.259541279740162",
311,1961311,Eichkamp,s-bahn,KBS 101,"52.4987,13.2702",Q800504
312,1961312,Eichwalde,s-bahn,KBS 103,"52.3715,13.6152",Q19274479
313,1961313,"Eichwalde, Uhlandstrasse",bus,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),"52.372634587228696, 13.62680242919348",
314,1961314,EinemStrasse,bus,A16,"52.500023072644105, 13.35409116646997",
315,1961315,Elisabethstrasse,bus,O37,"52.53409533705918, 13.55949915809485",
316,1961316,Elisabethstrasse,strassenbahn,22,"52.51764985236767, 13.418046139104245",Q65364041
317,1961317,Elsenstraße Ecke Heidelberger Strasse,strassenbahn,3,"52.48686073879974, 13.451206024220186",
318,1961318,Elsterplatz,bus,"A10,A50","52.47977982878401, 13.285507613099716",
319,1961319,Elsässer Strasse,bus,A7,"52.63337294510061, 13.345103420124245",
320,1961320,Emmentaler Strasse,bus,A12 ; A71,"52.5675354709663, 13.351240165364471 ; 52.570420696850896, 13.360956869321077",
321,1961321,Emser Platz,bus,A50,"52.492072890007414, 13.319251387534207",
322,1961322,Endestrasse,bus,A6,"52.41965961978957, 13.160396994674473",
323,1961323,Englerallee,bus,A16,"52.46177802552459, 13.304473295414123",
324,1961324,Erdener Strasse,bus,A19,"52.490558314289494, 13.276360031005654",
325,1961325,Erkner,s-bahn,KBS 102,"52.4296,13.7513",Q14434071
326,1961326,Erkstrasse,bus,A67,"52.48167227551806, 13.440052048368255",
327,1961327,Erkstrasse Ecke Sonnenallee,strassenbahn,95,"52.48169987618706, 13.440143697235596",
328,1961328,Ernst-Reuter-Platz,bus,A2,"52.511591823135106, 13.322571528312595",
329,1961329,Ernst-Reuter-Platz,strassenbahn,2,"52.51161823664999, 13.32251039233923",
330,1961330,Ernst-Reuter-Platz,u-bahn,"A I,B I","52.511944444444,13.322222222222",Q658361
331,1961331,"Ernst-Reuter-Platz, Straße des 17. Juni",bus,A2,"52.51415248820911, 13.349264931257151",
332,1961332,Exerzierstrasse,bus,A61,"52.553756646174705, 13.37716619556309",
333,1961333,Eythstrasse,bus,A74,"52.45972284347706, 13.366428299506616",
334,1961334,Eythstrasse,strassenbahn,60,"52.45988973432991, 13.36224461313015",
335,1961335,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,A22,"52.431470149043314, 13.718708856639706",
336,1961336,Falkenberger Chaussee,bus,A39,"52.565816857333125, 13.511913714753",
337,1961337,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,63,"52.55036672097044, 13.509915032138812",
338,1961338,Falkenplatz,bus,A20,"52.58490937545724, 13.227619925618022",
339,1961339,Falkensee,s-bahn,KBS 103,"52.559722,13.088889",Q5431918
340,1961340,Falkenseer Chaussee,bus,A5,"52.54750354783305, 13.184668062763297",
341,1961341,Fasanenstrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.452960838046685, 13.744604216761394",
342,1961342,Fehrbelliner Platz,bus,"A74,A50","52.49040638965375, 13.314204217177087",
343,1961343,Fehrbelliner Platz,strassenbahn,"60,3","52.49032472677901, 13.314317300484289",
344,1961344,Fehrbelliner Platz,u-bahn,"A II,B II","52.490277777778,13.314444444444",Q663245
345,1961345,Feldtmannstrasse,bus,A46,"52.56401588379611, 13.46980857664685",
346,1961346,Feuerbachstr.,s-bahn,KBS 104,"52.463611111111,13.332777777778",Q800501
347,1961347,"Fichtenau, Stadtgrenze",bus,A22,"52.45479242349705, 13.701499962608066",
348,1961348,Fichtestrasse Ecke Schopenhauerstrasse,bus,A8,"52.47979924975105, 13.617292306977053",
349,1961349,Finckensteinallee,strassenbahn,74,"52.43264816323959, 13.294626828766564",
350,1961350,Flinsberger Platz,bus,A50,"52.483689942018465, 13.29268111645926",
351,1961351,Flughafen,bus,"A19,A24","52.470965141866394, 13.385641462324475",
352,1961352,Flughafen,u-bahn,C II,"52.485556, 13.385833",Q557582
353,1961353,Flughafen Schönefeld,bus,Flughafen Schönefeld <> Strausberger Platz,"52.388890492596076, 13.518696635005039",
354,1961354,Flughafen Tempelhof,bus,"A77,A76","52.48504444099743, 13.386014416287884",
355,1961355,Forckenbeckstrasse,bus,A50,"52.482221394934605, 13.290044081376928",
356,1961356,Frankfurter Tor,u-bahn,E,"52.515833333333,13.454166666667",Q568627
357,1961357,Frankfurter Tor/Stalinallee,strassenbahn,"13,4","52.5153903,13.4540172",Q65706246
358,1961358,Frauenklinik,strassenbahn,15,"52.463949908172545, 13.427509548910932",
359,1961359,Fredersdorf (b Bln),s-bahn,KBS 101,"52.5265,13.7625",Q15197387
360,1961360,Freibad Grünau,strassenbahn,86,"52.4086224,13.604455",Q66489598
361,1961361,Freie Scholle,bus,A20,"52.599851537868666, 13.301736158422598",
362,1961362,Friedenau,s-bahn,KBS 104,"52.47,13.341",Q800471
363,1961363,Friedenstrasse,bus,A6,"52.417223782342035, 13.138950169993388",
364,1961364,Friedhof Rudow,bus,A52,"52.42113122136662, 13.503199151482875",
365,1961365,Friedhof Ruhleben,bus,"A5,A31","52.527735865422024, 13.231788317801291",
366,1961366,Friedrich-Junge-Strasse,bus,A82P,"52.49382897072681, 13.471572865851856",
367,1961367,Franz-Körner-Strasse Ecke Britzer Damm,strassenbahn,27,"52.45588399633974, 13.437301610724912",
368,1961368,Friedrich-Wilhelm-Platz,bus,A2,"52.47128806242274, 13.328362126543809",
369,1961369,Friedrich-Wilhelm-Platz,strassenbahn,"77,78","52.47132415928576, 13.328417218543715",
370,1961370,Friedriche-Wilhelm-Platz,bus,A17,"52.471408713269064, 13.327952650518178",
371,1961371,Friedrichsfelde (Tierpark),u-bahn,E,"52.506111111111,13.512777777778",Q429781
372,1961372,Friedrichsfelde Ost,s-bahn,KBS 101,"52.5141,13.5198",Q800473
373,1961373,Friedrichshagen,s-bahn,KBS 102,"52.4574,13.6233",Q800474
374,1961374,"Friedrichshagen, Wasserwerk",strassenbahn,84,"52.4560563,13.6419956",Q66362601
375,1961375,Friedrichstr.,s-bahn,"KBS 106,KBS 104,KBS 101,KBS 105,KBS 103,KBS 102","52.52027777777778,13.386944444444444",Q111219456
376,1961376,Friedrichstrasse Ecke Unter den Linden,bus,"A57,A9","52.51718498081941, 13.388821428784585",
377,1961377,Friedrichstrasse Ecke Leipzigerstrasse,strassenbahn,74,"52.5103602362092, 13.38989950699694",
378,1961378,Friesenstrasse,bus,A4,"52.483950604682775, 13.394359749805426",
379,1961379,Frohnau,s-bahn,KBS 106,"52.6325,13.2902",Q800472
380,1961380,Fuldastrasse,bus,A67,"52.483802510465225, 13.435884392882318",
381,1961381,Fürstenbrunner Weg,bus,AS1,"52.518378845111386, 13.280184750778325",
382,1961382,Fürstenwalder Damm,strassenbahn,84,"52.4498638,13.661534",Q66361484
383,1961383,Gabelung,bus,A13,"52.59988612656876, 13.25204128545515",
384,1961384,"Galenusstrasse, Krankenhaus Pankow",strassenbahn,49,"52.5818183,13.4287678",Q66195410
385,1961385,Gartenfeld,s-bahn,KBS 100c,"52.54695,13.24882",Q96080469
386,1961386,"Gartenplatz, Feldstrasse",bus,A61,"52.538565896675905, 13.384005277447793",
387,1961387,Gartenstadtweg,bus,AD/36,"52.412313913821045, 13.56660267841369",
388,1961388,Gartenstrasse Ecke Bernauer Strasse,bus,A12,"52.53347451941179, 13.387474124225042",
389,1961389,"Gatow, Kirche",bus,"A34,A35","52.48684680676539, 13.18215147844503",
390,1961390,Gatower Strasse,bus,A35,"52.489436255649245, 13.180387588417426",
391,1961391,Genslerstrasse Ecke Siegfriedstrasse,bus,O37,"52.53419051284018, 13.497014225567375",
392,1961392,Germaniapromenade Ecke Britzer Damm,strassenbahn,27,"52.4608966930734, 13.435060145023824",
393,1961393,Germaniastrasse,strassenbahn,"15,26","52.46053782557012, 13.418009045149528",
394,1961394,Germersheimer Platz,bus,A35,"52.54433253766927, 13.187336363919895",
395,1961395,Gerosteig,bus,A23,"52.40977095398672, 13.52694351354655",
396,1961396,Gesundbrunnen,s-bahn,"KBS 100,KBS 104,KBS 105,KBS 106","52.548611111111,13.389444444444",Q111239092
397,1961397,Gesundbrunnen,u-bahn,D,"52.548611,13.389444",Q3761416
398,1961398,Giebelsee,s-bahn,KBS 101,"52.5291,13.791",Q7178217
399,1961399,Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,96,"52.42404034141401, 13.314380054820173",
400,1961400,Glasow,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","52.34362622314638, 13.436212574873101",
401,1961401,Gleisdreieck,u-bahn,"A II,A I,B II,B I","52.49952,13.37409",Q678372
402,1961402,"Glienicke, Kirche",bus,A7,"52.63062737184449, 13.312861916755343",
403,1961403,Glienicker Brücke,bus,A6,"52.413474089031965, 13.091235881924467",
404,1961404,Glogauer Strasse,strassenbahn,26,"52.493437003779434, 13.43739124697587",
405,1961405,Gneisenaustr.,u-bahn,C I,"52.491388888889,13.395555555556",Q668618
406,1961406,Gneisenaustrasse,bus,A24,"52.491573255885584, 13.394331623371611",
407,1961407,Goebelplatz,bus,A65,"52.53812718171093, 13.27991414794248",
408,1961408,Goeben-/Pallasstrasse,bus,A48,"52.49428616497335, 13.361054367554111",
409,1961409,Goerzallee,strassenbahn,78,"52.421943941201924, 13.298506647186814",
410,1961410,Goerzallee,strassenbahn,77,"52.421239396012226, 13.297229913434496",
411,1961411,Goethestrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.455522709275314, 13.725374316281378",
412,1961412,Goethestrasse Ecke Lichtenrader Damm,bus,A76,"52.40441062653864, 13.406187362835603",
413,1961413,Goltzstrasse,bus,AS2,"52.38667572084441, 13.407934498494095",
414,1961414,Gorkistrasse,bus,A15,"52.59059426195262, 13.292011153010927",
415,1961415,GotenStrasse,strassenbahn,2,"52.47980106472719, 13.360246185256694",
416,1961416,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,"A25,A73","52.460486783559624, 13.417983924217406",
417,1961417,GotzkowskyStrasse,bus,A24,"52.52718356053599, 13.330470683683586",
418,1961418,Gotzkowskybrücke,bus,A25,"52.52381238362036, 13.329729120795239",
419,1961419,Gotzkowskybrücke,strassenbahn,2,"52.52256202362077, 13.328976276425243",
420,1961420,Gotzkowskystrasse Ecke Turmstrasse,strassenbahn,3,"52.52723347192614, 13.330503468404352",
421,1961421,Britzer Damm Ecke Gradestrasse,strassenbahn,27,"52.45263570371839, 13.438520381888571",
422,1961422,Grazer Platz,bus,A25,"52.467636991817486, 13.347565807885369",
423,1961423,Greifswalder Str.,s-bahn,"KBS 103a,KBS 106","52.539722222222,13.439444444444",Q439246
424,1961424,Greifswalder Strasse,bus,"A44,A44E","52.53002871375482, 13.62681794411932",
425,1961425,Greifswalder Strasse,strassenbahn,"13,4","52.5364975,13.4334045",Q65548960
426,1961426,Greifswalderstrasse Ecke Dimitroffstrasse,bus,O30,"52.5362177572407, 13.433017500945247",
427,1961427,Grenadierstrasse,bus,"A5,A31","52.530981925368565, 13.205371761701368",
428,1961428,Grenzallee,u-bahn,C I,"52.463333333333,13.443888888889",Q571836
429,1961429,Grenzstrasse,bus,A12,"52.541822798579034, 13.378147647725354",
430,1961430,Griebnitzsee,s-bahn,KBS 102,"52.3944,13.1272",Q315133
431,1961431,GritznerStrasse,bus,A32,"52.464372021076116, 13.31646473581109",
432,1961432,Grottkauer Strasse,bus,A49,"52.52796238368814, 13.600805280630896",
433,1961433,Groß Ziethen,bus,AZ,"52.41404104155547, 13.438879163306126",
434,1961434,Große Seestrasse Ecke Berliner Allee,bus,A55,"52.55706359604488, 13.46682217730197",
435,1961435,Großer Stern,bus,A69,"52.514524715463295, 13.349933192922938",
436,1961436,Großglienicker Weg,bus,"A34,A35","52.483148805729485, 13.182630557348212",
437,1961437,Großgörschenstr.,s-bahn,KBS 104,"52.4922745,13.3678588",Q21776726
438,1961438,Grunewald,s-bahn,KBS 102,"52.4892,13.2614",Q457266
439,1961439,Grunewaldstrasse,bus,A73,"52.48907804007202, 13.345000249198607",
440,1961440,Grunewaldstrasse,strassenbahn,"77,78","52.489099571674906, 13.344928521367574",
441,1961441,Grunewaldstrasse Ecke Martin-Luther-Strasse,strassenbahn,2,"52.489114608736564, 13.344981706170403",
442,1961442,Grünau,s-bahn,"KBS 103,KBS 100a,KBS 106","52.4122,13.5746",Q111307258
443,1961443,Grünberger Strasse,strassenbahn,4,"52.5122359,13.452609",Q65706239
444,1961444,Grüner Weg,bus,"A25,A52","52.42955863550208, 13.453590733350595",
445,1961445,Grüntaler Straße Ecke Osloer Strasse,strassenbahn,3,"52.555331,13.3909979",Q65807452
446,1961446,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,A55,"52.562178269666816, 13.454275093038184",
447,1961447,Gutschmidtstrasse,bus,A25,"52.437076827846255, 13.444129425003135",
448,1961448,Gutschmidtstrasse Ecke Buckower Damm,strassenbahn,27,"52.44036543188374, 13.434740081887323",
449,1961449,Gutshof,bus,A34,"52.47510904064348, 13.120710540203262",
450,1961450,Gutshof Marienfelde,bus,A52,"52.41088450558385, 13.373192649319066",
451,1961451,Görlitzer Bahnhof (Oranienstr.),u-bahn,"B II,B I","52.4992,13.428",Q597759
452,1961452,Güntzelstrasse,bus,A60,"52.49154575346882, 13.323206588873013",
453,1961453,Güteraußenring,bus,A42,"52.599887239389226, 13.469297130431492",
454,1961454,Güterbahnhof Springpfuhl,bus,A43,"52.52561231977731, 13.533687321893124",
455,1961455,Hackbuschstrasse,bus,A31,"52.53959956967987, 13.150244533066292",
456,1961456,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"49,63","52.523392495650945, 13.40144677696498",
457,1961457,Hafenplatz,bus,"A24 ; AS1,A34","52.50392083524772, 13.375479875476426 ; 52.54215888169655, 13.206044861619935",
458,1961458,Hafenplatz,strassenbahn,"53,75,54,76","52.542292547760184, 13.206201126048732",
459,1961459,Hagenplatz,bus,"A19,A17","52.483382973651, 13.265818700272884",
460,1961460,Hainbuchenstrasse,bus,A12,"52.63427133418521, 13.274824021447571",
461,1961461,Hakenfelde,strassenbahn,"53,75","52.57886009874865, 13.210057800310379",
462,1961462,Halensee,s-bahn,KBS 100,"52.4961,13.2906",Q800476
463,1961463,Hallesches Tor,u-bahn,"B I,A II,B II,C I","52.497777777778,13.391111111111",Q658302
464,1961464,Halskestrasse,bus,A33,"52.449975911659585, 13.34671540590703",
465,1961465,Hamburger Platz,bus,"A56,A55,A45","52.555394187589414, 13.438973139463632",
466,1961466,"Hamburger Strasse, Rudolf-Mosse-Platz",bus,A60,"52.475375170002664, 13.303566446005037",
467,1961467,Hannoversche Strasse,strassenbahn,11,"52.52716496126181, 13.387046759579254",
468,1961468,Hansaplatz,bus,"A25,A16","52.5179343319099, 13.342038193257153",
469,1961469,HardenbergStrasse,bus,"AS2,AS3","52.506181479310335, 13.332318460113605",
470,1961470,Hartmannsweiler Weg,bus,A53,"52.43871188132932, 13.248833836243495",
471,1961471,Harzer Strasse,bus,A4,"52.48636830082275, 13.446318376662678",
472,1961472,"Haselhorst, Kirche",bus,A10,"52.5468281751583, 13.237065889883622",
473,1961473,Hatzfeldallee,bus,A20,"52.592072752436835, 13.28604590141529",
474,1961474,Hauptkinderheim,bus,A5,"52.52819346807093, 13.228649269163302",
475,1961475,Hauptstrasse (Schöneberg),bus,A74,"52.48187232227649, 13.348270377910302",
476,1961476,Hauptstrasse (Schöneberg),strassenbahn,"60,66","52.47785084296006, 13.34322373343706",
477,1961477,"Hohenschönhausen, Hauptstrasse",strassenbahn,"64,63","52.548884396434666, 13.504600838756778",
478,1961478,Hauptstrasse Ecke Dominicusstrasse,bus,A73,"52.48178377611229, 13.348418210727631",
479,1961479,Hauptstrasse Ecke Dominicusstrasse,strassenbahn,2,"52.48179322469747, 13.348385662518401",
480,1961480,Hauptstrasse Ecke Edelweißstrasse,bus,"A55,A45","52.586379262142074, 13.36752938856218",
481,1961481,Hauptstrasse Ecke Karlshorster Strasse,strassenbahn,82,"52.50151144462545, 13.475233514493265",
482,1961482,Hauptstrasse Ecke Suermondtstrasse,strassenbahn,70,"52.549007155940316, 13.5016967242267",
483,1961483,Hausvogteiplatz,u-bahn,A,"52.513055555556,13.396666666667",Q656523
484,1961484,Havensteinstrasse Ecke Gallwitzallee,bus,A2,"52.431932745971366, 13.346359890563553",
485,1961485,Heckerdamm,bus,"A21,A62","52.53962816572025, 13.295048454368684",
486,1961486,Heckmannufer,bus,A28,"52.49706082077895, 13.44923941809119",
487,1961487,Heerstr.,s-bahn,KBS 101,"52.5086,13.2586",Q800502
488,1961488,Heerstrasse,bus,"A13 ; A34,A35","52.51662457723462, 13.179022303033726 ;  52.51550447615084, 13.18456806294143",
489,1961489,Heidebergplan,bus,A31,"52.541074133887626, 13.147338727333166",
490,1961490,Heidelberger Platz,u-bahn,"A II,B II","52.479808333333,13.313236111111",Q21777872
491,1961491,Heiligensee,s-bahn,KBS 105,"52.6247,13.2292",Q800475
492,1961492,Heiligenseestrasse,bus,"A20,A14","52.59796193636089, 13.275098894138587",
493,1961493,"Heinersdorf, Kirche",bus,A42,"52.56826376476754, 13.440601903603064",
494,1961494,"Heinersdorf, Kirche",strassenbahn,71,"52.5686908,13.4389053",Q65096107
495,1961495,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,71,"52.5725511,13.4371063",Q65096052
496,1961496,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,82,"52.4789566,13.5234316",Q65951921
497,1961497,Heinrich-Heine-Strasse,strassenbahn,"64,11","52.51099529411967, 13.416420239383946",
498,1961498,Heinrich-Mann-Platz,bus,"A55,A45","52.57297246262195, 13.392146133350426",
499,1961499,Hennigsdorf (b Bln),s-bahn,KBS 105,"52.638,13.2057",Q800909
500,1961500,Hennigsdorf Nord,s-bahn,KBS 105,"52.66,13.2033",Q685717
501,1961501,Hermannplatz,bus,A67,"52.48778872855567, 13.425393480017616",
502,1961502,Hermannplatz,strassenbahn,"3,95,47,27,26","52.487085572732276, 13.424752445258537",
503,1961503,Hermannplatz,u-bahn,"D,C I","52.48629,13.42455",Q658929
504,1961504,Hermannstr.,s-bahn,"KBS 100a,KBS 100","52.4675,13.431111111111",Q111263802
505,1961505,Hermannstrasse,strassenbahn,"15,26","52.46476232618638, 13.432818109719008",
506,1961506,Hermannstrasse Ecke Silbersteinstrasse,bus,A65,"52.46644333425963, 13.43195484694859",
507,1961507,Hermsdorf,s-bahn,KBS 106,"52.6178,13.3069",Q263189
508,1961508,Hermsdorfer Damm,bus,A12 ; A15,"52.62242143698805, 13.31287835380073 ;   52.600011860666825, 13.281303213246002",
509,1961509,Hertzbergplatz,bus,A67,"52.477487105395774, 13.448598156816837",
510,1961510,Hertzbergplatz,strassenbahn,95,"52.4773735457893, 13.448843811492495",
511,1961511,"Hessenwinkel, Lindenstrasse",bus,A22,"52.42653518647879, 13.728458969026482",
512,1961512,Hildburghauser Strasse,bus,A11,"52.416650746748985, 13.338144038711128",
513,1961513,Hindenburgdamm,bus,A48,"52.45352507850236, 13.315671490206539",
514,1961514,Hindenburgdamm,strassenbahn,"77,78","52.45271700038014, 13.319567835182761",
515,1961515,Hirschgarten,s-bahn,KBS 102,"52.4579,13.6032",Q4892435
516,1961516,Hirschgarten,strassenbahn,"84,87","52.4518533,13.6006245",Q66360740
517,1961517,Hirtestrasse,strassenbahn,86,"52.46228517510202, 13.582989445330378",
518,1961518,Hochgerichtstrasse,bus,"A63,A5","52.53838037062423, 13.183009198076522",
519,1961519,Hochmeisterplatz,bus,A4,"52.49468637986547, 13.301254684721862",
520,1961520,Hochschule für Ökonomie,strassenbahn,69,"52.4927681,13.5266059",Q65952866
521,1961521,Hohen-Neuendorf (b Bln),s-bahn,KBS 104,"52.6684,13.287",Q4500489
522,1961522,"Hohenschönhausen, Falkenberger Strasse",bus,A39,"52.550229554941964, 13.509585042301534",
523,1961523,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"64,70","52.5508672,13.5094994",Q65555882
524,1961524,"Hohenschönhausen, Gartenstadt",strassenbahn,63,"52.5508672,13.5094994",Q65555882
525,1961525,Hohenschönhauser Strasse,strassenbahn,3,"52.5359329,13.4729468",Q65553684
526,1961526,Hohenschöpping,s-bahn,KBS 105,"52.67,13.1945",Q19274489
527,1961527,Hohenstaufenplatz,bus,A67,"52.49085480753271, 13.423419999335453",
528,1961528,Hohenzollerndamm,bus,A50,"52.476835205459196, 13.28097752710442",
529,1961529,Hohenzollerndamm,s-bahn,KBS 100,"52.4885,13.3004",Q800503
530,1961530,Hohenzollernplatz,u-bahn,"A II,B II","52.493888888889,13.325",Q571570
531,1961531,Hohenzollernring,bus,AS1,"52.55569430282622, 13.207589665448262",
532,1961532,Hohenzollernring,strassenbahn,"53,75 ; 54,76","52.55569292602298, 13.20744492422738 ; 52.55534806923232, 13.198657615343986",
533,1961533,Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,3,"52.5088235,13.465969",Q65675805
534,1961534,Boxhagenerstrasse Ecke Holteistrasse,strassenbahn,13,"52.5088235,13.465969",Q65675805
535,1961535,Holzhauser Str.,u-bahn,C I,"52.575833333333,13.296111111111",Q557566
536,1961536,Holzhauser Strasse,bus,"A12,A14 ; A15","52.59178549505881, 13.326377240287412 ;  52.581973276504755, 13.305409380050108",
537,1961537,Hoppegarten (Mark),s-bahn,KBS 101,"52.5183,13.6734",Q15197357
538,1961538,Hottengrund,bus,A35,"52.44597765000425, 13.126251393745859",
539,1961539,Hultschiner Damm,bus,A8,"52.47711373957008, 13.600598140620137",
540,1961540,Humannplatz,strassenbahn,70,"52.5493627,13.4213646",Q65962652
541,1961541,Humboldthain,s-bahn,"KBS 104,KBS 105,KBS 106","52.5451,13.3796",Q481276
542,1961542,Humboldtstrasse,bus,A61,"52.56929443788896, 13.32995611157798",
543,1961543,Hundekehlestrasse,bus,A10,"52.47548162130776, 13.290308772196097",
544,1961544,Händelplatz,strassenbahn,"73,77,78,74","52.450279094879285, 13.315466784727654",
545,1961545,"Hönow, Dorfstrasse",bus,A44,"52.54884927869554, 13.63648687804691",
546,1961546,Ihnestrasse,bus,A11,"52.44831039409289, 13.276355065531465",
547,1961547,Imbrosweg,strassenbahn,15,"52.443541863050356, 13.398564688322455",
548,1961548,Industriestrasse,strassenbahn,"15,26","52.455350229930445, 13.409794385645863",
549,1961549,Innsbrucker Platz,bus,"A75,A65,A4,A16,A48","52.478545508234895, 13.34405868604117",
550,1961550,Innsbrucker Platz,s-bahn,"KBS 100a,KBS 100","52.4786,13.3439",Q111263876
551,1961551,Innsbrucker Platz,strassenbahn,"66,73,74","52.47804266204959, 13.343446877940893",
552,1961552,Innsbrucker Platz (Hauptstr.),u-bahn,B III,"52.4786,13.3439",Q10275871
553,1961553,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,1,"52.5304158,13.3827302",Q65552697
554,1961554,"J denstrasse, Molkenmarkt",strassenbahn,71,"52.516142213164905, 13.410591792750504",
555,1961555,Jakob-Kaiser-Platz,bus,A72,"52.536739701449115, 13.293604878938678",
556,1961556,Jakob-Kaiser-Platz,strassenbahn,55,"52.53674527783534, 13.293570890395548",
557,1961557,Jannowitzbrücke,s-bahn,"KBS 101,KBS 103,KBS 102","52.514822222222,13.41795",Q27955427
558,1961558,"Jerusalems-Kirche, Lindenstrasse",bus,A67,"52.507080658279015, 13.398349137947935",
559,1961559,Joachim-Friedrich-Strasse,bus,A29,"52.49796465694724, 13.296270941417216",
560,1961560,Joachim-Friedrich-Strasse Ecke Kurfürsten Damm,bus,A69,"52.497990910880795, 13.296176084656011",
561,1961561,Joachimstaler Strasse,bus,"A19,A60,A29","52.50380704791941, 13.331281572821457",
562,1961562,Joachimstaler Strasse Ecke Kurfürstendamm,bus,A69,"52.503848526250394, 13.331282191682005",
563,1961563,Joachimstrasse,bus,A38,"52.40316589631168, 13.57664158970399",
564,1961564,Johannesstift,strassenbahn,"54,76","52.56762416524039, 13.191782610265674",
565,1961565,"Johannisthal, Haeckelstrasse",strassenbahn,69,"52.4402944,13.5052638",Q66225573
566,1961566,Johannisthaler Chaussee,bus,A47,"52.45136033294721, 13.488299619950027",
567,1961567,Johannisthaler Chaussee,strassenbahn,47,"52.43434580082342, 13.469025837805159",
568,1961568,John-Foster-Dulles-Allee,bus,A24,"52.517085214536316, 13.354609198247653",
569,1961569,Jungfernheide,s-bahn,"KBS 103a,KBS 100c,KBS 100","52.53035,13.299433333333",Q110977325
570,1961570,Jänickestrasse,bus,A53,"52.427213941734294, 13.271659447787256",
571,1961571,Kaiser-Friedrich-Strasse,bus,A74,"52.50678666128108, 13.302343266081147",
572,1961572,Kaiser-Wilhelm-Platz,bus,"A4,A48,A75","52.486329247981715, 13.35655627172785",
573,1961573,Kaiser-Wilhelm-Platz,strassenbahn,"2,73,74","52.486331659025346, 13.356584679052645",
574,1961574,Kaiserdamm (Messedamm),u-bahn,"A I,B I","52.51,13.2822",Q656409
575,1961575,Kaisereiche,bus,"A25,A48,A75","52.46896806014468, 13.332614886077709",
576,1961576,Kaisereiche,strassenbahn,"73,74","52.468942127334586, 13.332672961457298",
577,1961577,Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm,bus,A68,"52.45934920938466, 13.384516351201325",
578,1961578,Kaiserstrasse,bus,A33,"52.445569639174806, 13.385736727448023",
