line_name,Stops,Frequency_7-30,Length (time),type,east-west,year,direction
A 2,"Bhf. Zoo - Spichernstrasse Ecke Joachimstaler Strasse - Berliner Strasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Feuerbachstrasse - Bergstrasse Ecke Bismarckstrasse - Feuerbachstrasse Ecke Bismarckstrasse - Steglitzer Damm Ecke Halske Strasse - Leonorenstrasse Ecke Albrechstrasse - Lankwitz, Kirche - Havensteinstrasse Ecke Gallwitzstrasse - Lerbacher Weg Ecke Tautenbergstrasse - Trippsteinstrasse",10,39,bus,West,1964
A 3,"Rathaus Zehlendorf - Winifriedstrasse Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Bhf. Lindenthaler Allee - Benschallee Ecke Potsdamer Chaussee - Schopenhauer-Strasse Ecke Spanische Allee - Borussenstrasse Ecke Kronprizessinnen Weg - Am Beelitzhof - Bhf. Wannsee - Am Großen Wannsee Ecke Königstrasse - Pfaueninsel-Chaussee Ecke Königstrasse - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10,39,bus,West,1964
A 10,"Haselhorst, Kirche - Paulsternstrasse - Verwaltungs-Gebäude - Spandauer Damm - U-Bhf. Kaiserdamm - Amtsgericht - Kurfürstendamm Ecke Joachimsthaler Strasse - Henriettenplatz - Elsterplatz - Hundekehlestrasse - Königin-Luise-Strasse - U-Bhf. Thielplatz - Dahlemer Weg - Teltower Damm - Behring-Krankenhaus - Lupsteiner Weg",10,62,bus,West,1964
A 11,"Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdter-Allee - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Ostpreußendamm Ecke Wilhelmstrasse - Marienstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Kranoldplatz - Langestrasse - Hildburghauser Strasse - Stadtilmer Weg - Marienfelde, Alt-Marienfelde",7.5,34,bus,West,1964
A 12,Gartenstrasse Ecke Bernauer Strasse - Grenzstrasse - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse - Tessenowstrasse Ecke Oranienburgerstrasse - Eichborndamm Ecke Alt-Wittenau - Cyclopstrasse - Zabel-Krüger-Damm - Almutstrasse Ecke Berliner Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Zeltinger Platz - Donnersmarckplatz - Hainbuchenstrasse Ecke Kastanienallee,20,54,bus,West,1964
A 12S,Leopoldplatz - U-Bhf. Seestrasse - Barfusstrasse - Emmentaler Strasse - Lindauer Strasse - Oranienburger Strasse - Rathaus Reinickendorf - Cyclopstrasse - Zabel-Krüger-Damm - Schildower Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Oswinsteig - Hohefeldstrasse - Im Fischgrund - Zeltinger Platz,10,31,bus,West,1964
A 13,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel - Paulsternstrasse - Daumstrasse - Carl-Schurz-Strasse Ecke Neuendorfer Strasse - Rathaus Spandau - Seebugerstrasse Ecke Pichelsdorferstrasse - Päwesiner Weg - Heerstrasse Ecke Wilhelmstrasse - Weinmeisterhornweg,15,57,bus,West,1964
A 14,Alt-Heiligensee - Mattenbuder Pfad Chaussee Ecke Hennigsdorfer Strasse - Ruppiner Chaussee Ecke Hennigsdorfer Strasse - Ruppiner Chaussee & Schulzendorferstrasse - Heiligenseestrasse Ecke Ruppiner Chaussee - U-Bhf. Tegel - Ziekowstrasse Ecke Gorkistrasse - Alt-Wittenau Ecke Eichborndamm - Tessenowstrasse Ecke Roedernallee - Aroser Allee - Kopenhagener Strasse - Pankower Allee - Pankstrasse - U-Bhf. Gesundbrunnen - Rügener Strasse,20,53,bus,West,1964
A 15,"Lübarser Strasse Ecke Eichhorster Weg - Cyclopstrasse Ecke Oranienburger Strasse - Alt-Wittenau Ecke Eichborndamm - Breitenbachstrasse Ecke Eichborndamm - Holzhauser Strasse - Borsigwalder Weg  - Gorkistrasse - U-Bhf. Tegel - Hermsdorfer Damm Ecke Karolinenstrasse - Schulzendorfer Strasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Zeltinger Platz - Am Pilz - Frohnau, Invalidensiedlung",20,55,bus,West,1964
A 16,Osloer Strasse - Louise-Schroeder-Platz - U-Bhf. Seestrasse - Virchow-Krankenhaus - Fennstrasse Ecke Tegeler Strasse - Wilsnacker Strasse Ecke Turmstrasse - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz - Rathaus Schöneberg - Innsbrucker Platz - Bundesplatz - Wiesbadener Strasse - Breitenbachplatz - Englerallee,15,50,bus,West,1964
A 17,"Grunewald, Fontanestrasse - Hagenplatz - Roseneck - Warnemünder Strasse - U-Bhf. Rüdesheimer Platz - Friedrich-Wilhelm-Platz - Bundesallee Ecke Rheinstrasse - Rathaus Steglitz - Stadtpark - Leonorenstrasse - Stadion Lichterfelde - Ostpreußendamm Ecke Wilhelmstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Oberhofer Platz  - Saaleckplatz",10,46,bus,West,1964
A 18,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Scharfestrasse - Potsdamer Strasse Ecke Berliner Strasse - Mittelstrasse - Wolzogenstrasse - Benschallee - Waldfriedhof - Quantzstrasse - Kronprinzessinen Weg - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - Stölpchensee - Kohlhasenbrück,20,32,bus,West,1964
A 19,Roseneck - Hagenplatz - Erdener Strasse - Henriettenplatz - Wilmersdorfer Strasse - Olivaer Platz - Joachimstaler Strasse Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Bülowstrasse Ecke Potsdamer Strasse - Bautzener Strasse Ecke Yorckstrasse - Katzbachstrasse - Mehringdamm - Flughafen,10,39,bus,West,1964
