line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year
3,bus,West,"Düppel-Süd - Ludwigsfelder Strasse - Machnower Strasse - Rathaus Zehlendorf - Potsdamer-/Berliner Strasse - Winfriedstrasse - Schützallee - Sophie-Charlotte-Strasse - U-Bhf. Onkel Toms Hütte - U-Bhf. Krumme Lanke - Mexikoplatz - Potsdamer Chaussee - Spanische Allee - Wasgenstrasse - Waldfriedhof - Isoldestrasse - Nibelungenstrasse - Kronprinzessinenweg - Am Großen Wannsee - Koblanckstrasse - Jugenderholungsheim - Zum Heckeshorn - Wannsee, Heckeshorn",15,45,,1984
3,strassenbahn,Ost,Björnsonstrasse - Bornholmer Strasse - Schönfließer Strasse - Schönhauser Allee - Stahlheimer Strasse - Prenzlauer Allee - Roelckestrasse - Antonplatz - Lichtenberger Strasse - Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse - Boxhagener Strasse - Gärtnerstrasse - Simon-Dach-Strasse - Warschauer Strasse - S-Bhf. Warschauer Strasse,10,43,,1984
30,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz - U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Dimitroffstrasse - Artur-Becker-Strasse - Leninallee - Mühsamstrasse - Samariterstrasse - Jacques-Duclos-Strasse - Herzbergstrasse - Siegfriedstrasse - Omnibus Betriebshof - U-Bhf. Magdalenenstrasse - Bhf. Lichtenberg - Weitlingstrasse - Lückstrasse - S-Bhf. Rummelsburg - Holteistrasse - Warschauer Strasse - Franz-Mehring-Platz - Ostbahnhof,7.5,67,,1984
31,bus,Ost,"Buch, Hobrechtsfelder Chaussee - S-Bhf. Buch - Karower Strasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg - Heinersdorfer Kirche - Am Steinberg - Ostseestrasse",20,38,,1984
32,bus,Ost,Hans-Beimler-Strasse - Am Friedrichshain - Leninplatz - Karl Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbrücke - Fischerinsel - Friedrichstrasse - Otto-Grotewohl-Strasse,6,25,,1984
32,bus,West,"U-Bhf. Rathaus Steglitz - Albrechtstrasse - Breite Strasse - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Stadtbad Lankwitz - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Belßstrasse - Wedellstrasse - Wichurastrasse - Marienfelder Allee - S-Bhf. Marienfelde - Fritz-Werner-Strasse - Marienfelde Daimlerstrasse ",20,22,,1984
33,bus,Ost,"Grumbkowstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,17,,1984
33,bus,West,U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Steglitzer Kreuz - Filandastrasse - Südendstrasse - Klingsorstrasse - Bismarckstrasse - Halskestrasse - Liebenowzeile - Buhrowstrasse - S-Bhf. Mariendorf - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacher Strasse - Kollostrasse - Kosleckweg - Mariendorf Rixdorfer Strasse Ecke Dirschelweg,10,29,,1984
34,bus,Ost,U-Bhf. Marchlewskistrasse - Warschauer Strasse - Revaler Strasse - Stralauer Allee - Rochowstrasse - Markgrafendamm - Friedrich-Junge-Strasse - Alt-Stralau,15,17,,1984
34,bus,West,"Spandau, Wasserwerk - Friedhof In den Kisseln - Zeppelinstrasse - Askanierring - Wröhmännerpark - Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Weißenburger Strasse - Adamstrasse - Heerstrasse - Jaczostrasse - Gatower Strasse - Sandheideweg - Weinmeisterhornweg - Gatower Strasse ""Biberburg"" - Gatow, Kirche - Groß-Glienicker Weg - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Kladow, Ritterfelddamm - Gredinger Strasse - Seekorso - Glienicke Gutshof",20,50,,1984
34E,bus,West,Alt-Gatow - Groß-Glienicker Weg - zum Dorf Gatow - Habichtswald,60,8,,1984
35,bus,Ost,"Biesdorf-Süd, Köpenicker Strasse - Hadubrandstrasse - Zimmermannstrasse - Grabensprung - Elsterwerdaer Platz - Oberfeldstrasse - Werner-Lamberz-Strasse - U-Bhf. Friedrichsfelde - Lincolnstrasse - Weitlingstrasse - S-Bhf. Nöldnerplatz",20,32,,1984Kein Verkehr zwischen 8:25 und 12:45
35,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Pichelsdorfer Strasse - Adamstrasse - Wilhelmstrasse - Am Omnibushof - Gatower Strasse/Heerstrasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Gatower Strasse ""Biberburg"" - Ortsgrenze Gatow - Gatow Kirche - Groß-Glienicker Weg - Am Graben - Straße zur Badewiese - Breitehornweg/Krankenhaus - Flugplatz, Haupteingang - Havelhöhe, Krankenhaus - Finnensiedlung - Ritterfelddamm/Alt-Kladow - Krampnitzer Weg - Kladow Hottengrund",20,37,,1984
35E,bus,West,"Kladow - Krampnitzer Weg - Grimmelshausenstrasse - Selbitzer Strasse - Lanzendorfer Weg - Hottengrund, Altenheim",25,7,,1984
36,bus,Ost,"S-Bhf. Grünau - Gartenstadtweg - Bohnsdorf, Kirche - S-Bhf. Grünbergallee - S-Bhf. Schönefeld - Schönefeld, Dorfstrasse",10,18,,1984
361,bus,Ost,Flughafen Schönefeld - Bahnhof - Hotel - Flughafen Schönefeld,20,9,,1984
362,bus,Ost,Flughafen Schönefeld - Bahnhof - Flughafen Schönefeld,20,6,,1984
